"","lolA","osmB","rarA","rcsB","pval","z","inv_cof_var"
"T5575",0.152209966,0.15937945,0.101989538,0.229839883,0.467582872224603,0.081347317848367,4.4086055687242
"T5776",0.198772247,0.112463454,0.141573081,0.089884866,0.499199906096664,0.00200553934490368,3.43743119402458
"T5778",0.198772247,0.111388439,0.147218271,0.213787005,0.49811411652021,0.00472722645933704,3.47074570790798
"T5783",0.198772247,0.120090306,0.150078556,0.073530383,0.482942598096435,0.0427696016288265,3.93639924648734
"T5784",0.198772247,0.155447855,0.15376714,0.075440391,0.396116932289585,0.263410933239938,6.63713536939843
"T5786",0.198772247,0.144712149,0.138422891,0.104992203,0.453532292701988,0.116741900588535,4.84184909324308
"T5788",0.198772247,0.156320024,0.146935756,0.100800662,0.414433928248327,0.216153810224469,6.05868971617113
"T5790",0.198772247,0.14347115,0.131766263,0.113926466,0.467378979311631,0.0818601061264013,4.41488229763886
"T5792",0.198772247,0.165247425,0.152782391,0.066915407,0.377184908212426,0.312882654123131,7.242688565965
"T5794",0.198772247,0.138924269,0.127067155,0.066826333,0.479875066922111,0.0504671408281105,4.03062013439275
"T5796",0.198772247,0.148715091,0.134622542,0.081636359,0.455963590090118,0.110608029197449,4.76676811037268
"T5798",0.198772247,0.132668478,0.13304144,0.162551181,0.478651428527478,0.0535384987481829,4.06821475558434
"T5800",0.198772247,0.124039748,0.131556921,0.070078026,0.491272052007109,0.0218794667502864,3.68069583195938
"T5802",0.198772247,0.141909318,0.133764404,0.098218659,0.46573634041595,0.085992120654416,4.46545977020357
"T5804",0.198772247,0.158938818,0.161056915,0.045692265,0.362593075830947,0.351536157177022,7.71582254867089
"T5806",0.198772247,0.143114278,0.142871011,0.087305417,0.447851990839501,0.131090164414774,5.01747744960599
"T5808",0.198772247,0.143831389,0.144187939,0.0881818,0.444151808000462,0.140451061993804,5.13205849410002
"T5810",0.198772247,0.136710069,0.137007091,0.101263145,0.467668607727888,0.081131700461924,4.40596632765344
"T5812",0.198772247,0.147600108,0.14497429,0.086799183,0.435522359021994,0.162331617073164,5.39988503893038
"T5814",0.198772247,0.139511617,0.131760586,0.095556259,0.471949383796522,0.07037050379457,4.2742450750982
"T5816",0.198772247,0.165955037,0.158018331,0.091218709,0.351951604558557,0.380056858479581,8.06492707816287
"T5818",0.198772247,0.145561523,0.139093379,0.077963581,0.450983911372552,0.123175882940792,4.92060355155799
"T5820",0.198772247,0.150323439,0.13699512,0.087227516,0.448932816174537,0.128358044156889,4.98403522996959
"T5822",0.198772247,0.162262923,0.151853173,0.112406902,0.386661179894761,0.288031848332438,6.93850499168951
"T5791",0.198772247,0.140770566,0.151126322,0.047130294,0.439148820089196,0.153127613586243,5.28722443943609
"T5803",0.198772247,0.143930099,0.148749988,0.082347417,0.435695749320919,0.161891243359552,5.394494692583
"T5805",0.198772247,0.144924476,0.144562905,0.08830482,0.441396913221246,0.147428481134777,5.21746483107742
"T5807",0.198772247,0.132088615,0.145377196,0.103879762,0.464688880804311,0.0886277398614227,4.49772077926577
"T1091",0.12125213,0.100618296,0.11969522,0.708378375,0.297805125681403,0.530723712737063,9.90914825307745
