"","alaA","avtA","leuE","livF","livG","livH","livJ","livK","livM","lrp","lysU","sdaA","yfbR","pval","z","inv_cof_var"
"T5566",0.137131912,0.135047579,0.102618035,0.162829069,0.101828637,0.10950844,0.17581337,0.107493624,0.094006102,0.092613253,0.238977352,0.153155846,0.114623699,0.0256185311437417,1.94948894047026,3.25540295782198
"T5568",0.12488768,0.104396332,0.117038651,0.122615052,0.097702926,0.107377608,0.150541935,0.157889691,0.137313198,0.100643843,0.22268165,0.135360945,0.094046299,0.00477131588296329,2.59197639940183,3.72362753492175
"T5570",0.148471674,0.118675394,0.113851044,0.160290259,0.102443231,0.091407532,0.157127373,0.17500675,0.094067426,0.102078798,0.202779179,0.169727581,0.09380282,0.00818255981247346,2.40066927700938,3.58420894358094
"T5572",0.136266902,0.128280761,0.116421183,0.155851727,0.171277933,0.103585726,0.148964711,0.119328856,0.081319979,0.175239792,0.235877321,0.084825677,0.107386068,0.038950530096864,1.76299661727271,3.1194932401339
"T5574",0.1074062,0.101295701,0.103410009,0.150361156,0.089624895,0.089764415,0.159493754,0.161250877,0.129291291,0.153821696,0.257443597,0.100783414,0.090505667,0.137007129428606,1.09386484553505,2.6318511290071
"T5576",0.17080269,0.123828975,0.068263268,0.190971772,0.184755676,0.067678035,0.124873026,0.208758614,0.076375608,0.064661239,0.253977524,0.205541008,0.089447258,0.255052271858639,0.658674916476361,2.31469844741166
"T5578",0.114309886,0.108948927,0.10059568,0.114961504,0.229477296,0.10037326,0.117152924,0.229674266,0.111500111,0.220761604,0.239278232,0.214884185,0.112248394,0.164693971969733,0.975347443954572,2.54547938826329
"T8138",0.13048063,0.176802177,0.031653686,0.183364206,0.171062465,0.066121128,0.171837614,0.039150815,0.086129602,0.53498171,0.200696433,0.139838441,0.031856507,0.492999820067718,0.01754774946494,1.84746520811965
"T8139",0.118098591,0.163982864,0.053537027,0.081747172,0.062669783,0.082366969,0.109396674,0.057864537,0.087113744,0.589199791,0.191582183,0.127616928,0.05375239,0.298217001273726,0.529535531996205,2.22058574086063
"T5535",0.160684862,0.078613077,0.078255754,0.06956058,0.129512899,0.08378147,0.063548868,0.079028911,0.103223877,0.11972363,0.078957665,0.216483653,0.080558432,0.290397246856671,0.552224583048169,2.23712080498666
"T5543",0.171058362,0.088692417,0.070166327,0.092092439,0.08776156,0.070609387,0.078628242,0.070488559,0.099433472,0.083274683,0.106427193,0.165706525,0.077934654,0.0865112124683418,1.36255618683192,2.82766489610896
"T5537",0.136529954,0.098091917,0.126694208,0.131836682,0.129634212,0.082453394,0.136709486,0.145283843,0.082558841,0.140007269,0.130152359,0.138147957,0.082525941,1.80419307360723e-05,4.13122281262317,4.84538172772952
"T5539",0.157352306,0.084255372,0.075952408,0.088088247,0.114392162,0.080275393,0.093965869,0.092888013,0.09184603,0.128572964,0.136199077,0.079541601,0.073576509,0.00401743301491437,2.65060116546629,3.76635141367847
"T5541",0.156484932,0.111049604,0.099916027,0.095037117,0.108928907,0.090656245,0.101814232,0.105889576,0.096831802,0.107111147,0.110745655,0.215730592,0.091406288,0.0304982836091522,1.87352033620406,3.20003943731911
"T8255",0.148743584,0.220620914,0.070780196,0.394702485,0.370746522,0.393068713,0.351444415,0.373921541,0.236230722,0.27696219,0.250370667,0.1656965,0.052762149,0.397221044875425,0.260546709906451,2.02455517914821
"T1635",0.135779424,0.234970886,0.173128444,0.364525678,0.37396604,0.379040619,0.290564467,0.31167922,0.063687089,0.34313898,0.207125199,0.140463675,0.043988299,0.45674364733678,0.108640930948128,1.91385104302383
"T1718",0.131589528,0.290932751,0.080138519,0.265725042,0.182744526,0.334551815,0.204004116,0.202407331,0.433015405,0.28271231,0.179651835,0.171722275,0.028117487,0.469947736698299,0.0754012390525727,1.88962700492882
"T1719",0.151546416,0.322149891,0.076346149,0.248753468,0.22525599,0.32638834,0.204004116,0.206914006,0.452427413,0.298001741,0.187345533,0.172128724,0.020221017,0.475546792426696,0.0613335339255548,1.87937490554183
"T1589",0.031460901,0.063667885,0.040054333,0.06137911,0.066941353,0.077587458,0.116080799,0.115235266,0.071499668,0.338764686,0.191747367,0.104731932,0.047786742,0.482982166612734,0.0426703275209701,1.86577374990115
