"","amiA","cmk","hemF","ihfA","ihfB","rpsA","uspB","pval","z","inv_cof_var"
"T5735",0.171245399,0.175795108,0.123801826,0.158459362,0.107841927,0.23855049,0.096494602,0.0155954016208552,2.15462995219061,2.85231928793849
"T5762",0.238350679,0.100143562,0.051132903,0.212265626,0.253580627,0.262135961,0.07739736,0.335058232154315,0.42598817265083,1.68045608355669
"T5764",0.229154046,0.047222607,0.120442824,0.209532188,0.108688419,0.185483539,0.093002154,0.190874079322315,0.874679791708526,1.98462852964219
"T5768",0.22390141,0.092563407,0.101399895,0.203585284,0.221871132,0.252676345,0.069745227,0.190670305934825,0.875428842728373,1.98513631866983
"T5770",0.227757528,0.107940078,0.059041085,0.205219462,0.056138715,0.204443335,0.075814151,0.373253740559155,0.323247934721562,1.61080746933032
"T5772",0.23547866,0.115752599,0.07374315,0.216326762,0.144545308,0.220612335,0.08550309,0.136562401271003,1.09589482842113,2.13459237110881
"T2435",0.062149327,0.247612319,0.02604322,0.276896004,0.282216108,0.386269283,0.271272564,0.421791972971184,0.197311288634862,1.52543378267122
"T5533",0.248921236,0.300892824,0.111195116,0.245602338,0.350912033,0.294153829,0.066313887,0.182475852991193,0.90597004822055,2.0058405012005
"T5529",0.237929359,0.251066344,0.146055132,0.244728221,0.293337784,0.271860942,0.101430124,0.0153117606267288,2.16193066073237,2.85726850981157
"T5531",0.217316522,0.2106533,0.128890468,0.216700562,0.334998457,0.094841771,0.087202799,0.231000088888313,0.735557265359485,1.89031600552138
"T0071",0.070837018,0.251737467,0.069052461,0.318297708,0.206135246,0.289647294,0.079926446,0.372253855129558,0.325889830338395,1.6125984362616
"T0585",0.075216867,0.282453764,0.044719197,0.27086039,0.25709279,0.096685972,0.120231149,0.453643852254691,0.116460354825962,1.47062414224023
"T0586",0.0507385,0.175696874,0.098707999,0.237580891,0.211103317,0.061308129,0.051911415,0.398813156368253,0.25642030240153,1.56550436241788
"T0587",0.083517541,0.183785992,0.068494552,0.226946891,0.223951341,0.10647316,0.071330759,0.235299037477279,0.721506285338056,1.88079070845434
"T0588",0.083265671,0.149094782,0.077147421,0.235022888,0.198705637,0.126808718,0.077959014,0.0642104606935539,1.5203584094428,2.4223403927561
"T0592",0.072561808,0.229392629,0.045353744,0.208142404,0.205747456,0.122485041,0.190715268,0.222471622016163,0.763872471121141,1.90951116101821
"T0593",0.072900204,0.178089189,0.03309753,0.182389339,0.17889803,0.100049118,0.17062255,0.202656173347076,0.832171148338687,1.95581150368406
"T0594",0.069708296,0.160616446,0.036730773,0.203129437,0.200615048,0.110729449,0.195224578,0.223935997844549,0.758967504688796,1.90618603620125
"T0589",0.09431933,0.189309251,0.049650044,0.306399192,0.271519921,0.055865074,0.246300347,0.408190874331039,0.232201196265536,1.54908599300224
"T0590",0.091508039,0.197981106,0.045536553,0.308280028,0.258878957,0.054576988,0.222266678,0.395774067512907,0.264300811491115,1.57084663676482
"T0591",0.092382642,0.15249012,0.057083883,0.316072241,0.2663308,0.062099888,0.278561468,0.425525758750497,0.18777693478044,1.51897035074924
"T0575",0.069010724,0.286296244,0.041993629,0.174632788,0.188868444,0.205954133,0.05095885,0.497904179590426,0.00525346686208282,1.39523590297566
"T0572",0.086360244,0.241099553,0.053524552,0.336894638,0.257445618,0.144463055,0.291742377,0.262091910271752,0.636909459829014,1.82344169132718
"T0578",0.082769395,0.233386114,0.053053334,0.048814526,0.121442907,0.254698894,0.079416967,0.376648630351752,0.314294650642608,1.60473795030406
"T0582",0.07937457,0.266746344,0.041617104,0.12967871,0.118933332,0.207952049,0.070513999,0.44505914673108,0.138154525887563,1.48533083342262
"T1096",0.116949473,0.289548491,0.096197223,0.13128853,0.186642725,0.095305858,0.097521253,0.234471061704962,0.724201360563337,1.88261772636339
"T1094",0.13350439,0.236446153,0.080388627,0.297192206,0.289025077,0.079626047,0.204865489,0.194750445157906,0.860522855423032,1.97503140378528
"T0115",0.063766639,0.231334135,0.062735848,1.411997323,0.266171692,0.306802384,0.070003879,0.454518037549804,0.114254468297555,1.46912875014323
"T0117",0.098843311,0.330047527,0.064281726,0.319455955,0.217573416,0.283063165,0.056890542,0.445302336722893,0.137539119760462,1.4849136435776
"T0100",0.102862468,0.403338157,0.06635046,0.21733475,0.246992715,0.115491316,0.256840497,0.402721106315765,0.246310073454528,1.55865053912661
