"","adeD","adiY","chiA","gspA","gspB","hchA","hns","mdtI","mdtJ","rcsB","yjjP","pval","z","inv_cof_var"
"T5783",0.074075413,0.119421911,0.159017916,0.09741034,0.145783777,0.364284702,0.333847205,0.380001452,0.289135834,0.073530383,0.085059174,0.47005134101362,0.0751408048150945,1.49017970483965
"T5784",0.087725453,0.087686099,0.139787105,0.087346743,0.142926407,0.359968201,0.293440154,0.369502881,0.318966823,0.075440391,0.085059174,0.49419489913258,0.0145517435181862,1.42738775111578
"T5786",0.109370669,0.095292952,0.146548765,0.112105005,0.130261755,0.353822913,0.290205382,0.37413717,0.317891612,0.104992203,0.085059174,0.43862172393282,0.154464566309788,1.57238751354906
"T5788",0.093870609,0.092241424,0.158188511,0.108035019,0.133870239,0.345498626,0.316157554,0.364847651,0.313146924,0.100800662,0.085059174,0.438908683790459,0.153736673067398,1.57163315562019
"T5790",0.097627433,0.112658428,0.14513741,0.111981769,0.131862733,0.343346043,0.251798904,0.37147985,0.316286357,0.113926466,0.085059174,0.420386259913098,0.200905432469857,1.62051687314632
"T5792",0.070864421,0.139501106,0.177898759,0.102197692,0.127922517,0.357610373,0.32890673,0.378739281,0.325863193,0.066915407,0.085059174,0.470525437868671,0.0739491136743995,1.48894468628419
"T5794",0.093856458,0.107527263,0.144419617,0.101710741,0.119021758,0.350027051,0.298367342,0.374934471,0.314443714,0.066826333,0.085059174,0.481541775696715,0.0462844270842349,1.46027416914839
"T5796",0.086125763,0.126748276,0.153491891,0.103904173,0.130371453,0.346637081,0.296354538,0.364614648,0.314136094,0.081636359,0.085059174,0.444025408074297,0.140771047329663,1.55819612665987
"T5798",0.097045037,0.09355353,0.137571409,0.105881591,0.127306303,0.338524951,0.245071223,0.35738406,0.297971877,0.162551181,0.085059174,0.399924488650345,0.253542559792014,1.67506777709207
"T5802",0.090003406,0.095974757,0.150669755,0.102857062,0.122765114,0.353279973,0.281686331,0.367713719,0.316685467,0.098218659,0.085059174,0.460942866284633,0.0980586363728345,1.51393078115314
"T5804",0.083966248,0.095151822,0.177003023,0.11584946,0.144526639,0.351465629,0.299954829,0.370400562,0.322558152,0.045692265,0.085059174,0.480169986310232,0.0497269592946659,1.46384186467995
"T5806",0.081767583,0.141841655,0.157141718,0.114232169,0.138519323,0.360449156,0.29291805,0.376934523,0.321523011,0.087305417,0.085059174,0.437796826222091,0.156557432814121,1.57455647233266
"T5808",0.081704831,0.11857696,0.159990639,0.111615704,0.134422114,0.35791311,0.274516299,0.375606136,0.322597383,0.0881818,0.085059174,0.451609392354597,0.121596248495999,1.53832417196614
"T5810",0.078374448,0.144851883,0.150024534,0.087114544,0.116287885,0.354917878,0.316811109,0.377106287,0.318730252,0.101263145,0.085059174,0.460632948837114,0.098839258046412,1.51473978460944
"T5812",0.09741123,0.086463806,0.152062796,0.113346587,0.135259283,0.350016204,0.304306364,0.372580544,0.306850982,0.086799183,0.085059174,0.454653778399773,0.11391199503713,1.53036053501148
"T5816",0.070041689,0.098791858,0.17784304,0.106222608,0.140705521,0.375608267,0.328105995,0.388241898,0.345292924,0.091218709,0.085059174,0.485050747094576,0.037480993873996,1.45115066139111
"T5818",0.094174097,0.078196112,0.144850092,0.111735691,0.128877744,0.358878157,0.312473966,0.374929065,0.32068685,0.077963581,0.085059174,0.486465724726822,0.0339319073398628,1.44747253744195
"T5820",0.091952851,0.100621547,0.152063351,0.112767567,0.129108491,0.35927152,0.299326374,0.375550484,0.324776247,0.087227516,0.085059174,0.463227839229797,0.0923050471334252,1.50796800335903
"T5793",0.087887217,0.124233345,0.145815714,0.089284658,0.105499543,0.355852369,0.309674095,0.378807649,0.318463638,0.068461766,0.085059174,0.495637507892732,0.0109353640058131,1.42363988755546
"T5803",0.082187913,0.104090784,0.173773555,0.099824175,0.130198294,0.350614034,0.315623189,0.370237912,0.3188183,0.082347417,0.085059174,0.462246870934614,0.0947747516206863,1.51052750117194
"T5805",0.077068695,0.119015889,0.169859204,0.092604545,0.130200628,0.358771815,0.325016759,0.376112596,0.319851088,0.08830482,0.085059174,0.465996135005969,0.0853385183268152,1.50074818603429
"T5807",0.078932026,0.096168011,0.172004109,0.09152085,0.121822683,0.362792441,0.317486251,0.382591461,0.326313935,0.103879762,0.085059174,0.479885243410546,0.0504415996657956,1.46458248789069
"T1089",0.042445709,0.043213964,0.052309295,0.042719215,0.046995149,0.118590385,0.34912734,0.044756213,0.042573952,0.18579879,0.06637192,0.486663520886926,0.033435824538593,1.44695841810038
"T1092",0.053746207,0.060513533,0.06494848,0.053525102,0.063913911,0.13253247,0.188706525,0,0.057004652,0.069837625,0.156965955,0.416698701371582,0.210346298206818,1.63030098915306
