"","flu","oxyR","pth","ychF","pval","z","inv_cof_var"
"T7460",0.05631756,0.456931023,0.079629285,0.085400769,0.499387627293537,0.0015349913434229,4.79171443071166
"T7462",0.059890307,0.358177041,0.081476366,0.086808721,0.481411296007923,0.0466118441620543,5.33608304586306
"T7271",0.068256347,0.362854521,0.083829906,0.095610927,0.458968246230068,0.103033362430709,6.01745501049924
"T7275",0.060944219,0.315524667,0.085943095,0.086799218,0.482473717703735,0.0439460157969631,5.30388928776786
"T7466",0.065765058,0.409061201,0.078090405,0.089240881,0.439335095357121,0.152655201367943,6.61671094906741
"T7468",0.078260847,0.369998201,0.081708843,0.085387018,0.0661477004265718,1.50511154680743,22.9495900607013
"T7470",0.065162863,0.407783338,0.084730729,0.092975419,0.470495876349884,0.0740234165008247,5.66711768426646
"T7277",0.087294846,0.32396415,0.077463745,0.077322069,0.219624362739219,0.7734624800453,14.1138625343666
"T7278",0.071238166,0.265983672,0.082870065,0.083031674,0.283450328816228,0.572622004217642,11.6884214297591
"T7279",0.082571932,0.323607281,0.081299504,0.08162934,2.90861229143327e-23,9.86647642977036,123.925242474322
"T7280",0.070580433,0.242691461,0.08037713,0.080363094,0.231350163925816,0.734407646559447,13.6422185687774
"T7281",0.079372832,0.304906417,0.081169692,0.082528928,6.0819163907835e-05,3.84280052829956,51.1805874337825
"T7282",0.061632073,0.195389259,0.081994218,0.08347789,0.452925576755617,0.118273248114921,6.20149881449682
"T7472",0.062542373,0.194526332,0.083516628,0.088241184,0.46909853646929,0.0775361014020331,5.70953846778539
"T7474",0.059266056,0.363376051,0.084715823,0.087077623,0.492684536820477,0.0183381746159609,4.99463732874561
"T7476",0.075600289,0.290599524,0.079323161,0.088503847,0.268798202696712,0.616451753118481,12.2177294497219
"T7283",0.081899247,0.398086775,0.080064098,0.08129367,5.79597606390085e-12,6.78520782417535,86.7144387279712
"T7284",0.072203775,0.355273074,0.081020695,0.083892031,0.248481088929095,0.679277298196863,12.9764393602841
"T7285",0.070753693,0.370859026,0.07967336,0.076404984,0.160547448858508,0.992210405282505,16.755562158068
"T7286",0.059920441,0.29726395,0.081702967,0.082415263,0.464790592664718,0.0883717856523498,5.84039512837117
"T7287",0.085230696,0.390218497,0.079658511,0.078806959,0.0626793675195422,1.53266371015231,23.2823225401586
"T7288",0.074081812,0.332665709,0.082410631,0.084445835,0.207298129175024,0.815831947633231,14.6255355317772
"T7478",0.073199658,0.317856259,0.081882804,0.084073304,0.225839907355872,0.752617472980232,13.8621287304454
"T7480",0.072304431,0.177367499,0.083337426,0.095210997,0.417160737240755,0.209162386124322,7.29911746124565
"T7482",0.07859512,0.371821951,0.078626311,0.095536462,0.374982906539688,0.318684442544417,8.62175572132617
"T7484",0.065578033,0.257168026,0.082830501,0.089976308,0.448547370156322,0.129332267187658,6.33505256816683
"T7486",0.078564088,0.387112998,0.074642062,0.08021667,0.0318012288331635,1.85495636696624,27.1744755253986
"T7488",0.072870257,0.392224268,0.079206776,0.087006016,0.295712032803391,0.536773518911373,11.2554987858477
"T7492",0.062591588,0.391969493,0.082550711,0.095267576,0.496958332092346,0.00762440464845845,4.86525296059271
"T7289",0.076607979,0.412636972,0.085292222,0.086145171,0.183502135854678,0.902099015714288,15.6673359558974
"T7290",0.073023977,0.388815379,0.086813735,0.090183333,0.358002467458826,0.363803250871714,9.1666310103184
"T7291",0.074225621,0.376458806,0.085125037,0.090579275,0.332415146454245,0.433253944359626,10.0053492320061
"T7292",0.072483122,0.321710612,0.085543113,0.094143248,0.404022547096392,0.242948757014888,7.70713707181365
"T7293",0.08261466,0.400625768,0.081137496,0.084046985,8.30266931376419e-06,4.30623934436839,56.7772857553326
"T7294",0.065006528,0.351255435,0.082197304,0.083697583,0.413543481009694,0.218439153387645,7.41114792993289
"T7295",0.089596588,0.303068319,0.080577236,0.0980286,0.325275420682206,0.452997083866777,10.2437763812015
"T7297",0.070755989,0.417305985,0.082786019,0.09880557,0.460280223808478,0.0997277769932456,5.97753525447508
"T7298",0.062643489,0.401858362,0.08116558,0.092103414,0.483242486919678,0.0420172160170911,5.2805962227152
"T7299",0.0767291,0.3744723,0.082498693,0.093595194,0.337667986957747,0.418836025968197,9.83123187958824
"T7300",0.065122197,0.346419332,0.085906218,0.099561515,0.498566332739473,0.00359367862674293,4.81657607644278
"T7160",0.168154357,0.080159112,0.126415464,0.164607185,0.439427108846345,0.152421858776012,6.61389299759824
"T5547",0.079226528,0.235350867,0.078327742,0.096247835,0.382628257736377,0.298585257406396,8.37902880285032
"T5555",0.094582831,0.289400896,0.108018636,0.093196139,0.273577238507896,0.602029535935594,12.0435601831396
"T5559",0.084827068,0.182960626,0.111797735,0.091745263,0.431341166236007,0.17296068266314,6.86192919394186
"T5561",0.109798044,0.100106735,0.097803519,0.088923141,0.349739919301574,0.386022725070586,9.4349635056614
"T5571",0.169976088,0.257372109,0.144987145,0.140785406,0.343880125644433,0.401896428497995,9.6266615815424
"T5573",0.172713114,0.255310048,0.129445746,0.126474885,0.475323704691358,0.061893794391937,5.52063484048203
"T1712",0.104923702,0.097237164,0.077013482,0.084777939,0.45390708349954,0.115796067792147,6.17158325612334
"T1713",0.099766293,0.071774729,0.115835624,0.126626367,0.3807049797894,0.303629781721181,8.43994877715256
"T5774",0.133555788,0.100270505,0.11635653,0.163453168,0.466723096115903,0.0835097913316473,5.7816794694523
"T5776",0.133555788,0.13492785,0.115432718,0.152701627,0.420867628116605,0.199674374656448,7.18453591128499
"T5778",0.133555788,0.166368567,0.107717487,0.163229101,0.497329689866394,0.00669352486456697,4.85401123214134
"T5779",0.133555788,0.238566536,0.119883699,0.159509184,0.432090781936204,0.171053671250504,6.83889925514042
"T5780",0.133555788,0.11527809,0.128309544,0.17379889,0.464963978961261,0.0879354786603298,5.8351260863202
"T5781",0.133555788,0.275946467,0.102223335,0.134575334,0.436208139357931,0.160590067030999,6.71253600255528
"T5782",0.133555788,0.228669642,0.100575813,0.139561501,0.461701870099502,0.096147104989208,5.93429342772218
"T5783",0.133555788,0.269449148,0.104358846,0.157972054,0.495274070750807,0.0118464249576053,4.91624000172619
"T5784",0.133555788,0.149332933,0.127640493,0.182406428,0.495166170328907,0.0121169106216218,4.91950650985912
"T5786",0.133555788,0.142947396,0.115380768,0.147543834,0.388455058907489,0.283347957895727,8.1950162306629
"T5788",0.133555788,0.163357499,0.111832711,0.160350938,0.473862660741553,0.0655635349895542,5.56495230015757
"T5790",0.133555788,0.108117632,0.115162661,0.156017079,0.440088875964685,0.150743887044135,6.59362904634991
"T5792",0.133555788,0.235007141,0.118002208,0.155008051,0.417341099838642,0.208700308011135,7.29353719539214
"T5794",0.133555788,0.157341558,0.109036421,0.140035362,0.401036636632753,0.250664805430509,7.80031958851137
"T5796",0.103085883,0.243155406,0.114156218,0.150592271,0.494726247858107,0.0132197212708555,4.93282455378541
"T5798",0.133555788,0.133775547,0.109253297,0.15131381,0.452257592916931,0.119959556427789,6.221863442096
"T5800",0.133555788,0.225315037,0.106750628,0.148040213,0.453655163290603,0.116431809384444,6.17926076128514
"T5802",0.133555788,0.129962725,0.112708112,0.154128259,0.444968803229296,0.138383158582467,6.44435525693931
"T5806",0.133555788,0.083897708,0.111418458,0.157829987,0.466648800722789,0.0836966742341453,5.78393635254123
"T5808",0.133555788,0.085537981,0.125660628,0.15917473,0.395935954189253,0.263880621463763,7.95991980508071
"T5812",0.133555788,0.278207156,0.120076372,0.161217075,0.440104922968241,0.150703203671888,6.59313773540815
"T5814",0.133555788,0.237692854,0.107568688,0.14638943,0.442136271953315,0.145555190544308,6.53096798304506
"T5818",0.133555788,0.109487271,0.122842152,0.153604299,0.370896663500563,0.329479446254401,8.75212110516967
"T5820",0.133555788,0.097281034,0.122285307,0.156591609,0.399060840290734,0.255778753468325,7.86207795532776
"T5791",0.133555788,0.310835796,0.107595799,0.140650513,0.416692982293038,0.210360954510903,7.31359191924281
"T5793",0.133555788,0.185988201,0.098818939,0.128151656,0.445459034522044,0.137142614661544,6.42937388326213
"T5795",0.133555788,0.216398146,0.092129088,0.13318369,0.491719934331759,0.020756537059896,5.02384257561225
"T5803",0.133555788,0.219673404,0.104764651,0.156904047,0.491044929133973,0.0224489192285949,5.04428055386216
"T5805",0.133555788,0.169866411,0.106634491,0.160892974,0.494885360745516,0.0128208505973652,4.9280076097759
"T5807",0.133555788,0.186855057,0.116941986,0.160096958,0.450097827153356,0.125414190641192,6.28773609041187
