"","aroF","tyrA","tyrB","tyrR","pval","z","inv_cof_var"
"T6086",0.071203255,0.045360964,0.072992582,0.080306581,0.48947762996594,0.0263787291417248,4.08637877467571
"T6097",0.070063446,0.045571206,0.067634155,0.078196954,0.473409854083968,0.0667010377259664,4.52713304234308
"T6121",0.078147431,0.051291224,0.078596321,0.30734215,0.476773973224631,0.0582519429389673,4.43477784949702
"T6091",0.071676184,0.043421721,0.068045771,0.078927972,0.493676644098237,0.0158509664364056,3.97130212097508
"T6104",0.080411137,0.052830939,0.064425543,0.079916677,0.465010939461357,0.0878173107609739,4.75795036863689
"T6115",0.077800836,0.051909747,0.077319667,0.330515903,0.468599189258948,0.0787916087845233,4.65929240969332
"T6099",0.070033209,0.044300032,0.065604464,0.076917086,0.479513555532733,0.0513744911147746,4.35960193947052
"T6123",0.077210337,0.051938424,0.076899548,0.338547818,0.465804151081913,0.0858215161526079,4.73613477766727
"T6143",0.061919028,0.052831495,0.075601388,0.275959118,0.436844220045249,0.158975165433493,5.5357611941119
"T6127",0.049290278,0.052771591,0.04585553,0.240678027,0.169296447223901,0.956949203706375,14.2582395244818
"T6129",0.065395467,0.056553787,0.06265371,0.200694093,0.185026710574236,0.896373302456057,13.5960976994894
"T6131",0.052377694,0.067921236,0.075792611,0.20979946,0.438645546399039,0.154404135890306,5.485796277679
"T6133",0.046818945,0.04983509,0.050288871,0.451232487,0.0212601778189659,2.02839102239748,25.9699338873871
"T6135",0.072180982,0.058142352,0.062146711,0.223381509,0.321278269234872,0.464127307104258,8.87131199592759
"T6137",0.047009151,0.052819686,0.052212149,0.462020056,0.134743612712606,1.10424418965798,15.8682885505325
"T6148",0.083054084,0.057552059,0.081681715,0.431934643,0.450214440794368,0.125119581159052,5.16569326453995
"T6152",0.069246468,0.055574785,0.055796953,0.329711664,0.36092872951543,0.355977441656762,7.68914965410511
"T6154",0.068202893,0.048251264,0.065754999,0.371932553,0.435191860366678,0.163171099173709,5.58162602099765
"T6156",0.049723792,0.054759643,0.061957359,0.419979492,0.31631286606721,0.478034384577189,9.02332719451595
"T6157",0.054982943,0.055752447,0.071998835,0.297274883,0.408107178001655,0.232416729988488,6.33853474895824
"T6159",0.059705257,0.052801173,0.055311963,0.425571378,0.131999327254791,1.11698987466179,16.0076088240242
"T6161",0.044791152,0.043627869,0.040955545,0.357894474,0.0485965738977026,1.65861623702222,21.9280072107577
"T6163",0.065551509,0.04776804,0.048211882,0.318919506,0.445021871911289,0.138248856561147,5.30920648012788
"T6168",0.05786546,0.053367842,0.066863982,0.399331688,0.328936031034572,0.442853003913715,8.63876727683514
"T6170",0.069010757,0.040937173,0.055952437,0.345972483,0.494947837564441,0.0126642317216065,3.93646862619794
"T6172",0.068457853,0.06100892,0.060298999,0.300528157,0.175421980352255,0.932953532677373,13.9959481333657
"T6177",0.061665701,0.064177518,0.061562764,0.332524918,0.00022248281138753,3.51186998530992,42.1855154563935
"T6213",0.066801334,0.051984661,0.076990002,0.205287534,0.449333209562765,0.127346170304571,5.19003161972561
"T6173",0.067692899,0.055446396,0.081273303,0.315043095,0.446290089305591,0.135040088448144,5.27413214313136
"T6179",0.063299585,0.054219814,0.075062575,0.335309136,0.415071435695413,0.21451833383579,6.14289132561055
"T6181",0.064111508,0.054184078,0.075755977,0.312428401,0.420506670992768,0.200597462997801,5.99072535478894
"T6175",0.060515556,0.05283848,0.07156053,0.337247507,0.400636075031835,0.251701043891108,6.54932733375926
"T6183",0.06249429,0.053754388,0.074566495,0.332619265,0.417088736858649,0.20934685923461,6.08636307659322
"T3654",0.381849917,0.380107325,0.425335487,0.501950684,0.143322457047719,1.06551063818708,15.4449006366921
"T7346",0.083542874,0.098939449,0.122996684,0.087887939,0.451839180276084,0.12101600203961,5.12083794565794
"T7362",0.085243207,0.0902622,0.132363201,0.08568624,0.493882372994154,0.0153352178663674,3.96566458703248
"T7254",0.084596889,0.068835156,0.084800356,0.085983853,0.327905749406496,0.44570341310077,8.66992447139825
"T7270",0.088676378,0.067180206,0.096055164,0.087864598,0.43462285915059,0.164616658772357,5.59742711435371
"T7472",0.083405916,0.06734096,0.08376038,0.085314285,0.339068505773562,0.41500668201702,8.33438526980878
"T7297",0.087360463,0.072904421,0.082955609,0.084481447,0.256702472723731,0.653545066906244,10.9417957786281
"T7298",0.088223314,0.060546299,0.081107564,0.080870682,0.444219559814336,0.140279552096259,5.33140356543523
"T7300",0.085876633,0.07496818,0.115983528,0.087116853,0.480090791756506,0.0499257171740008,4.34376571084915
"T7142",0.053085606,0.051970023,0.061866711,0.051504458,0.277058574175304,0.591601979003829,10.2647095376842
"T7144",0.051361069,0.043188338,0.041807941,0.067879292,0.323523598901164,0.45786811188357,8.80289411256365
"T7146",0.050320032,0.056145943,0.052709726,0.044793909,0.0950955933842408,1.31001374210129,18.1175101744857
"T7148",0.052790031,0.055091599,0.063055688,0.052801741,0.267557795450412,0.62021599709695,10.5774830626252
"T7152",0.059255983,0.05515401,0.053647223,0.044566223,0.07808307820131,1.41808429307473,19.2988055472741
"T7156",0.062488287,0.048967885,0.050296486,0.049152452,0.376591259489259,0.31444574271421,7.2351758069936
"T7158",0.043892886,0.036577118,0.049535929,0.036896927,0.396386979404395,0.26271019428691,6.66966593020157
"T7162",0.051656939,0.041515335,0.042619983,0.041498368,0.345757183101084,0.396800792600831,8.13538070537268
"T7157",0.041758118,0.040544017,0.037726202,0.039149583,0.0774961563487894,1.4221169163855,19.3428852638509
"T7161",0.049633187,0.042667542,0.038517076,0.038523504,0.358402122651635,0.362733134562316,7.76299464422894
"T7163",0.05961851,0.051713003,0.077557709,0.051141734,0.465138369310999,0.0874966619666834,4.75444542734092
"T5553",0.074641224,0.11384461,0.107144092,0.095942714,0.467138829673982,0.0824641072592101,4.69943568106228
"T5551",0.073552929,0.072521218,0.093380884,0.099005109,0.392181747494901,0.273637132652531,6.78910588506239
"T5559",0.090736256,0.144158771,0.114962166,0.129411617,0.479512588415855,0.051376918518695,4.35962847288775
"T5561",0.084532479,0.122312363,0.096530416,0.095889612,0.447581775583411,0.131773369163473,5.23842435465041
"T5565",0.106311587,0.140631732,0.152060243,0.106665124,0.435034382236315,0.16357114143508,5.58599879478311
"T5567",0.089648069,0.129586742,0.146867474,0.101256427,0.486857741380452,0.032948717697748,4.15819387148603
"T5571",0.085133959,0.117117955,0.134741491,0.090139979,0.47560599934829,0.0611848454525276,4.46683676042974
"T5577",0.08981376,0.115320328,0.126031943,0.093167626,0.422573021063809,0.195315399556161,5.9329882835315
"T5573",0.094986348,0.103828459,0.147361011,0.090543611,0.488406727824581,0.029064115165388,4.11573213741265
"T1709",0.151640128,0.095315004,0.138277469,0.093243431,0.479381664024426,0.0517055334943212,4.36322049075607
"T1712",0.164276233,0.099413385,0.158325694,0.029865027,0.495424421230497,0.0114695265809221,3.92340956763088
