"","aroF","tyrA","tyrB","tyrR","pval","z","inv_cof_var"
"T0759",0.171445033,0.222400952,0.175793854,0.059596177,0.394545345044813,0.267491588002708,6.72193029103878
"T0833",0.205359675,0.210003249,0.218263077,0.029153488,0.0045401863241629,2.60901324938037,32.316587475204
"T0844",0.178982004,0.164040345,0.161454862,0.047314774,0.100542521053337,1.27846635050449,17.7726725903228
"T0761",0.170125,0.21234481,0.18708228,0.057754562,0.319161528407299,0.470044735191298,8.93599409808274
"T0823",0.134266509,0.223680893,0.180219825,0.063553817,0.492191033470906,0.0195754264341066,4.01201337229923
"T0824",0.10818807,0.119565888,0.14224292,0.058415017,0.380814452943508,0.303342440682782,7.11380805977428
"T0806",0.194762835,0.203249387,0.206760274,0.052051374,0.00411570715875029,2.64242726470243,32.681828711884
"T0818",0.137315865,0.218811854,0.169524688,0.040978732,0.48282039607603,0.0430761989732398,4.26889513710352
"T0808",0.140501492,0.123493661,0.198728335,0.046093222,0.49593735002008,0.0101837293298086,3.90935480128238
"T0804",0.128084965,0.161623579,0.180339692,0.04522522,0.423108171301375,0.193948326996804,5.91804511470255
"T0805",0.147015465,0.186889678,0.172911243,0.060156068,0.338539617763757,0.416452066682076,8.35018445100432
"T5135",0.091059129,0.10884891,0.069641823,0.076130503,0.471600459793117,0.0712473219823613,4.57682747350018
"T0689",0.483001632,0.476641592,0.462219562,0.047715579,9.78721432497943e-05,3.72444640981218,44.5091414985159
"T0690",0.436420293,0.283238038,0.297526231,0.039227294,0.492373958589696,0.0191168153404852,4.00700039551763
"T0691",0.4941101,0.527113143,0.369712759,0.018984898,0.43504278799869,0.163549787585883,5.58576538056416
"T1702",0.151930531,0.094683408,0.146162711,0.013679002,0.487014965870316,0.0325544029163681,4.15388370352195
"T1704",0.101089048,0.064980511,0.098414897,0.100718622,0.478703432901793,0.0534079566111966,4.38182930261442
"T1705",0.176842962,0.106719805,0.16781186,0.042631289,0.494665963751201,0.0133708444739033,3.94419245444831
"T1707",0.156309845,0.098713765,0.15194679,0.011365274,0.484227828437015,0.0395452757819035,4.23029939395216
"T1998",0.418199123,0.472981845,0.527285571,0.056303156,0.327945115267011,0.445594435869623,8.66873326530432
"T4072",0.072382559,0.073818195,0.101145411,0.071787701,0.453065175952375,0.117920876115964,5.08700580638534
"T4074",0.072382559,0.073818195,0.101145411,0.071787701,0.453065175952375,0.117920876115964,5.08700580638534
"T5714",0.08057245,0.134374744,0.118004582,0.083369617,0.491749304504198,0.0206829011507123,4.02411893432721
"T5716",0.125176823,0.105868143,0.111279774,0.114380317,0.24176985875096,0.700620762692836,11.4563698332858
"T5718",0.095176604,0.085787979,0.114351447,0.084616933,0.393148612830468,0.271121968593121,6.76161318109798
"T5721",0.110873725,0.126574128,0.135321498,0.118213829,0.28427227988978,0.570196308193926,10.0307288680993
"T5722",0.084405499,0.118260623,0.142896544,0.086432311,0.495460115447251,0.0113800486085352,3.92243150363661
"T5723",0.090015833,0.108053619,0.093039625,0.102252439,0.283833160069149,0.571491795707872,10.044889556575
"T5724",0.10375692,0.145908223,0.157896288,0.102705114,0.464297050785344,0.0896138203185393,4.77758761864077
"T5726",0.073762922,0.121722821,0.11574547,0.072800198,0.493744494594987,0.0156808693238902,3.96944282692939
"T5730",0.076047117,0.073278025,0.110444202,0.078393872,0.48598590414295,0.0351353566405479,4.18209553981123
"T5732",0.111854651,0.101914657,0.102539023,0.101827998,0.0830118624827924,1.385094004468,18.9381959739255
"T5736",0.102178133,0.102201784,0.136433714,0.10395907,0.429275100269399,0.178220003680736,5.74612227922486
"T5740",0.086771267,0.079114085,0.080923319,0.078948905,0.0626232090258942,1.53311948310825,20.5562298545474
"T5744",0.108162183,0.165522674,0.110346719,0.109661356,0.494884651541726,0.0128226284537701,3.93820002596489
"T5746",0.102077963,0.134802683,0.128630358,0.087953396,0.384542860124857,0.293571023783926,7.00699885537741
"T5748",0.100627856,0.125686217,0.123783074,0.113449395,0.338037532432306,0.417825008413578,8.36519177446036
"T5754",0.071729421,0.073814414,0.085980937,0.072503786,0.284405906981497,0.569802272635133,10.0264217522558
"T5760",0.090551551,0.118159857,0.138336453,0.085747131,0.46266820989254,0.0937139106807782,4.82240480268675
"T8378",0.286002069,0.283191132,0.269997853,0.251290556,0.00405557877084348,2.64740737955443,32.7362652496608
"T8379",0.244268272,0.242846506,0.247620672,0.207217365,7.28453159981498e-19,8.7929443599463,99.9117754404119
"T2422",0.150971096,0.088803605,0.135659011,0.066103468,0.497604471417509,0.00600473576267547,3.86367514369482
"T2819",0.194231846,0.124586751,0.171839886,0.094202508,0.470754351052842,0.0733737545709422,4.60007103943753
"T2418",0.183051436,0.111703089,0.172061983,0.083026784,0.490783750226934,0.0231037675065213,4.05058089087778
"T4082",0.053071103,0.074579196,0.06706948,0.072108417,0.42210609500468,0.196508487634387,5.94602966634525
"T5662",0.089109391,0.092428188,0.098785672,0.087943475,0.0821008840252531,1.39107802404887,19.0036059730222
"T2649",0.116580372,0.070046875,0.105912986,0.055403085,0.492623531253423,0.0184911188248304,4.0001610448152
"T5731",0.097776871,0.102784217,0.123922996,0.113712747,0.357346405270626,0.365560826620441,7.79390352286281
"T5733",0.087419953,0.087626768,0.132641052,0.100794699,0.494917228623758,0.0127409631480861,3.93730736050836
"T5735",0.086978983,0.141877072,0.122184612,0.099896864,0.485066209703751,0.037442207654444,4.20731121978955
"T0246",0.119718214,0.080697057,0.115718589,0.084766952,0.459534033392636,0.101607700735825,4.90869008190292
"T0257",0.127714757,0.07714857,0.123777457,0.09257407,0.496470165479073,0.00884809846480596,3.89475531468433
"T0249",0.08792723,0.10581501,0.090385486,0.072167968,0.292485044542245,0.546139442499315,9.76776857158139
"T0588",0.115256585,0.084283257,0.107454832,0.076520028,0.407622972361413,0.233663862466404,6.35216687919303
"T0572",0.201898692,0.279603586,0.169588281,0.173889347,0.498539727093947,0.00366036952876618,3.83804939311528
"T0577",0.110704706,0.07035394,0.118231385,0.074747531,0.497193603753958,0.00703465019952097,3.87493291139985
