"","aaeA","aaeB","aaeX","agp","cpdB","cstA","dksA","glgS","glpR","gluQ","gpsA","grpE","grxC","hofB","hofC","hofM","hofN","hofO","hofP","ilvB","ilvN","ivbL","lacI","mhpR","nadC","ompA","patZ","ppdD","preA","preT","priB","raiA","rmf","rplI","rpsF","rpsR","secB","sfsA","sxy","ubiG","uhpA","uhpB","uhpC","ychH","yeiP","yfiP","yibN","crp"
"gpsA",-0.0175261369997688,-0.0768501756762014,-0.282210076150943,0.0561641944130354,-0.0341706890379118,-0.233846279387813,-0.129564960310346,0.0644723666214351,-0.175370298169449,-0.260882513866219,1,0.237405450740586,0.0478761565637995,-0.059023531602886,-0.0500344764911046,-0.256112564271094,-0.256813279224213,-0.157434293279143,-0.196245261778598,0.0970276025686445,0.0888010612378447,-0.0120933446831868,-0.138376488513887,-0.0623311607296934,-0.144757216794172,-0.138016072289915,-0.00808571631897911,-0.11380904657726,-0.192186546499761,-0.204976853956312,-0.135166263127384,-0.0484754084146299,0.0904367260979047,0.0260459292884789,0.107273421664412,0.116616194084,0.39045379773712,0.143465510892551,-0.163344791223595,-0.201855133660973,0.148328755128458,-0.238559383008705,-0.143857122282822,0.0793199503422517,-0.0148267865235205,-0.0728439052951202,0.207810453762221,0.300520495450431
"grpE",-0.28363272040894,0.0846888409013074,-0.084074204270584,-0.0336543527464397,-0.0271242573151929,-0.170223621286237,-0.0163783852594729,0.249397320447804,-0.156292214254555,-0.122097451986799,0.237405450740586,1,0.317806666449935,-0.1510485763862,-0.186162872977253,-0.188299700144585,-0.243432317619037,-0.140681331829506,-0.154667520615356,-0.0490767536423039,0.0380262079953621,0.0732631330953242,-0.0555146001136638,-0.0708051591081174,-0.199150433902573,0.152604712177729,-0.0357423817525281,-0.1534905413058,0.049374506738845,-0.113044218815756,0.269727227700767,0.0918171014881552,-0.11984871566676,0.137731326085309,0.321789452456561,0.00389839494802176,0.261174545209309,0.137643109658658,-0.0914282189446083,0.260066204190823,-0.173941146215956,-0.17036268472845,-0.100913831721572,-0.0344332282877554,0.0406204896283195,-0.227968881639195,0.290192087396464,0.00832557117827877
"grxC",-0.0979771295257074,-0.0839192085468299,-0.062381898275716,-0.0784518820595934,-0.0103492088094743,-0.0344401201009679,-0.0653850262365789,0.16124171363499,-0.113079488236226,-0.0804802662436105,0.0478761565637995,0.317806666449935,1,-0.0974977509772075,-0.138006052723285,-0.0718995718529326,-0.00565860915168685,0.025097859117354,0.0551762845968047,0.0898398145822968,0.164832792932548,-0.12468654121029,-0.00477012124518622,-0.043269773481124,-0.132214788749786,-0.0468020570531348,0.0957817995705593,-0.101279553993306,0.0774890042329356,0.135679002101674,0.378133278976602,0.275314161148442,-0.0926760539028013,0.192814270725893,0.252073841184735,0.072500684542375,0.179380638320636,-0.172501255752631,-0.0625866411093263,0.325359619307566,-0.169407322687869,-0.0646971019032143,0.0762999249157526,-0.146747341015243,0.0821926693523531,-0.053877433905058,0.506207827643853,0.068033196951719
"hofB",0.118257164156211,0.21417030489834,0.19492435308506,0.0280223036531505,-0.073749283361953,0.0409564869236446,0.163128381801128,-0.0229932057062178,-0.031327253003123,0.35070447857565,-0.059023531602886,-0.1510485763862,-0.0974977509772075,1,0.344423205696049,0.333081353368523,0.215012765611082,0.224271806816767,0.357122489775458,-0.0946655528168198,-0.0568357240138847,-0.0990497064870127,0.0300062669496631,0.00701631170339391,0.106736640516069,-0.0606793057829392,-0.0768846606754837,0.264619186071705,0.0970315418093061,0.0888604191501128,0.042013908198341,-0.211737386483096,-0.297735511595408,-0.162289471520588,-0.153524291790982,-0.130448561235899,0.0876876094591143,-0.054596938049738,0.432816210599962,-0.196300309635317,-0.145824991473286,0.255451995181846,0.136579275065491,-0.0686310272936204,-0.0703822364125779,0.182521519257375,-0.108929480566032,-0.16538340204707
"hofC",0.311568917663772,0.203847028450974,0.210869063712439,0.227920574399049,-0.0446618594975036,0.124586720271413,0.00382217216796238,0.0317650984459242,0.049925766573489,0.347324063812222,-0.0500344764911046,-0.186162872977253,-0.138006052723285,0.344423205696049,1,0.324658189416066,0.536581792373168,0.285892011438918,0.248080193450625,-0.0671046615764694,-0.0216114811923607,-0.129161178645629,0.212958682974718,0.228166172545377,0.285876696987643,-0.0435304188055336,-0.0985048948141154,0.451060942256117,0.0335173010744822,0.0778301526318089,-0.0347659012788179,-0.212045553064142,-0.206184069105351,-0.166812798019279,0.0809597489163291,0.0170282384942932,0.0226444570920704,-0.0662245698633731,0.381135512483477,-0.259104651088473,-0.057090455036424,0.114732171227777,0.238331360254656,-0.121652171833234,0.0572725725896251,0.303572377161539,-0.22756007896403,-0.139712181590258
"hofM",0.241233514091438,0.198725064327298,0.415397973857876,-0.0195188692418545,-0.0816715252277912,0.0512654482574076,0.118016242149983,0.00776250717300639,0.15530780708793,0.452093279087887,-0.256112564271094,-0.188299700144585,-0.0718995718529326,0.333081353368523,0.324658189416066,1,0.254966930736874,0.383837462828825,0.504544235157252,-0.183315747035071,0.0410997177537397,-0.128478406227726,0.13045627366484,0.173668513259356,0.211375987846326,0.000272505755388514,-0.059108988348586,0.295267628290412,0.307384804645104,0.295160718655119,0.0223347423018915,-0.252195067412208,-0.365756046560245,-0.06162076132272,-0.0113373286466028,-0.231141874813865,-0.0812816291366611,-0.111229574078647,0.558351497406781,-0.0105060848061321,-0.165793004401332,0.24576604775787,0.232931162131386,-0.126155615758857,0.0180629021540377,0.369903020428626,-0.234193872449277,-0.154125394744203
"hofN",0.503215371808528,-0.0277886479057783,0.0707220177628294,0.314792783584315,-0.0857561833770271,0.123058079288987,-0.043735825819654,0.0869364276566643,0.126078486397848,0.416759538177749,-0.256813279224213,-0.243432317619037,-0.00565860915168685,0.215012765611082,0.536581792373168,0.254966930736874,1,0.269350824656655,0.16486011498669,-0.0482917023892783,-0.0036086912177845,0.0157984667892415,0.459813115872799,0.142318101264566,0.641737640553143,0.058754549718191,-0.0255736004123233,0.517837206597892,0.00210927362233495,0.0755010642883401,-0.0192341077892942,0.00799964474516054,0.0173680955582432,-0.183570831305668,0.060819282182331,0.14345758539113,-0.0894248280548242,-0.0259990068678431,0.207049789551531,-0.0887834084805818,-0.000463628011697384,0.100832887155548,0.468574398992126,-0.232677759512394,0.208600797328388,0.365881379313533,-0.234154909647755,-0.213269671920725
"hofO",0.163503300150658,0.242276934687476,0.267431130838629,0.0325649975034808,-0.0824880072059272,0.0222816782651713,-0.175896712637144,0.0249319525981041,0.112382505395756,0.328644934746956,-0.157434293279143,-0.140681331829506,0.025097859117354,0.224271806816767,0.285892011438918,0.383837462828825,0.269350824656655,1,0.246259539840202,-0.204924935845958,-0.00360739301896097,0.0766279290914336,0.242043943550885,0.174113901531096,0.0890642570888854,0.0476321352943124,-0.104666138292345,0.268188734448944,0.221059163889104,0.22075596912159,-0.0232964143813339,-0.217816370496631,-0.308482578956961,-0.0423471090237602,-0.0378432486552771,-0.0823091856672111,-0.0556524138996586,-0.0954201977331953,0.351517338031328,-0.00109330810923081,-0.161927540372587,0.234997440637241,0.191255066362426,-0.0111336367833645,-0.0192269783541688,0.212177316040371,-0.16749549829594,-0.0629695501289085
"hofP",0.234537956728672,0.140556591228001,0.31431668809913,-0.0332185647253604,0.000609603515086958,0.0509255736984619,0.116490017586276,-0.0643159550140389,0.0386359983804263,0.291536409305923,-0.196245261778598,-0.154667520615356,0.0551762845968047,0.357122489775458,0.248080193450625,0.504544235157252,0.16486011498669,0.246259539840202,1,-0.155714835610523,0.0455097143323858,-0.126514378527708,0.071715073638932,0.0584394715676614,0.171404836660502,-0.165707500111371,-0.0957634227609098,0.225721695424541,0.191278476506747,0.121999729134613,0.0401356443584994,-0.145935843313456,-0.328557103104547,-0.12816861658088,-0.0661686665815786,-0.270649183314469,-0.0447039556649382,-0.213764988940107,0.337667934491008,-0.0495184648567512,-0.135925437632769,0.165182000363924,0.307157309457561,-0.097884586398121,-0.00832797069252793,0.239069689733149,-0.0456798783208228,-0.103425967708395
"ilvB",-0.0367489562059896,-0.177232638148463,-0.207680106547408,-0.0931339892217315,0.227999984541069,0.121178172660971,0.0102204055766154,-0.22203918730415,-0.12503118138131,-0.113634030295525,0.0970276025686445,-0.0490767536423039,0.0898398145822968,-0.0946655528168198,-0.0671046615764694,-0.183315747035071,-0.0482917023892783,-0.204924935845958,-0.155714835610523,1,0.0634540353476796,-0.0965342646573962,0.0388565186058391,0.124652568939291,-0.0608891031756205,-0.11350166949021,0.0458712008443301,-0.0898534164529385,-0.279938249544342,-0.142755979565449,-0.0195308756538356,0.243631198622018,0.261905185961239,-0.014943318453729,-0.00311371209932404,0.223601358594783,-0.0209567806642944,-0.145894538162852,-0.217893463304681,-0.107360326326936,0.115012471743615,-0.0221797052358558,-0.0934554798070175,-0.0562362588620293,-0.0858188125870654,0.0173401954520617,0.191336601233547,0.17871047242692
