"","fabA","fabB","fabR","fadR","pval","z","inv_cof_var"
"T1133",0.594516255,0.578115991,0.225888334,0.044990233,0.448408344500834,0.129683687572461,50.5587113100502
"T1094",0.271682583,0.278576227,0.082023746,0.235693725,0.437841697109006,0.156443572324524,56.442098831712
"T4090",0.197597432,0.203385594,0.236665309,0.24512793,0.451239824728623,0.122529544105375,48.9858122190258
"T4104",0.187492514,0.185925864,0.255121395,0.265992885,0.252604069882509,0.666317566475796,168.542218940721
"T4106",0.213904217,0.216375145,0.283858732,0.285998654,0.322836923059691,0.459780409692011,123.13327408764
"T7008",0.434014865,0.434097728,0.141164801,0.127813737,1.02345323050133e-247,33.5940817099163,7407.990313455
"T2254",0.498156016,0.485174021,0.455270142,0.539960569,0.443012420051393,0.143335981475293,53.5602838629286
"T1771",0.236011758,0.240807737,0.122817786,0.104989044,0.413138352740809,0.219479296798321,70.3010372473367
"T1773",0.168838453,0.167392554,0.156400013,0.08782259,0.25861535105812,0.647620086911709,164.431419549278
"T1778",0.265926518,0.250537132,0.086051052,0.104805505,0.496944959368949,0.00765792607363446,23.7303131620297
"T1794",0.173920074,0.176641827,0.236659121,0.323428793,0.376772319996913,0.313968925633855,91.0753831897118
"T1795",0.196605737,0.200681356,0.073828809,0.113961839,0.415572089482394,0.213234347346878,68.9280321684118
"T1796",0.204742992,0.217942714,0.270709705,0.340772844,0.498917544753816,0.00271331625538247,22.6431987751881
"T1798",0.202553116,0.191921137,0.121676522,0.054324372,0.49239960152456,0.0190525263281432,26.2355126265578
"T1807",0.150761958,0.149456299,0.239301352,0.310099837,0.261332736420996,0.639242062173954,162.589439785352
"T1808",0.164180714,0.167168623,0.336614737,0.19407276,0.398825448919465,0.256388459845886,78.4158296435293
"T1813",0.175956976,0.186376844,0.07596546,0.130058854,0.495387855679865,0.011561188901214,24.5884785848751
"T4798",0.272830317,0.264897687,0.226793426,0.116358261,0.453137283992163,0.117738868957064,47.9325416743636
"T6896",0.180146113,0.169271418,0.105663363,0.26416884,0.498777780004738,0.00306365599051047,22.7202239359873
"T6899",0.245742904,0.245067864,0.110680921,0.218928265,0.012605177016965,2.23816412738223,514.126010802574
"T0872",0.218041466,0.209687532,0.517687475,0.029701093,0.474327731192225,0.0643953124758925,36.2045085579953
"T0873",0.141772485,0.14902111,0.527020173,0.104884016,0.488532954843189,0.0287475787371342,28.3670520892051
"T8317",0.124133017,0.125194942,0.089961307,0.096242548,0.256282630379278,0.654848562144377,166.020661109118
"T6034",0.329979853,0.337245511,0.764057829,0.129012996,0.422667089326568,0.195075070309649,64.9355611651501
