"","phoP","slyB","pval","z","inv_cof_var"
"T6056",0.372530368,0.37048298,0.196563685771254,0.853959605396199,256.614660671511
"T6067",0.402366518,0.399535831,0.25893849684809,0.646621416531424,200.315537827857
"T6040",0.332579343,0.338909579,0.426560791912289,0.18513699691745,75.0073725905078
"T6051",0.335038151,0.334733303,8.99230969037917e-09,5.63034817538958,1553.56091222031
"T6064",0.388900636,0.39998657,0.462470023522456,0.0942128881559206,50.3184930519982
"T6029",0.358728134,0.348667049,0.463350369664377,0.09199660203361,49.7166986341931
"T6048",0.345852741,0.345259822,0.00161842363078821,2.94430128988262,824.21103027647
"T6053",0.396316604,0.399009065,0.248843446431247,0.678133750805668,208.87217077671
"T6081",0.308178317,0.298553556,0.470878801672793,0.0730609658534869,44.575051968596
"T6090",0.340333126,0.349131657,0.455029828548239,0.112963292664028,55.409843239583
"T6095",0.360423769,0.359515538,0.0242392444041157,1.97314987970514,560.511550500318
"T6097",0.362226803,0.344024545,0.49603421157877,0.00994092111557086,27.4358883053378
"T6091",0.329073034,0.346822342,0.496782299634742,0.00806566616593932,26.9266950431099
"T6133",0.30208194,0.319637599,0.499551863881721,0.00112331090119768,25.0416177497566
"T6154",0.347987253,0.329991643,0.497203471965521,0.00700991365149664,26.6400235870287
"T3654",0.425964305,0.411180639,0.477526513923905,0.0563625028386687,40.0408712384623
"T3656",0.474194835,0.447978037,0.499800482156761,0.00050011708800375,24.8724001770725
"T7306",0.167620155,0.174891622,0.487409930962073,0.0315638633078477,33.3072267470862
"T7309",0.169990286,0.161704088,0.494756933783912,0.0131427963791925,28.3053025207492
"T7312",0.175897958,0.171704141,0.450363920180072,0.124741956444952,58.6081370163692
"T7313",0.163237208,0.160974633,0.388950846950981,0.282054535378114,101.323664988818
"T7350",0.179154628,0.170018735,0.496637013177255,0.00842985769716807,27.0255849961259
"T7386",0.164033981,0.166893352,0.416721707672142,0.210287340330311,81.8365162283169
"T7228",0.167860748,0.17113001,0.428999015072562,0.178923168953904,73.3201143687377
"T7438",0.143278365,0.150266408,0.492703311673729,0.018291105144443,29.7032373112423
"T7240",0.166630229,0.170480026,0.445542007267014,0.136932670757217,61.9183160353716
"T7249",0.160977498,0.155004036,0.481395192676497,0.0466522531396798,37.4042197675533
"T7250",0.173695108,0.165784873,0.491758273991827,0.0206604131751722,30.346582199161
"T7258",0.180989201,0.177225518,0.4377199538291,0.156752502281367,67.300050755001
"T7261",0.159805768,0.155983253,0.450643837792768,0.124034857850297,58.4161365418739
"T7464",0.172956894,0.166423609,0.482382347598407,0.0441752691083043,36.7316373116742
"T7284",0.168159371,0.163829589,0.456770361435426,0.108573572538058,54.2178901605368
"T7288",0.1757395,0.166031641,0.499768558104133,0.000580138832656523,24.8941287069542
"T7144",0.43698155,0.427431948,0.442504859971715,0.144621501529818,64.0060859274538
"T7148",0.507885752,0.485232124,0.490799919000594,0.023063227601934,30.9990251732385
"T7158",0.404511389,0.382162931,0.499773991224328,0.000566520017716897,24.8904307517465
"T7160",0.417055492,0.407628519,0.445628879029098,0.136712867732634,61.8586323005509
"T7162",0.415469481,0.430254419,0.476929729287599,0.0578608618618058,40.447724887418
"T7164",0.487981307,0.487110848,0.00235623230734715,2.82605857269427,792.104251989252
"T5555",0.169059899,0.164103606,0.466547875761792,0.083950545932538,47.5319303417652
"T5557",0.168320917,0.159403719,0.498162054559003,0.00460706230708132,25.9875705885967
"T5563",0.171812363,0.166717494,0.467350306374859,0.0819322199484406,46.9838885982765
"T5565",0.169238354,0.166719265,0.398898498146996,0.256199238898354,94.3031034577128
"T5567",0.159680615,0.152816512,0.489047811718707,0.0274565141536497,32.1919466539202
