"","fnr","ompX","rimM","rplS","rpsP","trmD","ychO","ysgA","pval","z","inv_cof_var"
"T0063",0.048855545,0.306315301,0.167222779,0.330308349,0.379696418,0.318481387,0.062220899,0.101684842,0.246655694177705,0.68505155579944,1.89903969273375
"T0036",0.389395262,0.354442321,0.383852079,0.260850648,0.379883991,0.374825324,0.045669043,0.033653344,0.406670196119587,0.236118920885833,1.6620492238891
"T0037",0.404015265,0.378084509,0.388026392,0.241503926,0.369583754,0.366437234,0.036707207,0.025762718,0.46302172725018,0.0928239113621244,1.58640412961641
"T0038",0.413430943,0.388741654,0.430542518,0.275810263,0.406038761,0.401817448,0.042323453,0.033359415,0.437295133526172,0.157830623465854,1.62072101812348
"T0044",0.031223197,0.505398444,0.476720813,0.543739603,0.524611352,0.560821761,0.02813472,0.046592823,0.444521191402906,0.139516038737772,1.61105279246143
"T0015",0.374769084,0.377612006,0.365922098,0.323991573,0.31606251,0.361541701,0.048503997,0.034901613,0.36293899019187,0.350613962225211,1.72249088354396
"T0016",0.388888516,0.372680823,0.379635332,0.253337245,0.350630924,0.360683244,0.049039282,0.049041018,0.355914124389998,0.369401810374042,1.73240894383875
"T0057",0.218018566,0.334145063,0.135719904,0.259695524,0.342063144,0.360540689,0.054735833,0.101684842,0.321695230535766,0.462963596257174,1.78179998779049
"T0058",0.322584017,0.361219924,0.155894133,0.284638669,0.352465039,0.365141208,0.04420897,0.101684842,0.335986477357672,0.423441797570798,1.76093652438451
"T0059",0.311009058,0.303009108,0.214638423,0.26437921,0.290615516,0.310531669,0.045298425,0.101684842,0.154175286352077,1.01868913422149,2.07516617582994
"T0019",0.027593777,0.353015585,0.45101702,0.452820485,0.416783464,0.435598623,0.04195567,0.038767736,0.412616127669439,0.220820430058207,1.65397318701432
"T0056",0.261563213,0.261553171,0.218853228,0.242569579,0.258221534,0.267355548,0.10052249,0.101684842,0.00876608986955695,2.37535288472472,2.79134573884652
"T0017",0.352951127,0.381337766,0.345314559,0.333315411,0.300796797,0.328876452,0.054194132,0.04641773,0.311944229776363,0.490346878977078,1.79625555752545
"T0018",0.356608077,0.360648856,0.355445462,0.29746872,0.346568975,0.347901373,0.066213048,0.039938337,0.297057787380579,0.532881554149085,1.81870951125307
"T0054",0.278442369,0.277262641,0.165869342,0.261679491,0.278548396,0.278240081,0.093546077,0.101684842,0.0442221229350311,1.70366202872833,2.43676173558758
"T0055",0.281585121,0.283253979,0.197764677,0.268628002,0.28292946,0.269412961,0.091614419,0.101684842,0.0327119790749883,1.84235008419618,2.50997482978556
"T1864",0.688785286,0.335833262,0.196698886,0.207824224,0.101151969,0.165667235,0.122529082,0.101684842,0.132426009628378,1.11499627204118,2.12600648453097
"T1868",0.624108004,0.339967037,0.156151585,0.213829324,0.140289065,0.119909854,0.137528948,0.101684842,0.137225692908611,1.0928688522089,2.11432547229762
"T1866",0.465755134,0.255506938,0.132258404,0.242530633,0.120869458,0.131168366,0.117579001,0.101684842,0.0375326988699074,1.78006454754466,2.47709444331928
"T1870",0.457099902,0.273130587,0.144758097,0.206013287,0.114580406,0.142051101,0.113523782,0.101684842,0.0303296599024729,1.87597058001976,2.52772300946413
"T0692",0.260418448,0.255891237,0.097813963,0.130334323,0.167042752,0.279093379,0.053539642,0.101684842,0.285045744612619,0.567916762576188,1.83720451434592
"T0693",0.249778431,0.234917478,0.063963273,0.090673323,0.228859107,0.297012638,0.053822723,0.101684842,0.480665632088367,0.048483060689183,1.56299670014323
"T0024",0.225179174,0.34216624,0.333863528,0.350506513,0.300299499,0.316836686,0.060184389,0.037141571,0.306288474443479,0.506398469347324,1.80472915385529
"T0025",0.359037573,0.361728384,0.339717663,0.291841884,0.319772083,0.326861289,0.054806516,0.044336518,0.304912628547402,0.51032290690205,1.80680085509444
"T0028",0.17854631,0.231611085,0.465272564,0.394401217,0.461628182,0.444354155,0.03959237,0.040859837,0.497702420292163,0.00575921009611774,1.54044288116135
"T0026",0.363711721,0.37253234,0.369131629,0.287519559,0.333130943,0.352742861,0.051021053,0.035175461,0.36085481145277,0.356174853251863,1.72542646467375
"T0027",0.378182983,0.383994828,0.363393095,0.266630737,0.317701731,0.345110132,0.032848797,0.032945113,0.426130212405493,0.186235067853337,1.63571565667088
"T0061",0.401086129,0.125509759,0.185716552,0.362036564,0.351200683,0.398983147,0.047665806,0.101684842,0.476271152411753,0.0595145148093008,1.568820178502
"T0062",0.397235951,0.11018605,0.198304115,0.316708261,0.332034068,0.390242055,0.058889422,0.101684842,0.421114253523072,0.199043768707215,1.64247733934791
"T0003",0.067816663,0.328247183,0.331567654,0.314414425,0.318897261,0.320657148,0.068619358,0.034619798,0.278641299348344,0.586882537284618,1.8472165016478
"T0004",0.393232762,0.39539428,0.34103446,0.328964801,0.277005837,0.305425064,0.041935397,0.037030184,0.387200122663529,0.286623987543884,1.68871072830083
"T0005",0.34048505,0.342259673,0.351023909,0.328940945,0.319931541,0.325291985,0.045751179,0.052991543,0.299749110414183,0.525122233784502,1.81461338451131
"T0047",0.216015252,0.302117566,0.242452547,0.264761078,0.310141417,0.321788535,0.066657894,0.101684842,0.0990550524342826,1.28695462256979,2.21678288825883
"T0048",0.252287685,0.300024472,0.312040175,0.259437063,0.308131944,0.343497463,0.053553349,0.101684842,0.144434598433275,1.06060555528541,2.09729375468626
"T0049",0.258369678,0.259460297,0.253701596,0.264504354,0.261548878,0.28356838,0.073893267,0.101684842,0.0407557611486178,1.74198240966154,2.45699097342282
"T0008",0.031813706,0.266975039,0.444067005,0.464287686,0.463309692,0.465331119,0.034604584,0.042860893,0.480490265755888,0.0489231605476244,1.56322902781041
"T0009",0.117637906,0.108804764,0.313275446,0.077825136,0.189346616,0.253854442,0.069194301,0.065670718,0.492483525317658,0.0188421228109026,1.54734931962673
"T0010",0.042577106,0.393710192,0.407122477,0.361434002,0.393015752,0.374179679,0.034634893,0.035332922,0.406674881825161,0.236106843561324,1.66204284829825
"T2675",0.389584544,0.074193923,0.292821812,0.296294443,0.248022301,0.304227654,0.062354593,0.056225004,0.458035818243616,0.105383338380991,1.59303422122959
"T2676",0.563377976,0.208330296,0.455497977,0.236955537,0.355728771,0.353648199,0.063289519,0.039690485,0.471953788146668,0.0703594363611513,1.57454518676221
"T1863",0.912046875,0.267353058,0.169241952,0.245566237,0.14220913,0.173833027,0.106892367,0.101684842,0.014280863612595,2.18948335260639,2.69322565548671
"T1867",0.684518131,0.294090854,0.157626444,0.336850755,0.116530592,0.144415224,0.120668813,0.101684842,0.22718063109473,0.748163967285991,1.93235658445626
"T0013",0.152303863,0.212193866,0.445404437,0.359460105,0.411311452,0.437023569,0.052385731,0.035633841,0.481973879291017,0.0452001702106811,1.56126367007778
"T0014",0.044224237,0.240613203,0.370806459,0.445407291,0.444716589,0.339112729,0.046341008,0.040754296,0.458562883544343,0.104054917637236,1.59233295108258
"T0053",0.238038302,0.284851173,0.245498905,0.322368091,0.335251311,0.324295437,0.050922896,0.101684842,0.160341103466877,0.993056939616463,2.06163500134062
"T0006",0.187265711,0.365488083,0.366973665,0.311910156,0.329775198,0.331486982,0.03264708,0.049951507,0.357986012858114,0.363847318614945,1.72947674086706
"T0007",0.339542991,0.342013176,0.327791207,0.303367846,0.303511116,0.316037374,0.058013989,0.050920198,0.260633725434774,0.641392890557018,1.87599238732472
"T0046",0.2485915,0.258248038,0.242529893,0.247056338,0.261558516,0.272873619,0.101774618,0.101684842,0.00893022519547261,2.36849855006998,2.78772735190578
"T0052",0.296315991,0.062748711,0.317094781,0.334805281,0.305694778,0.33232638,0.053601269,0.101684842,0.453195762551127,0.117591266694392,1.59947875751324
"T1865",0.408586179,0.348184299,0.118453119,0.220715735,0.126146294,0.106752886,0.132493963,0.101684842,0.290499129686663,0.551927159905652,1.82876364117514
"T1869",0.404119316,0.374915858,0.10508259,0.211455634,0.132301423,0.097068484,0.130538106,0.101684842,0.424594986966176,0.190152062919689,1.63778342903814
"T2817",0.383894996,0.321405666,0.375535218,0.264253016,0.378224958,0.384168381,0.057399517,0.053247558,0.324184492125825,0.456029195102352,1.77813933393503
"T2821",0.427562219,0.297616581,0.37404088,0.43210293,0.419309253,0.417883601,0.053469291,0.037000888,0.397991727675349,0.258548717674554,1.67388986019764
