"","fnr","ompX","rimM","rplS","rpsP","trmD","ychO","ysgA","pval","z","inv_cof_var"
"T0492",0.188991943,0.232860169,0.143373155,0.385951793,0.385257967,0.382348225,0.05324385,0.101684842,0.407863432337927,0.233044482272309,1.66042623506675
"T0493",0.338448804,0.383365743,0.163234204,0.385576592,0.367738923,0.346923436,0.04849931,0.101684842,0.344134794258789,0.401204472006242,1.74919749317683
"T0497",0.301166472,0.371524403,0.197013865,0.344117531,0.356706652,0.32344988,0.049142114,0.101684842,0.259377631847795,0.645265318341887,1.87803663273023
"T0498",0.348588547,0.35086043,0.254854591,0.289276296,0.30801773,0.270066416,0.043586993,0.101684842,0.174181890426731,0.937767744374193,2.03244796684261
"T0499",0.330792971,0.346265576,0.206834465,0.356709556,0.36300063,0.333478319,0.048039127,0.101684842,0.248478789438067,0.679284557890501,1.89599530827164
"T0689",0.199980218,0.20442283,0.142167921,0.104999537,0.271886909,0.288087501,0.06794123,0.101684842,0.225116959496494,0.755025105069471,1.93597856275246
"T0690",0.043358158,0.057123544,0.15977295,0.226167837,0.201654623,0.241253833,0.060162736,0.101684842,0.225933648780353,0.752305605639479,1.93454294547981
"T0697",0.259732083,0.402552202,0.297359564,0.27553747,0.35761288,0.393235416,0.065300303,0.101684842,0.198475479655482,0.847079233343764,1.98457371784295
"T0698",0.316887328,0.390365768,0.122975394,0.316365593,0.374284248,0.385975306,0.066118761,0.101684842,0.374653915572393,0.319552178183276,1.70609344172138
"T0707",0.218525719,0.254659503,0.076206532,0.213651193,0.325909111,0.274309552,0.098686907,0.101684842,0.227560428604751,0.746905083481362,1.9316920226938
"T0709",0.170455634,0.236268437,0.071598887,0.201117614,0.313125183,0.167846143,0.100569816,0.101684842,0.208303158714978,0.812322998128671,1.96622598404435
"T0711",0.210488455,0.247578012,0.110481477,0.195141579,0.234060589,0.265211782,0.108383724,0.101684842,0.0332290398064331,1.83532141666441,2.5062644129342
"T0905",0.355041036,0.243725518,0.25798188,0.455338416,0.47012475,0.351726724,0.058088105,0.101684842,0.361750902477594,0.353782612664405,1.72416360656471
"T1075",0.079417671,0.163935081,0.078688604,0.319326249,0.310036282,0.107374651,0.089848093,0.101684842,0.449748747012516,0.126296162239106,1.60407405114072
"T1077",0.096649328,0.103548422,0.084143796,0.28290499,0.29768337,0.109598283,0.10469607,0.101684842,0.403246098027624,0.244953810178285,1.66671314090643
