"","crp","malI","mlc","pval","z","inv_cof_var"
"T7248",0.334992065,0.089048663,0.090328122,0.473441111532276,0.0666225126413308,99.1345100241131
"T7249",0.490781299,0.082180661,0.082359144,0.119996316671489,1.17500520518071,651.867191220546
"T7250",0.433032031,0.090822792,0.092205507,0.47786130148717,0.0555220006797302,93.5988626520566
"T7254",0.306760077,0.084586691,0.08396648,0.40006387962132,0.253181762076596,192.168617139319
"T7258",0.404140046,0.087823624,0.087843753,9.2299330002282e-35,12.2423545034117,6170.97687465808
"T7448",0.527153358,0.078565824,0.078501487,0.000435023210092769,3.32949174899468,1726.27509381564
"T7260",0.483112553,0.084215594,0.084270747,1.33753604087959e-05,4.19949815644793,2160.13334285414
"T7266",0.34880064,0.091681738,0.090634211,0.454374980887136,0.114615413809549,123.067800501908
"T7268",0.357859303,0.087982406,0.087728906,0.197477199270665,0.850666929803748,490.124892490664
"T7458",0.251527907,0.075212638,0.074473183,0.438465424973211,0.154861063682082,143.137660948368
"T7275",0.472011043,0.086269742,0.088094764,0.498682587610691,0.00330226914624445,67.5577196279507
"T7276",0.447341517,0.088409604,0.088310671,0.00818292409347986,2.40065298465808,1263.07809149262
"T7466",0.430749572,0.078506356,0.07953059,0.465488369592497,0.0866160105085928,109.104946911167
"T7284",0.466627052,0.081045137,0.080993968,6.55980046266972e-06,4.35810071779005,2239.225897768
"T7486",0.536209947,0.073225264,0.073991227,0.44418917785484,0.140356461803429,135.904448502848
"T7490",0.487391026,0.076981024,0.076123575,0.451839114211168,0.121016168856846,126.259754438745
"T7492",0.462372917,0.084363754,0.084809881,0.342546742450321,0.40552249743621,268.138499813902
"T7494",0.494700709,0.086630414,0.085901015,0.419477654607728,0.203229944035918,167.258446219017
"T7290",0.50016718,0.086846272,0.085728504,0.465435052801803,0.086750158930948,109.171844578972
"T7294",0.385807248,0.082471283,0.082958051,0.363273415637583,0.349722679703821,240.312025191826
"T7296",0.488580403,0.083110321,0.08352018,0.328411362188209,0.444304117989153,287.478272307335
"T7298",0.361882135,0.082863688,0.081179268,0.497637593384336,0.0059217098279005,68.8639927057896
"T7152",0.472990998,0.045263364,0.045377597,0.160371094671415,0.992933856161623,561.071128101042
"T7156",0.465381649,0.049712321,0.048863571,0.487031106092247,0.032513923962468,82.1251036167459
"T7160",0.300023358,0.052889791,0.052202169,0.466313373999151,0.0845404443237451,108.069895326481
"T7159",0.33286917,0.051704921,0.050654451,0.497607552387815,0.00599701277633997,68.9015450790566
"T7163",0.280173203,0.050545187,0.050188747,0.394135079260091,0.268557581357831,199.836291737735
"T5302",0.072643682,0.154106449,0.154687542,0.267191439907701,0.621329451172498,375.757968218092
"T5557",0.084042881,0.135706641,0.137174626,0.447725567758275,0.131409801385742,131.442892369116
"T5778",0.345498363,0.098884031,0.097540078,0.470080027724605,0.0750686948044311,103.346485675039
"T5788",0.342461182,0.09601967,0.097540078,0.480720343654597,0.0483457583091687,90.0201856183072
"T5790",0.340207011,0.097604892,0.097540078,1.75902584152481e-05,4.13704628336632,2128.98959486304
"T5798",0.333291447,0.096755872,0.097540078,0.413269554232887,0.219142418607699,175.193742208148
"T5804",0.363466217,0.096511969,0.097540078,0.44612304940183,0.135462642653388,133.46397934152
"T5795",0.377098568,0.098860669,0.097540078,0.468631734975435,0.0787097754125047,105.162234207112
