"","csgD","dgcC","iraP","nlpA","wrbA","yccJ","yccT","pval","z","inv_cof_var"
"T2142",0.064259137,0.067516514,0.093583224,0.075276103,0.127648224,0.135487277,0.060623245,0.391238348239902,0.276092922548484,2.94714854390956
"T2112",0.073333767,0.097851959,0.088446269,0.074297815,0.11716545,0.08373537,0.083079072,0.0537261960373442,1.60975024079549,6.03146000854767
"T2141",0.060727787,0.05932243,0.102225665,0.077904686,0.112103344,0.063238483,0.05711937,0.325680818958617,0.451871387713148,3.35366641617414
"T6033",0.048404398,0.109816573,0.078834627,0.057687904,0.047503852,0.111598291,0.047730066,0.457319123467967,0.10719000205502,2.55653154885299
"T6035",0.065120576,0.109816573,0.06931842,0.075938598,0.054896883,0.052952675,0.052603787,0.360331992817123,0.357571532131979,3.13558181400286
"T6037",0.069604338,0.109816573,0.087644711,0.157174875,0.068919164,0.066071897,0.066182558,0.453550458964082,0.116696053287321,2.57851592399799
"T6046",0.04680321,0.109816573,0.082863577,0.073729565,0.047860049,0.046652135,0.051591733,0.424647648992475,0.190017652319865,2.74808470707859
"T6048",0.061765567,0.109816573,0.094463217,0.078035254,0.052472763,0.051893075,0.052560109,0.394445168448254,0.267751848702975,2.92785837893456
"T6055",0.04987811,0.109816573,0.070580196,0.051205767,0.122009496,0.100809878,0.045153019,0.451059036460705,0.122986140501723,2.59306283034606
"T6057",0.045109952,0.109816573,0.064022194,0.065336301,0.052333506,0.046476387,0.052679143,0.412448756806863,0.221250341374233,2.82031566146535
"T6059",0.063229325,0.109816573,0.060831006,0.073081645,0.0684489,0.050582255,0.050400943,0.362768796068199,0.351067656182094,3.12054048450813
"T6070",0.048170875,0.109816573,0.080266165,0.122504823,0.047598151,0.049984927,0.051658615,0.494019037715821,0.014992610821214,2.3433092563634
"T6072",0.071702377,0.109816573,0.085248389,0.102675885,0.063169723,0.055607608,0.056666077,0.333183637844439,0.431139039835561,3.30571930309433
"T6129",0.045424969,0.109816573,0.056531984,0.051719117,0.085241568,0.075981215,0.051867176,0.365201083813839,0.34459060789172,3.10556119858086
"T6131",0.05064701,0.109816573,0.050597317,0.05307712,0.065296629,0.050456505,0.057715111,0.413052696955946,0.219699243449458,2.81672848127542
"T6148",0.062745509,0.109816573,0.057898239,0.071909357,0.093100441,0.125906778,0.057550491,0.376129043725715,0.315663297761023,3.03866182866286
"T7301",0.080762476,0.067307794,0.084266914,0.08594661,0.066879611,0.122763246,0.085063147,0.207005063268031,0.816857047419609,4.19775840236803
"T7302",0.077107759,0.069283783,0.081697274,0.095352008,0.05656515,0.127361923,0.089424965,0.295330510433337,0.537878371986378,3.5525723300123
"T7303",0.078506142,0.056808905,0.086664537,0.089801357,0.058640919,0.127386799,0.082646955,0.341499251754853,0.408374838021724,3.25307317902849
"T7304",0.078345851,0.055510776,0.08557359,0.06797976,0.056783552,0.13015003,0.082498113,0.402512321748711,0.2468495731876,2.87951827902506
"T7305",0.074145631,0.095191373,0.079990237,0.089485214,0.055985362,0.127589225,0.087123094,0.254172156996062,0.661417955681501,3.83827882231298
"T7306",0.079207503,0.076503727,0.084441222,0.089257291,0.063295229,0.12878411,0.088446061,0.229459847664138,0.740626896308437,4.02146309336592
"T7307",0.083567473,0.059152721,0.083827316,0.086173626,0.071819788,0.109779349,0.084813507,0.131766202850313,1.1180809875761,4.89439046769448
"T7308",0.080912197,0.075455925,0.086639361,0.09331226,0.057180739,0.126655569,0.091830536,0.252736156044575,0.665904237074676,3.84865411808443
"T7309",0.078194793,0.05818234,0.078706013,0.08782253,0.069034242,0.106081285,0.0826934,0.131038945159498,1.12149342115093,4.90228230606491
"T7310",0.077839333,0.070311314,0.082840327,0.088682864,0.060992585,0.127577409,0.087856243,0.263245734306543,0.63337089213292,3.77341517370644
"T7311",0.073139032,0.094948105,0.080241757,0.087102996,0.058283245,0.101425188,0.070430585,0.109708125321661,1.22808183137595,5.14878630012441
"T7312",0.079140515,0.08356262,0.089926372,0.092711462,0.062594028,0.119547234,0.089630505,0.131009387720975,1.12163238664324,4.90260368761866
"T7313",0.075887799,0.059086366,0.08304228,0.09103956,0.070295683,0.0934367,0.083157518,0.049453076877121,1.6501798650503,6.12496045419738
"T7314",0.07816452,0.079435879,0.080594388,0.080594467,0.069745339,0.10622835,0.080833842,0.0261767533122134,1.94021549129632,6.79571762318284
"T7315",0.072596268,0.075156634,0.080897579,0.092974448,0.071655509,0.10327235,0.082362262,0.017909244158366,2.09898199074033,7.16289240469213
"T7316",0.079883514,0.079346956,0.085447307,0.087215246,0.071984309,0.108074552,0.085898247,0.0181802058047182,2.09287391215535,7.14876642454054
"T7317",0.082011705,0.065342079,0.088303796,0.095855168,0.070403079,0.105258665,0.092016967,0.0765573683423778,1.42861563902137,5.61255515101731
"T7318",0.087856496,0.081764611,0.087210121,0.083362904,0.075395218,0.115420843,0.085410395,0.0422855612318347,1.72475784038422,6.29743482312617
"T7319",0.069262081,0.074613813,0.080029911,0.087926294,0.067274239,0.084083838,0.082149038,0.000131599085254911,3.649063378015,10.7477216771604
"T7320",0.073290858,0.079942071,0.087707074,0.088866316,0.069516963,0.09053995,0.088174987,0.000213972722078989,3.5222221056948,10.4543794631944
"T7321",0.073468327,0.112328778,0.075071937,0.07935483,0.067081473,0.080339582,0.073966189,0.112018768682617,1.21586189097893,5.12052559045931
"T7322",0.069219463,0.108692407,0.079516242,0.086039685,0.062162581,0.088134568,0.081910759,0.0766176784679238,1.42819632908042,5.61158542480621
"T7323",0.078092219,0.068923778,0.083310607,0.092797398,0.07535235,0.091101323,0.086190673,0.00201376490835776,2.87599743734305,8.95987399611605
"T7324",0.082952084,0.067765817,0.088540931,0.08720581,0.073758009,0.102605442,0.088430418,0.0244764223935262,1.96900214480278,6.86229170051421
"T7326",0.082936128,0.065249473,0.087538732,0.078622252,0.08124297,0.082050565,0.085501832,0.00036182970411343,3.3804549357156,10.1265185489298
"T7328",0.080257632,0.074586261,0.081615882,0.083530622,0.075949383,0.099868765,0.085742596,0.00145593018928664,2.97689255591318,9.1932112759961
"T7330",0.071373315,0.066755746,0.084351273,0.084950774,0.068333837,0.102600339,0.084376662,0.0448860813834784,1.69660077731098,6.23231678173793
"T7332",0.070882839,0.087652131,0.079425412,0.080905686,0.067464368,0.096721928,0.079959097,0.00399834451623555,2.65220957175971,8.4423261447888
"T7334",0.089161457,0.073220793,0.087057569,0.078139932,0.085707545,0.094493507,0.084936778,4.68877215420342e-05,3.90615739431787,11.3422957188753
"T7336",0.088188184,0.07025577,0.090738116,0.087583139,0.074040117,0.104465359,0.091007112,0.023360316028052,1.98882400629417,6.90813315754511
"T7338",0.0670278,0.089622374,0.077571353,0.084759999,0.062866535,0.107911334,0.080380826,0.0748127697392609,1.44085539611004,5.64086169018329
"T7340",0.083505081,0.066079833,0.088167681,0.081668621,0.078241654,0.091621525,0.086134454,0.00191939943369194,2.89111314503011,8.99483166468462
"T7342",0.06530438,0.062760619,0.087475743,0.088626679,0.068386723,0.091894157,0.090513959,0.0364436862442515,1.79353529353869,6.45649448888183
"T7344",0.079111462,0.085259341,0.086363538,0.08647603,0.074831756,0.091156672,0.087680763,6.37454994524079e-09,5.68939400126038,15.4663364568548
"T7346",0.073188315,0.077096209,0.08215359,0.088013767,0.067706847,0.091128773,0.086211691,0.000813731788250962,3.1509392128152,9.59572404439634
"T7348",0.085901347,0.073140956,0.085751858,0.077737214,0.081986865,0.09686889,0.085450462,0.000287982582514404,3.44268716116343,10.2704412521554
"T7350",0.088080752,0.062301044,0.087450237,0.086482482,0.0782023,0.101692513,0.090378573,0.0391392527998643,1.76076311271151,6.38070319552369
"T7352",0.082122987,0.07086382,0.084411585,0.079582252,0.079634211,0.095596012,0.082395538,0.000342443837344782,3.39555837512214,10.1614478449939
"T7354",0.090767723,0.070783308,0.091765772,0.079352893,0.082346055,0.101392672,0.088187128,0.00637630546141486,2.49060416151298,8.06858589476215
"T7356",0.074884985,0.076236575,0.077576066,0.086897741,0.061795978,0.124131377,0.084359497,0.225070425142446,0.755180228230513,4.05512017144873
"T7358",0.081347359,0.078619312,0.088608514,0.087784036,0.069447002,0.109884777,0.089389364,0.0360269256280884,1.7987777060003,6.46861846753547
"T7360",0.073615172,0.070449866,0.080335598,0.078415834,0.072093739,0.088595859,0.080271009,1.46463960421068e-05,4.17889574435465,11.9730499676284
"T7362",0.079333216,0.058958182,0.085566777,0.083132311,0.071770814,0.095964782,0.085280797,0.0460929115229449,1.68397850442227,6.20312560912726
