"","borD","envY","mgrB","mgtA","ompT","pagP","phoP","rstA","ybjG","pval","z","inv_cof_var"
"T5736",0.145090198,0.105199338,0.165737474,0.220853725,0.222256931,0.105630647,0.160541097,0.146899169,0.224411339,0.0230301472275233,1.99484035493451,3.31932163598911
"T5738",0.121627381,0.103271321,0.183187918,0.073288854,0.103683564,0.080979037,0.090978254,0.185838569,0.196821479,0.114990801984537,1.20040624680743,2.62183220209596
"T5740",0.128180896,0.079532265,0.254798629,0.082636998,0.210816154,0.080368033,0.108248697,0.1453902,0.29100532,0.349949692026631,0.385456290989697,1.90633046630741
"T5742",0.125563914,0.091443278,0.120819018,0.112922148,0.108454475,0.092633484,0.100244213,0.151628781,0.112878026,2.96287623241207e-07,4.99362134534061,5.95216183503215
"T5744",0.131978372,0.106494605,0.161083193,0.106554128,0.234161165,0.11440398,0.115354373,0.138676925,0.160700263,0.0181495983421715,2.09355996928295,3.40599451070791
"T5746",0.117382095,0.087929405,0.176876868,0.08997883,0.242686242,0.088923377,0.093257027,0.184475022,0.179193308,0.139046320974742,1.08461402208778,2.52017008507113
"T5748",0.319305352,0.122487606,0.157663594,0.098854807,0.240674311,0.12454417,0.152063506,0.124576145,0.213112209,0.201629438433267,0.835815195011551,2.30173214128773
"T5750",0.123505494,0.091348096,0.1945641,0.09080085,0.111203545,0.096757222,0.091189078,0.13637212,0.093783386,0.0232599462433717,1.99064533462541,3.31563853337477
"T5752",0.153203411,0.106054502,0.088118589,0.108111147,0.246918371,0.104242813,0.140526304,0.158579403,0.356501882,0.401746406455036,0.248829316475375,1.78637606085874
"T5756",0.163918404,0.121617703,0.179471374,0.115069431,0.13871298,0.119677385,0.148810776,0.14979317,0.118693544,8.75399522089641e-07,4.78024706292383,5.76482558407347
"T5758",0.076560211,0.087791412,0.139943724,0.070520658,0.275904809,0.086440009,0.15931767,0.217831428,0.27901079,0.433793024129852,0.166725489840225,1.714291351788
"T5760",0.159207881,0.085783373,0.175147575,0.246642822,0.220511325,0.085769256,0.135059526,0.163249416,0.08884595,0.154618510450393,1.01682429820365,2.46065273095451
"T8378",0.100214175,0.137288339,0.110753967,0.028906713,0.300905305,0.100970945,0.282928972,0.2213022,0.166328531,0.422777473400987,0.194793071160891,1.73893385039906
"T8379",0.139575965,0.144797939,0.136713987,0.036603863,0.254963976,0.142385481,0.239614373,0.225679769,0.179868407,0.174307534074381,0.937278988430376,2.3908143233194
"T2688",0.069804719,0.0942291,0.233227721,0.059625126,0.076159903,0.075941769,0.10384017,0.073511235,0.058231919,0.485992395915751,0.0351190741367272,1.59874484711671
"T2689",0.096235043,0.070646922,0.1654815,0.084616536,0.045704335,0.047599361,0.079822876,0.102556683,0.080947283,0.205937480105848,0.820598574005892,2.28837240224527
"T2690",0.066566018,0.069710146,0.161564777,0.07584608,0.114529121,0.040126802,0.165866701,0.095383524,0.067140359,0.200262250484812,0.840684866223781,2.30600756725738
"T0320",0.138398344,0.179658989,0.237702299,0.104712513,0.062288772,0.040162324,0.268651504,0.142628439,0.102718216,0.317225614772429,0.475471096971216,1.98536077910965
"T5660",0.090794924,0.060632906,0.174630485,0.059679999,0.066462234,0.051973706,0.067795363,0.046970251,0.080054214,0.34720716772261,0.392871576922066,1.91284086601736
"T2670",0.1270963,0.062553449,0.261271256,0.089495445,0.17389371,0.06429731,0.310815602,0.124862935,0.297744367,0.44007175704952,0.150787288269141,1.70029808654754
"T2671",0.129413445,0.057957951,0.269383904,0.087252533,0.256329332,0.056561735,0.308740549,0.120766006,0.289973745,0.476496318557761,0.0589491160183493,1.61966691258649
"T2673",0.10140316,0.086226754,0.162563477,0.059555565,0.20717883,0.090608395,0.097778443,0.101068264,0.181988146,0.1877236498935,0.886315943886875,2.34607029140476
"T2679",0.115832529,0.074270617,0.140879472,0.075876611,0.177401734,0.113371762,0.114653686,0.114701442,0.148737238,0.0179077844628135,2.09901510830767,3.41078395994132
"T2680",0.158322329,0.034654325,0.067277388,0.101252828,0.21610969,0.059767161,0.06139907,0.153198996,0.139961509,0.351175567730769,0.382148612660861,1.90342642346549
"T2681",0.09719125,0.084843828,0.24665774,0.060567211,0.119741196,0.262260867,0.054922126,0.100794484,0.136875776,0.37551918629552,0.317270482768693,1.84646536196573
"T2682",0.130506625,0.069520935,0.266652361,0.085251299,0.183241665,0.193460954,0.081416321,0.12392995,0.113768552,0.220046481287076,0.772036241958265,2.24573612424321
"T2683",0.092622567,0.077383389,0.210959449,0.054802162,0.223309977,0.315008554,0.152420587,0.094602935,0.137034335,0.454805765790366,0.113528547715181,1.66758602447632
"T2684",0.119555227,0.073014271,0.301613776,0.069725695,0.175610007,0.333697792,0.141631336,0.115562644,0.116501254,0.479439172943392,0.0515611877268675,1.61318053206865
"T2686",0.106156216,0.086654897,0.306602208,0.072522719,0.145884882,0.28785442,0.229908678,0.104587242,0.139330472,0.428703172211082,0.179676753513457,1.72566217471118
"T2687",0.124480425,0.077928653,0.295894248,0.081574558,0.14300413,0.198744063,0.139594676,0.114554074,0.128891725,0.296649867481085,0.534060416391592,2.03680045272971
"T2653",0.086066962,0.074349527,0.18096299,0.064599397,0.10761161,0.084289514,0.205920028,0.089552848,0.052947417,0.186099033709542,0.892363613841247,2.35137996510796
"T2661",0.267902704,0.111533535,0.15054988,0.072253481,0.243050192,0.086808775,0.210063432,0.100607358,0.063429767,0.415586736173709,0.213196789458466,1.75509176573224
"T2662",0.133740274,0.099054618,0.119170226,0.06462274,0.281272493,0.086389193,0.216588897,0.083647909,0.058454528,0.476731475066861,0.0583586512466975,1.61914850214175
"T2664",0.111783825,0.063380539,0.121067472,0.087118001,0.173406265,0.052816961,0.063861361,0.110683643,0.100973752,0.0893240431655301,1.34492924066224,2.74871907683751
"T2428",0.11478094,0.117339817,0.045129623,0.071038199,0.098898382,0.105809222,0.187397617,0.093864898,0.036096065,0.0915927653850089,1.33101057674323,2.73649890537445
"T5731",0.126194153,0.131272439,0.177563717,0.115383199,0.117405691,0.112729182,0.18537221,0.092309817,0.123421097,2.87265000006141e-05,4.02303481397351,5.10001583150323
"T5733",0.147293877,0.105722388,0.12260793,0.09197071,0.088524126,0.10723797,0.128457091,0.132755231,0.094960515,1.0602566465364e-05,4.25180831008939,5.30087213243902
"T5735",0.173518336,0.118799621,0.16561372,0.225142261,0.087063622,0.118181619,0.165486445,0.123693265,0.168077598,0.0196950854832766,2.06008755943018,3.37660673397425
"T2429",0.119351774,0.058532809,0.185092025,0.087319004,0.265395496,0.04959572,0.284034793,0.105729809,0.076927598,0.474086804651584,0.0650004910232267,1.62497983921344
"T2430",0.112377763,0.066203266,0.181154639,0.081853828,0.24269145,0.041256824,0.240312074,0.100650484,0.072200398,0.452913492296765,0.118303752024321,1.6717785113248
"T5533",0.278149808,0.164978271,0.352154496,0.128963908,0.277826651,0.05993367,0.226901927,0.052157333,0.132633948,0.465290063588171,0.0871149688779927,1.64439569067547
"T5529",0.223336877,0.109776046,0.245534836,0.05336846,0.273491277,0.127251218,0.245014821,0.053953137,0.140133986,0.39302627456783,0.271440119268378,1.80622767080175
"T5531",0.240265693,0.073178516,0.323541505,0.111584392,0.237685008,0.070667995,0.215557779,0.067792954,0.14571297,0.468105431313332,0.0800331852197631,1.63817809600752
"T0257",0.100370224,0.073849207,0.168219646,0.085337397,0.116716809,0.11908556,0.357921892,0.098129098,0.094906262,0.00730650424338466,2.44183043349129,3.71176558276708
"T0568",0.090453172,0.043246693,0.134287502,0.075059182,0.169665904,0.023776072,0.368370656,0.066617717,0.07223206,0.403854571422952,0.243382443749208,1.78159386918872
"T1096",0.197684259,0.130674061,0.114651862,0.107443677,0.311043471,0.125306524,0.2520704,0.065674774,0.207409518,0.300106109198149,0.524095356067768,2.02805142721221
"T1094",0.197684259,0.095668671,0.089252875,0.118881328,0.234927985,0.088273177,0.267350054,0.275430993,0.132639636,0.262851729760855,0.634578338444964,2.12505218793581
"T0113",0.197684259,0.091265836,0.315180279,0.055743239,0.225896858,0.081904173,0.271038413,0.216343245,0.069607976,0.460719942161649,0.098620132749598,1.65449688113741
"T0114",0.197684259,0.057664605,0.341476587,0.114671427,0.277937023,0.051346652,0.279937785,0.168570551,0.138953715,0.460159175746473,0.100032716751228,1.65573708772666
"T0115",0.197684259,0.072341757,0.075286342,0.096991653,0.255139015,0.06896367,0.29396877,0.286894931,0.094479417,0.482266786101416,0.0444652234617147,1.60695048725109
"T0116",0.197684259,0.07905412,0.335293729,0.075185074,0.196128945,0.070088651,0.182414602,0.226745217,0.098075158,0.450716224498316,0.12385201223224,1.67664971817748
"T0101",0.197684259,0.068631513,0.280952896,0.083741734,0.243507455,0.063126637,0.063515559,0.129766318,0.102437016,0.421060860349086,0.19918028503752,1.74278569322891
"T0118",0.197684259,0.0842528,0.311680859,0.082076351,0.154800776,0.079492413,0.1714714,0.287694483,0.074967614,0.469587674556269,0.0763063812908412,1.63490607339919
"T0119",0.197684259,0.107295274,0.348698559,0.065806328,0.189734803,0.09747135,0.169061189,0.255390685,0.075637472,0.448791928995451,0.128714125331243,1.68091850834932
"T0120",0.197684259,0.080208255,0.29212494,0.078618628,0.218710135,0.073477746,0.23271323,0.144920073,0.091149715,0.393055300398268,0.271364632733335,1.80616139587718
"T0121",0.197684259,0.084612991,0.22024796,0.056018213,0.199355546,0.076317667,0.169624208,0.082447572,0.054289337,0.436630308567317,0.159518204125506,1.70796357006056
"T4024",0.055318316,0.074938023,0.054986169,0.095829124,0.187063761,0.067298175,0.171724756,0.058445443,0.076192427,0.349584414267621,0.386442703981591,1.90719650747088
