"","bdcA","dkgB","grxD","mepH","mhpT","nsrR","pgpC","rfe","rffC","rffG","rffH","rffM","tadA","tehA","tehB","tsgA","wecB","wecC","wecE","wzxE","wzyE","wzzE","ydbD","yeaE","pval","z","inv_cof_var"
"T4798",0.095015413,0.094838542,0.322626672,0.288107298,0.095190712,0.135263884,0.096473294,0.241051414,0.101990337,0.151309996,0.095549695,0.128706899,0.094740024,0.118826696,0.115983024,0.250561991,0.095065621,0.106122689,0.131277903,0.114878675,0.116743904,0.095673938,0.094843064,0.132837025,0.319783175537725,0.468305198958643,2.04122688756018
"T4800",0.088691896,0.088203834,0.264777123,0.446982791,0.103396536,0.112842914,0.102515183,0.266286221,0.097411649,0.154670775,0.089156811,0.158812743,0.092446127,0.14729443,0.104278235,0.262686459,0.087863058,0.093207142,0.119286463,0.14999265,0.150398254,0.107956114,0.091109506,0.163401915,0.444994115654424,0.138319099588609,1.72240422028537
"T4802",0.083383883,0.081615112,0.282071423,0.081180538,0.089660009,0.139760939,0.099012868,0.380581666,0.091903982,0.268870779,0.23503455,0.138313403,0.082554102,0.130793488,0.090904322,0.084634081,0.335084995,0.326143694,0.139699411,0.132825503,0.130767952,0.081095561,0.080578003,0.133171395,0.487672149279859,0.0309062587357002,1.6186251566046
"T4806",0.09399486,0.106509177,0.400078796,0.106932292,0.091391895,0.108328422,0.094881302,0.306174777,0.112716668,0.233530089,0.093576882,0.127766622,0.092571148,0.119754211,0.122543856,0.170809153,0.095029555,0.108520243,0.115657232,0.121455696,0.120291436,0.095023362,0.100071097,0.127368175,0.412714847258956,0.220566876574427,1.80186955438914
"T4809",0.362922346,0.08199286,0.139490892,0.074423656,0.072999825,0.082404229,0.087525647,0.36385407,0.09251235,0.197048844,0.068345597,0.144432369,0.06887979,0.137523342,0.108306013,0.130103694,0.073264008,0.286131292,0.145665908,0.138773551,0.137190437,0.068345854,0.073238335,0.152310743,0.495806068614853,0.010512820633763,1.59892162865911
"T4811",0.085616296,0.102416406,0.169257291,0.093140009,0.088207246,0.169318115,0.100529239,0.238946369,0.117749525,0.296718684,0.085534242,0.093768799,0.086346419,0.154719519,0.146998953,0.294369964,0.085032067,0.197140886,0.276480365,0.159285723,0.156196741,0.086115625,0.090897679,0.173560583,0.304613317480134,0.511177696096465,2.08264900781405
"T4812",0.097190369,0.105906596,0.204296962,0.101276658,0.097110174,0.140415836,0.101114012,0.2818683,0.113956346,0.130800256,0.096566648,0.103739735,0.096680306,0.142210527,0.12651375,0.291636363,0.09707553,0.103466154,0.098187263,0.144407667,0.141179105,0.097206991,0.099924263,0.164895068,0.211330093196626,0.801814644090743,2.36345370578479
"T4803",0.094889194,0.154873206,0.310470627,0.09979813,0.091007122,0.108759375,0.087230341,0.413143748,0.1108768,0.184924426,0.091147561,0.116855155,0.090980971,0.110619862,0.131090944,0.121405847,0.095052903,0.200320573,0.152447332,0.112810294,0.112601771,0.095196277,0.098001157,0.11777387,0.421222621129642,0.198766704466619,1.78080688225923
"T5743",0.121196884,0.121196769,0.242206507,0.12095623,0.135794923,0.152556948,0.132662788,0.008415724,0.123295544,0.21453732,0.158379734,0.124358616,0.121663351,0.173054491,0.124404039,0.150957861,0.152089856,0.139270282,0.269629331,0.153842115,0.15448841,0.121833685,0.121038708,0.179716844,0.0866128438747964,1.36191190779187,2.90460287506017
"T5745",0.088093352,0.103070326,0.151645902,0.096453693,0.090125518,0.235352191,0.106938417,0.093074498,0.245519681,0.144548325,0.093144173,0.15446787,0.088715585,0.150431961,0.127500732,0.247824188,0.088725428,0.094639409,0.230700329,0.15287943,0.149028992,0.088671147,0.09322851,0.16368889,0.148535335938234,1.04273580120742,2.59622449843791
