"","ihfA","pspA","pspB","pspC","pspD","pspE","pspF","pspG","pval","z","inv_cof_var"
"T6095",0.190215415,0.066918747,0.074062974,0.069755254,0.06466629,0.070881385,0.052172165,0.065640102,0.0416845401799263,1.73146377552823,19.2758162754447
"T6108",0.206175362,0.066224207,0.073422511,0.069863012,0.064996316,0.076549362,0.053423889,0.066634121,0.105728671709955,1.24956815139647,15.2377759807726
"T6086",0.183865534,0.061522601,0.072345171,0.067416429,0.054127612,0.074594976,0.04750809,0.062866042,0.320781399448128,0.465514858530475,8.6678080640324
"T6097",0.176281407,0.063885996,0.07393293,0.069025642,0.059122226,0.072469725,0.048635693,0.064738887,0.196448233725786,0.854376400722414,11.926270058263
"T6080",0.184496563,0.061005422,0.072230351,0.066812882,0.053712873,0.073723768,0.046151354,0.062897733,0.3192561680198,0.469779816372695,8.70354624209325
"T6091",0.183204541,0.064753984,0.073943782,0.068749335,0.05830035,0.07306234,0.046252888,0.065168864,0.210917595515472,0.80324145169283,11.4977851866282
"T6104",0.189053067,0.06629983,0.075040127,0.07094471,0.064138306,0.078704649,0.052626025,0.067082632,0.177256644795118,0.92587048866501,12.5253541617204
"T6088",0.177136052,0.061362619,0.073681973,0.068178513,0.05127427,0.076061918,0.044718195,0.063459251,0.383061830870402,0.297449101092917,7.25950247522325
"T6099",0.194620271,0.065950781,0.07345542,0.068945194,0.060692562,0.071379465,0.049235843,0.065001575,0.121056782044809,1.169720255351,14.5686912131794
"T6140",0.174095562,0.07089378,0.070197007,0.069029412,0.074798288,0.064253662,0.062731186,0.065943887,0.0512285278641327,1.63305677834904,18.4512156773314
"T6167",0.167165338,0.069855602,0.065835642,0.064583092,0.083082814,0.058701237,0.063808344,0.061150567,0.361342310775399,0.354873153547526,7.74068683565993
"T6158",0.171513129,0.070437477,0.068172277,0.067364181,0.075756376,0.062689278,0.061374325,0.063938328,0.124400692114022,1.15326560211356,14.430809585955
"T6165",0.165407402,0.069815687,0.06753512,0.066065049,0.079254255,0.060505829,0.061439257,0.062493189,0.258201284859118,0.648900688452103,10.2044880702674
