"","acrZ","inaA","marA","nfo","nfsB","rob","soxS","pval","z","inv_cof_var"
"T8214",0.05581,0.056493353,0.073851989,0.064107616,0.066664364,0.176462228,0.101661098,0.0364920845373964,1.79292967856854,11.1711370397408
"T8215",0.05202717,0.05176296,0.056619717,0.054573751,0.0592002,0.228754188,0.09705246,0.00270625572196417,2.78139932981691,15.7768748167268
"T8217",0.041500335,0.040908701,0.049361427,0.046401703,0.042535743,0.237379252,0.096181993,0.00091212182833389,3.11744761160312,17.3426793554492
"T8219",0.032319567,0.034631909,0.046918813,0.042706164,0.04752859,0.212035599,0.102575258,0.277997626101002,0.588800288649083,5.56054068756444
"T8216",0.045800704,0.04403473,0.052270869,0.049249294,0.049112213,0.257115057,0.089173809,0.000431687630329089,3.33163463477733,18.3406758672568
"T8220",0.045165292,0.042663744,0.053357132,0.050072317,0.067155287,0.235764543,0.091383345,0.347265579948153,0.392713416995217,4.6468811622501
"T8406",0.04780465,0.044038365,0.048318905,0.043614734,0.067613994,0.21702808,0.04603021,0.362335951072603,0.352221836029219,4.45821213850267
"T8256",0.061238101,0.060366834,0.067634251,0.06442946,0.079825025,0.185998375,0.125229563,0.166767052222913,0.967019862373055,7.32284080117545
"T8305",0.039907634,0.041371772,0.056254325,0.049806978,0.04127496,0.160579177,0.116346014,0.07520689681709,1.4380714100306,9.51768806352091
"T8306",0.053241675,0.055390585,0.073667362,0.068574506,0.05178105,0.193376531,0.129180446,0.160627430924601,0.99188246909612,7.43868719754599
"T0509",0.05029038,0.071609987,0.069039495,0.06329447,0.036906957,0.784686909,0.096535581,0.428809821507107,0.17940507977628,3.65297885514884
"T0510",0.051404879,0.069363316,0.067406039,0.06188995,0.049423603,0.763827209,0.0903509,0.232803036401222,0.729646856970509,6.2168100628129
"T0511",0.053460592,0.076252592,0.073689734,0.067951506,0.037944335,0.787778618,0.09543638,0.4421004590795,0.145645916703198,3.49567928354464
"T1637",0.058105784,0.055369464,0.069765195,0.053383385,0.050348142,0.098466133,0.099843195,0.00154322975558312,2.95899316086263,16.6043667033759
