"","ibaG","mlrA","murA","obgE","rplU","rpmA","yhbE","pval","z","inv_cof_var"
"T0791",0.198803633,0.037226212,0.196806196,0.22290464,0.469045467,0.122852476,0.198994904,0.495087379467896,0.0123144247581663,1.96343809112751
"T0834",0.263212472,0.050643832,0.222497386,0.209291777,0.321627695,0.088603443,0.091830629,0.467969881147205,0.0803740536779773,2.13922490983161
"T0835",0.324893899,0.074952536,0.302337333,0.19352181,0.44054887,0.38630191,0.19115653,0.333698917658651,0.429722058720882,3.04153330324749
"T0837",0.260350123,0.061702622,0.278332283,0.189843186,0.292614101,0.122833532,0.177983888,0.299424120048182,0.52605752361341,3.29035195199138
"T0832",0.255519821,0.049365591,0.237089914,0.193447625,0.277275098,0.169369251,0.05008966,0.428595555848193,0.179950904157309,2.39641552400553
"T0843",0.247363125,0.041182874,0.234175217,0.221259452,0.419612146,0.066191856,0.218750637,0.476080236673716,0.0599939247199096,2.0865863913563
"T0760",0.248522119,0.04008859,0.251222365,0.212077788,0.427125488,0.072897483,0.251034961,0.465413144039095,0.0868052832179909,2.15583571713599
"T0753",0.189275375,0.054732093,0.220823246,0.210007099,0.536916006,0.241594369,0.227782869,0.479788003728327,0.0506856551899266,2.06254466332625
"T0761",0.237644693,0.035477681,0.235489867,0.221175304,0.473090222,0.099758465,0.222813852,0.483621685619897,0.0410658852957567,2.0376983811293
"T0769",0.19401591,0.036000239,0.190191702,0.239467745,0.546000171,0.256952361,0.205786404,0.491083865008102,0.0223512969769321,1.98936167997274
"T0754",0.233871658,0.055117053,0.235041584,0.196364824,0.443723143,0.110773886,0.210568147,0.465088745365213,0.0876215284866646,2.15794394430884
"T0755",0.234867106,0.041902618,0.233342739,0.2080834,0.522202134,0.164528119,0.226731197,0.480458701617209,0.04900237500573,2.05819702768287
"T0756",0.250550705,0.046955601,0.235132777,0.195518381,0.450824254,0.092092143,0.200516774,0.488306837192467,0.0293146105395398,2.00734677272504
"T0757",0.247549246,0.044043463,0.220522976,0.199331629,0.418692741,0.140019723,0.187980744,0.421832033805372,0.19720889818355,2.44099008186364
