"","crp","manA","yhfA","pval","z","inv_cof_var"
"T0069",0.405748387,0.478542657,0.442255948,0.489361610023284,0.0266696503297112,17.9432898613819
"T0247",0.8772578,0.093184401,0.093441594,4.22806284720532e-05,3.93109099476886,513.095249910321
"T0248",0.883131291,0.094258829,0.093805809,0.0139079880780498,2.19987202318523,293.545055033318
"T0249",0.905372521,0.112547151,0.105389429,0.478088958690061,0.0549504774843219,21.5298154338216
"T0569",0.86126259,0.091807682,0.092139451,0.0014572325116899,2.97661841993316,392.05068925706
"T0121",0.196374588,0.345948782,0.342141829,0.185935456524688,0.892974342304132,127.806552145218
"T0122",0.271706206,0.099746653,0.09191572,0.491364335515521,0.0216480915079523,17.3064644591654
"T4023",0.293147665,0.109320051,0.103238183,0.468098325592939,0.0800510537674083,24.7130270927348
"T4028",0.167720591,0.072284073,0.075612577,0.447124078224609,0.132930738966216,31.4191372850306
"T4092",0.129589603,0.11462131,0.125115314,0.494989415767249,0.0125600023334735,16.1539287129269
"T6958",0.283431667,0.082171515,0.083860897,0.332447147561317,0.433165838024687,69.4944331252248
"T6967",0.291018049,0.066318511,0.069557649,0.452608239339981,0.119074316167743,29.6618897180633
"T6970",0.216762366,0.094365966,0.097464627,0.408905041417628,0.23036251982631,43.7752671716385
"T5044",0.256398883,0.16561302,0.165077167,0.000440296236208842,3.32613506368644,436.375785335803
"T6965",0.261876198,0.091093732,0.082708903,0.499698072538631,0.000756819983804001,14.6570695474637
"T4841",0.310862073,0.066026701,0.071140625,0.486145137395541,0.034735974415895,18.9662471268297
"T4856",0.138059023,0.149227734,0.138151,0.488097070377535,0.0298406480229726,18.3454303028496
"T0408",0.355634629,0.608494664,0.587934293,0.416974354497856,0.209639934412656,41.1472647406338
"T0410",0.352844951,0.361893778,0.356212196,0.277625186149295,0.589910920538896,89.372573312498
"T5997",0.301045837,0.264292628,0.247650856,0.477389804203193,0.0567057313510898,21.7524136925243
"T1782",0.199750001,0.290524698,0.301037392,0.421156561029681,0.198935598983191,39.7897594405285
"T1792",0.286127088,0.213325422,0.207787421,0.378598149652162,0.309164628185304,53.7688142219632
"T1793",0.18706089,0.211634221,0.231626323,0.496487068637043,0.00880572688045878,15.6778179950682
"T1085",0.37958006,0.109403014,0.119931406,0.497353023005746,0.00663503605891722,15.4025347404888
"T4807",0.311274616,0.074488094,0.071738983,0.427885819535206,0.181759283727898,37.6114888557746
"T4801",0.150762751,0.132730544,0.121328051,0.496244204439177,0.00941452241790284,15.7550243918787
"T4803",0.113190724,0.098347301,0.100138051,0.307414251771535,0.503193117054929,78.3751715009902
"T0865",0.072419776,0.108196821,0.10162605,0.474791480596171,0.0632304958376975,22.5798730365326
"T0873",0.100342175,0.190287415,0.205771283,0.488909886076865,0.0278023744563089,18.0869399754451
"T1651",0.130930703,0.141485755,0.135568037,0.441871878174963,0.14622501795905,33.1050947471048
"T1652",0.072913911,0.160027003,0.160083826,2.64386750356527e-215,31.2960094790636,3983.46686935047
"T1653",0.182291266,0.180814702,0.184267486,0.317487378942991,0.474736557039571,74.7663597911775
"T1654",0.19043076,0.188901843,0.191641397,0.254725761391528,0.659691966893515,98.2220848863363
"T1655",0.181237945,0.17805979,0.181590314,0.325210994695957,0.453176032592047,72.0320913815758
"T1656",0.180173647,0.173872725,0.177709984,0.346033898806557,0.396050468056822,64.7875261174286
"T1657",0.190594282,0.185465617,0.188939175,0.313421447206143,0.486175282836379,76.2169992071357
"T8316",0.448025263,0.467779315,0.467024898,5.44815605068675e-12,6.79413657999971,876.181737810914
"T8317",0.432487771,0.429698138,0.424539905,0.209383317482432,0.808562860187082,117.101634019406
"T6045",0.088044881,0.343609811,0.333948124,0.39119747778134,0.27619935115464,49.5882148205852
"T6041",0.27374317,0.355477403,0.337708984,0.45909892686179,0.102704056913293,27.5858417608174
"T6047",0.095296414,0.326240751,0.326455651,8.72266007881568e-64,16.8198999085747,2147.63169804664
"T6049",0.094575609,0.337071081,0.326752686,0.40365733940155,0.243891724209344,45.4910174652647
"T6032",0.318569563,0.332578348,0.304054134,0.496159569558572,0.00962668021801487,15.7819298770449
"T6043",0.094176367,0.360978357,0.356253471,0.232214572600422,0.731573143798508,107.337931383237
"T6056",0.377683127,0.381942062,0.364864151,0.44867669318378,0.129005386840306,30.9213309194869
"T6067",0.396157228,0.39079331,0.376008583,0.430789454123282,0.174364631787089,36.6737118897753
"T6051",0.304831745,0.342425706,0.334609461,0.356381780167104,0.368147089527692,61.2488679266664
"T2086",0.639470392,0.130605839,0.127307434,0.374041620145009,0.321167789649686,55.2910343927799
"T6029",0.085773346,0.339001651,0.351148439,0.419965587206987,0.201981516063894,40.1760373751075
"T6035",0.132467056,0.309772037,0.298388135,0.427377956394423,0.183053663171099,37.7756398174174
"T6039",0.106281595,0.322849402,0.323401183,7.0159803905914e-11,6.41554537930682,828.169456721589
"T6053",0.255802827,0.395623802,0.36481308,0.490906487514158,0.0227960297190556,17.4520439971045
"T6057",0.182526641,0.374820828,0.375903538,8.79713537436161e-05,3.75126771939187,490.290373230669
"T6059",0.212372139,0.259248673,0.278688583,0.484256868467688,0.0394724263849803,19.5669157712399
"T6063",0.201433793,0.290623563,0.280066041,0.425994981813421,0.186579981412105,38.222841396027
"T6093",0.440184586,0.079905893,0.08400919,0.457030849742392,0.107916788645428,28.2469113807887
"T7162",0.457225713,0.458117061,0.420761866,0.493471382401874,0.0163655479703198,16.636541426799
"T5555",0.262289838,0.197941598,0.195973386,0.158388423020536,1.00110334916138,141.519285726025
"T5774",0.366061408,0.308221087,0.281234802,0.497218847082264,0.00697137300742711,15.4451884104183
"T5786",0.346321862,0.277351764,0.261125476,0.472011123914784,0.0702153614547484,23.4656816099047
"T5790",0.340207011,0.241669567,0.251124162,0.430224989040491,0.175801389367481,36.855919000455
"T5794",0.347223578,0.261789255,0.253873837,0.401903621095502,0.248422867656236,46.0656492380847
"T5796",0.352387448,0.262396861,0.257278927,0.325870896202259,0.451343784883819,71.7997288971025
"T5798",0.333291447,0.246752744,0.248408016,0.0601972429500809,1.55311992869841,211.5250733254
"T5802",0.350010834,0.281157296,0.260196762,0.488357331154684,0.0291879867855723,18.2626609338606
"T5812",0.361050127,0.271532769,0.258040667,0.458571558078011,0.104033055796665,27.7543830999691
"T5820",0.372776921,0.248972803,0.251678845,0.179632970995184,0.916764722999023,130.823607066343
"T5795",0.377098568,0.289009809,0.27256398,0.469878267001264,0.0755758706223413,24.145492108578
