"","asnB","clpP","clpX","gadX","glsA","lon","uspE","ybaT","pval","z","inv_cof_var"
"T8389",0.306356881,0.300089213,0.284687732,0.108519987,0.045492119,0.282776747,0.284947438,0.319046019,0.0294459450213014,1.8889995422462,2.72055118969044
"T8397",0.09785677,0.109713865,0.160165792,0.178022702,0.078543252,0.088758241,0.286090291,0.163988228,0.283611910832865,0.572144886713435,1.94484508073716
"T8500",0.309922885,0.293522047,0.271770335,0.177773086,0.422743677,0.410819433,0.288518931,0.263321732,1.15676922274731e-08,5.5867534239806,4.89874926448605
"T8213",0.04792807,0.070897217,0.115579002,0.102996822,0.054478259,0.202828767,0.084361424,0.053881943,0.479767540747937,0.0507370142712431,1.63770467597767
"T8402",0.27086422,0.28040266,0.009975262,0.216430045,0.063370633,0.297476645,0.290791,0.208768185,0.426967828104542,0.184099171766999,1.71626295865375
"T8406",0.316373313,0.325291379,0.370896354,0.101250246,0.044106391,0.048837023,0.294901566,0.347938263,0.390012290731205,0.27928700072935,1.77233427989931
"T8407",0.24315543,0.257486511,0.082683098,0.250907224,0.080837671,0.233792549,0.309407115,0.166778562,0.152476392456474,1.02587017027468,2.21211639482355
"T5535",0.073382375,0.087372838,0.345910947,0.184979094,0.163522563,0.108288981,0.315112016,0.318204193,0.454351358612562,0.114675016481284,1.67536798126366
"T5543",0.086341043,0.315668117,0.348891502,0.169678707,0.080388901,0.070053182,0.250745149,0.339215896,0.473661078865832,0.0660699214302924,1.64673667484051
"T5537",0.083570383,0.259735514,0.354862063,0.126774403,0.180619261,0.147983425,0.314638956,0.302444787,0.10033956707081,1.27961908578467,2.36158967425827
"T5539",0.079511722,0.294048275,0.336448566,0.151875329,0.081805844,0.081860157,0.327001817,0.3268181,0.443189914503795,0.142886489361818,1.69198622517087
"T5541",0.091466782,0.26224293,0.336423362,0.141064935,0.111040009,0.085144104,0.318258331,0.306885757,0.320996060302415,0.464915289905453,1.88168043841686
"T8254",0.056386186,0.338303754,0.143754518,0.160285039,0.129441797,0.287788489,0.231628527,0.102065207,0.38678184984491,0.287716577059503,1.77729980424759
"T8305",0.073927568,0.304864405,0.084987555,0.44520589,0.227814891,0.102623699,0.23205703,0.360253655,0.40606151475566,0.23768808003823,1.74783002897808
"T8306",0.072836697,0.120698476,0.181234453,0.406432826,0.160710415,0.131318379,0.321271472,0.052095123,0.453847464888074,0.115946516078149,1.67611697053189
"T1588",0.061815896,0.161630252,0.149525973,0.137471154,0.124866706,0.152512737,0.2331257,0.05583749,0.162505941739583,0.984210786201209,2.18757652735583
"T8188",0.055627251,0.080471034,0.289706024,0.070289958,0.326249309,0.371657064,0.306959134,0.230815258,0.2950426695214,0.538712367017626,1.9251513281603
"T2299",0.044894437,0.443781694,0.251485448,0.253597024,0.280791698,0.335923668,0.259521052,0.066733587,0.44234941586559,0.145015249463106,1.69324019212017
"T1081",0.062474064,0.332220447,0.268909274,0.180241553,0.080454381,0.353557147,0.216574151,0.091171411,0.485618440143907,0.0360570360631058,1.62905729129668
"T1961",0.412865031,0.34536739,0.492699183,0.165361807,0.044537763,0.453536137,0.188920231,0.262815749,0.270130699101634,0.612417754215515,1.96856820706334
"T1962",0.402848446,0.393217081,0.613325116,0.165306587,0.057824895,0.420956882,0.179491913,0.34764074,0.296707663165037,0.53389334548887,1.92231263641606
"T2381",0.076299608,0.179798166,0.254672463,0.153973278,0.077480794,0.048511982,0.219245974,0.079674119,0.489859628552698,0.0254208794378546,1.62279195925314
"T2382",0.082361352,0.199702227,0.23777332,0.13279758,0.082525928,0.076689394,0.225636507,0.084834028,0.325365213086003,0.452747701926265,1.87451300176238
"T2389",0.119613808,0.096094082,0.367407945,0.155765273,0.113676381,0.234605898,0.201920016,0.115303723,0.361380412329877,0.354771441775758,1.81679912786458
"T2390",0.108527231,0.053522853,0.111938719,0.182670801,0.104454516,0.232062695,0.23076362,0.107609464,0.264182030715005,0.630505261539757,1.97922283008358
"T2391",0.125900073,0.121793299,0.402452968,0.170244908,0.116517175,0.233423903,0.206495773,0.118316883,0.374284247440667,0.320527489752676,1.79662739314246
"T0332",0.048179581,0.19907703,0.21530327,0.116638207,0.129536499,0.078664454,0.25271986,0.191128397,0.197332192659601,0.851188976511323,2.10921872988218
"T0333",0.050231694,0.176542518,0.232066918,0.114443147,0.108448895,0.114845834,0.268249791,0.207196556,0.184864654277485,0.896980526040211,2.13619268980916
"T0334",0.050454226,0.175023993,0.223190641,0.115232603,0.118410089,0.100911183,0.275832286,0.213309461,0.206086483251475,0.820075678077579,2.0908911372634
"T0347",0.078226641,0.21059051,0.244658098,0.217500594,0.292498383,0.256070498,0.268332695,0.197503919,0.00519028871920099,2.56288717798149,3.11751128972249
"T0348",0.078725865,0.211938167,0.245549524,0.210334527,0.293338408,0.271781979,0.270576695,0.198563918,0.00591887380805812,2.51694449541817,3.09044830340404
"T0349",0.074159716,0.2108412,0.247239409,0.212395647,0.287086158,0.276834855,0.271182455,0.196010076,0.00848717462088243,2.38726287088816,3.01405807465384
