"","cho","dinB","dinD","dinG","dnaG","ftsK","hokE","insK","lexA","phr","polB","ptrA","recA","recB","recD","recN","recQ","recX","rpoD","rpsU","ruvA","ruvB","symE","umuC","umuD","uvrB","uvrD","uvrY","yafN","yafO","yafP","ybfE","ybgA","ybiB","ydjM","yebG","pval","z","inv_cof_var"
"T5543",0.069247943,0.116453897,0.071574503,0.099171889,0.124894797,0.089832903,0.085415552,0.088972362,0.079324107,0.086856121,0.086145202,0.137959433,0.085913102,0.087077499,0.069893136,0.080668653,0.073885719,0.088825694,0.088077094,0.351897268,0.310015666,0.084093166,0.088691816,0.089352663,0.08939258,0.071507376,0.149369003,0.16328484,0.071796493,0.117788176,0.120523672,0.076199581,0.126811473,0.087088412,0.089365441,0.078349322,0.174618484287392,0.936070348392968,1.80302599594963
"T5537",0.090431571,0.092501317,0.104392364,0.084694355,0.083909924,0.120785962,0.140159162,0.094659354,0.084565445,0.128896324,0.096014692,0.09287804,0.142095993,0.106592163,0.147656521,0.086526906,0.147367084,0.133518083,0.106045153,0.326197895,0.264210104,0.119751873,0.14795678,0.095038869,0.097317891,0.174358234,0.108243697,0.109894089,0.087256742,0.091438688,0.102531271,0.08556714,0.086381991,0.086180093,0.147291112,0.094147894,0.0227347421090382,2.00028512599059,2.39594216769969
"T5539",0.084234504,0.10711893,0.074091777,0.103698215,0.171458165,0.080944384,0.091403097,0.085811983,0.104126116,0.073376253,0.08636434,0.091572445,0.086505021,0.080287072,0.076369807,0.079995973,0.080489937,0.090634338,0.117669233,0.337569102,0.287605253,0.08188293,0.083379005,0.127794147,0.080118003,0.145359945,0.131375213,0.13386936,0.074498676,0.111059481,0.111169136,0.080951829,0.090756126,0.099003492,0.082809235,0.085953345,0.109224222500239,1.23066430132258,1.9671559464715
"T5541",0.095694391,0.103851472,0.095383495,0.105219041,0.18244992,0.074681333,0.110439033,0.099337258,0.09725392,0.091531666,0.106167308,0.096117913,0.108820233,0.099939306,0.109443593,0.091100367,0.09168708,0.110591353,0.085765285,0.329965055,0.261299961,0.103299627,0.108007805,0.092968572,0.108799002,0.171346003,0.126761931,0.108885057,0.093666563,0.104033295,0.10699168,0.111967888,0.111069959,0.093265817,0.096809364,0.110809173,0.0245541356699255,1.96765044441466,2.37776009498881
"T8255",0.086261586,0.045794242,0.081570956,0.042734967,0.258569407,0.193110295,0.079573395,0.067972188,0.176473224,0.066412313,0.042763522,0.333436725,0.131119746,0.043868861,0.065138682,0.082973212,0.064661415,0.043572562,0.105764694,0.171097758,0.0990049,0.093964882,0.042579098,0.088472274,0.079563853,0.27561514,0.093857025,0.368690925,0.059749429,0.064288814,0.059110172,0.124658614,0.046357985,0.246955903,0.069281653,0.127098486,0.452629574010243,0.119020457780968,1.34781516495171
"T8305",0.081435297,0.045429827,0.072144593,0.042419584,0.166517307,0.095298382,0.079573395,0.066947826,0.039722582,0.057688923,0.039928142,0.060667312,0.126000392,0.057333767,0.069185681,0.067553477,0.072525852,0.039838112,0.169533214,0.160670173,0.062639021,0.055846401,0.040071895,0.095151322,0.081920146,0.06948418,0.095379918,0.130735126,0.05666551,0.064240506,0.059216543,0.091923273,0.041029364,0.113735532,0.070170664,0.08095764,0.0453589879819797,1.69162248791188,2.22397399587536
"T0509",0.043002249,0.037078318,0.078971011,0.038157982,0.114685787,0.094820527,0.059152685,0.048604196,0.104126579,0.042382603,0.038218982,0.070608218,0.086893252,0.042444618,0.048736039,0.072934705,0.081721567,0.039970956,0.037593025,0.131872604,0.085662901,0.077564287,0.03826674,0.062230993,0.056616446,0.094046962,0.092107104,0.11404513,0.042542996,0.042514124,0.044880508,0.089668856,0.091809302,0.081294883,0.044688776,0.105454709,0.01289655746926,2.22931256889815,2.52354242051802
"T0510",0.044113209,0.03819653,0.074733904,0.040165186,0.114789342,0.085212066,0.061620432,0.050349758,0.099644665,0.043749867,0.040216019,0.068554768,0.074498069,0.044525226,0.05110294,0.070720873,0.076891916,0.042285152,0.050381064,0.136418873,0.07935423,0.074055853,0.040704788,0.064740777,0.059094413,0.087434394,0.085341576,0.112424351,0.043973615,0.043790232,0.047191391,0.082641118,0.280421724,0.07655118,0.047378582,0.10149456,0.229555979712241,0.740309926028144,1.6939601169071
"T0511",0.042050198,0.037443438,0.082450874,0.039669712,0.111859594,0.093378166,0.056785881,0.047844992,0.100583273,0.041716288,0.039596829,0.075143451,0.087890444,0.044682867,0.047213477,0.07782997,0.084860445,0.041828211,0.0382992,0.165477269,0.088066662,0.081728322,0.039457767,0.059249814,0.05448037,0.094117425,0.093074551,0.110986489,0.041757569,0.041688548,0.044270991,0.091425884,0.106691859,0.084474495,0.04398291,0.101691012,0.0290696506476612,1.89464611279935,2.33708649250394
"T1635",0.043989723,0.048037766,0.045245981,0.046001322,0.317315612,0.147147355,0.079573395,0,0.211845602,0.188518633,0.046471351,0.19683701,0.188015635,0.050414919,0.044064221,0.080922959,0.092052956,0.044525378,0.127943896,0.054309696,0.056003003,0.209700954,0.049418672,0.046449531,0.047331608,0.112063186,0.222228389,0.332883246,0.211937811,0.016541568,0.044070692,0.089322128,0.050369651,0.124313865,0.049663034,0.141568694,0.498062286052146,0.0048571476679816,1.28421026656897
