"","clpC","ctsR","clpE","clpP","clpX","disA","lonA","mcsA","mcsB","radA","ysxC","pval","z","inv_cof_var"
"GSM672570",14.00869331,14.29400892,10.88349665,13.96540669,14.37000297,13.26346171,12.3683684,13.72369888,13.98436729,12.89381004,12.63887881,0.0527090724587277,1.61913534738991,12.6685739386873
"GSM672571",13.97082379,14.31970743,10.50555074,13.87665688,14.07336952,13.29444201,12.55260149,13.78122565,13.74509665,12.59049108,12.57407212,0.107801478675351,1.23830508954645,11.980117900138
"GSM672572",14.02859517,14.13440409,11.00017212,13.93337732,13.8485,12.94290967,11.98850669,13.54539665,13.58394275,12.39590892,12.33317249,0.04340171157022,1.71250619933848,12.8373675823764
"GSM672573",14.23157435,14.18951673,11.18032528,14.0958948,13.75689926,12.95488401,12.06149108,13.78840558,13.80343717,12.57725279,12.16890595,0.0506635414922422,1.63845370924656,12.7034972217016
"GSM672574",14.24770112,14.05645093,11.26915056,14.28199294,13.87665688,12.89724424,12.27423903,13.56877881,13.68668848,12.45414126,12.29240948,0.0260805003409694,1.94180261101349,13.2518842757958
"GSM672585",14.31970743,14.19217844,9.639908922,13.49977695,13.31923978,13.61981078,12.54641822,14.00869331,14.07067323,13.87933941,12.60212045,0.460717167911935,0.098627120664262,9.91983470698644
"GSM672588",14.28199294,13.59734461,9.720425279,13.66754238,13.47196803,13.3970368,12.40349591,13.79859108,13.95421375,13.79092788,12.48132082,0.370524929250421,0.330463379793789,10.3389428772674
"GSM672598",13.08980112,14.08764126,10.71478104,13.6081974,14.85846468,12.74905093,12.57254721,13.75689926,13.47196803,12.43176617,12.90971413,0.0829613026032912,1.38542482258105,12.2460775147206
"GSM672599",12.91733643,14.13440409,10.6237948,13.83859442,15.03266691,12.45414126,12.35195651,13.66069851,13.46367286,12.20380818,12.89544572,0.221648393975563,0.766637979314075,11.1274491230735
"GSM672600",13.36020558,14.15158996,10.94041004,13.98711561,14.39110335,12.59922416,12.6418026,13.59952639,13.48706506,12.34561375,12.91142379,0.0245755366105128,1.96727883923382,13.2979396056876
"GSM672601",13.35442714,14.29400892,11.58383606,14.08353271,14.35301933,12.82796729,12.62842751,13.80827249,13.5255539,12.67714424,12.63305613,0.000952816599468648,3.10455837482078,15.3538869671894
"GSM672602",13.17780409,14.16357621,10.60851896,13.64061375,14.8030119,12.63150967,12.72569926,13.6561342,13.40928959,12.0407881,12.87134275,0.138846635882502,1.08551579528316,11.7039089852874
"GSM672603",12.92314349,14.22852825,10.53548253,13.58176394,14.46409554,12.52544535,12.64033755,13.6722223,13.39100595,12.233029,12.86331896,0.100231996195557,1.28023075544095,12.0559101389657
"GSM672604",13.06405353,14.35301933,10.60851896,13.6081974,14.49293792,12.59205613,12.55092639,13.86400483,13.35631375,12.44805874,12.77243197,0.0983165909153301,1.29120332680909,12.0757460970106
"GSM672605",12.74445799,14.36693011,10.32126059,13.84591078,14.74487584,12.59993717,12.43612565,13.63843383,13.18357249,11.77574349,12.91816022,0.340197046734719,0.41192541290652,10.4862080366235
"GSM672620",13.85627844,13.98436729,10.09255093,13.4593829,13.68413234,13.03394164,12.02055242,13.59271896,13.70143383,12.80924201,12.12371933,0.213462685249042,0.794463979740846,11.1777523162362
"GSM672621",13.87665688,13.56651933,9.490528996,13.64276654,13.83099145,12.88900186,12.08289703,13.44724164,13.49333755,12.68201636,12.14374758,0.434060846130551,0.166044802458037,10.0417108163028
"GSM672622",13.80343717,14.72338401,10.03721264,13.26519851,13.76680818,13.57750632,11.53447937,14.09040223,13.82567398,13.54736245,12.2163461,0.499205472841944,0.00199158555592021,9.74513924539021
"GSM672626",12.35640037,12.78984721,9.095472862,13.36438513,13.87415316,12.10844647,12.29315279,12.24872342,12.24009331,11.72854535,12.1883777,0.40650959265774,0.236532894345317,10.169137541218
"GSM672627",12.84362528,13.05512156,9.068872677,13.43859219,13.58394275,11.89799851,12.1644855,12.39750149,12.57407212,11.4102803,12.2829855,0.463146766318511,0.0925091362938669,9.90877475784427
"GSM672628",12.84992788,13.00807138,9.147713011,13.58615465,13.86400483,12.07309777,12.05679591,12.42567472,12.41256617,11.38870186,12.39750149,0.493083680056014,0.0173375116672742,9.77288125191648
"GSM672634",12.43925799,13.02196208,8.958167286,13.08133792,13.84343978,11.87429182,12.11264312,12.21330186,12.26860632,11.49097026,12.16173569,0.484642637422637,0.0385047117411641,9.81114682144493
"GSM672642",13.17780409,13.38058216,9.564360967,13.57092379,14.20445688,12.14881636,12.42288327,13.03222825,12.9397052,11.70109888,12.55561822,0.381261947983547,0.302168132560408,10.287791390696
"GSM672658",12.9632026,13.17062045,9.565701487,14.11328476,14.27227695,12.42890074,12.22743866,12.63305613,12.83733197,12.07309777,12.56009368,0.395393672465273,0.265288341580544,10.221120966596
"GSM672661",13.00465167,13.26346171,9.216207063,13.33719963,13.78122565,12.04352379,11.84500446,12.63150967,12.54716636,11.61570706,12.0542368,0.445948986552722,0.135902988260854,9.98722114913617
"GSM672662",13.12063532,13.2692461,9.255978439,13.30389257,13.47196803,12.33601004,11.94006097,12.75389331,12.86164312,11.98045539,12.1883777,0.332600600759577,0.432743393129784,10.5238422946687
"GSM672664",12.90971413,13.30973011,9.371142751,13.14143123,14.00590855,12.55092639,11.67574201,12.8156342,12.48971413,12.74445799,11.85426952,0.372857287111018,0.324295172417439,10.327792136149
"GSM672665",12.9397052,13.51044907,9.580311896,13.2749487,13.78374796,12.41861375,11.79238513,12.82640149,12.84223494,12.09768922,12.1967829,0.250470762023692,0.673009064712833,10.9581889597529
"GSM672666",12.65138587,12.83902974,8.984360223,12.72569926,13.68413234,12.30886543,11.92018364,12.26155651,12.34201004,11.97911264,11.73722937,0.369707831950294,0.332627259475594,10.3428546883773
"GSM672667",12.64419201,12.69168216,9.348395911,12.94970781,13.9054052,12.52544535,11.88511933,12.2163461,12.29913829,12.13388587,12.08414498,0.232696466684908,0.729995503080846,11.0612077110255
"GSM672668",12.78510967,12.98028141,9.35100632,13.06405353,13.91315353,12.43696729,11.9097197,12.42726766,12.45103717,12.12371933,11.91107807,0.278482982692594,0.587354023400314,10.8033437781811
"GSM672669",12.98202045,12.94628513,9.394066171,13.21045353,13.70143383,12.67568848,11.94935167,12.60364461,12.86164312,12.38281004,11.89925465,0.247529858795281,0.6822834790383,10.974955029189
"GSM672670",13.02025465,13.38685874,9.505805576,13.15417807,13.5191461,13.29444201,11.85551673,12.89381004,12.86480892,13.0950171,11.87109368,0.27212458949105,0.606399984169295,10.8377746208763
