"","copA","csoR","copZ","sprB","yosX","yotB","yotC","yotD","yotE","yotG","yotH","yotI","yotJ","yotK","yotM","pval","z","inv_cof_var"
"GSM672563",10.69941338,9.572453532,11.53162528,8.03609145,10.29861822,9.082944981,9.222212268,9.94911487,10.12191822,9.636028996,9.1897829,9.129148699,9.144256877,8.906881413,9.102701487,0.0676392989170562,1.49360612408405,10.9193706487243
"GSM672565",9.742029368,11.07735651,11.19886617,7.896279926,10.18579145,9.103892193,9.145479182,9.743322305,9.852501115,9.131537546,9.098998885,9.018973606,8.94377881,8.581058364,8.104676952,0.0664696336396324,1.50261145677271,10.9419608510821
"GSM672566",9.55472026,10.48335762,10.82642677,7.372210409,9.832570632,9.070645725,9.344704833,9.39121487,9.167288104,9.015346097,9.02908513,8.143390706,8.013526394,7.734865799,7.741947584,0.203613264056765,0.828784203931059,9.25164084601828
"GSM672567",9.880541264,10.97806617,11.09843086,7.560428996,10.08788327,9.235304461,9.218575465,9.15257658,8.965646283,8.259020818,8.079886245,7.992124907,8.035083271,7.790382156,7.801209294,0.311075695828417,0.49280356480513,8.40882127581881
"GSM672568",9.818199628,11.11582156,11.39223755,7.211249442,10.0087881,8.944990335,8.851008178,8.757617844,8.678208922,8.173079926,8.022753532,7.897266914,8.021720446,7.820356506,7.859383271,0.391642141366118,0.27504159401257,7.86255750566036
"GSM672569",9.462750186,10.91444461,11.51852045,7.600991078,9.367478067,8.325435688,8.599350558,8.740119703,8.694099628,8.671066914,8.886296654,8.439837918,8.57858513,8.139266914,8.254450186,0.160878922295303,0.990852018232109,9.65819381272414
"GSM672570",9.444394796,10.98734907,11.66956506,7.591301301,9.38253829,8.351857993,8.602923048,8.6819829,8.721894796,8.772980297,8.815912639,8.430050186,8.656604089,8.155705948,8.30718513,0.189522631754845,0.8796567910475,9.37925656851931
"GSM672571",9.587906691,10.9565684,11.28675688,7.692402602,9.494378067,8.454589219,8.599350558,8.823742007,8.826257249,8.630512268,8.631756506,8.528111524,8.541937546,8.287225279,8.402105204,0.0942430872068042,1.31507060554616,10.4715078510616
"GSM672572",8.879577695,10.73234387,10.89382342,7.303552045,8.15352119,7.648112639,7.825569888,8.160166543,8.150184387,8.154679926,8.1188829,7.925253903,7.970501487,7.694331227,7.66315539,0.177120477850441,0.926394587845086,9.49650002014048
"GSM672573",8.819794796,10.48109219,10.58219628,7.225685502,8.232792937,7.644156134,8.019628996,8.225892565,8.229425651,8.205537918,8.170942379,7.992124907,8.015626766,7.65925316,7.630018959,0.0984586418055388,1.29038423335813,10.4095811946583
"GSM672574",8.97135948,10.56347119,11.06853625,7.282736059,8.620707063,7.673636059,7.923060595,8.257919703,8.517363569,8.145573978,8.084995353,8.017719703,7.995636803,7.92102974,7.786410409,0.204158498199348,0.826858978788243,9.24681134920076
"GSM672575",8.530658364,10.32005799,10.44871636,9.513952416,8.047333829,8.428883643,8.70822974,8.924918587,9.015346097,8.844527881,8.879577695,8.074649442,7.760930855,7.27630855,7.282736059,0.127510875064414,1.13823647893029,10.0279130564963
"GSM672576",8.512473234,10.54287175,10.30466134,10.03135093,7.922072862,8.634157249,8.983071375,9.197054275,9.074196283,8.721894796,8.839163941,8.085531599,7.542924907,7.272425279,7.347610037,0.189237298823966,0.880710379080679,9.38189953216031
"GSM672597",7.618860967,9.448824164,11.33291115,14.07067323,11.75263959,11.05971004,11.05639108,11.30785019,11.39642212,11.62253309,11.46694833,11.04170632,11.41876506,9.595648699,10.05774498,0.384210713693246,0.294440363665375,7.91122002009485
