"","frlB","codY","frlR","frlD","frlM","frlN","frlO","yurJ","pval","z","inv_cof_var"
"GSM672612",14.23797286,12.48971413,10.47872528,11.61993123,11.05576654,11.39696357,12.45247361,12.03148699,0.189091821860106,0.881247927275173,10.6337346141094
"GSM672613",14.63204387,12.96154498,10.56761375,12.28023792,11.74338513,12.02192007,12.97545799,12.52544535,0.0471803078129236,1.67283076983186,12.2282690437983
"GSM672614",14.23157435,12.56626989,10.67624981,11.54474833,10.91329926,11.25749758,12.50036468,11.91889442,0.271618550165195,0.607925177079295,10.0831636414024
"GSM672615",14.79444089,12.75065836,10.43198662,12.13241078,11.61633606,11.92414164,12.98724424,12.50924944,0.141180991751498,1.07502846697485,11.0240787774023
"GSM672616",13.8692948,12.54327509,10.10585762,11.90566059,11.1493119,11.32936877,11.6386974,12.52395651,0.0590750487075332,1.56258560029497,12.0061953591721
"GSM672617",13.95716766,12.45247361,9.806930483,12.12665576,11.51967435,11.5059539,12.08289703,12.58170112,0.0104791926840382,2.30873329856029,13.5092069589113
"GSM672618",14.04280037,13.98971487,9.041450186,11.11935985,10.73825836,10.87773792,12.14741227,11.06972454,0.430226962918672,0.175796364538684,9.21269976496068
"GSM672620",14.58946431,13.55136803,9.415497026,12.44216766,12.4661171,12.60816022,13.58615465,12.39590892,0.00224925729619331,2.84090900729038,14.581201505273
"GSM672621",14.22852825,13.49777063,9.696065428,12.01111041,11.68098401,12.0542368,13.20863941,11.7049197,0.0483014193113485,1.66155098229576,12.2055474679645
"GSM672622",13.64514461,13.04626283,9.154847584,11.06212491,10.86752045,11.27490967,12.43328327,11.04821115,0.183027796456656,0.903886491287731,10.6793368781
"GSM672627",15.47494981,13.20505651,10.80641041,12.35069814,12.09898662,12.39001859,13.82848513,12.27877435,0.321483031802929,0.463555750153848,9.79235134804393
"GSM672628",15.60525576,13.55136803,10.78186134,12.27727844,11.8697881,12.24164052,14.10461152,12.37973866,0.486047170916811,0.0349816892054279,8.92904802827177
"GSM672629",15.66552974,12.82796729,10.68896989,12.57097026,12.06224721,12.54480855,13.96823197,12.48666022,0.339353787505289,0.414227402790075,9.69298619761047
"GSM672630",9.103892193,13.15971115,9.09787026,7.915737175,7.413969517,7.443756134,8.287225279,8.23403829,0.0255348191694231,1.95089415304166,12.7883893676949
"GSM672631",8.479710781,12.31592825,9.194586989,7.817819888,7.336825465,7.165705948,7.882664498,8.35422974,0.00135014564627987,2.99994413303948,14.9015558256342
"GSM672632",8.43369145,12.21330186,9.205351301,7.47143829,7.177962454,7.277204089,7.95532026,8.56395316,0.0174458572903509,2.10961287342734,13.1081063331028
"GSM672636",15.03851413,12.9331223,11.11701859,11.83742714,11.51240149,11.99392119,13.42815502,11.9083223,0.416507295970472,0.210836838118297,9.28328396480872
"GSM672637",15.21679294,13.04114164,11.12047993,12.45103717,11.97911264,12.48971413,13.68413234,12.07438996,0.226968970134642,0.748866057323039,10.3670696004722
"GSM672638",15.48368625,13.08627212,11.10549071,12.43925799,12.1154171,12.54327509,13.82848513,12.30886543,0.280148548166665,0.582400275034693,10.0317472476449
"GSM672640",13.35631375,13.2139171,9.965484758,10.48458067,10.13658327,10.35404907,11.50004219,10.38305279,0.482084724869794,0.0449220393183693,8.94907149220519
"GSM672648",16.09371152,13.20690632,9.662597398,12.84075093,12.65911338,13.03222825,14.53674944,13.02196208,0.265368761097503,0.62688057358039,10.1213466725704
"GSM672649",14.94091933,13.35045167,9.460184387,12.37568327,12.24941227,12.53577732,13.72369888,12.22177807,0.0713749493761914,1.46562712000746,11.8108858770092
"GSM672650",15.22313234,13.11699257,9.465282156,12.158871,11.9427,12.31733383,13.71375353,12.07855874,0.306809016704432,0.504915718640386,9.87566529854547
"GSM672651",12.18154349,13.36649851,9.334962454,9.603594796,9.175440149,9.371142751,10.40642565,9.931396283,0.43964096219945,0.151879567113644,9.16452267610546
"GSM672652",12.44072714,13.54925019,8.947592565,9.958141264,9.545039405,9.830095911,10.55341784,9.989074349,0.318707807445534,0.471315266956648,9.80798182414149
"GSM672653",12.02055242,13.59952639,9.145479182,9.464062082,9.187238662,9.362375836,10.15506803,9.429528625,0.421812605439743,0.197258554383148,9.2559323854821
"GSM672657",9.723099628,13.55989331,9.987783271,7.645181784,7.565977695,7.65925316,8.217745725,9.188394796,0.452252982694154,0.119971195998481,9.1002476645677
"GSM672666",16.04441561,12.25148216,9.954214126,13.29444201,13.16680669,13.3970368,14.5076632,13.0743855,0.0638780516827496,1.52301040064241,11.9264765792602
"GSM672667",15.5469539,12.43328327,10.74380595,12.7521803,12.4776539,12.9331223,13.98025762,12.58472156,0.119520874561969,1.17738531334946,11.2302625232899
