"","ctaA","resD","yclJ","yclK","pval","z","inv_cof_var"
"GSM672669",10.94499814,11.74586245,10.1452829,10.37092045,0.0805568948429714,1.40133543467225,25.4346000579839
"GSM672670",11.13479888,11.70866914,10.11089517,10.23840632,0.23918969286182,0.708911520081452,18.8078395958345
"GSM672671",11.36612639,11.97375353,9.995141264,10.20901524,0.407308921145841,0.234472935060502,14.26728172271
"GSM672672",11.23750149,11.72477063,9.803089219,10.06210632,0.43611914573828,0.160816040127204,13.5623571976853
"GSM672673",10.73702082,12.04992751,9.963064312,10.05097732,0.101821795764196,1.27123912504144,24.1895288483298
"GSM672675",11.57041264,12.28434275,10.23603513,10.17617398,0.437669162426551,0.156881392549854,13.5247011224854
"GSM672677",11.93357212,12.63305613,10.28401264,10.68432825,0.469881773640359,0.0755670556461729,12.7464919626853
"GSM672678",11.65957844,12.52685316,10.21518253,10.41518587,0.428277256048293,0.18076184610984,13.7532461541269
"GSM672679",11.5662119,12.48356283,9.990411896,10.19443086,0.486388192476971,0.0341263644261655,12.3498887716138
"GSM672683",11.59151078,11.4285632,10.23546394,10.62853197,0.357964344765272,0.363905349903863,15.5059992065095
"GSM672684",11.60519591,11.50759814,10.29119926,10.76773309,0.324928680421681,0.453960356046876,16.3678598984237
"GSM672685",11.74700781,11.47656617,10.21153717,10.53229405,0.443981159925008,0.140883066297236,13.3715910498299
"GSM672686",11.580029,11.42064888,10.29234758,10.74634201,0.314463707815159,0.483237071919983,16.64804921471
"GSM672687",12.03148699,11.70353494,10.42133532,10.87773792,0.443304473516801,0.142596392119895,13.3879882302003
"GSM672688",12.07855874,11.76822193,10.30587918,10.91700595,0.487323667054242,0.0317802033387689,12.3274351168452
"GSM672697",11.69867212,12.50635242,10.52708439,10.47734089,0.347693160938382,0.391555975649151,15.7706262212348
"GSM672701",10.75950632,11.63132268,10.29585874,10.34576506,0.00117897047524469,3.04099966256291,41.1268109242244
"GSM672702",10.84218792,11.5350052,10.12191822,10.3503487,0.0439222427955527,1.70687931852231,28.3587713442193
"GSM672703",10.79582193,11.47787249,10.19081859,10.28401264,0.0184330231283418,2.08724441766375,31.9990101445525
"GSM672704",11.27143494,11.47064201,10.46088141,10.66433346,0.0778794779172519,1.41948057599682,25.6082559681511
"GSM672705",11.35625651,11.4039948,10.49963327,10.68093011,0.104912937706283,1.2540443786887,24.0249685798498
"GSM672706",11.6362881,11.05398736,10.15378364,10.55114572,0.416213074974762,0.211590976125117,14.0482926647438
"GSM672707",10.79582193,11.3084513,9.934946097,10.31281784,0.105754472021132,1.24942698389041,23.9807783538298
"GSM672708",10.56048587,11.47842751,10.02511822,10.39436654,0.00366695781908657,2.68128896336513,37.684242594295
"GSM672709",10.50141338,11.38266952,9.897079554,10.37321041,0.0174476259256449,2.10957184206457,32.2126920959167
"GSM672710",11.49590892,11.59151078,10.0766881,10.26495056,0.427672140569215,0.182303845302217,13.7680036734231
"GSM672713",9.892774349,12.0179461,10.29722862,10.68654312,0.0730854510605052,1.45319038103722,25.9308716354053
"GSM672714",9.865482528,11.35399554,9.975315242,10.61900669,0.0885170768596951,1.34994335399407,24.9427582813939
"GSM672715",10.04591561,11.63374164,10.1260842,10.71943829,0.0476387412897577,1.66819268486985,27.9885255325141
"GSM672716",11.41637175,11.96554164,10.27803457,10.54045279,0.2652632548775,0.627202492266606,18.0258530937593
"GSM672717",11.39931487,11.82570149,10.21896468,10.31773494,0.329119779352541,0.442345018634935,16.2566966975376
"GSM672718",11.41400037,11.69475316,10.20057955,10.39292119,0.325247651522928,0.453074213319102,16.3593791751724
"GSM672719",10.32256357,11.02948476,10.05217361,10.23788662,5.48542430321025e-11,6.45292938678468,73.7802772757828
"GSM672720",10.3433171,11.00480892,10.0766881,10.30466134,3.39405850614068e-10,6.17094934240363,71.0816209038062
"GSM672721",10.39560743,11.09734126,10.1390197,10.28280446,6.71188018674295e-13,7.08987044891234,79.8760457180403
"GSM672723",12.18563792,13.17423792,10.97694387,11.14480149,0.284815082894057,0.568596256636292,17.4649691079139
"GSM672732",12.55874387,13.00110632,10.80278067,11.12529665,0.488530651588776,0.0287533545263803,12.2984670214167
"GSM672746",12.55718141,11.88815149,10.89585316,11.31729275,0.441962595593204,0.145995182881608,13.4205159516788
"GSM672747",12.62380409,11.94006097,10.96807138,11.39223755,0.436260037929544,0.160458289674186,13.5589333896576
"GSM672748",12.47327881,11.99510037,10.94389777,11.24112156,0.408153126478513,0.232298402719262,14.2464706203796
"GSM672749",12.12819442,12.65458104,10.7218171,11.173071,0.346804312029465,0.393962637491387,15.7936588912594
"GSM672750",12.33753643,12.44358959,10.77540409,11.03646654,0.434426067297862,0.165116692543651,13.6035160785302
"GSM672751",12.22038662,12.50635242,11.05398736,11.11013494,0.286281126366291,0.56428196585433,17.4236797027191
"GSM672754",12.46461859,12.63887881,10.76070037,11.03873829,0.480375209915905,0.0492119101612563,12.4942631872293
"GSM672758",11.31214572,11.99392119,10.25749294,10.57447881,0.208209815527597,0.812648473878739,19.8006417353937
"GSM672759",11.20221599,12.01517881,10.35158587,10.65846506,0.0888028842042613,1.34816360248481,24.925725381915
"GSM672760",11.83214907,11.96765929,10.2065,10.5099619,0.477984494853323,0.0552127270206186,12.5516932890301
"GSM672763",12.02449777,11.75807658,10.31645688,10.66433346,0.493111977807322,0.0172665691058142,12.1885341120266
"GSM672765",11.8217948,11.81170372,10.23297993,10.4978948,0.469827721250437,0.0757029329933942,12.7477923606255
"GSM672766",11.61139071,11.89681338,10.47985502,10.83819963,0.233627717554213,0.726951878511827,18.9804926938143
