"","ahpC","perR","ahpF","btr","fur","efeB","efeO","efeU","fbpB","fecC","fecD","fecE","fecF","fhuB","fhuC","fhuD","fhuG","fpbN","fpbO","fpbP","fpbQ","hemA","hemB","hemC","hemD","hemL","hemX","hmoA","katA","mrgA","spx","ycgT","yfhA","yfhC","yfiY","yfiZ","yfkM","yfmB","yhfQ","yjbC","yoaJ","yusU","yusV","ywiE","ywjA","ywjB","yxeB","pval","z","inv_cof_var"
"GSM672611",16.39776617,14.40126208,16.44384015,10.7398552,13.10802045,13.87415316,13.7405171,11.81292007,13.75962305,12.49265874,9.769912639,10.629771,11.38992602,11.93482268,12.84514201,14.23157435,12.57254721,12.17600892,12.45918048,12.66638996,13.38472454,14.78927807,14.81200037,14.07336952,14.26317249,14.98346506,13.82567398,14.21655688,16.37624089,15.85358848,15.12831859,12.91142379,11.28091301,13.92820372,13.26346171,11.11701859,9.673742565,9.535849814,13.18166543,13.62914721,10.56404164,12.37705167,13.95989033,10.3635,12.3683684,12.96858699,13.29238922,0.456911133708529,0.10821862965061,7.4393602752134
"GSM672620",14.75366506,12.42890074,14.53116877,10.68536877,11.72986729,12.70469665,12.59782974,10.00507361,14.49293792,12.14592454,9.775313755,10.98734907,11.14480149,12.47327881,13.12244907,14.25115204,13.07284758,11.61025167,11.89151413,12.07855874,12.88597286,12.85502825,12.18154349,12.20097844,11.9097197,12.31870483,11.83344498,13.5084171,12.40656468,14.07618625,16.31574647,13.74743383,9.923634944,13.89762082,13.13574721,9.456306691,12.55874387,9.724398885,12.55718141,14.8536461,9.812004461,12.58602528,12.63599665,10.67379851,12.36528178,12.24615948,12.89724424,0.238877755322262,0.709917156507551,8.28561896899151
"GSM672621",14.88252156,12.13522082,14.44320929,11.10315688,11.68483494,12.44072714,12.52980595,10.42480074,14.91167472,12.24736022,10.05844498,11.04454907,11.10075985,12.66937435,12.9836684,14.19697361,13.02507807,11.79984164,12.01444647,12.21330186,12.72122491,12.69237249,12.08541747,12.00036022,11.75931078,12.02602751,11.84372045,13.34211115,12.18154349,13.80827249,16.10869665,13.53887881,9.84866803,14.05925799,13.39496283,9.777935316,12.19392119,9.871837546,12.72569926,14.71080558,9.812004461,12.96154498,13.1136368,10.52138327,12.33457361,12.10844647,13.06405353,0.181631113894796,0.909166531555599,8.5658531865241
"GSM672622",15.18381933,12.56771524,14.97813903,11.59519071,11.7644632,12.76600149,12.43925799,10.97028662,15.19678141,12.25859294,9.675759108,11.8281881,11.48741822,12.88678755,12.89221561,14.19217844,13.19793569,12.43612565,12.38281004,12.34201004,12.78510967,13.31340074,11.57212918,11.78463792,11.4102803,11.80381487,11.72791375,13.2786855,12.96078885,12.78678773,16.42565242,13.80827249,9.465282156,13.35045167,13.12422305,9.364909294,12.90368476,10.79915911,13.41359628,16.34446022,10.30923346,12.25148216,12.94134015,10.64018309,11.83088699,11.75320818,12.59489368,0.270178699013771,0.612272625501728,8.14828685070429
"GSM672623",15.0717881,12.59782974,14.6242052,11.56367286,12.09219442,12.40504387,12.11264312,10.93087398,15.90234647,12.64338773,9.996260595,11.95198364,11.68483494,12.67568848,12.76934647,14.21381301,13.01695428,12.49050223,12.34049442,12.11406171,12.56328699,13.33519294,11.09029926,11.44763792,11.26665725,11.27385204,11.5727223,13.48706506,11.99907435,13.69168178,16.38425465,13.91315353,8.989582156,13.19254647,13.17256729,9.356207435,13.12605204,11.284429,14.07336952,16.24893309,10.08658401,12.91488662,13.4593829,11.13814721,11.45388848,11.25578067,12.62693755,0.351658662137105,0.380846268871488,7.82279732808443
"GSM672624",15.50683643,11.43817398,15.06617509,10.74941654,12.57565725,12.72122491,12.87794796,11.88872416,12.26005576,13.97082379,11.10549071,11.57750409,11.81609387,10.56632751,11.45741599,13.55356059,11.14255428,11.98584164,12.43612565,12.76600149,13.59952639,12.31027584,12.0179461,11.44532602,11.74586245,12.19544498,11.1661171,13.86023903,10.78990446,11.18683271,14.01388922,12.26289851,10.99543978,13.94646394,13.79624275,11.20453309,10.64806134,10.37802602,13.20139963,13.4450803,9.864209294,11.47313457,13.82848513,10.50820223,11.88757881,11.96765929,12.94794461,0.0559872528201141,1.58938053854801,9.52253995132955
"GSM672625",15.44358327,11.5350052,15.03851413,10.81962416,12.58011896,12.6418026,12.85079387,11.6362881,12.26155651,14.21381301,10.98905112,11.49097026,11.91770855,10.50141338,11.50648104,13.63843383,11.16270446,11.9506539,12.41861375,12.73028625,13.7405171,12.31318253,12.04739517,11.38151115,11.67439108,12.16032193,10.98905112,13.9054052,10.8252368,11.12047993,14.02274981,12.27143792,10.97143346,13.9789632,13.95159331,11.18790892,10.39695242,10.42480074,13.26519851,13.6081974,9.912310037,11.38389442,13.73114758,10.52588959,11.81923755,11.93752491,13.11887398,0.0773365513422596,1.42321753926855,9.28884005603644
"GSM672626",15.39060186,11.65592045,15.12831859,10.81609888,12.6482026,12.69711524,12.78364684,11.74947844,12.0542368,14.00869331,11.03873829,11.51852045,11.75931078,10.43017082,11.33162788,13.51044907,11.1518223,12.16890595,12.60816022,12.91488662,13.73361487,12.40042639,12.19250186,11.59151078,11.99779554,12.31454387,11.33772937,13.75337268,11.21533234,11.34212082,13.95569071,12.05809554,10.93322082,13.80827249,13.82567398,11.05910892,8.378162082,10.36110929,13.08980112,13.07116617,9.862247212,11.49942454,13.49133829,8.274050558,11.43271394,11.54819108,12.77709554,0.228757938899432,0.742943516783512,8.33206888246126
"GSM672627",15.33721524,11.80914981,14.89988271,10.06807993,12.51075985,12.31169033,12.25424572,11.33162788,12.21495725,13.60160558,10.28045836,10.96575651,11.13242119,9.623286617,10.70047807,12.8811052,10.30703643,11.77964126,12.06917695,12.36989182,13.40705576,12.99432751,12.13114796,11.6182171,11.84635353,12.30598216,11.40904461,13.04989703,10.78417695,11.27490967,13.94393941,11.66334796,10.49189926,13.54736245,13.15779442,10.55406059,8.419263569,10.51419851,12.34561375,13.18357249,9.515833829,10.91210632,13.34708364,8.107589591,10.85690223,10.95534349,12.07855874,0.33241074501556,0.433266062785693,7.89652312987038
"GSM672629",15.15316729,11.42249628,14.85846468,10.24398885,12.56473271,12.26155651,12.36217918,11.34829926,11.74586245,13.66754238,10.49409517,10.88583123,11.11351933,9.972934944,10.84047993,13.24435279,10.55341784,11.73237063,12.12371933,12.46749591,13.28353959,12.17460074,11.69730632,11.05971004,11.37569814,11.91107807,10.92041933,13.41359628,10.97143346,11.15124052,13.87415316,11.69607844,10.6237948,13.66987732,13.47196803,10.86517584,9.569909294,10.62853197,12.73823494,13.10047026,9.572453532,11.09734126,13.6246145,9.864209294,11.49827212,11.38992602,12.49420967,0.129463463609473,1.12893103568991,8.87494090056417
