"","liaF","liaR","liaG","liaH","liaI","liaS","ydhE","yhcY","yhcZ","yhdA","pval","z","inv_cof_var"
"GSM672653",9.466457621,10.40392714,9.646335316,9.869347584,9.595648699,10.10585762,9.884420446,9.206534201,9.843672491,9.663287361,0.00113577642003486,3.05222034750496,29.1639171822374
"GSM672656",10.56871487,11.28802677,10.84732714,9.56301487,9.326156134,11.32936877,9.651572119,10.21271413,10.67985911,10.26231375,0.472148782512584,0.0698694550615398,14.8021223169675
"GSM672657",10.50263755,10.70275725,10.4644316,9.421905204,9.110960595,10.87773792,9.366164684,10.23297993,10.97474461,10.29357361,0.427179607533113,0.183559273656078,15.3496064701775
"GSM672658",10.41029554,11.1592223,10.38173197,9.839937175,9.596961338,11.00960112,9.683063941,10.45615651,11.13001301,10.41887398,0.221509843946711,0.767103993265004,18.1597216645263
"GSM672659",10.46197286,10.80278067,10.60167435,9.757262825,9.519147584,10.94725613,9.831281413,10.45256691,11.21065762,10.31526468,0.171975601564119,0.946387059704375,19.0230763521128
"GSM672674",10.50820223,11.1649145,10.8426684,10.32126059,9.799172862,11.18137621,10.53229405,10.71119851,11.29045911,10.56632751,0.0295250192988116,1.88782060070491,23.5566392636376
"GSM672675",10.32731338,10.96359368,10.46088141,9.869347584,9.318468401,11.20998271,10.05844498,10.62021264,11.48383494,10.48335762,0.35120236770801,0.382076347326454,16.3055843521
"GSM672678",10.0633171,10.93087398,10.36235093,10.10522491,9.819645353,11.02368327,9.358621933,11.02712677,11.82298996,10.58157807,0.483851441337222,0.0404894940922447,14.6606403157517
"GSM672683",10.40392714,10.89689591,10.46088141,9.912310037,9.495005019,10.93447918,9.691046468,9.737092193,10.59594424,10.20170595,0.121203185815005,1.16899319865808,20.0950574229865
"GSM672684",10.31281784,11.14584424,10.33593941,9.965484758,9.660145725,11.03410706,9.77656171,9.436229368,10.47617472,10.31040186,0.208559238077316,0.811430523677118,18.3731802949245
"GSM672685",10.19081859,10.92735539,10.19560706,10.04345948,9.157205948,10.72635353,9.815632714,9.52480632,10.31892639,10.20783569,0.15505450491525,1.014993324042,19.3534563544747
"GSM672686",10.23892602,10.92789907,10.36471933,9.543722677,9.059653903,11.08671896,9.763730112,9.503286989,10.35158587,10.01376952,0.392722975802342,0.27222899114005,15.776603942706
"GSM672688",10.59240297,11.13599963,10.69380223,9.441220446,9.002004089,11.22608885,10.07125093,9.828678067,10.43198662,10.19194089,0.49725245666667,0.00688712425027684,14.4988249023206
"GSM672689",9.798108922,10.29861822,9.960652788,10.47617472,9.844852788,10.38901375,10.40642565,9.909817472,11.02948476,10.94614238,0.0298516723314804,1.88297803542094,23.5333194291384
"GSM672690",9.943906691,10.41760929,9.832570632,10.33911227,9.844852788,10.41393086,10.70406654,9.996260595,10.95534349,10.88115093,0.0180101312796847,2.09669862222355,24.56251127706
"GSM672691",9.906015985,10.54625725,9.806930483,10.14274461,9.847455762,10.41393086,11.16042491,10.15257063,11.06557435,10.88349665,0.103663935204139,1.26094720159431,20.5378706850198
"GSM672692",9.767536431,10.25501375,10.1452829,9.843672491,9.619292193,10.33973569,8.688081413,10.3563777,10.98036283,10.34454164,0.338802212636369,0.415734319236705,16.4676675225884
"GSM672693",9.768651673,10.38541896,10.04656803,11.06212491,10.93874126,10.37802602,9.277469145,10.18109182,10.92375167,10.35158587,0.197924672653757,0.849057414312211,18.5543761716701
"GSM672694",9.581556877,10.24135167,9.602318959,9.795699628,9.51122342,10.24398885,9.333706691,9.989074349,10.81609888,10.37092045,0.0762056093572672,1.43106628540833,21.3570953411779
"GSM672707",9.906640892,10.17127509,9.913620818,9.188394796,9.048547212,10.37866822,9.433663197,9.641176952,10.67624981,9.879227881,0.16433550729963,0.976794267538948,19.169505158479
"GSM672708",9.843672491,10.02264535,10.09368364,9.450021561,8.992026022,10.29977138,9.400000372,9.831281413,10.64203271,9.917216729,0.0949657542153867,1.31078175472257,20.7778537235831
