"","appA/1","tnrA","codY","scoC","appA/2","appB","appC","appD","appF","oppA","oppB","oppC","oppD","oppF","pval","z","inv_cof_var"
"GSM672790",14.06186803,10.72286952,13.27106394,13.34118773,13.58822193,11.67702007,11.78200855,12.01236766,12.11816134,12.98986914,10.80522639,10.79582193,11.35625651,11.17905353,0.199237133414708,0.844349260383367,11.0432874955315
"GSM672791",13.80827249,10.26606654,13.24435279,12.68798067,13.57092379,11.86596059,11.802529,11.42471599,11.81170372,12.84668736,10.629771,10.83472677,11.34829926,11.16719814,0.171582692715938,0.947929422120718,11.2828777957245
"GSM672792",13.61280632,10.24950316,13.24435279,12.71656803,13.29143606,11.40038773,11.34212082,11.18360929,11.40524758,12.58472156,10.46027416,10.66314126,11.08095762,10.97369777,0.19449757473257,0.861441097199288,11.0828224628929
"GSM672793",14.02274981,10.31281784,13.43237621,13.13193197,13.82567398,11.90059108,11.85276729,11.98183086,12.28581264,13.25970781,10.88912007,11.15065874,11.67439108,11.66456952,0.12016114887426,1.17418159169275,11.8062195661739
"GSM672794",14.24770112,10.24892193,13.37626729,13.34303457,13.88999294,11.84758067,11.7631513,12.17742788,12.27143792,13.42184944,11.16270446,11.00848364,11.48629777,11.44644647,0.205259508415566,0.822980615599385,10.9938598837897
"GSM672797",13.66527955,10.37568922,13.2291658,13.35442714,13.15779442,11.18580558,11.03873829,11.31671078,11.32936877,12.83257361,10.50820223,10.67379851,11.10905242,10.93698327,0.230849524786125,0.736052005022114,10.7927861303389
"GSM672798",13.52354052,10.36110929,13.24257695,13.30683439,13.05860929,11.29171004,11.14807026,11.22497212,11.40160372,12.79137658,10.33973569,10.81497212,11.19267138,11.09626803,0.155743989412244,1.01210473467471,11.4313211090181
"GSM672799",13.82707955,10.49302193,13.19436877,13.20139963,13.53453569,11.62122007,11.40767807,11.5471777,11.74086617,13.13574721,10.67258401,10.89157584,11.5763197,11.45127844,0.170399857285622,0.952586313276658,11.2936496069604
"GSM672800",13.63843383,10.228229,13.18522751,12.82942007,13.23891599,11.5136026,11.21293494,11.19761078,11.50648104,12.89381004,10.77595948,10.97028662,11.51852045,11.27385204,0.102012655661637,1.27016654638257,12.0282414642132
"GSM672801",13.60160558,10.41518587,13.22169145,13.06929071,13.16149219,11.42599665,11.40904461,10.99196914,11.25578067,13.00110632,10.53548253,10.50936506,11.1661171,11.03646654,0.238633655636668,0.71070459558497,10.7341552754117
"GSM672802",13.83360706,10.43080074,13.42601599,13.38685874,13.2749487,11.80381487,11.55183606,11.7060368,11.85025242,13.32734535,11.12277175,11.21415576,11.76177175,11.48741822,0.0481142500555425,1.66341946156115,12.9378710923103
"GSM672803",14.04023532,10.21153717,13.34303457,13.4511197,13.57750632,11.8281881,11.73237063,11.65530799,11.88390743,13.60378104,11.32135353,11.43214164,12.01371413,11.82046914,0.0656202169057046,1.50922836515457,12.5812131140306
"GSM672804",14.00869331,10.17617398,13.21222714,13.2786855,13.80104535,11.65469554,11.44184461,11.69346877,12.02449777,13.46987881,11.17430409,11.34699628,11.72854535,11.69669238,0.130227034455816,1.1253185569354,11.6931949389723
"GSM672805",14.61295725,9.906015985,13.25369033,13.57540669,14.15650093,12.26005576,12.04601524,12.34049442,12.4632171,13.39496283,11.21293494,11.36244796,11.99250855,11.85276729,0.152429856840006,1.0260676157719,11.4636185182664
"GSM672806",15.35256022,9.933688848,12.5479145,14.03156208,15.27586766,13.20863941,13.31550074,13.13574721,13.36832156,13.96411859,11.14697993,11.41145911,12.06429238,11.73350112,0.48303149861076,0.0425465582404824,9.18864518874455
"GSM672807",13.16590056,10.6408119,13.39100595,13.13574721,12.55092639,10.81843457,10.41029554,10.65031264,10.95179145,12.93810186,10.54389442,10.6673,11.26785613,11.07504796,0.178977942297548,0.919267094662443,11.2165792350274
"GSM672808",13.12063532,10.82198364,13.44724164,13.21777212,12.60065019,10.52397398,10.31164684,10.52881636,10.74571152,12.84514201,9.990946097,10.33417323,10.99196914,11.03527658,0.348971393558241,0.38809897950805,9.98793925196323
"GSM672809",13.37430892,10.33973569,13.71644461,13.3572448,12.74146729,10.82358048,10.88747993,10.92205149,11.01379089,13.15227509,10.33233123,10.61090149,11.22497212,11.19995948,0.242674898718327,0.697724029669494,10.7041300501929
"GSM672810",13.24969777,10.47985502,13.25369033,12.96003271,12.72426729,10.50936506,10.65138476,10.97806617,10.8927461,13.33925093,10.81962416,10.96685353,11.52813271,11.49468773,0.201564557340932,0.836045841156338,11.0240809344308
"GSM672811",12.70161301,10.65360335,13.4511197,12.83257361,12.46166171,10.63703123,10.4644316,10.52397398,10.79582193,13.00624349,10.74038885,10.79346208,11.37077807,11.17542156,0.0978046023613982,1.29416276665206,12.0837468961553
"GSM672812",13.36832156,10.29585874,13.49333755,13.21777212,13.01324461,11.16389888,11.01789926,11.17430409,11.39341227,13.51480558,11.1592223,11.36724349,11.70220223,11.55567323,0.0734190267476785,1.45079104681204,12.4460423013062
"GSM672813",13.53887881,10.08286914,13.36832156,13.12244907,13.31340074,11.35625651,10.98036283,11.21065762,11.52692491,13.85909405,11.2654855,11.6064513,12.08478123,11.8064539,0.127344174758252,1.13903549583875,11.7249234616397
"GSM672814",13.59271896,10.3697052,13.29628699,13.34118773,13.19072825,11.09271227,11.33291115,11.32135353,11.49942454,13.48023494,10.92265688,10.96575651,11.88197082,11.67574201,0.130723755582934,1.12297641530985,11.6877773531552
"GSM672815",14.23481264,10.10964312,13.06405353,13.5255539,13.78122565,12.06224721,11.75743327,12.0407881,12.29315279,13.64276654,11.30249071,11.55433086,11.84635353,11.6089539,0.0911694477565911,1.33358806807485,12.1749411909377
