"","appA/1","tnrA","codY","scoC","appA/2","appB","appC","appD","appF","oppA","oppB","oppC","oppD","oppF","pval","z","inv_cof_var"
"GSM672621",14.87297918,8.538096654,13.49777063,13.09337732,14.53294684,12.80614647,12.7906119,12.20380818,12.89544572,14.18383309,11.41760669,11.6998658,12.24164052,12.10086896,0.189721800040679,0.878921943133065,11.1232572435947
"GSM672622",14.95131636,9.235304461,13.04626283,13.5084171,14.50954833,12.63150967,12.62693755,12.17460074,12.71816097,14.54011041,11.2284513,11.4622,12.15180074,11.90059108,0.352695859373388,0.378052331605572,9.96470044497053
"GSM672623",14.6741539,10.73825836,12.48666022,13.57540669,14.22263903,12.21330186,12.03948625,12.87134275,13.18357249,14.43977026,11.19638364,11.37927323,11.98183086,11.72602565,0.320245479366313,0.467012466693937,10.1704732987055
"GSM672624",14.60165465,10.24510112,13.03040297,13.30781115,14.27893866,12.43925799,12.0467052,12.26996654,12.58745911,13.18693197,10.74038885,10.81730223,11.58256431,11.34699628,0.394390313156256,0.267894371477259,9.70989510104077
"GSM672625",14.71898885,10.31773494,12.94290967,13.36649851,14.30661041,12.32584796,12.17742788,12.1574803,12.47901264,13.06578587,10.629771,10.87889517,11.60768401,11.22137844,0.436736549136837,0.15924849444892,9.45858734234127
"GSM672626",14.52209926,10.33356431,13.00624349,13.26346171,14.00300297,12.16733941,11.93357212,12.00980706,12.42567472,13.08473941,10.60167435,10.91210632,11.48512491,11.23406803,0.363800952383821,0.348317297458168,9.89592061649634
"GSM672630",16.19371115,11.20569219,13.15971115,13.76194498,15.98922119,13.79859108,13.59032751,14.64878104,14.68241227,15.77650855,12.18706394,12.42150967,13.21486784,13.03394164,0.35264049617935,0.378201390799392,9.96504523239309
"GSM672631",15.89411301,11.29526506,12.31592825,14.08209294,15.5469539,13.39496283,13.20863941,14.40469851,14.39777584,15.38340149,11.580029,12.05132193,12.84362528,12.57725279,0.452209824631559,0.120080159269881,9.36798743376612
"GSM672632",15.86194312,11.4235684,12.21330186,13.93093309,15.4277855,13.54539665,13.26519851,14.43247509,14.45898476,15.28884089,11.8646974,12.04352379,12.89544572,12.44805874,0.380039933723275,0.305375909557839,9.79659329507518
"GSM672634",14.72338401,10.31406059,13.32523234,12.76934647,14.24770112,12.61604052,12.44507026,12.3842197,12.89897175,13.20863941,11.11582156,11.15124052,11.75931078,11.48741822,0.254689909291744,0.65980368449445,10.6164168555858
"GSM672635",14.77594758,9.970596283,13.23603439,12.90673086,14.29400892,12.65605019,12.59205613,12.32160558,12.74756208,13.18522751,11.01789926,11.24960967,11.75931078,11.41876506,0.27994231909228,0.583012867307232,10.4387927368998
"GSM672636",15.06617509,10.5828145,12.9331223,13.1136368,14.58155874,13.02854461,12.92673643,12.85683234,13.09676506,13.46987881,11.07857138,11.32477955,11.7975223,11.48984164,0.367040232101652,0.339702652245558,9.87599416148868
"GSM672637",14.99403494,10.17985465,13.04114164,12.86480892,14.77594758,13.0393197,12.82942007,12.67339796,13.24435279,13.38058216,11.18683271,11.41145911,12.09369554,11.66956506,0.303385273371223,0.514688734733993,10.2807528269492
"GSM672638",15.11720743,10.41393086,13.08627212,12.98028141,14.84428699,13.01151115,12.71191784,12.76305799,13.26165428,13.7497,11.31913494,11.51478885,12.10581004,11.72986729,0.314826500858819,0.482215310398703,10.2056388538265
"GSM672639",13.72369888,10.36110929,13.50622305,13.28950149,13.44939033,11.56802119,11.28619201,11.04454907,11.40904461,13.86665948,11.97502342,11.97239591,12.63002937,12.4632171,0.0855043828394359,1.36896963864096,12.2567819698189
"GSM672640",15.4277855,10.26853903,13.2139171,13.0917539,15.29518476,13.40275985,13.40495093,13.07616431,13.50732007,13.65160669,11.56165688,11.72211413,12.31027584,12.19321152,0.2961678470987,0.535454381734233,10.3287856501755
"GSM672641",15.39060186,10.35518699,12.90213346,13.08627212,14.91633309,13.10802045,12.9632026,13.01151115,13.42922621,13.55136803,11.23750149,11.45127844,11.92684275,11.70220223,0.4111459932767,0.224598044161347,9.60974677258793
"GSM672642",14.87297918,10.09075093,13.66069851,12.51732138,14.55173829,12.8811052,12.65290223,11.69730632,12.61394312,13.32130186,10.89925799,11.19761078,11.83606431,11.50648104,0.408834782512016,0.230543371983264,9.62349885458612
"GSM672643",14.73557435,10.21518253,13.54925019,12.90509033,14.53294684,12.31592825,12.20908513,12.26996654,12.62544387,13.08133792,10.60630929,10.78935632,11.57879851,11.43945204,0.475587969160063,0.0612301251697227,9.23186197209542
"GSM672644",14.8074855,9.839937175,13.26519851,12.70310595,14.41200297,12.4776539,12.36293792,12.43925799,12.72569926,13.16149219,10.87208662,11.22723903,11.60768401,11.30602491,0.366345896336213,0.341547047925602,9.88026041582971
"GSM672645",13.59271896,10.61326914,13.13379517,13.15227509,13.31550074,11.49708959,11.3084513,11.04701784,11.49468773,14.02572788,11.7975223,12.01652491,12.46166171,12.21173457,0.0804429845930902,1.40209805040648,12.3334109882206
"GSM672651",15.26197249,10.60219554,13.36649851,12.84514201,14.99403494,13.43859219,13.59385576,12.3842197,12.98724424,14.21655688,11.80120297,12.13241078,12.99596394,12.79137658,0.112695760849727,1.21231579042141,11.8944274234293
"GSM672652",15.31526691,9.748265056,13.54925019,12.93638178,15.04395688,13.76308848,13.61520669,12.2829855,13.01151115,14.21381301,11.97375353,12.15447286,12.84362528,12.72426729,0.125807863690466,1.14643374352884,11.7420362789518
"GSM672653",15.24909405,10.04106729,13.59952639,12.93148625,15.0717881,13.32734535,13.48916357,12.41698625,12.69864721,14.16922491,11.85680372,12.17169294,12.63150967,12.92503755,0.126992186959381,1.14072501375056,11.7288314696683
"GSM672654",15.53897138,10.5733777,12.90673086,13.25970781,15.17188364,13.06405353,13.08627212,13.23499331,13.48916357,13.88212491,11.26850335,11.69219926,12.24615948,11.85551673,0.407995907950987,0.232703287928858,9.62849493589278
