"","divIB","spoIIID","gerM","ispG","mraY","murB","murD","murE","murG","pdaB","sbp","spoIID","spoIIIAA","spoIIIAB","spoIIIAC","spoIIIAD","spoIIIAE","spoIIIAF","spoIIIAG","spoIIIAH","spoIVA","spoIVFA","spoIVFB","spoVB","spoVD","spoVE","spoVV","yaaH","yhaX","ylmC","ylxW","ylxX","ypjB","yqfC","yqfD","yqfZ","yqhV","yrzE","yugU","yuzH","pval","z","inv_cof_var"
"GSM672579",11.22378216,16.08663829,14.84428699,12.36989182,11.68223941,12.32441041,12.34786914,11.44888067,11.46338662,13.19966617,9.462750186,13.37430892,12.96858699,12.79137658,12.4632171,12.26440558,11.80120297,13.6744539,13.40705576,14.87743532,15.93357807,12.93890353,12.1154171,10.95294498,12.86164312,12.61808885,10.37031283,14.84014647,15.49114684,13.30389257,11.1778052,10.33722862,12.71816097,13.66069851,13.00807138,10.91574907,11.74211264,14.17215799,8.870406691,8.301184758,0.0806919221783738,1.40043249685767,7.36615125820565
"GSM672580",11.13061617,16.21444944,15.02706357,12.17742788,11.59268067,12.16308104,12.07040112,11.20118141,11.52469963,13.18357249,9.260887361,13.0917539,12.68047472,12.50924944,12.11406171,12.01111041,11.31913494,13.55136803,13.22453216,15.31526691,16.24241784,12.99339981,12.02602751,10.77135019,12.72266468,12.32875093,10.06148197,14.55987026,15.25241524,13.49133829,11.1695632,9.645053532,12.80153755,13.58394275,13.1136368,10.9214461,12.04472491,14.41869665,8.619519331,8.289634201,0.137229219159319,1.09285279197768,6.9156872696434
"GSM672581",10.85080967,16.27558253,14.13691599,12.09768922,11.58508885,12.09219442,12.17169294,11.01078959,11.36724349,12.51368253,9.42890316,12.57880929,12.65911338,12.18706394,11.98993309,11.88390743,11.47546394,13.42601599,13.20139963,14.42909851,16.00569294,12.08289703,11.64738439,10.54498996,12.30338885,12.05132193,10.2324013,14.74487584,14.91633309,12.82172268,10.77595948,9.828678067,12.2190777,13.36649851,13.17595502,10.40392714,11.85025242,13.6106,8.057889591,7.707991078,0.121859811691388,1.16573989874944,7.02243363915428
"GSM672582",10.78767732,15.84610186,14.5706171,12.49886208,11.18683271,12.40194684,11.90566059,11.07026989,11.48741822,12.80000632,8.880969888,12.81402342,12.89544572,12.30598216,11.65346208,11.7111632,11.27969628,13.39496283,13.33719963,14.74027026,16.33439926,12.63887881,11.71356952,10.70775019,12.41094461,11.79238513,10.0742026,14.74487584,15.18381933,13.11192862,10.69610112,10.04472379,12.4688316,13.45315651,12.73823494,10.95765093,11.6026777,13.76194498,7.896279926,7.654683271,0.182761494170714,0.904891277671985,6.64040937553338
"GSM672583",10.85811264,16.11630929,14.32645576,12.44963011,11.5727223,12.14741227,12.08145093,11.03990446,11.57396654,12.48356283,9.306693309,12.64979145,12.60065019,12.14881636,11.86852528,11.63001524,11.40099572,13.17256729,13.28452677,14.26634535,16.13048996,12.35640037,11.78835316,10.62734349,12.32875093,12.02449777,10.35158587,14.6741539,14.92148885,13.02354647,10.69023643,9.839937175,12.07589257,13.37838364,13.20690632,10.87328067,12.11816134,13.51256134,7.869126394,7.718559851,0.123391764281477,1.15819730333302,7.01138717685042
"GSM672584",10.83819963,16.16694238,13.4367223,10.87543271,10.86752045,13.15146599,11.41876506,9.92234461,12.39445725,12.37832454,8.684418216,12.46166171,12.10581004,11.77196952,11.43817398,11.26048625,11.07137844,12.51800186,12.55874387,13.80583271,16.09371152,11.70109888,11.17657509,9.965484758,12.32441041,11.92279405,9.824746468,14.3837368,14.70664796,12.82326543,10.50820223,9.713857993,11.8077974,12.73666097,12.68944535,8.299976952,11.10905242,13.29238922,7.591762082,7.78791487,0.230773253727278,0.736302693398162,6.39350398843159
"GSM672585",11.33044126,16.0140948,13.43237621,10.53330372,9.358621933,13.7405171,9.744597026,7.512286617,12.44072714,12.20653755,7.633748327,12.59782974,12.21173457,11.9588368,11.5763197,11.31439294,10.68322677,12.83733197,12.75389331,13.6744539,15.72398736,11.71356952,10.33973569,8.137154275,11.18137621,11.6089539,8.723692565,14.09040223,15.23706097,13.66987732,10.01496245,8.941266543,11.55055688,11.5136026,12.10151896,9.030392193,11.74947844,13.28071041,9.645694424,10.49665279,0.364880706823569,0.34544292209404,5.82107268442575
"GSM672586",10.78990446,15.98063123,13.52142082,11.31214572,11.1649145,13.25268643,11.6064513,10.50442825,12.60212045,12.3463026,8.810766914,12.33457361,12.08414498,11.60389777,11.17542156,11.22378216,11.02835167,12.70469665,12.54170929,13.82056989,16.07966952,11.90059108,11.03527658,10.13658327,12.04412435,11.55433086,9.450021561,14.42909851,14.39777584,12.81230186,10.17751747,9.649511896,11.75320818,12.86639294,12.37568327,8.954337175,10.94154387,13.08627212,7.398698141,7.367472119,0.225591216090332,0.753445196239633,6.41860993684558
"GSM672587",10.7172513,15.94142974,13.40275985,10.74941654,10.81730223,12.99076729,11.55308104,9.871837546,12.47327881,12.52103866,8.431318959,12.5327658,12.20097844,11.95744758,11.49468773,11.46694833,11.41517398,12.89544572,12.67568848,13.92182881,15.81157807,11.82700706,11.31913494,10.10964312,12.19544498,11.76822193,9.727094424,14.67824238,14.42909851,12.67714424,10.19320037,9.27505948,11.66844684,12.55874387,12.33317249,8.119482528,11.16270446,13.00624349,8.372318216,8.355411152,0.191152842400699,0.873655880096173,6.59466376373556
"GSM672588",11.11935985,15.91765762,13.27297993,10.53918104,9.250950186,13.64726729,9.545039405,7.448477695,12.24164052,12.1574803,7.626144981,12.44963011,12.47473234,11.97239591,11.55245855,11.30483197,10.79915911,12.76461152,12.63741822,13.42184944,15.53897138,11.79491301,10.53004981,8.786026394,11.02948476,11.81170372,8.523357993,14.2077948,15.37522491,13.4302974,9.38253829,8.671066914,11.52469963,11.45859368,11.92156208,8.360233086,11.54170613,13.05512156,10.35158587,11.0861355,0.362623674757323,0.35145456952304,5.82987700615352
"GSM672589",10.61090149,16.10869665,13.54438086,10.93984368,11.02599331,13.04626283,11.66956506,10.29585874,12.4547881,12.28581264,8.84517658,12.28742007,11.92944684,11.64111115,11.35625651,11.40767807,10.66670855,12.78678773,12.37427993,13.64935428,15.86194312,11.86852528,11.18790892,10.21655725,12.02449777,11.92807175,9.524164684,14.26317249,14.55987026,12.93148625,10.20783569,9.579008178,11.78084387,12.80310595,12.56166506,8.513688848,10.70654424,13.31737249,7.527991078,7.773863569,0.212117068763674,0.799097054383753,6.48546908840404
"GSM672590",11.20569219,16.07966952,13.38058216,11.27618439,11.17486283,12.84362528,12.01517881,11.14142193,12.42150967,12.25424572,9.079373606,12.03148699,12.18422007,11.71712751,11.35176059,10.97143346,10.46626152,12.24736022,12.61107732,13.74743383,15.72398736,11.72348773,10.83472677,9.889610409,11.89925465,11.51009108,8.935267286,14.5706171,14.10146097,12.76007472,10.82770632,10.04980929,11.49942454,12.4688316,12.04739517,8.795147584,10.05704498,12.54641822,8.397209294,8.432450558,0.111308798344497,1.21959723083658,7.10131006773647
"GSM672591",10.99077807,16.11630929,13.23499331,11.1695632,11.28091301,12.87633978,12.08478123,11.08451636,12.13645688,12.16173569,9.176684015,11.97753792,11.89479201,11.8179803,11.33878662,11.16042491,10.58764238,12.49420967,12.28434275,13.49333755,15.84610186,11.58120632,10.9382052,9.830095911,11.991879,11.9387881,9.035304089,14.42209108,14.30353717,12.66787807,10.78880818,9.940048699,11.55183606,12.55874387,12.37705167,8.297544238,10.78246022,12.67714424,8.180901859,8.639073606,0.112638189127512,1.21261675942421,7.09108686072842
"GSM672592",10.99896283,16.18018922,13.20139963,11.23809517,11.27438086,12.78984721,12.21173457,11.09271227,12.08812974,12.18422007,9.043852416,11.99779554,11.98183086,11.7148948,11.4235684,11.49468773,11.02147063,12.40349591,12.30746208,13.53887881,15.89411301,11.78330967,11.01078959,10.0326223,11.87367249,11.99639963,9.130303346,14.43247509,14.4894368,12.71352639,10.37866822,9.897079554,11.74211264,12.64499628,12.1574803,8.334871375,10.99719517,12.66937435,8.001172491,8.161189963,0.132473196745769,1.11477607010025,6.9477948734572
"GSM672593",10.98844647,15.85358848,13.37626729,11.47898253,10.91329926,12.68798067,11.92684275,10.97927509,11.91770855,12.26860632,8.878179926,11.92544981,11.77196952,11.5136026,11.31439294,11.14807026,10.16625242,12.31733383,12.47610223,13.68882788,15.65681413,11.43575836,10.53548253,9.480399628,11.70109888,11.61378959,8.641617844,14.39110335,14.40469851,12.82326543,10.28280446,9.673109665,11.7148948,12.58170112,12.43780892,9.015983643,10.87543271,12.62380409,9.059043309,9.592969888,0.0897440974249285,1.34233254715044,7.28106132975735
"GSM672594",10.78767732,16.11630929,13.59734461,11.39931487,10.58034275,12.59922416,11.58446245,10.34093643,12.10715093,12.39912119,8.697910409,12.03818364,11.9466974,11.35697063,11.45513903,11.28802677,10.45007435,12.2163461,12.46749591,13.78122565,15.77650855,11.67314796,10.844471,9.709278253,11.80120297,11.47656617,8.485988104,14.30353717,14.23797286,12.79137658,10.1576368,9.419314498,11.65105948,12.69864721,12.47178253,9.034703346,10.90681394,12.68201636,9.548863197,10.18349442,0.0886162570854887,1.34932526431295,7.29130247120439
"GSM672595",10.93087398,16.18697584,13.49133829,11.44420669,11.1661171,12.62842751,12.03883494,11.01078959,12.00707993,12.18422007,8.951537918,11.95198364,11.88511933,11.66456952,11.32306431,11.32477955,10.34454164,11.98993309,12.28742007,13.47410706,15.71599665,11.33414907,11.02428234,9.460184387,11.69346877,11.68286245,8.187467286,14.41869665,14.66569628,12.58011896,10.18409628,9.56301487,11.62800948,12.70631673,12.50635242,9.058432714,11.03527658,12.67714424,8.80037881,9.480399628,0.107440196219161,1.24025688937153,7.13156704515836
"GSM672596",11.06445836,15.93357807,13.56651933,11.33044126,11.1778052,12.61394312,11.96415093,10.83237323,12.13388587,12.61808885,8.639073606,12.25859294,12.26289851,11.545929,11.55682342,11.25146171,10.80762305,12.81402342,12.82026617,13.81090595,15.6989948,11.8064539,10.60911208,9.987783271,12.05551227,11.84635353,8.634157249,14.65334089,14.15158996,12.58091004,9.798108922,9.732179926,11.58120632,12.71656803,12.19544498,8.944990335,11.0511671,12.64033755,9.552804833,10.2696368,0.0764702963027952,1.42922145631346,7.4083139539143
"GSM672612",12.42150967,12.01111041,10.23424796,13.21581859,10.97578959,12.47040149,11.58882602,11.25331078,10.56183123,9.204114126,9.533196654,9.589195539,8.802977323,8.524420446,8.269560223,8.291892937,8.116738662,9.486692565,9.491711524,11.10549071,12.35779405,8.765206691,8.433071004,7.728157621,9.079373606,11.34699628,7.624310781,10.67379851,11.68608067,10.08788327,12.18355576,11.46931636,10.02762937,8.57858513,8.84304052,8.518662454,8.186486989,9.990411896,12.18355576,11.83742714,0.225977599142444,0.752159412843591,6.41672685058268
"GSM672613",11.97911264,11.6522461,10.46563457,13.10592714,10.61326914,12.47610223,11.28091301,10.72878178,10.25806283,9.596961338,9.442413011,9.300388104,9.088011896,8.436023792,8.194155019,8.059950186,7.955817844,9.537186989,9.29452974,11.2654855,12.31733383,8.93649368,8.337157993,8.178205019,8.858484387,11.25023494,7.564976208,10.61201561,12.04601524,10.53004981,11.76691301,11.25331078,10.08788327,8.061049071,8.391205576,8.132902602,8.035083271,10.3261487,12.00844572,11.59397472,0.222977497241783,0.762175955812791,6.43139651774837
"GSM672614",12.29166617,11.86726952,10.02511822,13.08627212,10.70775019,12.35640037,11.4562539,11.15301375,10.30587918,10.08788327,9.539726022,9.098998885,8.416739033,7.697784201,7.553404833,7.642252045,7.475986245,9.230539033,8.867563197,11.02024349,12.1967829,8.468954647,7.891243123,8.312686245,8.276495167,11.16154387,7.307651301,10.64203271,11.48629777,9.665223792,11.95485762,11.38636171,9.814483271,8.282275836,8.474837918,8.835132714,7.739739777,10.05217361,11.99510037,11.79984164,0.350813329275106,0.383125573776965,5.87626058306592
"GSM672615",12.24164052,11.7111632,10.30466134,13.08980112,10.71943829,12.44805874,11.18137621,10.85192937,10.31281784,9.096666171,9.232905204,9.556754275,8.983071375,8.562611152,8.622026766,8.573867658,8.436023792,9.398832714,9.517847955,11.36724349,12.23710446,9.221593494,8.617136803,7.772822305,9.059653903,11.09961338,7.618860967,10.52881636,11.87367249,10.37931041,11.73237063,11.27143494,10.39436654,8.397209294,8.756268401,8.388984758,8.383326394,10.20527881,11.90186766,11.61443383,0.144605046227113,1.05985605082889,6.86736209281407
"GSM672616",11.6998658,7.455511152,8.204286617,13.18693197,10.39915502,12.45033364,10.87543271,9.730959851,9.870642007,7.706005204,9.319698513,9.352210781,7.858394796,7.58000948,7.637442007,7.558524535,7.737766543,7.984951301,8.050930112,9.519147584,9.89214461,7.967410409,8.120082156,7.549137175,7.771924164,11.10190223,7.166906691,10.28716097,10.89689591,10.30216766,11.61880967,11.57506468,9.654058736,7.424458364,8.078779554,8.069449814,7.304376952,8.56395316,12.50924944,12.31592825,0.499044145086428,0.00239597524523135,5.31866536206385
