"","adhA","adhR","yraA","pval","z","inv_cof_var"
"GSM672601",9.228067658,9.499448699,11.57153606,0.302039677896027,0.518543159016733,6.27597147136219
"GSM672602",8.982436989,9.35160855,11.03757584,0.187480189933677,0.887220161291195,6.88823863357911
"GSM672603",9.148971747,10.04980929,11.52100074,0.326437510188031,0.449771762770608,6.16176183159202
"GSM672604",9.299215242,10.19081859,11.64603123,0.294744521331975,0.539576621781603,6.31090204332408
"GSM672605",9.025208922,10.02884981,11.70353494,0.486120018884563,0.0347989752512266,5.47261059773613
"GSM672606",7.629038662,7.985430483,8.71819145,0.000873675440846832,3.13011969673725,10.6130539196785
"GSM672607",7.649154647,7.861327881,9.526674721,0.262843101637356,0.634604790101943,6.46871667941264
"GSM672616",9.657201859,10.29585874,12.34201004,0.409696109926021,0.2283267633676,5.79400495894969
"GSM672617",9.652207063,10.06807993,12.15595799,0.327028737045303,0.448132638398479,6.15903971434128
"GSM672618",8.84164461,8.499108178,10.8426684,0.176714307402832,0.927959429695028,6.95589491835555
"GSM672619",8.930201115,8.613412268,11.09271227,0.247667473381801,0.681848193438692,6.54717447394827
"GSM672620",8.583566914,8.606457249,10.65717695,0.245014778498899,0.690261814006069,6.56114709376718
"GSM672621",8.582377695,8.554138662,10.48458067,0.156879085477711,1.00736756733807,7.0877691464514
"GSM672637",8.330175836,8.345705204,10.68896989,0.431482928937431,0.172599992396113,5.70145871464442
"GSM672639",8.5885829,8.458105948,10.86752045,0.354001384340378,0.37453977704364,6.03682299861675
"GSM672641",8.402105204,8.554138662,10.78052045,0.431111958188496,0.173543909864727,5.70302629186326
"GSM672645",8.604154275,8.674690335,10.85690223,0.338070082395593,0.417735977376124,6.10855954533097
"GSM672674",9.020110409,8.821174721,11.43817398,0.366227897904509,0.341860607892439,5.98255223576369
"GSM672675",8.884842007,8.685039033,10.81364758,0.138316467961251,1.087914315103,7.2215342806355
"GSM672676",8.782315242,8.826257249,10.93698327,0.262322620753754,0.636201276135842,6.47136798656623
