"","acdA","fadR","fadF","fadG","fadH","nagP","nagR","rpoE","yflG","yflH","yflI","ykzU","ccpA","pval","z","inv_cof_var"
"GSM672597",13.98711561,15.64881152,14.18664647,12.31454387,12.40194684,13.32523234,8.873246097,13.12422305,11.25813941,11.6064513,10.11346208,12.25782677,11.94797546,0.149625437876116,1.03804119710918,9.90102607197563
"GSM672598",10.629771,11.8141171,10.22478587,11.83214907,11.07978216,11.68734461,11.14584424,13.91831896,12.09369554,11.48142862,11.39101301,11.62494535,13.2749487,0.0319603370844017,1.85273274503482,11.6999584839451
"GSM672599",10.34454164,11.50065985,9.644426208,11.6007684,10.55341784,11.9588368,11.21533234,14.21067918,11.83742714,11.5375197,11.59652825,11.83344498,13.6106,0.207696185136943,0.814440980044671,9.40729113778496
"GSM672600",10.96242974,12.50189554,10.65138476,11.44300781,10.87543271,12.38852714,11.17064349,14.2077948,12.32584796,11.36371152,11.10790929,11.05850781,13.5115052,0.071921139451188,1.46163127630291,10.8363615677108
"GSM672601",10.11346208,11.65105948,9.650143866,11.18790892,10.48220409,12.02798086,11.06789331,14.16637026,12.06771041,11.2363461,11.18467807,10.92964758,13.37237472,0.269113381647888,0.615496676801813,8.96799929022436
"GSM672602",11.05971004,12.31169033,10.76552491,11.32477955,10.78880818,12.06361859,11.18252342,13.83597807,12.29166617,11.59151078,10.9214461,11.07857138,13.66292007,0.0194672744604421,2.06487796054857,12.1683994604149
"GSM672603",9.893404089,11.56165688,9.114499628,11.39588067,10.48220409,11.42134944,10.92375167,14.46059071,12.01652491,11.43271394,11.48265204,11.19886617,13.43237621,0.433126210174397,0.168420578101614,7.98080396873557
"GSM672604",9.987783271,11.72085651,9.636655762,11.43697807,10.55470335,11.32135353,11.03410706,14.43247509,12.10308439,11.51739071,11.54940074,11.09961338,13.44724164,0.322957630135608,0.459444135455267,8.62341737414423
"GSM672610",9.048547212,11.73466357,8.651625279,10.77930967,9.804423792,10.63703123,9.869347584,12.8679223,12.49197454,11.37323197,11.12404238,10.51055874,13.18693197,0.434959172723372,0.163762205664187,7.97051774791243
"GSM672611",8.99717881,11.56050372,8.675730855,10.68267491,9.856439033,10.76186208,9.849930112,13.02025465,12.44507026,11.4235684,11.08671896,10.56183123,12.94970781,0.453445172049491,0.116961775693284,7.86717702885976
"GSM672612",12.63599665,15.06041338,12.94134015,13.49333755,13.39496283,11.63132268,10.20901524,13.11699257,12.22607175,11.42728327,10.52528401,13.17595502,12.46749591,0.0109522234509713,2.29202073163027,12.6699567603327
"GSM672613",12.28742007,14.71898885,12.58602528,12.75551227,12.68201636,11.45388848,10.16996877,13.38685874,12.2829855,11.91889442,10.88235985,12.76600149,12.73823494,1.02935187897013e-05,4.25842705359934,17.0120075361125
"GSM672614",12.66205019,14.84911041,12.94628513,13.46569219,13.34303457,11.6620948,10.00627323,13.17062045,12.26996654,11.77697584,10.66789145,13.19436877,12.45414126,0.00262399130185131,2.7914045971457,13.7726536325142
"GSM672615",12.24467361,14.53294684,12.35640037,13.06929071,12.6938881,11.20221599,10.03071375,12.9397052,11.88260409,11.42064888,10.79915911,12.95315316,12.58170112,0.00031380001012367,3.41939737071994,15.1593337297139
"GSM672616",12.89897175,14.88755316,13.14508736,12.99596394,13.16865353,12.26584201,11.11351933,13.16149219,12.31318253,11.85813271,11.08210335,12.96701115,12.63305613,1.06629189739692e-06,4.74043640791498,18.0763394940894
"GSM672617",13.05770223,15.19678141,13.33519294,13.1633513,13.37838364,12.06224721,10.88583123,12.86480892,12.06073494,11.62863903,10.99430186,12.87464238,12.48520074,0.000173720407127082,3.57708981939697,15.5075367493355
"GSM672618",10.78824275,12.60816022,10.76070037,11.61507807,11.53162528,10.8556171,9.136124535,12.64033755,10.86057249,10.57976041,9.193304461,11.44888067,10.82065651,0.0151768864065809,2.16544304259029,12.3904586999612
"GSM672619",10.96359368,13.18357249,11.14584424,12.13114796,11.78463792,11.04224089,9.499448699,12.39001859,11.27260967,10.71174033,9.713857993,12.16308104,11.08324498,0.00195935903155134,2.88463170399806,13.9785097809152
"GSM672620",10.77595948,12.74603086,9.793719145,11.6089539,11.61507807,12.09768922,10.04472379,12.01111041,11.04701784,10.76186208,10.85440372,11.25578067,10.40149368,5.12913135936904e-05,3.88440065298694,16.1861143294049
"GSM672621",10.67258401,12.13114796,8.919800372,10.4978948,10.48458067,12.34942305,9.842369888,12.74146729,11.16212416,10.98335762,10.77930967,10.23660632,10.96915539,0.123996515280444,1.15523787026168,10.1598097729307
"GSM672622",11.32697918,14.40846283,11.02488141,13.51480558,13.4356552,12.4776539,10.4224948,12.18706394,11.21415576,10.69610112,10.60271673,13.24257695,10.35578234,0.0996680812559682,1.2834451553059,10.4429061682522
"GSM672623",10.93698327,14.37000297,10.87328067,13.18522751,13.06578587,12.31592825,9.856439033,12.60967212,11.47898253,10.85870595,10.69023643,13.03394164,10.33973569,0.0398186096848625,1.75279489722086,11.4792842495397
"GSM672630",11.4657,13.73590855,11.21415576,12.99944721,12.92314349,11.27734684,9.677058364,13.39100595,11.12166803,10.21334517,8.538774721,12.60212045,11.55433086,0.461605733277425,0.0963892035020425,7.82175042905443
"GSM672631",9.270202602,13.53679182,9.218575465,12.46749591,12.29166617,11.6064513,9.997590706,12.4776539,11.43575836,11.05060483,9.089297398,11.92414164,11.7111632,0.425285793819872,0.188389171470358,8.02489691400294
"GSM672637",8.742515613,10.96685353,8.458105948,10.97260186,10.09255093,10.51658141,9.941332342,13.35045167,11.35825762,10.6508487,10.43461636,10.5722368,12.66205019,0.473357460740169,0.0668326614131566,7.75648619293363
"GSM672640",9.398832714,11.22553048,9.11569145,11.36849442,10.5722368,10.69380223,9.851207435,13.43237621,11.03410706,10.64919294,9.885793309,11.24592528,12.60212045,0.283841856379212,0.571466130624592,8.87077479239252
"GSM672641",9.109746468,11.27385204,8.782315242,11.09734126,10.01376952,10.51419851,9.814483271,13.54736245,11.4285632,10.41267844,10.23546394,10.60737249,12.71058885,0.426650952767432,0.184907095529592,8.01720809080754
"GSM672646",9.955614126,11.98183086,9.151350929,10.12191822,9.249302416,10.16372974,8.594514498,13.5084171,10.4428803,9.869347584,9.194586989,9.997590706,12.19816729,0.414479918919014,0.216035805391438,8.0859438537547
"GSM672647",10.14026543,12.11816134,9.399416543,10.02628067,8.760095167,10.3503487,8.668460967,13.60160558,10.61900669,9.885793309,9.199481413,9.917876766,12.37289182,0.480605568085084,0.048633796425004,7.71630101098151
"GSM672649",9.702426022,11.45253383,8.450677695,9.800424907,8.534192193,9.941332342,8.847083271,13.02854461,10.55114572,9.888286245,9.102701487,9.889610409,12.16173569,0.484427212768534,0.0390451073647791,7.69512808537224
"GSM672651",9.715221933,11.98850669,9.767536431,11.6362881,11.29289665,10.97474461,10.495429,12.48055799,11.33878662,10.95058736,9.936259851,11.48629777,11.99971729,0.0198633703007612,2.05657899338968,12.1500743887408
"GSM672652",9.452549814,12.14592454,9.443779926,11.88197082,11.2785487,10.97578959,10.01496245,12.58472156,11.22259814,10.75005539,10.11712491,11.8077974,11.98320223,0.0916927913988362,1.33040282956107,10.5465941007261
"GSM672653",9.441220446,12.29166617,9.576361338,11.87367249,11.39465613,11.12107398,10.33478216,12.45103717,10.90858253,11.04281654,9.798108922,11.92279405,11.90440112,0.0946662166442221,1.31255650721126,10.5071873733686
"GSM672654",9.181440892,11.84180874,8.891684015,11.3149829,10.65305743,9.952976208,9.446366171,13.55136803,11.37323197,10.44625204,10.05097732,10.91817807,12.34420836,0.415520474290555,0.213366704389017,8.08005017250036
"GSM672655",9.216207063,11.61378959,8.760095167,11.26785613,10.83943569,9.895909665,9.711259851,13.63843383,11.52282584,10.44512714,10.17617398,11.10905242,12.64033755,0.460264912632154,0.0997663478240428,7.82920755119619
"GSM672656",9.926298885,12.09641227,9.662597398,10.74750632,10.86752045,10.25681506,10.37568922,14.00869331,11.80505465,11.53395353,10.60684089,10.27803457,12.94628513,0.306686346231891,0.505265042116415,8.72459519334273
"GSM672666",9.110960595,11.13356654,8.583566914,11.00543048,10.38045316,9.907265799,9.729824164,13.32734535,11.48741822,10.43198662,10.25133606,10.27553494,12.30746208,0.423675932818179,0.192498343125792,8.03397043648654
"GSM672667",9.026469888,11.12529665,8.588047584,10.87889517,10.24201561,10.09135651,9.899647212,13.33925093,11.60389777,10.43697138,10.49409517,10.42730372,12.39750149,0.42740358504227,0.182988336678569,8.01297125111448
"GSM672669",8.868964684,11.18790892,8.579858364,10.91574907,10.16816171,10.35518699,10.04345948,13.50622305,11.46694833,10.34696877,10.1489197,10.50555074,12.38852714,0.486726364473685,0.0332782113640166,7.68239411733409
"GSM672670",8.946330112,10.93698327,8.719429368,10.99318253,9.982824907,10.43697138,10.01140335,13.22356468,11.63990818,10.32731338,10.1891277,10.35924572,12.26289851,0.406679174836507,0.23609577842958,8.1302385758166
"GSM672671",9.01662119,11.12277175,8.702976208,11.13599963,10.00255502,10.63199814,10.0087881,12.94545874,11.61633606,10.39560743,10.06448922,10.44045019,12.0407881,0.333333469670604,0.430726924330266,8.56000647709286
