"","cheA","cheB","cheC","cheD","cheW","cheY","flgB","flgC","flgD","flgE","flhA","flhB","flhF","flhG","fliE","fliF","fliG","fliH","fliI","fliJ","fliK","fliL","fliM","fliP","fliQ","fliR","fliY","fliZ","swrB","swrD","ylxF","codY","degU","spo0A","swrA"
"fliM",0.964052978361148,0.966496097723792,0.939378392682028,0.934143843031476,0.942278098218672,0.982229238249989,0.932618256112878,0.954629540618743,0.97887853648709,0.985475961385951,0.974051406019169,0.974598499600296,0.968768004451696,0.957999013469643,0.96236811876344,0.973695249295821,0.971130321149422,0.974518866066879,0.976167512451539,0.959883443877165,0.975574497393815,0.982971621424442,1,0.979540906923473,0.964530279869531,0.961196381166749,0.992666177702539,0.982017084320408,0.881231300250694,0.976254275076698,0.971139486534637,-0.443445283947349,-0.000516584342636833,0.641445337023555,0.81437603876781
"fliP",0.959653520061742,0.968209270824727,0.926800056098693,0.923466179130568,0.93675472740463,0.977347908501966,0.940655533704833,0.95211686049205,0.970862695822474,0.973703816198314,0.964955150859826,0.969624815762682,0.969011403875342,0.960339674035192,0.9605344223644,0.966616864390301,0.95843992428185,0.9630576090824,0.957536447259458,0.955861685468993,0.968797185603497,0.982634346983565,0.979540906923473,1,0.969905625919072,0.970387914993885,0.979560424306727,0.98850424801481,0.883427499093868,0.978418986448937,0.963114455959941,-0.479363321564932,-0.00910721729465947,0.644012451249272,0.821289799501092
"fliQ",0.950526001907448,0.954757756092072,0.93843235319607,0.924911651116583,0.937363313041728,0.956999819734597,0.925024838819971,0.941486383688018,0.953053374772912,0.966246362299795,0.968390085951539,0.977224408857994,0.963393771863149,0.969647836560651,0.937359563282656,0.945028496112259,0.952419018012309,0.947077864645757,0.956048399525298,0.939091292460886,0.951671958478102,0.966299594197772,0.964530279869531,0.969905625919072,1,0.990347523609529,0.964064945058404,0.969636187718909,0.860926871554836,0.966558162456995,0.950054196039382,-0.455518314893342,-0.0333444893627649,0.612409516020814,0.803801664426497
"fliR",0.950365635332331,0.956298715513919,0.937240919319275,0.919983622826056,0.934977020714187,0.958458617977154,0.929167409199058,0.943104252281147,0.951653558482278,0.964566455746756,0.967828263697887,0.977941352365537,0.965503166493717,0.970103083507256,0.942140463846231,0.945041915133961,0.949774565312107,0.946097345103662,0.945848644977576,0.937222801630894,0.949517902609766,0.966648182506377,0.961196381166749,0.970387914993885,0.990347523609529,1,0.963127721686089,0.969242108116417,0.864235173670857,0.967155006612063,0.948057284764356,-0.450263184502018,-0.0188141154334686,0.621942855374449,0.809397725989074
"fliY",0.957839233139318,0.960445843413192,0.933982400556619,0.927424779862299,0.937506908650789,0.985310326316173,0.929588945779657,0.955570712737531,0.975264762747702,0.98448961667251,0.967524126134004,0.968523725462539,0.962243054818608,0.953078411184937,0.961296389450406,0.971663776656456,0.972631250233149,0.9720877047161,0.975787190824352,0.953487994845677,0.971176171237428,0.980251084948611,0.992666177702539,0.979560424306727,0.964064945058404,0.963127721686089,1,0.985619053000975,0.873264957186509,0.975762600537652,0.965809448598728,-0.442907255787431,0.0135430181379965,0.654290052529001,0.811921725858375
"fliZ",0.95895762159535,0.965189457552522,0.92928835776436,0.926906494175267,0.935888011009807,0.979725319932935,0.946027977922161,0.963959904281811,0.976524956089223,0.979833041766519,0.964536291515263,0.967294307956945,0.965701605368112,0.959491491323401,0.963871514457169,0.973367248774778,0.96973135135145,0.965885867585892,0.968416111242891,0.961487998656765,0.968432200374319,0.982893197490264,0.982017084320408,0.98850424801481,0.969636187718909,0.969242108116417,0.985619053000975,1,0.875249195433323,0.976633185304631,0.970807995092774,-0.497406372333123,-0.000357222840725318,0.657738584787605,0.82305761520097
"swrB",0.955899698381207,0.930332871149742,0.946337282855896,0.948245741199603,0.956630499853055,0.87107443490876,0.851649534110731,0.844938382728516,0.884742642930513,0.872948420915745,0.901267335494644,0.874115227513465,0.929251821911227,0.918804154821417,0.853701715645572,0.841122618728896,0.8348034399522,0.854648367079524,0.844792004975809,0.853655838834218,0.895991730088865,0.884419733287075,0.881231300250694,0.883427499093868,0.860926871554836,0.864235173670857,0.873264957186509,0.875249195433323,1,0.864597163579125,0.865274017680777,-0.438755971215195,-0.088878249698995,0.561919728484792,0.730618264294614
"swrD",0.952167489232347,0.949776485451138,0.928045909067821,0.917780510196974,0.932034591222221,0.975825406252675,0.927958278761233,0.948343460296679,0.973220625148696,0.981793021965382,0.953596027467689,0.965565555196785,0.957330830107579,0.95594741394862,0.957043553851967,0.961847751389229,0.956663460540375,0.961796689292391,0.95845749577662,0.96040815320854,0.966596157421777,0.984806333789244,0.976254275076698,0.978418986448937,0.966558162456995,0.967155006612063,0.975762600537652,0.976633185304631,0.864597163579125,1,0.958582378588125,-0.443908930215757,0.00643216955049086,0.636728719117481,0.809036136187057
"ylxF",0.940033183949628,0.959287622491482,0.909348383591455,0.902596236148938,0.908655947733286,0.960021854600988,0.94754054640119,0.961128139381452,0.979095231372782,0.971118800433353,0.967905387022789,0.968264678271943,0.964070191445732,0.944123920822175,0.963299848369264,0.977476692370437,0.965534893478889,0.979046773314837,0.967846725299676,0.976132510345413,0.978836799033926,0.969678220218604,0.971139486534637,0.963114455959941,0.950054196039382,0.948057284764356,0.965809448598728,0.970807995092774,0.865274017680777,0.958582378588125,1,-0.452467239814586,0.00967996806903923,0.651245838741228,0.821041655669761
"codY",-0.469282867519219,-0.475244591016506,-0.454574559909355,-0.474377605272966,-0.480541649796404,-0.448157849150707,-0.570156036107744,-0.528205123868606,-0.47069885364616,-0.466057658042192,-0.429609546355088,-0.421814609826332,-0.451015455157271,-0.449458904629421,-0.480267655259351,-0.468870710679224,-0.463107810638788,-0.435382301736183,-0.445009993954659,-0.437087251639123,-0.43487635909497,-0.473524925611213,-0.443445283947349,-0.479363321564932,-0.455518314893342,-0.450263184502018,-0.442907255787431,-0.497406372333123,-0.438755971215195,-0.443908930215757,-0.452467239814586,1,0.0219777600819749,-0.492296291122206,-0.413386754081362
"degU",-0.0814850395243553,-0.0627700003406211,-0.0858607181316865,-0.0607291818570819,-0.0702680291580387,0.00783706975227804,0.0431233947637394,0.0683372181573,-0.00267116486594132,0.0228667891351208,-0.0448496065956461,-0.0377551882890057,-0.0621922490740382,-0.0750314421676434,0.0885049922373812,0.0885601440719691,0.0799815306281594,0.0676921982527266,0.0432343234917454,0.0269956127040654,-0.00976505207869038,0.00198548089081818,-0.000516584342636833,-0.00910721729465947,-0.0333444893627649,-0.0188141154334686,0.0135430181379965,-0.000357222840725318,-0.088878249698995,0.00643216955049086,0.00967996806903923,0.0219777600819749,1,0.469108832431812,-0.146047543690772
"spo0A",0.593490795761167,0.599100615766362,0.581662130680916,0.591109683645262,0.590805950901876,0.637718039900628,0.742754141511093,0.75540414208102,0.653564233090116,0.664308794639414,0.60973672015077,0.610429623845048,0.60508622602863,0.582544255546267,0.741648888827444,0.724611705627464,0.697183119394316,0.69201919641796,0.687601006077788,0.655337937809297,0.645363736741574,0.646305439260257,0.641445337023555,0.644012451249272,0.612409516020814,0.621942855374449,0.654290052529001,0.657738584787605,0.561919728484792,0.636728719117481,0.651245838741228,-0.492296291122206,0.469108832431812,1,0.583775856581675
"swrA",0.797373576638784,0.80815958028289,0.769924770804112,0.756700329181383,0.774064340586801,0.802978709891745,0.838374143753104,0.844639432162012,0.822900721473811,0.809252288959889,0.816439542056923,0.817789109407463,0.820864784537394,0.79377844467233,0.834715949760417,0.831152202425065,0.81288444280046,0.81147303890704,0.808546486926501,0.813310564516754,0.815838280532011,0.814436503238999,0.81437603876781,0.821289799501092,0.803801664426497,0.809397725989074,0.811921725858375,0.82305761520097,0.730618264294614,0.809036136187057,0.821041655669761,-0.413386754081362,-0.146047543690772,0.583775856581675,1
