"","birA","spx","bshA","bshB1","bshB2","bshC","cca","coaX","dapB","mgsA","msrA","msrB","tpx","trxB","yacC","yacD","yjbH","yjbI","ylaA","ylaB","ylaD","ylbQ","yojF","yoyC","ypjD","ytpP","ytpQ","ytpR","ytvA","ytxK","yugJ","yugT","pval","z","inv_cof_var"
"GSM672599",12.83337732,14.10461152,12.56849424,12.75389331,13.29444201,12.32441041,12.69711524,12.64033755,12.38563941,12.32160558,11.80505465,11.66456952,14.11871338,13.17256729,12.84362528,11.99510037,12.24675985,12.19544498,9.150171375,9.720425279,9.591734201,11.57750409,13.46045167,13.51044907,12.38281004,12.95655428,13.44939033,13.92068736,10.76958048,12.94463234,12.65605019,9.521692565,0.0113473738881999,2.2785345610036,9.5704285501132
"GSM672600",13.00986097,13.30210743,12.73823494,13.06578587,13.04989703,12.00844572,12.99767955,12.77243197,12.63599665,12.68047472,12.23010929,11.88943309,14.2572026,12.94134015,12.73666097,12.15306543,11.9427,12.05744572,9.150171375,9.480399628,8.990778439,11.63251747,13.44308773,13.61280632,12.75551227,13.48023494,13.43859219,13.83360706,10.76773309,12.6836,12.85502825,9.2522,0.0849948254559602,1.37223706330341,8.87981267590578
"GSM672601",12.97873309,13.53679182,12.56166506,12.91488662,12.79137658,11.99392119,12.90213346,12.65605019,12.59205613,12.51368253,11.99779554,11.57879851,14.13993457,13.18693197,12.55561822,11.93482268,11.95618216,12.19544498,9.376255762,9.701824721,9.225799628,11.74700781,13.32734535,13.46569219,12.62092416,13.25369033,13.35250967,13.64276654,10.55637156,12.52470093,12.89544572,9.525447955,0.0130260979571781,2.22543282627536,9.52996402158439
"GSM672602",13.20505651,13.07877639,12.76007472,13.17595502,13.06929071,11.89799851,12.97873309,12.78208439,12.81230186,12.65458104,12.02735651,11.73237063,14.11600446,13.00295056,12.72426729,12.31870483,11.76959033,12.04472491,9.207777695,9.56301487,8.720728996,11.5471777,13.48916357,13.69168178,12.91305019,13.42815502,13.42601599,13.73590855,10.64447546,12.65290223,12.54641822,9.241455019,0.124048976416181,1.15498162105916,8.71425991033755
"GSM672603",13.00295056,13.50399368,12.66205019,12.78984721,13.30585762,12.18422007,12.8365881,13.0950171,12.62092416,12.43612565,12.14044424,11.8281881,14.05645093,13.29444201,12.95655428,12.35933978,11.93087695,12.37136022,9.427639777,9.80762342,9.425710781,11.87109368,13.7086368,14.00300297,12.80470855,13.59952639,13.56426171,13.88738959,10.4644316,12.60967212,12.74445799,9.835013011,0.0160045564681276,2.14429680153927,9.46813683261496
"GSM672604",13.07116617,13.53224944,12.57254721,12.96507435,13.34118773,12.23151078,12.77089368,13.23707546,12.70161301,12.58602528,12.02055242,11.8387684,14.14266803,13.38685874,12.95128178,12.28366413,11.92745725,12.29315279,9.369944238,9.873116357,9.620627138,11.81549405,13.78122565,14.07618625,12.89724424,13.44308773,13.64935428,13.80343717,10.3660829,12.76232528,12.87947621,10.01882751,0.013945482930211,2.19881659724378,9.5096819504903
"GSM672605",12.72872639,13.59952639,12.35195651,12.83989033,13.1468632,12.28742007,12.71507175,13.04813494,12.45247361,12.2829855,11.88260409,11.38266952,14.16637026,13.35817584,13.0743855,12.25629535,12.10151896,12.37289182,9.204114126,9.634723792,9.017198327,11.55245855,13.49133829,13.80583271,12.61808885,13.5255539,13.40928959,14.03459963,10.70406654,12.72346599,12.68944535,9.755274535,0.0539913537496552,1.60732675792674,9.05895547987626
"GSM672626",11.94543792,13.95569071,11.61633606,12.20240781,12.03426766,11.35625651,11.77020669,11.57153606,11.83214907,11.7975223,12.34049442,11.87752714,14.53674944,12.25148216,11.37323197,11.35176059,11.78463792,12.41256617,8.296347212,8.62690223,8.634157249,11.80381487,12.66205019,13.07284758,11.97753792,12.56009368,12.62237993,13.06578587,10.28889442,11.173071,12.23779796,8.206089219,0.359894050263194,0.358742006589742,8.10751022955307
"GSM672627",11.28091301,13.94393941,11.25685576,11.73973234,11.79090335,11.01321561,11.37684758,11.15301375,11.51118996,11.26915056,12.05809554,11.70109888,14.1456342,11.43214164,11.09734126,11.28802677,11.75807658,12.45414126,7.991175093,8.412957249,8.208771747,11.62494535,12.27423903,12.62842751,11.52469963,12.76159257,12.55336599,12.94134015,10.31892639,10.60167435,12.10086896,8.018659851,0.486229149495288,0.0345252609965837,7.86045092313471
"GSM672630",10.17489219,15.37522491,10.41267844,11.02773922,10.51167881,10.73581636,10.49409517,9.641176952,10.71228216,10.75600112,12.50329219,11.87367249,14.03156208,11.05456468,9.392488104,10.73932156,11.78835316,12.42726766,7.434428625,8.437373606,7.973584015,11.34937286,11.02258996,11.47313457,11.03873829,12.09093494,11.99510037,12.35640037,11.07385093,10.7487777,10.52943309,11.29171004,0.353656809344281,0.375466415975017,8.12025454655441
"GSM672634",11.76959033,13.56877881,11.62612305,12.07309777,11.91645465,11.27734684,11.73722937,11.37684758,11.68911078,11.66514257,11.87752714,11.49708959,13.77875762,12.01652491,11.24358141,11.05398736,11.79868662,12.16032193,8.207724907,8.566478067,8.257919703,11.73846877,12.36369665,12.52544535,11.76631543,12.50924944,12.52980595,12.95655428,9.876702974,11.22497212,12.15243309,8.088671747,0.306953307269497,0.504504907388462,8.21858432323375
