"","pamR","ydcF","ydcG","pval","z","inv_cof_var"
"GSM672603",10.90965465,10.35158587,11.09626803,0.00505650264669049,2.57194124519501,27.8362800946381
"GSM672604",11.07385093,10.30981766,11.14697993,0.036620884511197,1.79132118124409,23.3863862782519
"GSM672605",10.97028662,10.41760929,11.23069257,0.011227626639127,2.28257774232153,26.1867748851416
"GSM672618",8.023792937,7.458304089,8.242130112,0.131745912697724,1.11817601636444,19.5491488755037
"GSM672619",7.995139033,7.433513383,8.337157993,0.231257753688573,0.734711020146697,17.363221823061
"GSM672620",8.35422974,8.155705948,8.634157249,7.07870968027731e-05,3.80540176993735,34.8675730568344
"GSM672621",8.363724164,8.062080297,8.562611152,0.000244450466498769,3.48676490062705,33.0511961791505
"GSM672622",8.472410781,7.733788104,8.858484387,0.399969992267036,0.253424775215985,14.6196686092359
"GSM672624",10.08723364,9.053477323,10.45256691,0.470735644812154,0.0734207706338437,13.5935628967325
"GSM672633",9.292084387,8.607624907,9.873116357,0.400314208720524,0.252533896300363,14.6145901891941
"GSM672634",9.608845725,8.79387881,10.18469814,0.467781014101562,0.0808490138525626,13.6359073035599
"GSM672635",9.632133457,8.792524907,10.17127509,0.46200095984842,0.095393952101251,13.7188201490804
"GSM672637",9.699892193,9.121938662,9.918536803,0.0381969022157416,1.77200453498214,23.276272499829
"GSM672642",8.886296654,8.441049442,9.522955019,0.282252531522953,0.576162923988853,16.4594246683712
"GSM672644",9.363047212,8.736597398,9.845520818,0.265102204766167,0.627694010855973,16.7531755920165
"GSM672645",10.1254855,9.182578067,10.50016952,0.398907842433714,0.256175034858192,14.6353463556076
"GSM672646",8.442299257,7.824440149,8.878179926,0.320706300614092,0.46572465638027,15.8298756895292
"GSM672647",8.539452788,7.705065799,8.868964684,0.445671452975442,0.136605149500728,13.953742950764
"GSM672656",9.924944238,9.289737175,10.02391561,0.0238335789795695,1.98032378381678,24.4637881428829
"GSM672657",9.712572491,8.866158364,10.24398885,0.454539563215378,0.114200158293666,13.8260241840648
"GSM672658",9.526674721,8.863658364,10.11590446,0.363360845449223,0.349489714966397,15.1672830008046
"GSM672683",9.989074349,9.160485874,10.01496245,0.115539582009459,1.19758359951761,20.0018086642606
"GSM672684",10.0484855,9.166684572,9.858397584,0.0881618402310761,1.35216142630978,20.8829734553774
"GSM672685",9.990946097,9.316182528,9.674375465,0.00337785470340318,2.70865231764745,28.6155961589199
"GSM672686",10.06448922,9.267866914,9.881884387,0.0373577171284105,1.78220729112408,23.3344329078978
"GSM672687",10.00012416,8.793201859,9.930797212,0.433587127973304,0.167248841092067,14.1284261033253
"GSM672688",9.873116357,8.913276952,9.839937175,0.223298216040778,0.761101520984779,17.5136598298633
"GSM672693",9.412865428,8.477389963,9.761062825,0.450487037050153,0.124430943822984,13.8843443725483
