"","ansA","ansR","ansB","pval","z","inv_cof_var"
"GSM672666",9.918536803,9.632801859,9.775313755,0.127324112099465,1.13913170788537,68.4238376768429
"GSM672667",9.80762342,9.687145353,9.739531599,4.69881505550779e-05,3.90564007687181,161.312072164833
"GSM672668",9.763730112,9.656692193,9.706761152,3.38831445945788e-06,4.50058628430987,181.287975163635
"GSM672669",9.932549814,9.59959145,9.880541264,0.232245827621959,0.731470764884786,54.736221297462
"GSM672670",9.853855762,9.771886989,9.881884387,1.18841323628902e-05,4.22618874840666,172.074808507919
"GSM672671",9.982824907,9.601017844,9.969389963,0.324404672805319,0.455416891175754,45.4674414738185
"GSM672672",9.89214461,9.947730112,9.857714498,1.11974191294843e-08,5.59240291450336,217.946790405338
"GSM672673",9.947730112,9.724398885,10.09491599,0.246573636147236,0.685311665154762,53.1863842076693
"GSM672676",10.14765651,9.667862082,10.15257063,0.43259835077334,0.16976277706608,35.8763241537579
"GSM672677",10.05959888,9.70122342,10.09954424,0.325374799793283,0.452721078268032,45.3769269088472
"GSM672678",10.03007658,9.70606803,10.06807993,0.278089414239374,0.588526684058796,49.936733449428
"GSM672679",9.824746468,9.474102974,9.729824164,0.24501177335707,0.690271373141462,53.3529112724797
"GSM672680",9.759085316,9.638676208,9.721840149,7.5096149592648e-05,3.79075127758923,157.454567937685
"GSM672681",9.713857993,9.236433086,9.729824164,0.453502127928005,0.116818029806489,34.0986522864004
"GSM672682",9.699892193,9.198179926,9.462750186,0.411735292110943,0.223083417326445,37.6666169976465
"GSM672683",10.28171859,9.974054275,10.40272268,0.316159771654403,0.478464629503627,46.2412919151246
"GSM672684",10.32859814,9.993965056,10.55114572,0.423045673929534,0.194107961444581,36.693737619972
"GSM672685",10.12423866,10.00627323,10.45615651,0.343471707790656,0.403006536929903,43.7077123765337
"GSM672702",9.793090335,9.647648327,9.861586245,0.038867509640098,1.76398194343274,89.403797777475
"GSM672703",10.01624201,9.628471004,10.04345948,0.355347839439967,0.370921932442204,42.6304402820344
"GSM672717",10.0087881,9.546230855,10.0748145,0.451222613333665,0.122573011869256,34.2918814590692
"GSM672720",9.51122342,9.116951673,9.630962082,0.442595811102674,0.144391128028004,35.0244461288744
"GSM672730",9.986601859,9.494378067,10.08529814,0.488621200909054,0.0285262879340515,31.1341703732643
"GSM672758",10.05582602,9.768651673,10.06570037,0.194893800941878,0.860002613436327,59.0518042977782
"GSM672759",10.17246059,9.699892193,10.17751747,0.425120935417734,0.18880982535227,36.5158474992665
"GSM672760",10.01496245,9.52794684,10.09014535,0.474025429038101,0.0651546629922605,32.3640040254818
