"","aprX","bstG","corA","cwlD","dnaE","hbs","ligA","parC","parE","pcrA","pcrB","polY2","ruvA","ruvB","sbcE","sipV","tagC","uvrA","uvrB","uvrC","uvrX","xkdA","ybaK","ydgG","ydgH","ydiO","ydiP","yerH","yhaM","yhaO","yhaZ","yhjD","yhjE","ykvR","yneA","yneB","ynzC","yorB","yorC","yozL","ypuD","yqhB","yqjX","yqjY","yqjZ","yqkA","yqkB","yqkC","yqzH","ytsJ","lexA"
"pcrB",-0.285362826082428,0.0564500953251823,-0.366277157377819,-0.639559619411035,0.407136714265666,0.66495893642529,0.733299151903025,0.655121118572933,0.764250419620357,0.860298931029443,1,-0.15042560289411,0.807633210000945,0.794685391132123,-0.00432019243258053,-0.397569035852205,0.214059122528094,0.332273090307528,0.337405903974713,-0.244052537654877,-0.177790404019558,0.655102370454547,-0.56052784989326,0.738172222535148,0.755629596864594,0.734055631384839,0.762420489130114,0.724058987930088,-0.0138818190224706,0.748940948923407,0.296363504816062,-0.146193233672644,-0.308960434192513,0.195431561024293,0.511872841549772,0.578064373445342,0.537027321602264,-0.235107167114363,0.483295658599241,-0.040762351386201,-0.377227699286111,-0.214938518548392,-0.205354744803621,0.127716737679546,0.463211969762471,0.587852102972489,0.330746398736212,0.129287929270913,0.631388623654449,0.51119348566487,0.509225687769008
"polY2",0.325839985761909,0.505242829968664,-0.0492924709230079,0.497184375554167,0.176163042716023,-0.452097357432155,0.150535651105395,-0.12236935212589,-0.131140155645748,0.0127163004231743,-0.15042560289411,1,0.0342072883215929,0.0531229659245596,0.786651786260933,0.614823894021857,0.377093482549822,0.380159722430204,0.324392193820091,0.623216628972177,0.783779864160948,0.0475699352017643,0.600224118947616,-0.0137653577393564,0.0391054223933832,-0.136048621404087,-0.221142307688265,0.0894808644031385,0.395005479838222,-0.00513249186445845,0.529247407142116,0.822476047643811,0.574464353314377,0.149922444250312,0.172629878091969,0.17443812314132,-0.0826839546680456,0.35469393034819,0.0595584281382791,0.00739907520409862,0.120993869866667,-0.138121424563106,0.973032153475273,-0.412574513530581,-0.575722934943893,-0.671786218047769,-0.372259791046308,-0.101184214886575,-0.396426507709724,0.0120976734627747,-0.157669564802243
"ruvA",-0.220286075530784,0.197533244938797,-0.345271448206581,-0.428158737187094,0.425707662523904,0.642245061268201,0.693192895580938,0.730802133584716,0.771551669772707,0.786316666097454,0.807633210000945,0.0342072883215929,1,0.908490084575089,0.235949322561552,-0.351543562746459,0.341360773150147,0.410650322047916,0.418732224309807,-0.154910812595567,0.142576641315959,0.733500935373786,-0.334193144006062,0.755861278508915,0.737123565701805,0.710363359706545,0.687237136077684,0.66144089357163,0.25692061994165,0.771415070561369,0.299487441836761,0.0279975087563572,-0.289801656479533,0.405339343308749,0.513976596504971,0.606154259400731,0.637250325722865,-0.15352541369355,0.721437801046833,0.190775849329677,-0.438133982001718,-0.31890853599328,0.0129716398314553,-0.044746117213378,0.229666991818478,0.344008285555691,0.208394951193342,-0.0903448428431597,0.387296173097853,0.509715871945374,0.490494658898023
"ruvB",-0.198464799596846,0.335849393798793,-0.234528120553514,-0.522479757153576,0.622523163539622,0.637118502559828,0.76149038108078,0.829943333113829,0.823827554655411,0.886972110415243,0.794685391132123,0.0531229659245596,0.908490084575089,1,0.327358335301267,-0.278180722362464,0.422705658434323,0.61445469821375,0.582514898132794,-0.0379171655039604,0.133071101032947,0.722504551508269,-0.383204594893648,0.675509977223575,0.764637613287726,0.768545967027524,0.780904390816485,0.745636429863491,0.404751706076827,0.83071857965964,0.389896953471999,0.0276543844699582,-0.218486312158981,0.392281127263236,0.562405682454173,0.672320409925598,0.553503467989087,-0.0643414085220415,0.665797077568576,0.10435894849555,-0.468824831302068,-0.179319709923946,0.0170285996325041,-0.181839588891867,0.191143548893781,0.376773951562631,0.249841885751793,0.0721032818599421,0.385371627909476,0.592648614208401,0.623723772350989
"sbcE",0.279028011210057,0.487480413785681,0.0517121225317175,0.345761626891581,0.361588674829758,-0.212991457654228,0.411111640968804,0.237114591682673,0.164692504296242,0.252363660085482,-0.00432019243258053,0.786651786260933,0.235949322561552,0.327358335301267,1,0.406825552219989,0.401121032048927,0.541848788922883,0.460408591456682,0.487247412904668,0.748939530638132,0.181450923351037,0.455094015032687,0.251361035034218,0.34674638644131,0.0929421175904096,0.00937522693263811,0.355156963856359,0.518343604340944,0.258030466009567,0.557643060881247,0.712213199206661,0.368838180206632,0.161112304994707,0.201764559603278,0.257592421803369,0.0576559601968054,0.292998460295255,0.234681801249448,0.0465717718268116,0.120301212501183,-0.0820351694274842,0.765795899431379,-0.466834555774298,-0.496078047422119,-0.500410022131133,-0.214418769601534,-0.0853416094752368,-0.376749820179622,0.135348538472685,-0.047093859234919
"sipV",0.161772736850242,0.336495317762716,0.165934104150348,0.459753700208035,0.180133963758199,-0.63174432391199,-0.180893160450478,-0.4183852476094,-0.385673135620437,-0.308021914007918,-0.397569035852205,0.614823894021857,-0.351543562746459,-0.278180722362464,0.406825552219989,1,0.0286362432694782,0.181245131175566,0.148578247366593,0.654097948048422,0.46182782159893,-0.153698107313469,0.400426915663112,-0.44835722336497,-0.389377172977453,-0.348647100465623,-0.384583822943087,-0.197858129654006,0.420861091865868,-0.243593398792879,0.298181076303402,0.582126348110934,0.936942396775683,0.0739750461576056,0.0425269514256353,-0.0190846420609823,-0.418475849168822,0.497357034363224,-0.213874060216855,-0.00266303172941156,0.112132486975347,0.115207461605338,0.590732921513482,-0.470889324199902,-0.613424012425967,-0.675802160694223,-0.431269170600904,0.118437753355402,-0.283999101978335,-0.0981725166204816,-0.188941106610951
"tagC",0.17650413966961,0.717435374558506,0.03061839038921,-0.180243440648571,0.449858897854405,0.0218314825073846,0.399996765394015,0.346881550484522,0.336179122431629,0.379124860968319,0.214059122528094,0.377093482549822,0.341360773150147,0.422705658434323,0.401121032048927,0.0286362432694782,1,0.668357548734388,0.576300846142799,0.454145654665501,0.558134391974656,0.385462082779544,-0.0852481409809209,0.150860626543478,0.220219384665079,0.516229510564421,0.463278668443781,0.474358449061964,0.457126930325586,0.466358106414711,0.627511579070639,0.475980470305787,0.0082460793494087,0.403509253835058,0.709552354196187,0.719423364113468,0.503006523699169,0.512890700993297,0.564785821562161,0.086318956452343,-0.25583171532727,0.13373209576718,0.37915322990026,-0.311862953046518,-0.211053619426737,-0.0883972282228049,0.204421385164452,0.0966271874074073,0.139729093308425,0.313358127041717,0.570612018595459
"uvrA",0.0871230621838649,0.811498426859731,0.259783368654951,-0.218984106993511,0.75252693790164,0.11084435175669,0.614559343860546,0.62267352478719,0.583612845081657,0.610107304906152,0.332273090307528,0.380159722430204,0.410650322047916,0.61445469821375,0.541848788922883,0.181245131175566,0.668357548734388,1,0.929660850901035,0.543359250984349,0.494263706038176,0.510090453363286,-0.198314699156866,0.216915037982546,0.368119047239093,0.660273227156226,0.651801020569755,0.640891816792205,0.688806195526656,0.694148608406695,0.726956479987252,0.448116923697331,0.193017768897883,0.510712189598057,0.769806435077799,0.802343869019518,0.437633923073287,0.548561382897116,0.574292062885599,0.00720637156413722,-0.187423687850944,0.309166370502577,0.331201337315126,-0.579968358763425,-0.282279376610851,-0.04425679239247,0.267357461813116,0.360691225662332,0.136375878099198,0.6399704820599,0.677209065037509
"uvrB",0.062859118194786,0.767933492812973,0.346320039534493,-0.173404398372882,0.650860968872699,0.111027542850585,0.567593868185612,0.584517142598634,0.570671750838897,0.5499975379879,0.337405903974713,0.324392193820091,0.418732224309807,0.582514898132794,0.460408591456682,0.148578247366593,0.576300846142799,0.929660850901035,1,0.43561443491584,0.418052650695469,0.5275433898297,-0.248858685097452,0.210200752145001,0.328668497209994,0.653771190469367,0.646015921281435,0.568902846374777,0.673640038565995,0.713947031217336,0.635505251895205,0.34307264416085,0.208684436980722,0.423428091111116,0.761928221973955,0.784565276087575,0.401516827914953,0.491283710599359,0.590924001149462,-0.00827200111822669,-0.145663698996393,0.349657702119777,0.263170504518045,-0.521589336185461,-0.220843979610424,-0.0018226257710854,0.25826584005283,0.337141390319479,0.115334498214049,0.599273065825015,0.625335604057508
"uvrC",0.227108574979097,0.60323624742841,0.306847120192898,0.203734232584769,0.406994916316715,-0.583148214525956,0.0910345477964907,-0.176048329103147,-0.191581246508335,-0.0484973335606783,-0.244052537654877,0.623216628972177,-0.154910812595567,-0.0379171655039604,0.487247412904668,0.654097948048422,0.454145654665501,0.543359250984349,0.43561443491584,1,0.589060937061036,0.104021132658152,0.262551856738259,-0.298578889370128,-0.201611783482095,0.0316912095267851,-0.024877241593156,0.121037899532147,0.527309478316436,0.0549086625760185,0.611085951228488,0.690787107732589,0.594289812869314,0.362931913822462,0.353844902587902,0.303227518232243,-0.0375515312329913,0.615866662665604,0.0377357522193547,0.0531565835605779,0.0669334455033404,0.397877529613658,0.596913947651962,-0.532241270541727,-0.63866338808264,-0.590370979379404,-0.124804016839476,0.151205784934748,-0.14280898592243,0.148874787857762,0.188225351393812
"uvrX",0.307689485008405,0.575024850534475,-0.000107858947602091,0.45125671319788,0.275735402795478,-0.342112054967694,0.136485581000794,0.0744663525921113,0.029181872292847,0.0099234612507282,-0.177790404019558,0.783779864160948,0.142576641315959,0.133071101032947,0.748939530638132,0.46182782159893,0.558134391974656,0.494263706038176,0.418052650695469,0.589060937061036,1,0.194728292188922,0.518362556268459,-0.0145968463124028,-0.0293513137056135,0.0127830731531322,-0.0922901289195271,0.0985707095910315,0.513236122956526,0.121480888207993,0.576796873869984,0.808129139534341,0.415782861644429,0.283354962938589,0.367605362669079,0.36263833402985,0.203239993298127,0.496361020313265,0.351922932902382,0.207871092658882,0.104139620603275,-0.0821539803080619,0.817807838505585,-0.46081597534448,-0.599500380556561,-0.602528401381604,-0.188378956038059,-0.0942954295246147,-0.367575736969636,0.147811514762014,0.0340513062039054
