"","ahpA","abrB","ahpT","antE","bdhA","bmrB","bmrC","bmrD","csn","ctaO","dacF","lip","mcpA","ntdR","pbpH","phy","ppsA","ppsB","ppsC","ppsD","ppsE","pspA","rpmGB","rsiW","secE","sivA","sivC","tlpA","xynC","xynD","ybaJ","ybdN","ybdO","ybfO","ybfP","ybfQ","ydeH","ydeJ","ydjG","ydjH","ydjI","yerI","yflB","yflD","yfmG","yhaP","yhaQ","yjcM","yjdG","yknW","yknX","yknY","yknZ","ylbA","ymaE","ymzB","yncM","ynzD","yoaW","yocD","yokI","yokJ","yokK","yokL","yolA","yolB","yomJ","yoqM","yorD","yphE","yphF","yqaP","yqzG","yrpD","yrzI","yscB","yvgO","yvqJ","ywbE","ywbF","yxaA","yxaB","yxeD","yxzE","pval","z","inv_cof_var"
"GSM672639",9.651572119,14.27227695,9.248227881,8.654175465,13.08473941,11.01674572,8.631756506,8.663332342,8.980534201,9.084210409,7.229471375,9.529263569,12.18422007,10.04722045,9.479197398,7.503843866,8.529390335,8.646530112,8.713237546,8.880969888,8.860418216,10.90965465,13.5984355,13.42184944,13.14873532,9.89214461,11.75619089,7.652220074,8.867563197,8.406797398,11.76055242,7.909552788,9.827327509,8.539452788,8.562611152,11.72728216,9.98842881,8.862331599,11.21184758,11.08918216,11.23992454,11.38870186,8.927639405,8.615913383,9.156086245,10.49189926,10.61326914,11.81170372,9.385126394,11.52583048,11.40649405,11.98454572,11.25459517,11.10190223,8.815912639,10.00507361,10.69497435,11.65346208,8.352986617,11.88872416,10.46812714,11.26785613,11.43697807,11.68967509,12.43023309,12.75389331,11.48022454,8.366150929,11.68854647,13.00624349,12.98548327,11.89151413,7.604586617,10.98619703,9.088011896,9.927572862,7.808284015,8.272876208,9.761062825,10.03614498,8.696739033,9.541005576,7.20119777,9.376255762,0.278740840025889,0.586586159922707,6.20365096545963
"GSM672642",11.57506468,13.30781115,10.91759201,8.028971747,14.7149948,11.24703346,10.04106729,9.928841264,12.12371933,11.21184758,7.426362454,13.85341561,13.68413234,11.05639108,11.70866914,7.915737175,10.42730372,10.61090149,10.61900669,10.51776357,10.37626877,13.15597175,13.59952639,14.6741539,12.87304684,13.38472454,15.31526691,11.78835316,9.753242379,9.853855762,11.77446952,11.37209145,12.83584424,12.15595799,11.01789926,12.67568848,10.98499331,10.25863271,13.37626729,13.52764833,13.87172416,13.1376223,9.936259851,9.057098141,14.3002197,11.24358141,11.7195487,14.35627175,10.17489219,13.94912751,13.95421375,14.53294684,13.85909405,12.12665576,10.40910855,11.33772937,12.61245019,11.74029926,9.249828996,12.35195651,11.30368922,11.93752491,12.23710446,12.32441041,15.00514164,15.24909405,12.32584796,10.8927461,14.84428699,12.54170929,12.51732138,14.04813494,7.793164312,13.5191461,12.04352379,11.50417435,9.054672491,10.00507361,9.730959851,9.658287546,9.652207063,9.990946097,7.112858736,10.54986357,0.38775904741393,0.285164528355023,6.09419963486805
"GSM672645",9.58410632,14.5076632,9.170989591,7.568715242,12.98548327,11.42471599,8.713237546,8.721894796,9.089297398,8.938842007,7.224612639,9.42066803,12.19816729,10.05462639,9.70122342,7.572286989,8.699295911,8.80170855,8.868263941,9.010486245,9.017775465,11.15301375,13.62670483,13.40705576,12.83584424,9.569909294,11.82298996,7.749934201,8.805447212,8.572614126,11.7543855,8.016636059,9.926298885,8.502789963,8.790155019,11.99124944,10.19937509,8.921110409,11.23868885,11.21293494,11.284429,10.96242974,9.131537546,8.727996283,9.223396654,10.37684833,10.75712379,12.01371413,9.180263569,11.52692491,11.42728327,11.79238513,10.94041004,11.19638364,8.827584758,9.766249071,10.8246723,12.07589257,8.453284015,12.04472491,10.73291654,11.57750409,11.45127844,11.8141171,12.58745911,12.51217212,11.30132639,8.549405204,11.9427,13.00110632,12.91488662,11.76959033,7.632760595,11.05514201,9.035304089,9.919852788,7.719550558,8.289634201,10.03135093,9.843672491,8.857243123,9.338898513,7.047502974,9.106116729,0.300176367037866,0.523893330256123,6.18088613073337
"GSM672646",11.73722937,13.9054052,10.80762305,8.344507435,13.21222714,12.43023309,9.30159777,9.07303197,11.21668625,10.32436914,11.98715093,13.46152045,12.59710074,12.19250186,11.49529833,7.533066543,9.968082528,10.09716097,10.16753123,9.987783271,9.971773978,12.51518699,14.03459963,14.02274981,13.43237621,12.8156342,14.98879926,9.534535316,9.126190335,8.931406691,13.07116617,11.0006961,12.64667732,10.50714535,9.2174171,11.50949926,12.90826059,9.509933457,12.48819219,12.17875688,12.52180911,12.80924201,9.785500743,7.599091078,15.55620743,10.78767732,11.35625651,14.63204387,11.9097197,13.53887881,13.26739145,13.71375353,12.92673643,13.18522751,9.496931227,12.13914164,12.45414126,11.80120297,10.61440372,11.85813271,11.06917918,12.12215242,12.27727844,12.66502602,14.23481264,14.67824238,11.92018364,9.565701487,14.90230818,12.82326543,12.81874535,13.4302974,11.3353487,13.53566375,12.80310595,10.41887398,7.507884387,10.32988178,10.72635353,9.206534201,8.415459851,8.667276208,11.2016987,9.273874721,0.347434836660801,0.392255184321708,6.1330860768547
"GSM672647",11.50542677,13.82848513,10.86286431,7.907455762,13.23499331,12.44216766,9.109746468,8.924348513,10.91574907,10.91926171,12.20097844,13.2904829,12.56328699,12.15447286,11.40274498,7.580478067,10.10964312,10.13658327,10.25257509,9.997590706,9.977751673,12.05938885,14.09040223,13.7109197,13.36243383,12.77243197,14.81200037,9.30159777,9.129148699,9.181440892,12.57097026,10.90279405,12.66046617,9.666511896,8.928771375,11.52692491,12.36067658,9.414117472,11.98715093,11.87367249,12.12079071,12.61107732,9.670372119,7.989135316,15.06041338,10.58402416,11.47064201,14.42909851,11.78835316,13.24083643,12.9632026,13.25572045,12.66205019,12.98028141,9.485410037,12.47327881,12.43023309,11.62612305,10.56632751,12.0407881,10.95534349,11.93357212,11.82700706,12.21031896,14.2410829,14.5076632,11.7148948,9.567028625,14.8074855,12.98548327,13.12992751,13.2139171,11.63497546,13.58615465,12.72569926,10.08906357,7.391549442,10.14274461,10.588729,9.656692193,8.298687732,8.717619331,11.94935167,8.704256134,0.267536797051307,0.62027979615727,6.21588569890979
"GSM672648",12.17309703,12.78051896,11.37927323,9.040090706,12.72717732,13.26739145,9.09434684,9.100802788,11.6064513,10.70593401,12.70310595,12.8156342,12.83102602,13.07797286,11.71836989,7.728157621,9.855135316,9.519147584,9.590351301,9.40580948,9.361120818,13.0185829,14.40846283,14.5149171,13.69645948,12.59489368,15.64881152,10.34696877,9.326156134,9.302730483,12.58894312,12.39445725,13.52764833,11.56165688,9.20110855,11.73350112,13.47812268,9.654058736,12.83584424,12.7530368,12.63451004,12.65605019,10.1576368,10.09716097,15.44358327,10.16879219,10.90797509,14.51143346,12.10452751,13.8485,13.61520669,13.81818216,13.09256561,13.54438086,9.611350558,11.46931636,13.57540669,12.38563941,10.7968855,12.58745911,11.21354535,11.85426952,11.74823048,12.1574803,14.64447732,14.66569628,12.27727844,9.443779926,14.89745725,13.45721859,13.75962305,13.6246145,12.3463026,13.82567398,12.36217918,11.29894126,10.31281784,10.96063476,10.18469814,9.467850558,8.625594052,8.959613011,11.8179803,9.084210409,0.162284253846455,0.985113123705078,6.34836289683542
"GSM672649",11.67184201,12.92150372,10.88583123,9.140726766,12.76600149,12.61394312,9.554050186,9.500806691,11.2112526,10.99430186,11.85939182,12.92503755,13.00380112,12.40940483,11.37801599,7.568715242,10.25257509,10.06210632,9.933688848,9.730959851,9.660145725,12.82796729,14.21655688,14.61673569,13.76680818,12.70912007,15.68112788,10.6408119,9.562414684,9.329881041,12.04739517,11.78955725,13.31550074,11.56050372,9.732179926,11.59762937,12.93473197,9.427001859,12.97032825,12.75841524,13.01521004,12.6418026,10.03135093,7.993102602,15.97278996,10.34221784,10.78767732,14.43247509,11.77321896,13.72863755,13.43237621,14.02572788,13.37838364,13.02354647,9.675759108,12.13914164,12.74905093,11.55433086,10.02011078,12.00036022,10.80032714,11.63374164,11.61259814,12.20240781,14.32986134,14.64045799,12.39445725,9.844852788,14.64878104,13.08627212,13.18522751,13.28353959,11.1649145,13.17780409,12.82026617,10.75109331,8.225892565,11.02773922,10.08164275,9.507092565,8.651625279,9.107285874,11.89151413,9.741392937,0.137851634750523,1.09002241691099,6.38645724883362
"GSM672650",11.57396654,12.66638996,11.15801487,8.53545948,12.81230186,12.67875353,9.378848327,9.286335316,11.62253309,11.32936877,11.92279405,12.69711524,13.12513755,12.49265874,11.48984164,7.770922305,10.37802602,10.17127509,10.05462639,9.87559145,9.743322305,12.9007197,14.04813494,14.54790446,13.38685874,12.72795186,15.59743048,10.94097695,9.423149442,9.336265056,12.25859294,12.25424572,13.63154052,11.58256431,9.801787361,11.79238513,12.88436691,9.632133457,12.92673643,12.81725688,12.8811052,12.76600149,10.28526989,9.174298141,16.09371152,10.13475688,10.68152658,14.50400372,11.64670781,13.82567398,13.49133829,13.82848513,13.44091413,12.82640149,9.693599628,12.01517881,13.04626283,12.13114796,10.09135651,12.40805911,11.13599963,11.92018364,11.88260409,12.26860632,14.46736729,14.53674944,12.16032193,9.741392937,14.6741539,13.0950171,13.38265911,13.4593829,11.74700781,13.43859219,12.77243197,11.13814721,7.9902,11.10190223,10.10459219,9.373756506,8.551803346,8.828901487,12.26726022,9.408329926,0.112456464490454,1.21356748677416,6.43131856888628
"GSM672651",10.46318996,15.08894944,9.803089219,7.778707063,14.6242052,10.91926171,9.866851301,10.09368364,11.0609684,8.878179926,7.763843123,10.697229,13.68413234,10.06210632,10.77135019,7.496405204,10.31164684,10.2729855,10.43927658,10.58034275,10.42599777,11.98387398,13.23707546,14.46409554,12.46749591,12.48819219,14.94641301,9.907265799,9.361120818,8.56752974,12.04992751,9.56301487,12.11117286,10.34922342,9.440052788,12.27143792,9.84866803,9.660145725,11.83606431,11.89681338,12.64667732,11.77964126,10.76773309,10.11216691,10.6508487,10.6237948,10.65969257,12.97704498,8.969505762,12.25424572,11.93752491,12.55260149,12.2829855,11.94133643,9.119518959,11.50542677,12.70631673,11.45513903,8.010395911,11.02368327,10.0633171,10.50016952,10.60219554,11.13121933,14.6741539,14.84014647,12.26860632,9.448824164,13.05679517,12.11406171,12.2163461,13.13193197,8.253332714,12.74293383,11.00784294,12.12079071,11.3281881,8.992026022,9.641176952,9.571112639,8.740119703,10.95765093,7.745915242,9.762339033,0.149487111580828,1.03863564152917,6.36779783507124
"GSM672652",10.44165911,14.66569628,9.735805576,8.367407435,14.5149171,11.33991747,9.913620818,10.19937509,10.78417695,8.62324461,8.232792937,11.07978216,13.75962305,10.12797993,10.66314126,7.539566543,10.22769926,10.24510112,10.32126059,10.40392714,10.287729,12.05809554,13.24788216,14.58155874,12.83102602,12.40656468,14.94091933,9.782928996,9.34135316,8.828901487,12.08684164,9.453789963,11.87367249,10.34093643,9.741392937,12.16890595,10.25749294,9.677058364,12.11264312,12.26584201,12.72122491,11.802529,9.964272119,9.908577323,11.35290967,10.64676803,10.76665242,13.11192862,9.01662119,12.59350818,12.05551227,12.64033755,12.26289851,12.35341599,9.246527881,11.51543494,12.48666022,11.11823309,7.941649071,10.89157584,9.972354461,10.65717695,11.08918216,11.65592045,14.84014647,14.88252156,12.61394312,9.652842007,12.97545799,12.23849145,11.87881301,13.28071041,8.343217472,12.71656803,11.05850781,11.75807658,11.04701784,8.858484387,9.263217472,9.604932714,8.522198513,11.08210335,7.706005204,10.01624201,0.149310422463159,1.03939548084959,6.36807374567601
"GSM672653",10.23660632,15.10096468,9.899647212,9.61009368,14.63204387,10.89814201,9.824746468,9.728449442,10.75363569,8.657271933,7.923060595,10.30703643,13.72616989,10.07056989,10.5828145,7.444192193,10.1482881,10.02264535,10.2294197,10.17246059,10.01256431,11.85939182,13.79859108,14.47804424,13.10047026,12.74445799,14.77223197,9.744597026,9.2522,8.412957249,12.21173457,9.201721561,12.17460074,10.35404907,9.277469145,12.03291822,9.666511896,9.71651487,11.82952268,11.72085651,12.48356283,11.98045539,10.34033606,10.72404349,10.82065651,10.37031283,10.32731338,12.88900186,8.926239777,11.91645465,11.66334796,12.45330743,12.26365204,11.83742714,9.144256877,11.76959033,12.06429238,11.14142193,7.983840149,10.98036283,10.15257063,10.67147621,10.79103494,11.17657509,14.63629591,14.86360112,12.62842751,9.871837546,12.90673086,12.06771041,12.25278848,13.39496283,8.332564684,12.43612565,11.07796394,11.96150149,11.05060483,8.976527138,9.592352045,9.321043123,8.48225948,11.33291115,7.629038662,10.2065,0.161672452039325,0.987607515642048,6.34926865305172
"GSM672656",10.34696877,13.77175465,9.861586245,7.524313569,14.33589145,12.01173903,9.443779926,9.164875465,10.55939517,10.20170595,7.503843866,11.48142862,13.38472454,10.92265688,10.99318253,7.468778439,10.12797993,10.160029,10.11830706,10.04345948,10.13296468,12.40940483,13.85909405,14.22852825,12.74603086,11.30249071,14.34210483,8.659134201,9.286335316,9.008102974,12.11406171,9.765626766,11.93222788,9.184917472,8.901939033,12.45414126,9.970596283,9.620627138,12.37568327,12.26440558,12.09369554,11.98454572,9.337545725,8.851008178,10.02264535,10.65589554,11.03246989,13.29824572,9.794347955,12.48666022,12.56473271,12.74293383,11.79360967,12.47327881,9.604932714,10.14951896,12.19250186,12.80153755,8.414241264,12.63525335,11.12340706,11.6522461,11.62612305,11.25685576,14.2410829,14.11871338,11.49827212,8.750019703,13.30781115,13.2904829,13.37430892,12.28434275,7.942179554,12.86480892,10.9214461,11.83742714,8.83260855,9.219752416,9.943906691,10.2696368,10.27073271,9.909817472,7.96097026,9.914948327,0.293292972965184,0.543790065522902,6.18811097434546
"GSM672660",11.00960112,11.37569814,10.43927658,8.176603717,14.6741539,13.0950171,9.680681413,9.651572119,14.40469851,12.79829665,11.19995948,10.96807138,12.78510967,11.66956506,11.71235911,7.949688476,11.50648104,11.69090818,11.56802119,11.39046952,11.24473197,12.70161301,13.34864684,14.68655279,12.86480892,12.18972751,14.90736059,10.09135651,9.70606803,9.715221933,12.56247602,11.01917918,12.91142379,11.39870892,10.68093011,12.16591599,12.60891617,9.763730112,12.66638996,12.63887881,12.62380409,13.54336506,10.43697138,8.080995167,14.29121375,10.20842546,10.91210632,14.64878104,11.63930279,13.71375353,13.54830632,13.93621227,13.06840613,11.50287249,9.197054275,11.5471777,13.43859219,11.67439108,9.713857993,11.99250855,11.48629777,12.19250186,12.10844647,12.32160558,14.81200037,14.83115242,11.73350112,14.5706171,15.08293978,12.67092974,12.48055799,13.53224944,12.13241078,13.51256134,11.4235684,10.8462368,7.683959851,9.63347026,9.373756506,9.206534201,9.397619331,9.904658736,13.44308773,9.868152788,0.051652506797501,1.62903781679716,6.5821829252559
"GSM672661",11.41145911,11.3258513,10.82892454,7.960496097,14.9356,12.7318948,10.05959888,9.970596283,14.87743532,13.41992007,9.684353532,11.19267138,13.01324461,12.27143792,12.00437026,8.072568773,11.99779554,12.06771041,12.05938885,11.72348773,11.64111115,12.75065836,13.57750632,14.8030119,13.29628699,12.93148625,15.28884089,10.66206617,10.18109182,10.22599703,12.88678755,11.89212844,13.32318773,11.77082305,10.97369777,12.37427993,13.02672268,10.39695242,12.80470855,12.80924201,12.70985446,13.84114201,10.27181115,7.678274349,14.53674944,10.63444684,11.28929814,14.70664796,11.29171004,13.73361487,13.73822305,13.94393941,13.24083643,11.7111632,9.909817472,10.84732714,13.91315353,12.37705167,10.0564355,12.46166171,11.88637695,12.49575204,12.47901264,12.68047472,14.99403494,15.190129,12.31454387,14.90230818,15.22313234,13.03570706,12.98548327,13.85627844,10.3081487,13.88999294,11.30132639,11.34575651,8.108623048,10.19692082,9.591042751,9.765004461,9.956937546,10.18235576,11.45859368,10.1254855,0.0347465494207074,1.81520052643351,6.6497817773033
