"","cydA","resD","ccpA","rex","cydB","cydC","cydD","pval","z","inv_cof_var"
"GSM672627",8.303515613,13.18522751,12.38714758,12.10581004,8.329036803,8.409305576,8.070405204,0.194856153526782,0.860139214374838,56.8573248478345
"GSM672628",9.278698513,13.40928959,12.44648699,11.88757881,9.18085223,9.659504647,9.129148699,0.418371517782021,0.20606129048404,38.8336227383106
"GSM672629",7.344720818,11.97753792,12.47178253,11.93482268,7.535639777,7.60192119,7.48316171,0.0990423952895544,1.28702724931346,68.6206064001076
"GSM672636",7.369321561,11.8387684,12.75389331,11.99124944,7.268254275,7.393342379,7.258240892,0.00404918767286923,2.64794059913987,106.121790767004
"GSM672637",7.716571004,11.93357212,12.66205019,12.11117286,7.502536431,7.669763569,7.538505576,0.06828542367421,1.48868306193485,74.1774126499219
"GSM672638",7.343718587,11.91645465,12.55718141,12.05679591,7.367472119,7.527495539,7.467078439,0.0267496245895876,1.93086904460275,86.3622428322413
"GSM672640",7.141876952,12.06073494,12.60212045,12.48356283,7.215920818,7.419965056,7.390745353,0.223312421487765,0.76105395187124,54.1269418314112
"GSM672643",8.018659851,13.18166543,13.4302974,12.36067658,7.790382156,7.928262825,7.833525279,0.0537115881154972,1.60988402901654,77.5172136832179
"GSM672654",7.136520074,12.40426989,12.34420836,12.33457361,7.168089591,7.501630112,7.100415613,0.416268387978458,0.211449190400564,38.982091138702
"GSM672655",7.213489591,12.20240781,12.64033755,12.23010929,7.255019703,7.305377323,7.227946097,5.77777571546636e-08,5.30039008963165,179.212408460996
"GSM672656",7.640334201,12.96154498,12.94628513,12.48971413,7.431591822,7.580898327,7.55949145,0.0277750767776137,1.91454814538014,85.9125058590101
"GSM672657",7.485827881,11.43214164,13.05331524,12.24164052,7.692402602,7.914788104,7.76787026,0.357902333364209,0.364071435046677,43.1877335741248
"GSM672661",13.6744539,14.22564647,11.77574349,12.42726766,13.88738959,14.22852825,13.31923978,0.456952366854966,0.108114667073007,36.1346159403241
"GSM672662",13.33340483,14.27576691,11.7543855,12.25278848,13.65160669,13.77875762,13.16865353,0.295528820691828,0.537304002179593,47.9613118766897
"GSM672663",14.45026283,14.21381301,11.58383606,12.23579331,14.25402268,14.84911041,13.99478104,0.402614531198032,0.246585454801615,39.9503023252818
"GSM672664",14.74947249,14.48566134,11.84897658,12.30746208,14.8357223,15.06617509,14.64878104,0.0344188855149273,1.81948302004955,83.292901317443
"GSM672665",13.98971487,14.41200297,11.44184461,12.17875688,14.39777584,14.91633309,14.70303309,0.458132577588619,0.10513945127626,36.0526312084237
"GSM672667",7.234244238,11.63750186,12.39750149,11.47064201,7.650818216,7.72549145,7.506061338,0.476967818181975,0.0577652274739391,34.7471921066058
