"","sdpI","abrB","sdpR","ycbC","ycbG","ycbD","ycbE","ycbF","ycbH","ycbJ","ycnI","ycnK","ycnJ","pval","z","inv_cof_var"
"GSM672578",10.65467323,11.74086617,11.02147063,7.462750558,9.011796654,7.437034201,7.389022677,7.605464312,8.193048327,12.29753643,8.464214126,11.36371152,9.621913755,0.449741974193545,0.126313275135701,5.28353043865501
"GSM672581",10.77360446,11.61880967,10.91444461,7.513250186,8.734165056,7.467951301,7.457263941,7.499016357,7.936460595,12.40042639,9.174298141,11.51118996,10.08906357,0.485060723014526,0.0374559703920725,5.18663397219912
"GSM672582",10.40392714,11.37801599,11.16841784,7.760930855,8.713237546,7.629038662,7.523875465,7.735995539,8.231637918,12.32875093,8.99717881,11.22958513,9.877958736,0.336693964153344,0.421502853014838,5.60542661943182
"GSM672584",10.75950632,11.53634684,11.03527658,7.939507435,8.988291822,7.854380669,7.704079926,7.768869517,8.730405576,12.67265651,8.940002974,11.68483494,9.904658736,0.333539565903631,0.43016017189941,5.61486718947068
"GSM672585",11.46694833,10.62021264,11.545929,8.958167286,8.779644238,8.533185874,7.793164312,8.392362082,9.143151301,12.57725279,8.296347212,9.971773978,8.144518587,0.206439128707364,0.818839033616065,6.03871088352716
"GSM672587",10.82892454,11.54940074,10.69941338,7.757776208,8.853779182,7.734865799,7.418300743,7.602832714,8.599350558,12.55260149,9.41617658,11.5136026,10.31892639,0.37595549875363,0.316120565539667,5.49051011017189
"GSM672588",11.14088457,10.49189926,11.19207175,8.217163383,8.833879926,8.634802974,7.977637546,8.104676952,9.2522,12.51800186,8.858484387,10.08403457,8.657939777,0.106825329198069,1.24358956566623,6.50188974990924
"GSM672616",15.4060026,15.15316729,15.29518476,10.63889424,12.14881636,10.97474461,10.05336431,11.00605204,11.752071,13.66292007,12.97545799,13.31340074,13.48236691,0.0342815432827169,1.82128801991462,7.13185415244434
"GSM672617",15.47494981,14.63629591,15.33721524,10.77595948,11.93482268,10.80995428,10.14338662,11.00960112,11.75931078,13.7497,12.91816022,13.65857993,13.60618996,0.0439321217686331,1.70677304938467,7.00697870148769
"GSM672624",11.5727223,13.48916357,12.39295911,7.72343197,10.07056989,7.591762082,7.460065056,7.328675093,7.737766543,10.78305911,9.352210781,10.53004981,10.09834833,0.449281017729713,0.127478062051261,5.28480060700659
"GSM672625",11.48800911,13.58394275,12.46005688,7.695330483,10.1611948,7.518624907,7.461993309,7.329127695,7.730020074,10.68654312,9.276272862,10.55114572,10.05582602,0.461172811636315,0.0974794874675951,5.25208797989892
"GSM672626",11.34937286,13.20777286,12.08541747,7.96097026,10.18469814,7.858394796,7.688649814,7.54200855,7.917928996,10.69610112,9.500806691,10.85317881,10.36854833,0.26696755231087,0.622010285762461,5.82407450423366
"GSM672627",11.32135353,13.09676506,12.28581264,8.101442751,9.902143123,7.781533457,7.816307063,7.891243123,8.390028625,11.74947844,10.41518587,11.8064539,11.17175985,0.358839250084571,0.361563158013522,5.54006401741695
"GSM672628",11.09506729,12.75065836,12.35640037,8.002232714,10.0326223,7.849694796,7.657945167,7.640334201,8.326605204,11.8469671,10.75493755,12.03291822,11.52100074,0.468219775360102,0.0797456510933321,5.23274971517965
"GSM672634",10.96463569,12.53718401,11.37447026,7.65925316,10.10699257,7.61607658,7.507884387,7.340946468,7.8193171,11.35883048,9.884420446,11.13599963,10.76898067,0.364982436275422,0.345172259214781,5.52219018948332
"GSM672635",11.39931487,12.80924201,11.93222788,7.722443123,10.08658401,7.595456877,7.515012639,7.328675093,7.742886245,11.14255428,10.01376952,11.49942454,10.88695465,0.478741036278483,0.0533135646350675,5.2039262460653
"GSM672636",11.36371152,13.36438513,11.71836989,7.68679368,10.10585762,7.485827881,7.270782342,7.297434572,7.8573171,10.90736766,9.323555762,10.63316877,10.01496245,0.380048358800375,0.30535378307952,5.4787692276581
"GSM672637",11.1493119,13.31143866,11.81923755,8.049933457,9.855787175,7.867135316,7.705065799,7.586030483,8.101442751,10.88583123,9.634723792,10.69941338,10.37092045,0.17417243830625,0.937804522345311,6.16843950315298
"GSM672638",11.76177175,13.54736245,12.34201004,8.01150855,10.04345948,7.851584015,7.547315613,7.484089591,8.052826022,10.83640539,9.481560223,10.56761375,10.14026543,0.33861363780313,0.416249726888999,5.59969822871695
"GSM672639",11.35290967,14.27227695,11.19886617,8.42662342,9.831281413,8.246547955,7.991175093,7.784542379,8.216581041,9.876702974,9.976483271,11.32364052,10.70406654,0.0521971661041679,1.62391321293019,6.91662231056725
"GSM672640",11.67839033,12.90971413,11.89274275,7.951738662,9.898328625,7.8193171,7.681131227,7.774867658,8.393543866,11.73589108,9.331000743,10.20901524,9.902143123,0.256247514585447,0.654957637454751,5.86000269232436
"GSM672641",11.19393717,13.28071041,11.74338513,8.109748699,10.10077323,7.866666357,7.768869517,7.799313755,8.424176208,11.24358141,9.400000372,10.99780372,10.17371152,0.150846400261075,1.03281004810474,6.27204043687962
"GSM672642",11.79984164,13.30781115,11.9387881,7.866197398,9.744597026,7.758813755,7.65925316,8.049933457,8.644084015,11.21293494,10.3433171,11.61633606,11.17175985,0.314164768405723,0.4840793768545,5.67366461135212
"GSM672643",11.82952268,13.2749487,12.23151078,7.87012342,9.871837546,7.724405948,7.501630112,7.778707063,8.363724164,10.99318253,9.976483271,10.71228216,10.59003234,0.325755608041223,0.451663778520875,5.63831628579077
"GSM672644",11.75807658,12.9836684,12.20653755,7.848200186,9.890813011,7.756682156,7.650009665,7.958960223,8.467777323,10.69834424,9.83625948,11.76691301,11.17542156,0.355135600945129,0.371491881193466,5.55089101915115
"GSM672645",11.09506729,14.5076632,11.31787472,8.455767286,10.15011822,8.247687361,7.957765056,7.8193171,8.295108922,9.846188848,9.784247584,11.39465613,10.64447546,0.0442458485381324,1.70340823819161,7.00330946668657
"GSM672647",11.43697807,13.82848513,11.84897658,7.512286617,8.97135948,7.398698141,7.317484015,7.58419145,7.995139033,11.47787249,9.047397026,10.3261487,9.873752788,0.423835340609994,0.192091310706156,5.35525959176827
"GSM672649",10.74038885,12.92150372,11.34097472,7.434428625,8.972713011,7.316581784,7.249794424,7.344720818,7.808284015,12.06699851,8.739067286,9.26206171,9.180263569,0.41797086942363,0.207087224968118,5.37161222712506
"GSM672651",11.39696357,15.08894944,11.45005353,7.47143829,9.068281041,7.852455762,7.595456877,8.049933457,8.093958364,9.969389963,10.3081487,11.13599963,10.92375167,0.229087833928712,0.74185421619795,5.95476104057289
"GSM672652",11.40649405,14.66569628,11.50949926,7.774867658,9.051007063,7.883198141,7.665011524,8.017177881,8.069449814,10.0484855,9.914948327,11.09151115,10.46318996,0.155208517031166,1.01434735746956,6.25190737647476
"GSM672653",11.72477063,15.10096468,11.79360967,7.515012639,8.704256134,7.755260037,7.657518959,8.023792937,8.120082156,9.637282528,9.947730112,10.90037918,10.67985911,0.273093471751489,0.603483718554001,5.80387178816842
"GSM672654",11.54112342,14.05925799,11.88757881,7.503384387,9.503286989,7.312733086,7.169377323,7.27630855,7.713698885,10.70830929,8.432450558,9.632133457,9.458850929,0.448584032835508,0.129239596215938,5.28672151195178
"GSM672655",11.28929814,14.53294684,12.02449777,7.552445725,9.665223792,7.446739777,7.416600743,7.45293829,7.924209665,10.56697063,8.91457658,10.06210632,9.938826022,0.333272109466148,0.430895687980043,5.61566924968892
"GSM672656",11.07385093,13.77175465,11.19761078,8.128590706,10.2065,8.391205576,8.243223048,8.441049442,8.871863197,10.94614238,9.895909665,10.71943829,10.62556766,0.0049585312720043,2.57870782718444,7.95779978696361
"GSM672683",11.45683494,14.82197844,11.75931078,7.826556877,10.6097052,7.782479554,7.512286617,7.442039963,7.945713755,10.72286952,10.86057249,11.59762937,11.14480149,0.427238316030866,0.183409615117905,5.34579243959913
"GSM672684",11.08451636,14.96705799,11.83996506,7.791298513,10.64563569,7.726288476,7.554816729,7.374932714,7.963007807,10.85811264,10.84913197,11.63001524,11.20329851,0.435340914574099,0.162792480288627,5.32331001658208
"GSM672686",11.07385093,14.88755316,11.46338662,7.842649442,10.55939517,7.76787026,7.582762825,7.416600743,7.825569888,10.541771,10.83579108,11.5727223,11.1493119,0.370427578868351,0.330721106773863,5.50643160202919
"GSM672687",10.8312829,14.63629591,11.18580558,7.927261338,10.57447881,7.872061338,7.680215613,7.429003346,7.991175093,10.97927509,10.85811264,11.77196952,11.45859368,0.343066441095552,0.404108571414704,5.58645862992938
"GSM672688",11.08210335,14.84911041,11.41994833,7.868198885,10.50141338,7.763843123,7.587933086,7.317484015,7.944688476,10.77818476,11.05279405,11.80381487,11.42984089,0.425429086918857,0.188023570851058,5.35082383243978
"GSM672690",11.09389405,14.09313569,10.90156766,7.669763569,9.225799628,7.55290223,7.579540892,7.175556134,7.628094052,12.56166506,10.34576506,10.61667584,10.56992156,0.497810258023536,0.00548889671379505,5.15177475053696
"GSM672695",12.68201636,13.24606989,11.70353494,8.630512268,9.933688848,8.571306691,8.113799628,8.052826022,8.308172862,9.30159777,10.44939535,10.75950632,10.8426684,0.123557384131506,1.15738581154192,6.4078869080047
"GSM672696",11.37323197,13.74509665,11.57879851,8.641617844,10.37931041,8.481003346,8.14140223,7.977637546,8.330175836,9.513952416,9.621270446,11.23809517,10.32005799,0.0266865789165053,1.93188940451847,7.25246194472617
"GSM672697",12.12371933,14.06484089,12.40656468,8.432450558,10.36110929,8.223567658,7.827565799,7.679235688,7.929290335,9.450021561,10.15135502,11.02024349,10.42782379,0.27726891075953,0.590974030397666,5.79023031454607
"GSM672704",11.28675688,12.91305019,11.57750409,8.023792937,10.2294197,7.843720446,7.652643494,7.531669888,8.102525651,10.6931961,10.49355855,11.92944684,11.45513903,0.350752712491109,0.383289093609491,5.56375555741776
"GSM672705",11.41637175,13.18522751,11.78955725,7.901559108,10.22599703,7.812289591,7.571387732,7.355683457,7.950685502,10.66206617,10.60049368,12.04472491,11.51478885,0.465612647637441,0.0863033251228469,5.23990067979042
"GSM672706",11.74211264,13.77875762,12.19107955,7.760930855,10.16502825,7.588915242,7.48490632,7.211249442,7.790382156,10.39144312,9.877958736,11.21293494,10.92615725,0.494677746731529,0.0133413062877891,5.16033758893364
"GSM672707",11.37209145,12.82249405,12.19816729,8.154679926,10.17246059,7.899507435,7.600991078,7.487576952,8.211057249,10.11216691,9.661409665,10.97143346,10.61090149,0.243489118539352,0.695122975982949,5.90380189812535
"GSM672708",11.23174721,12.88900186,11.82298996,8.275239405,10.16502825,8.044102602,7.698256877,7.604586617,8.296347212,10.18109182,9.50463829,10.89157584,10.55808699,0.122690591223137,1.16164133998914,6.41252744566931
"GSM672709",11.64111115,13.21045353,12.26584201,8.098244981,9.769912639,7.770922305,7.608877695,7.411239405,8.094953903,10.05959888,9.112163197,10.62139108,10.16502825,0.285946524909563,0.565265707636564,5.76219608999643
"GSM672713",12.09898662,15.58130781,11.89681338,8.56395316,9.59425316,8.245420446,7.489437175,7.450236803,7.63522342,9.09434684,8.948910409,10.12073346,9.461452788,0.235994962770179,0.719245084001218,5.93010639877593
"GSM672715",12.02055242,15.56470372,12.26996654,8.518662454,9.58410632,8.110748699,7.525672491,7.352536803,7.475075093,9.282447212,8.83260855,10.37205093,9.611350558,0.339789721290566,0.413037085998451,5.59619493147894
"GSM672716",11.67127007,13.1633513,12.10021896,7.931394796,10.12191822,7.730020074,7.580478067,7.467951301,8.14140223,11.49468773,9.691046468,10.46088141,10.21518253,0.354314110216481,0.373699065809504,5.5532978937545
"GSM672718",11.57879851,13.20139963,12.02449777,7.803625093,10.07917026,7.715188104,7.497289219,7.448036617,8.049933457,11.59151078,9.733342007,10.6408119,10.33172472,0.393134667180424,0.271158234012222,5.44147991438554
"GSM672722",10.92964758,14.18664647,11.61633606,8.126315242,10.49189926,7.984951301,7.548252045,7.55290223,8.93649368,11.01917918,10.03374424,10.77135019,10.46197286,0.117676005932274,1.18668470098732,6.43983654755919
"GSM672723",11.67439108,13.38685874,12.4661171,8.238844238,9.911007435,7.771423234,7.296479182,7.986987732,9.479798513,11.99510037,9.547546468,9.982824907,10.03785874,0.301153564974548,0.521085617051104,5.71401890661479
"GSM672724",11.23750149,14.20445688,11.37801599,8.216581041,10.697229,8.092948327,7.701094424,7.872061338,9.421905204,11.30964275,10.10077323,11.02835167,10.59812825,0.077182462532569,1.42428176110432,6.69892965906048
"GSM672726",11.22259814,13.61981078,11.38870186,7.786410409,10.30527026,7.690520446,7.491115242,7.35522119,8.583566914,11.30964275,9.975315242,11.38151115,10.81609888,0.312685026090605,0.488253841137991,5.67821675075792
"GSM672728",10.6261316,11.62612305,11.13061617,8.48225948,9.919852788,8.310448699,8.215446097,8.767733086,9.143151301,12.29166617,11.6026777,12.76934647,12.58472156,0.233356288740691,0.727838297966611,5.93947706414946
"GSM672729",10.63503383,11.3084513,10.75005539,8.212000372,9.827327509,8.014537175,7.832513011,8.198600743,9.070645725,12.44358959,12.04992751,13.20954647,12.48055799,0.489093269507638,0.0273425255950547,5.17560553658142
"GSM672730",10.80278067,11.11351933,11.33044126,8.458105948,9.914948327,8.339630112,8.142416357,8.713237546,9.337545725,12.20908513,11.26236394,12.28661636,12.03818364,0.128238107710292,1.13475922380724,6.38321323141987
"GSM672731",11.00363941,12.60212045,11.43100372,8.390028625,10.2696368,8.142416357,7.720615985,7.714211896,8.595686989,11.73722937,11.77964126,12.61107732,12.66355688,0.462317938324511,0.0945958117616799,5.24894341021932
"GSM672732",11.8077974,13.78374796,12.30598216,8.38036803,9.852501115,8.176603717,7.788498141,8.01150855,9.068281041,11.88260409,9.436229368,9.786729368,9.785500743,0.172143492695262,0.945728689741653,6.17708059149711
"GSM672733",11.09626803,12.59205613,11.19761078,8.215446097,10.57562602,8.106679554,7.682123792,7.628094052,8.544313755,11.7877158,11.56687732,12.60816022,12.16591599,0.442653519914175,0.144244959207709,5.30308445089063
"GSM672734",10.44165911,11.35999851,10.68322677,9.593611524,10.10459219,9.394066171,8.985678439,9.293330483,9.338898513,12.06073494,12.40349591,13.12800297,13.03570706,0.050594523539188,1.63911627068046,6.93320083024638
"GSM672735",10.34576506,11.24960967,10.62500372,8.830134572,9.786729368,8.77573197,8.13439052,8.651625279,9.014144981,12.57725279,12.2850777,13.32130186,13.19793569,0.38342794740942,0.296490010322042,5.46910352530368
"GSM672736",10.32256357,11.37209145,10.53120149,9.1897829,9.832570632,8.954337175,8.525611524,8.799050186,9.060899257,11.94935167,11.16154387,12.10452751,12.00980706,0.011961904135959,2.25835062712718,7.60845900087053
"GSM672737",11.15065874,14.04813494,11.5136026,8.254450186,10.629771,8.093958364,7.603724535,7.806252045,9.319698513,11.09448067,10.83237323,12.39912119,11.7049197,0.256255201290543,0.654933760644792,5.85997665531455
"GSM672738",11.44184461,13.78374796,11.59151078,8.087730855,10.35158587,7.934310781,7.711727881,7.656668401,9.126830483,11.02258996,9.952976208,11.15065874,10.84853383,0.148375024920236,1.04342813231268,6.28361916800645
"GSM672739",10.81609888,13.40092937,11.39046952,8.112798513,10.6408119,8.068419703,7.652643494,7.606418959,9.042049814,11.34699628,11.23406803,12.13114796,11.97911264,0.316107330482831,0.478612026558556,5.66770261502462
"GSM672740",10.77818476,15.03851413,11.20686022,7.906473978,10.42480074,7.701094424,7.47696803,8.099839405,9.519765613,10.91444461,10.90279405,11.4562539,11.52813271,0.172828383987218,0.94304718608513,6.17415648492134
"GSM672741",10.68093011,14.8169052,10.80032714,7.876136059,10.15888587,7.65925316,7.469251487,7.956737175,9.026469888,10.81843457,10.03374424,10.63316877,10.33536078,0.0474356447903107,1.67024303034257,6.96714371240089
"GSM672742",10.53229405,14.34210483,10.7252513,7.740816729,10.4224948,7.645181784,7.3929,8.022753532,9.076839777,10.88527007,10.246271,10.99543978,10.80887472,0.0948917686290933,1.31121973343059,6.5756386026467
"GSM672743",9.507092565,13.50622305,8.924348513,7.719550558,10.56632751,7.581318587,7.572286989,8.190704833,9.538414498,10.63955428,9.411591822,10.81730223,10.50016952,0.0179972115140453,2.09699042418479,7.43250010208517
"GSM672744",9.952976208,12.68502305,10.0169277,7.516815242,10.56290074,7.459166171,7.491115242,7.731850929,8.558926394,10.90858253,9.830095911,11.03188587,10.7252513,0.124404914150911,1.15324502344304,6.40337149155941
"GSM672745",10.99430186,13.32734535,11.60519591,7.905511896,10.97474461,7.621493309,7.627140892,7.522116729,8.361323792,11.46395186,9.711259851,11.62612305,10.9382052,0.357812462444195,0.364312154168868,5.54306172272123
"GSM672746",9.899647212,14.02572788,9.870642007,7.578592565,10.82642677,7.532095911,7.501630112,8.158015613,9.503286989,10.56517138,11.55682342,12.26584201,12.02449777,0.349681289271117,0.386181061631609,5.56690916964193
"GSM672747",10.18349442,13.95159331,10.137871,7.438816357,10.49665279,7.461993309,7.449311524,7.964062082,8.989582156,10.61090149,11.06334126,12.13388587,11.95744758,0.35960186100845,0.359523204398887,5.53783950365793
"GSM672748",9.930198141,13.78598662,10.0633171,7.522116729,10.80522639,7.456380669,7.672643866,8.147725651,9.317263941,10.53229405,11.19638364,12.13388587,12.06771041,0.311214836510449,0.492409799628969,5.6827487101019
"GSM672749",10.28526989,14.35301933,10.51903086,7.534707435,11.18032528,7.820356506,7.570474721,7.438816357,9.02908513,11.23868885,11.545929,12.37062602,12.13114796,0.483383568101919,0.0416632682588658,5.19122191573169
"GSM672751",10.82642677,14.61673569,10.97806617,7.508754275,11.32364052,7.499016357,8.088671747,7.456380669,8.634157249,11.02712677,11.1695632,12.27727844,12.07040112,0.473423180186138,0.0666675597893912,5.21848841343304
"GSM672752",10.46197286,13.90293309,10.58764238,7.606418959,10.95534349,7.507008178,7.766415613,7.310779182,8.884842007,10.50936506,11.16042491,12.25278848,11.97502342,0.430473467329763,0.175168882207663,5.33680614519922
"GSM672753",10.4428803,13.7824868,10.44165911,7.648112639,10.8370197,7.615062082,7.577777323,7.391549442,8.926239777,10.69834424,11.06673011,12.03948625,11.87367249,0.376441581616034,0.314839968606384,5.48911365415573
"GSM672754",10.17985465,13.81090595,10.21761561,7.557595911,10.79915911,7.630018959,7.506061338,7.493678439,8.770366914,10.60737249,10.99318253,11.7644632,11.75678996,0.32804267165085,0.445324391551449,5.63140335726333
"GSM672758",12.93148625,14.26946022,13.55136803,8.223567658,10.08044907,8.335963569,7.63522342,8.064017472,8.346910409,10.59240297,9.654058736,10.19081859,10.02137472,0.484065638413927,0.0399521471757922,5.18935598487652
"GSM672759",12.79137658,14.16068439,13.53453569,8.315683271,10.11526543,8.449340892,8.069449814,8.236467658,8.635448699,10.74634201,9.737092193,10.30587918,10.2729855,0.348382124183639,0.389692087202254,5.57073784723252
"GSM672763",12.14592454,13.91563829,12.73977435,7.947747212,10.13419145,7.964645353,7.534707435,7.542924907,8.085531599,10.63562082,9.813872305,10.51419851,10.21271413,0.417191520929724,0.209083517009141,5.37378912912931
"GSM672764",11.7631513,13.63515911,12.40656468,7.930322305,10.19081859,7.938524535,7.670738662,7.540397398,7.950685502,10.75363569,9.827327509,10.68777323,10.41760929,0.341796155787254,0.40756602525219,5.5902288890066
"GSM672765",11.27260967,13.17062045,11.89479201,7.901559108,10.26107435,7.983840149,7.672643866,7.65925316,8.114809665,11.09626803,9.663287361,10.26731784,10.1033316,0.186627375067295,0.890393278720362,6.11673883553999
"GSM672768",11.76822193,13.97367398,12.07309777,8.403292565,10.10964312,8.197505948,7.777772862,7.734865799,8.12799145,9.970596283,9.61657658,10.60737249,10.30981766,0.138686101240549,1.08624140657028,6.33030587547453
"GSM672769",11.51852045,13.88212491,12.18289145,8.352422305,10.1452829,8.202600743,7.715651301,7.710728625,8.202600743,9.974054275,9.561814498,10.82410781,10.1254855,0.141517097597637,1.07352819511037,6.31644246524252
"GSM672770",11.50287249,14.24448885,11.94797546,8.432450558,10.13658327,8.382762082,7.815310781,7.833525279,8.318478067,10.11953383,9.7712,10.71350892,10.51419851,0.074828488131472,1.44074415254994,6.71688144777493
"GSM672771",11.17905353,14.31970743,11.76055242,8.352986617,10.26731784,8.179828996,7.692402602,7.609332714,8.058956134,10.25257509,10.65031264,11.49590892,11.26177993,0.214168888812273,0.792039272127777,6.00948647482415
"GSM672772",11.18032528,14.5439829,11.67314796,8.168757621,10.43819554,8.073602602,7.549137175,7.501630112,7.853407063,10.19320037,10.71943829,11.34699628,10.89382342,0.260080473459761,0.6430973299671,5.84706935060362
"GSM672773",11.31913494,14.06186803,11.69346877,7.97460632,10.2065,7.781533457,7.61314684,7.398698141,7.738784015,10.10077323,9.932549814,11.13061617,10.43317955,0.269877881364098,0.613182366837911,5.81444789950582
"GSM672774",11.40767807,13.56651933,12.16102881,8.129672119,10.36235093,7.938524535,7.602832714,7.537504833,8.083214498,10.30645781,9.842369888,10.70406654,10.20170595,0.223447519795785,0.760601640541422,5.97520459531803
"GSM672775",11.40649405,13.34118773,12.17742788,8.331278067,10.27928476,8.087730855,7.577777323,7.814337918,8.150184387,10.45493383,9.83625948,10.56183123,10.4644316,0.160328622092942,0.993108167421926,6.22874661921413
"GSM672778",12.39001859,13.89249665,12.64338773,8.156835688,10.17751747,7.979769517,7.74787026,7.708865056,8.169930112,10.44395465,9.464062082,10.61555799,10.14274461,0.355908098064173,0.369417982803032,5.54862948954026
"GSM672779",12.20520706,13.6744539,12.57725279,8.249947584,10.17872528,8.065120818,7.872061338,7.700126394,8.175404461,10.60167435,9.546230855,10.58764238,10.28593141,0.291744334013493,0.548296007997094,5.74369109553788
"GSM672780",11.98715093,13.8692948,12.75389331,8.242130112,10.01376952,8.102525651,7.732870632,7.810275465,8.295108922,10.81497212,9.529263569,10.48335762,10.35867472,0.287015322686372,0.562125309551789,5.75877157156705
"GSM672781",12.09369554,13.94646394,12.67568848,8.202060967,9.930198141,7.97259145,7.708865056,7.733788104,8.115733457,10.88639294,9.932549814,10.90736766,10.77360446,0.365057687990781,0.344972059662379,5.52197187733363
"GSM672782",12.07309777,14.19545279,12.72717732,8.00638513,10.2214171,7.931394796,7.635680297,7.516815242,7.954822677,10.76719275,10.1083052,11.01917918,10.65846506,0.446685746776451,0.134039305517209,5.2919554639904
"GSM672783",11.68608067,13.94779572,12.59922416,8.084995353,10.20170595,7.862260595,7.660233829,7.415719331,8.072568773,10.82642677,9.877958736,11.05850781,10.60397212,0.389705543115831,0.280086572435322,5.45121602383672
"GSM672784",11.10790929,13.74509665,12.24164052,8.017719703,10.81730223,8.091320074,7.726288476,7.432034201,7.96097026,11.01614368,10.1897539,10.87328067,10.35275874,0.287509204528871,0.56067603231587,5.75719117428311
"GSM672785",11.11124164,13.47196803,11.99124944,8.218820074,10.00124461,8.063550743,7.640334201,7.685833086,8.138221933,10.84678197,9.668441264,10.74380595,10.33478216,0.150818382117297,1.03292977352445,6.27217099418326
"GSM672786",11.24473197,12.53577732,12.1574803,7.879058736,10.18109182,7.54599777,7.492395725,7.315667658,7.860385502,10.95294498,9.533196654,11.09271227,10.37263067,0.410146551474107,0.227168008471965,5.39350977365545
"GSM672789",11.24703346,14.37361413,11.64738439,8.182026394,10.03493197,8.148954275,7.695330483,8.027893309,8.568189033,10.20057955,9.611350558,10.228229,10.09014535,0.0313939925247834,1.86068987115145,7.17482079618494
"GSM672790",11.21415576,14.33275836,11.6064513,7.926234201,10.30341896,7.940559851,7.504759851,7.475986245,7.941649071,10.08658401,10.05582602,10.34093643,10.17617398,0.164018205052266,0.978076660818704,6.21235517138029
"GSM672791",11.1778052,13.69168178,11.67069814,7.872061338,10.16249219,7.787331599,7.539566543,7.396921933,7.729094424,10.20783569,9.810822305,10.54862454,10.41638848,0.231391338664037,0.734272495768922,5.94649338130336
"GSM672792",11.50648104,14.00014721,11.96554164,7.784542379,10.02511822,7.606418959,7.430656506,7.270249071,7.637442007,10.11462639,9.602318959,10.47263569,10.22599703,0.359118322683262,0.360816475892567,5.53924978093639
"GSM672793",11.71895929,14.31325613,12.09511747,7.928262825,10.12191822,7.728157621,7.543907063,7.39422342,7.654162825,10.12797993,9.655317472,10.4644316,10.16311097,0.340496698427648,0.411107928099459,5.59409123742489
"GSM672794",11.5350052,14.58543234,11.86338253,7.774867658,10.3563777,7.845779182,7.603724535,7.482289963,7.79415316,10.20901524,9.777935316,10.61201561,10.23424796,0.274122832512106,0.600391029126757,5.80049929472841
"GSM672795",10.92505576,12.3749816,11.48265204,8.075726022,10.2294197,7.823384758,7.500678067,8.051954647,8.362547955,11.545929,9.198179926,10.34157714,10.15634833,0.125605021305189,1.14741524711728,6.39701427953476
"GSM672797",10.94953011,14.4894368,11.55933717,8.485988104,10.12256059,8.320828996,7.783582528,8.184210409,8.80170855,10.12797993,9.71651487,10.629771,10.28659294,0.00735847184580964,2.4392705908296,7.80574728509963
"GSM672798",10.94269926,14.39951896,11.3353487,8.357856506,10.18235576,8.232215428,7.668269145,8.035083271,8.652879182,10.1452829,9.841120818,10.51903086,10.29861822,0.012207275669977,2.25054214446927,7.59994406357734
"GSM672799",10.79103494,14.35627175,11.5727223,8.142416357,10.29585874,8.097211524,7.605464312,7.627140892,8.069449814,10.19381561,10.11089517,10.69610112,10.66912045,0.101515995753977,1.27296068975073,6.53391815936681
"GSM672800",10.81962416,14.19849442,11.39588067,7.981871747,10.01560223,7.938524535,7.490282156,7.491978439,7.895319331,10.1353223,9.806267658,10.67507658,10.59470558,0.133230892478789,1.11124760590698,6.35757445358647
