"","ligD","spoVT","lysA","spoIVB","spoVAA","spoVAB","spoVAC","spoVAD","spoVAEA","spoVAEB","spoVAF","sspA","sspB","sspD","ykoV","ylyA","yteA","pval","z","inv_cof_var"
"GSM672618",9.881884387,12.81725688,11.74211264,13.15971115,11.49097026,11.09961338,11.36849442,10.84732714,11.36244796,10.93322082,11.36127584,16.29536729,15.78401747,12.1883777,9.416856134,10.52528401,11.47432714,0.370761604426795,0.32983689359728,6.34280355142078
"GSM672619",10.25985874,12.95315316,12.06073494,13.54925019,11.75320818,11.09151115,11.41400037,11.28091301,11.68967509,11.12871487,11.64050967,16.38425465,16.10096283,12.73350074,10.08403457,10.78305911,12.12215242,0.308390559999121,0.500417519312781,6.66790976483284
"GSM672631",7.749934201,9.861586245,10.19560706,8.827584758,7.817819888,7.738784015,7.869126394,7.79415316,8.431318959,7.26179461,8.513688848,10.47442249,7.773863569,7.293344238,7.796198141,7.681131227,7.197662082,0.0724791414346702,1.45757297625309,8.49213326587421
"GSM672632",7.697311524,9.836878439,10.19443086,8.780972862,8.205537918,7.534707435,7.860385502,7.601456134,8.523357993,7.582311152,8.543721933,10.66206617,7.703574721,7.888650743,7.879058736,8.063084015,7.307651301,0.05614297313488,1.58800173732388,8.74071484103195
"GSM672660",11.65469554,12.97950725,12.14178848,14.8536461,13.1136368,12.94970781,13.17062045,12.23579331,12.57254721,12.20380818,12.44648699,16.13797361,15.94857249,13.37838364,11.64867435,13.58176394,12.39590892,0.0226734039734939,2.00142315007101,9.52864646854193
"GSM672661",9.484101859,11.67702007,12.20653755,12.71816097,10.80995428,10.59003234,10.90396134,10.06807993,10.52588959,10.01256431,10.47322398,16.10869665,14.30992379,10.97260186,9.548863197,11.00246134,9.927572862,0.393435929116837,0.270374886883857,6.22947609841492
"GSM672662",10.71597138,12.52103866,12.34942305,14.36693011,12.61245019,12.32875093,12.64979145,11.75320818,11.93608848,11.59151078,12.00305651,16.40455576,15.4277855,12.39295911,10.90037918,12.50487918,11.25578067,0.109628837263531,1.22850441106895,8.05555605479658
"GSM672663",10.74634201,12.45691115,11.58120632,14.57775836,12.79137658,12.18563792,12.68201636,11.48022454,11.78200855,11.14142193,11.73846877,16.30243048,15.77650855,12.78510967,11.50759814,12.51664089,11.74643513,0.138137741018459,1.08872430126885,7.78915193054847
"GSM672664",9.321043123,11.42471599,11.84240669,12.43780892,10.59934572,10.37092045,10.66433346,9.978907063,10.27928476,9.780388104,10.15011822,16.22890372,14.16068439,10.75109331,9.376255762,10.67379851,9.639908922,0.457945800204525,0.105610239291853,5.91545444174596
"GSM672665",11.22608885,12.76756729,11.96150149,14.71080558,12.90213346,12.37062602,12.81402342,12.04739517,12.19468309,12.06073494,12.35640037,16.30918699,15.74199963,12.86961896,11.19147212,13.01324461,11.58383606,0.0681154829917145,1.48997440479948,8.55388650250161
"GSM672674",7.8041171,9.928841264,10.697229,7.637442007,7.231006691,7.264314126,7.380567286,7.273359108,9.030392193,7.792295911,9.452549814,11.44420669,8.027893309,7.378231784,7.588915242,7.660233829,7.164477323,0.383471369168972,0.296376279377189,6.27903163393656
"GSM672675",8.096063197,9.720425279,10.89532454,7.662680483,7.150931413,7.164477323,7.280100743,7.313760595,8.62690223,7.45293829,9.249828996,10.92735539,7.730492751,7.372210409,7.852455762,7.74493197,7.050248699,0.333487185643894,0.430304201407936,6.5342821901995
"GSM672676",7.853893866,9.722469888,10.90396134,7.738784015,7.250825651,7.042702602,7.388077695,7.325943494,8.944990335,7.433513383,9.437442007,11.00122007,7.865181413,7.208010781,7.950685502,7.66687881,7.171866543,0.35997065069917,0.358537243737042,6.39750297650731
"GSM672677",7.873057621,9.977751673,11.65592045,7.613647398,7.310779182,7.45382974,7.202439033,7.272425279,9.334962454,7.47327658,9.277469145,10.61440372,7.690056134,7.208010781,8.046743123,8.298687732,7.106628996,0.412175539340329,0.221952219778194,6.1371883026585
"GSM672678",7.950685502,9.909817472,11.34454126,7.980865428,7.494129926,7.371171004,7.310266543,7.389852788,8.375895167,7.58419145,8.935267286,10.46318996,7.339055019,7.316581784,8.038658178,7.343718587,7.117533829,0.305387345244982,0.508967948516894,6.68420585736936
"GSM672679",7.852455762,10.03721264,11.45253383,8.618287732,7.427298885,7.286697026,7.478656877,7.49154684,8.474837918,7.457263941,8.511257993,10.60108401,7.672643866,7.508754275,7.878071747,7.412204089,7.200604461,0.304677764834341,0.510993612223724,6.68806652943931
