"","ascR","cymR","cysC","cysH","cysP","sat","snaB","sndB","ssuA","ssuB","ssuC","ssuD","tcyP","ydbM","yetJ","yezD","ygaN","ylnD","ylnF","yxeK","yxeM","yxeN","yxeO","yxeQ","pval","z","inv_cof_var"
"GSM672553",7.474165056,11.71601041,10.06692714,11.25937026,10.35981673,9.326156134,8.253332714,8.479710781,7.114518587,7.108245353,7.210253903,7.727243123,9.319698513,10.40392714,11.99907435,7.784542379,10.08529814,10.17127509,12.58011896,8.371118216,8.71819145,8.576081413,8.67227658,8.38036803,0.157625174818732,1.00426614019489,5.91675647502705
"GSM672554",7.424458364,11.46694833,10.20304461,11.32028439,10.71228216,9.443779926,8.331278067,8.586149442,7.160011152,7.176684387,7.17327026,7.740816729,9.529263569,11.01321561,11.99392119,7.600991078,10.1254855,10.4224948,12.63150967,8.253332714,8.513688848,8.715765799,8.783435688,8.373463569,0.208526387237463,0.811544977566492,5.70746932225285
"GSM672555",7.376822677,12.17600892,10.73702082,11.85151487,11.4682684,10.00627323,8.734165056,8.932741636,7.168089591,7.089604089,7.122063197,7.582311152,8.471813011,12.15180074,10.64447546,7.68679368,10.27928476,10.96004981,12.84362528,8.523357993,8.91457658,9.008102974,9.193304461,8.558926394,0.295384872737885,0.537720903753524,5.41010778713256
"GSM672556",7.485827881,11.84372045,10.7218171,11.64349257,11.40904461,10.0484855,8.730405576,8.931406691,7.123569888,7.139126022,7.005772862,7.780598141,8.496584015,12.31027584,10.84170743,7.638374721,9.919194796,11.13356654,12.87464238,8.544313755,9.049861338,9.003201487,9.273874721,8.549405204,0.291371834638123,0.549381497063224,5.42277070562143
"GSM672557",7.442474721,11.55183606,11.2520632,11.71712751,11.44763792,10.16879219,8.590303903,9.000723048,7.294394796,7.26179461,7.135845911,7.724405948,8.572614126,12.40194684,10.3635,7.555274349,9.815632714,11.22723903,13.15417807,8.571306691,9.183775093,9.080512639,9.195828996,8.661983643,0.31351945704498,0.485898807280889,5.35383114956131
"GSM672558",7.667759108,12.93070688,10.50714535,10.90736766,10.56761375,10.20057955,9.009402602,9.080512639,7.100415613,7.117533829,7.206927881,7.498145353,10.81609888,10.94154387,13.85909405,8.686794052,9.45124052,10.51293717,11.28030465,8.831322305,9.211330855,9.245291078,9.216207063,9.037702974,0.171932096615864,0.946557727374124,5.85408754315856
"GSM672559",7.699220446,13.27671636,11.01436617,10.54389442,10.40780558,10.25008439,8.827584758,9.129148699,7.169377323,7.208010781,7.302495911,7.607456506,11.05398736,10.53120149,13.72863755,8.818431227,9.959482156,10.84047993,11.78707844,8.552971004,9.017775465,9.109746468,9.177965799,9.012932342,0.175630160805542,0.932147463940664,5.8384385974819
"GSM672560",7.562291078,13.00110632,10.47099944,10.78529777,10.31526468,9.674375465,8.989582156,9.192094796,7.140640149,6.983714126,7.268254275,7.580898327,11.0511671,10.68093011,14.01388922,8.927639405,9.608845725,10.47617472,11.43945204,8.802977323,9.337545725,9.279881413,9.520383643,9.096666171,0.173534281942259,0.94029051426664,5.84728161085094
"GSM672561",7.314648699,13.14508736,10.50016952,11.1592223,10.25863271,9.61009368,8.003266543,8.382762082,7.073488104,7.077814498,7.127989963,8.026884387,10.49189926,10.70532379,10.10459219,7.705535502,9.60756803,10.68432825,12.55561822,7.832513011,8.335963569,8.074649442,8.743839777,8.356741636,0.166296675024748,0.968903477900961,5.87835409718191
"GSM672562",7.618860967,13.32130186,10.98619703,10.65251152,10.31526468,10.18850149,8.217745725,8.875758736,7.162673606,7.183873606,7.480480297,8.032024535,11.23992454,10.86867993,11.24112156,7.96097026,9.908577323,11.19267138,12.57880929,8.35422974,8.85546487,8.671066914,8.983071375,8.921110409,0.129703597991661,1.12779336540719,6.05090189477335
