"","yrkN","yrkP","yrkO","yrkQ","yrkR","pval","z","inv_cof_var"
"GSM672660",8.604154275,8.329036803,7.858394796,8.615294424,8.634802974,0.41971225490531,0.202629654556835,25.317945160869
"GSM672666",9.190962082,8.654175465,8.568848327,8.786026394,8.836514498,0.0546009424260422,1.60179076973389,36.8244718361675
"GSM672667",9.170989591,8.669790335,8.459275093,8.805447212,8.788727138,0.106846962631247,1.24347207452541,33.8777035333957
"GSM672668",9.041450186,8.586149442,8.529390335,8.6819829,8.667276208,0.00789954092808305,2.41352412655133,43.5000658204011
"GSM672669",9.206534201,8.696739033,8.617136803,8.747633457,8.700556506,0.0479649381558496,1.66491419233772,37.343590998463
"GSM672670",9.092923048,8.685659851,8.605266543,8.715765799,8.692872119,0.00363593783117014,2.68413031093623,45.7254973631663
"GSM672671",9.074839219,8.712598513,8.477389963,8.821174721,8.637964684,0.0290616672314956,1.89476656596356,39.2338682794834
"GSM672672",9.154847584,8.637964684,8.42776171,8.780972862,8.723092565,0.129243358211741,1.12997510081787,32.9443185633838
"GSM672673",9.089297398,8.611122677,8.411830112,8.737856134,8.675730855,0.0797841866171785,1.40652470713683,35.2186280675824
"GSM672676",9.045679554,8.812618773,8.276495167,8.807425279,8.624420074,0.204798032009446,0.824604679162436,30.4329902649406
"GSM672677",9.220974721,8.624420074,8.454589219,8.704256134,8.596839033,0.232846700467579,0.72950403424454,29.6508944107063
"GSM672678",9.1231,8.7329829,8.403292565,8.605266543,8.38646803,0.269097113225273,0.615545960716131,28.7137174132206
"GSM672679",9.052309665,8.5885829,8.279827881,8.579858364,8.281063941,0.339101626900218,0.414916195000411,27.0637632185068
"GSM672680",9.132736059,8.590889591,8.25673829,8.607624907,8.448307063,0.368166022658289,0.336714614473674,26.4206431641966
"GSM672681",9.196441636,8.669790335,8.257919703,8.745098513,8.460543123,0.454081620101656,0.115355637624117,24.6002145199844
"GSM672682",9.054672491,8.671066914,8.145573978,8.665937918,8.311623048,0.472957997579453,0.0678362396072504,24.2094209116257
"GSM672692",8.533185874,8.101442751,7.971537918,8.244351301,8.224694424,0.0281644270707558,1.90848272259954,39.3466682426202
"GSM672693",8.686794052,8.159125279,8.061049071,8.288367658,8.352986617,0.0890294175627527,1.3467559838766,34.7270975346922
"GSM672694",8.917146097,8.249947584,8.012508922,8.379198513,8.499108178,0.430710675925303,0.174565127690595,25.0871459887699
"GSM672696",8.994675465,8.863658364,8.375895167,8.921110409,8.774426022,0.0641364705115321,1.52094778514475,36.1596292039678
"GSM672697",8.79387881,8.757617844,8.355411152,8.830134572,8.551803346,0.00880209822133593,2.37383959279231,43.1737051594723
"GSM672702",9.150171375,8.467777323,8.392362082,8.552971004,8.674690335,0.264236767812754,0.630337893385933,28.8353644244176
"GSM672703",9.230539033,8.607624907,8.411830112,8.60996171,8.483455019,0.357583398108299,0.36492579816711,26.652648423769
"GSM672704",9.273874721,8.819794796,8.512473234,8.988291822,8.887666543,0.147714033177761,1.04628803837663,32.2560865893014
"GSM672705",9.139572491,8.764030483,8.499108178,8.871863197,9.035304089,0.0738526921026029,1.44768422326049,35.5571187996947
"GSM672706",9.098998885,8.702365799,8.42662342,8.965011896,9.116951673,0.216622273859045,0.783651637124395,30.0961975499817
"GSM672707",8.903206691,8.906881413,8.315149071,9.169653903,9.195828996,0.429638679208356,0.177294133721037,25.1095889943293
"GSM672710",8.985678439,8.884842007,8.255571375,9.015346097,9.164875465,0.430427571182006,0.175285706615854,25.0930719400669
"GSM672711",8.840472491,8.70822974,8.297544238,8.83260855,9.092923048,0.217461740776736,0.780794309346213,30.0726992423579
"GSM672712",8.857243123,8.566478067,8.316775093,8.867563197,9.144256877,0.315647271433757,0.479905566568583,27.5982277125872
"GSM672716",9.264464312,8.926239777,8.671066914,8.94377881,8.923778439,0.0112398684697528,2.28216269014796,42.4197657350962
"GSM672717",9.218575465,8.65536171,8.518662454,8.814584758,8.805447212,0.114559497340506,1.20263139066742,33.5418348381097
"GSM672718",9.228067658,8.757617844,8.561458364,8.852436803,8.937742751,0.0645411850303938,1.51773042794514,36.133170059242
"GSM672719",9.079373606,8.851008178,8.425394052,9.159348327,9.150171375,0.264709035558302,0.628894585397325,28.8234948393559
