"","abf2","araR","ccpA","abfA","abnA","araA","araB","araD","araE","araL","araM","araN","araP","araQ","pval","z","inv_cof_var"
"GSM672662",7.588915242,10.09014535,11.7543855,7.290454647,7.200011152,7.295504833,7.196527138,7.204681041,7.212406691,7.16059777,7.222447955,7.332467658,7.311718959,7.221266543,0.0118327727126632,2.26251593529934,63.7815607403442
"GSM672663",7.669763569,9.632133457,11.58383606,7.395965799,7.281887361,7.35901487,7.252905576,7.298382528,7.274337546,7.272425279,7.215920818,7.382328253,7.341880669,7.318360967,0.0147256371237135,2.17739277563724,62.5433245270507
"GSM672664",7.817295911,10.35867472,11.84897658,7.418300743,7.257305576,7.4853671,7.322290706,7.323299257,7.288125651,7.309753903,7.27630855,7.409369888,7.374476952,7.331414498,0.109687384086643,1.22819235426508,48.7358678950122
"GSM672665",7.620645725,10.37321041,11.44184461,7.313760595,7.209154275,7.324245353,7.274337546,7.229471375,7.259303717,7.190951301,7.315667658,7.395085502,7.349563197,7.2523671,0.0113658497163886,2.27791404292214,64.0055478967236
"GSM672666",7.824440149,10.11953383,12.30746208,7.629038662,7.166906691,7.617939777,7.510571747,7.482289963,7.233129368,7.58419145,7.526581784,7.811251301,7.694331227,7.599091078,0.309002934765278,0.498678533769173,38.1240621981619
"GSM672667",7.943737175,10.19381561,12.39750149,7.722443123,7.179195167,7.674563941,7.559007993,7.557595911,7.260295911,7.462750558,7.534315985,7.781533457,7.789472491,7.630018959,0.396334294759302,0.262846894303381,34.6935589439816
"GSM672668",8.078779554,10.10699257,12.3842197,7.776724164,7.176684387,7.867135316,7.608422677,7.630925279,7.325943494,7.597465056,7.643193309,7.842649442,7.832513011,7.688649814,0.478934797699257,0.0528271923311851,31.638526664642
"GSM672669",8.207724907,10.16249219,12.38852714,7.881148327,7.303552045,7.978735688,7.799313755,7.839541636,7.440665428,7.673636059,7.748886989,7.996134572,7.917928996,7.753662454,0.470379977439703,0.0743147321573844,31.9510931865263
"GSM672670",8.35060855,10.00627323,12.26289851,7.904584015,7.292366914,7.9902,7.922072862,7.844221561,7.877147584,7.74493197,7.845779182,7.976651301,7.955817844,7.827565799,0.436710575853788,0.159314430955681,33.1875334877192
"GSM672673",8.788727138,10.05462639,12.31870483,8.009399628,7.792295911,8.275239405,8.211057249,8.114809665,8.246547955,7.915737175,7.900626766,8.022236989,8.043572119,7.939507435,0.49555640030493,0.011138682962397,31.0321085971787
"GSM672675",10.9651961,9.958141264,12.11942565,10.58518067,11.42249628,11.05339071,10.97578959,11.07026989,10.37321041,11.04938625,11.17064349,10.99780372,10.64325093,10.44871636,0.397020937227232,0.261065658038114,34.6676483544683
"GSM672683",7.762834201,10.71478104,13.0917539,7.513250186,7.171866543,7.839541636,7.580478067,7.533924535,7.298382528,7.527495539,7.459615613,7.78546171,7.399576208,7.313760595,0.349254617112458,0.387333626596451,36.504393746305
"GSM672684",7.698256877,10.67624981,12.97873309,7.493678439,7.174337918,7.884095539,7.61607658,7.365027881,7.27630855,7.607456506,7.479533457,7.769860967,7.296956877,7.315667658,0.414504887162969,0.215971742061515,34.0116938529778
"GSM672685",7.607456506,10.41887398,13.03570706,7.415298885,7.266283271,7.732870632,7.564976208,7.407115242,7.224612639,7.482289963,7.353526766,7.634766543,7.277204089,7.089604089,0.290040442245059,0.553266576281206,38.9181221381303
"GSM672686",7.706968401,10.59128327,13.09337732,7.497717286,7.227946097,7.833525279,7.595456877,7.563633457,7.151679554,7.437914498,7.395965799,7.667318959,7.356145725,7.325028996,0.338974188991905,0.415264374364818,36.9106857999417
"GSM672687",7.760930855,10.80762305,13.18166543,7.533924535,7.163301115,7.932447212,7.732870632,7.634766543,7.309753903,7.626144981,7.450236803,7.71755316,7.431591822,7.292366914,0.43192747019708,0.171469080697823,33.3643399823367
"GSM672688",7.699220446,10.81364758,13.12063532,7.419965056,7.129661338,7.8193171,7.621493309,7.506061338,7.096736803,7.484497955,7.420795167,7.58419145,7.314648699,7.100415613,0.485543756016542,0.0362443637754894,31.3973060741704
"GSM672692",7.842649442,10.0742026,12.40656468,7.504303346,7.245240149,7.576928996,7.47327658,7.461993309,7.294394796,7.421697026,7.436165428,7.46360223,7.495428625,7.376822677,0.0945955769731755,1.31297564839406,49.9691602855856
"GSM672693",7.841605948,10.05097732,12.49265874,7.615062082,7.293344238,7.688649814,7.529364684,7.486659108,7.428180669,7.47143829,7.489437175,7.542924907,7.581318587,7.47696803,0.0497520222936687,1.64726278057966,54.8318373097158
"GSM672694",7.932447212,9.978329368,12.42567472,7.648112639,7.327780297,7.719550558,7.546432714,7.575992937,7.379622677,7.452099257,7.496405204,7.649154647,7.572286989,7.508754275,0.133057060595852,1.11205588868699,47.0464994794887
"GSM672698",7.604586617,9.842369888,11.08671896,7.242649442,7.123569888,7.286697026,7.234244238,7.283749814,7.170605948,7.274337546,7.305377323,7.275465799,7.271315613,7.206927881,0.0159109470767294,2.14664073682555,62.0959928227249
"GSM672699",7.634766543,9.534535316,10.56404164,7.257305576,7.123569888,7.246704089,7.249794424,7.304376952,7.189788476,7.293344238,7.307651301,7.312733086,7.271315613,7.182719331,0.0309082293912657,1.86760994806319,58.0370971163046
"GSM672700",7.576928996,9.539726022,11.03410706,7.231006691,7.136520074,7.2523671,7.264314126,7.336424164,7.158062082,7.280100743,7.331414498,7.309210409,7.262255019,7.190951301,0.0112161813302877,2.2829661448777,64.0790378331811
"GSM672702",7.932447212,9.833729368,12.12968401,7.286697026,7.039841264,7.60192119,7.347610037,7.391549442,7.136520074,7.288603717,7.303552045,7.311718959,7.314648699,7.306538662,0.45306217318551,0.117928455453494,32.5855162013226
"GSM672705",7.757776208,10.31773494,12.82942007,7.510104647,7.159424535,7.978735688,7.704079926,7.68679368,7.355683457,7.48711803,7.502536431,7.676433829,7.544768401,7.333413755,0.402993004532163,0.245607595360053,34.4427890673916
"GSM672706",7.573260223,10.30703643,13.04355372,7.45293829,7.022507807,7.865181413,7.502536431,7.514108178,7.148817472,7.329580297,7.412204089,7.600991078,7.532095911,7.34665948,0.411577833462574,0.223488070231514,34.1210294294301
"GSM672710",7.678274349,12.21495725,12.00570595,7.562291078,7.204681041,7.72153197,7.59084052,7.606418959,7.314648699,7.526581784,7.491115242,7.869126394,7.741947584,7.55573197,0.228031387764435,0.745345675546057,41.7121830901751
"GSM672711",7.625234944,12.12529108,11.9506539,7.437914498,7.233129368,7.500678067,7.314648699,7.46360223,7.437034201,7.368476952,7.284242007,7.690520446,7.722937546,7.389852788,0.123744801250554,1.15646843737483,47.6925425343783
"GSM672712",7.607456506,12.36989182,12.04352379,7.491115242,7.145996283,7.440665428,7.315158178,7.447595539,7.347610037,7.323299257,7.274337546,7.761926022,7.550943123,7.416600743,0.162005411630382,0.986249236990553,45.2164645909566
"GSM672716",7.926234201,10.23892602,12.56473271,7.68679368,7.064322677,7.849694796,7.611296654,7.640334201,7.358100372,7.563181041,7.504303346,7.803133086,7.739739777,7.541188476,0.45166119179977,0.121465444126361,32.6369666817575
"GSM672717",7.925253903,10.2065,12.53577732,7.654683271,7.141876952,7.777772862,7.571387732,7.517730112,7.235277695,7.497289219,7.479533457,7.74787026,7.708428067,7.630018959,0.411836916120839,0.222822273230527,34.1113444745882
"GSM672718",7.89222119,10.29234758,12.67265651,7.641281413,7.127989963,7.827565799,7.470616357,7.539036059,7.266283271,7.513250186,7.414878439,7.818343866,7.670738662,7.603724535,0.438331651579666,0.155200437796155,33.1276896645859
"GSM672719",7.566876952,9.94515539,11.81923755,7.72549145,7.042702602,7.189788476,7.269249814,7.358100372,7.62952881,7.241677695,7.238387361,7.675475093,7.676433829,7.520542007,0.463986124486175,0.0903963602256238,32.1850231102023
"GSM672721",7.633748327,9.911658736,11.96415093,7.801209294,7.073488104,7.339055019,7.314648699,7.395085502,7.564976208,7.355683457,7.40575539,7.802120446,7.757776208,7.574069517,0.434232446374428,0.165608709509363,33.2790926318189
"GSM672728",11.13479888,9.890813011,12.9836684,11.06557435,11.92414164,11.15801487,10.99780372,11.27618439,10.50820223,11.2080881,11.03188587,11.04117175,10.78529777,10.66670855,0.486552983573252,0.0337130567053306,31.3604846486773
"GSM672729",11.45127844,10.26368476,12.81725688,11.31557286,12.17742788,11.35176059,11.08918216,11.17657509,10.90279405,11.17542156,11.37323197,11.3353487,11.12047993,10.99543978,0.394001236856328,0.268905409969328,34.7816885849179
"GSM672730",11.42728327,9.713857993,12.77412974,11.08210335,11.93752491,11.33162788,11.13599963,11.28802677,10.79800781,11.19995948,11.2720223,11.12813011,11.13356654,11.05398736,0.242130829706651,0.699464710753821,41.0447798554724
"GSM672735",11.50417435,9.989074349,12.88029071,11.04516803,11.91645465,11.11013494,11.00848364,10.99780372,10.8312829,11.11351933,11.21893048,11.16270446,10.89814201,10.9483658,0.328351072097764,0.444470926484798,37.3355362242442
"GSM672736",11.4039948,9.732179926,12.74293383,10.6237948,11.72211413,11.07796394,10.92041933,11.0330539,10.69380223,10.97806617,11.04117175,10.83366729,10.7748487,10.60519108,0.42130292526549,0.198561400147411,33.7584359155441
"GSM672744",8.18799777,10.97143346,13.07797286,7.935463197,8.247687361,8.241036059,8.056952788,8.200952045,7.529364684,7.986987732,7.896279926,7.856371375,7.710728625,7.832513011,0.378478532604295,0.309479156444204,35.3718908564691
"GSM672753",8.1188829,11.21474405,13.82848513,7.68067342,7.194324907,7.811251301,7.672643866,7.774867658,7.834514126,7.598236431,7.609332714,7.599091078,7.549599442,7.623807249,0.377412684904775,0.312283116754009,35.4126784072369
"GSM672754",7.986987732,11.25086022,13.78374796,7.730965428,7.204681041,7.69967342,7.619773234,7.625234944,7.561339777,7.694331227,7.591762082,7.604586617,7.465811524,7.542924907,0.226059286108392,0.751887738870917,41.8073466126601
"GSM672760",7.924209665,10.32496394,13.30973011,7.629038662,7.209154275,7.672643866,7.438816357,7.445059851,7.583214498,7.564085874,7.548252045,7.691536431,7.618860967,7.46360223,0.19104026036192,0.874069289598576,43.5846493033486
"GSM672762",7.759936803,10.228229,13.52764833,7.620645725,7.083947212,7.623303717,7.343281784,7.317484015,7.278232342,7.389852788,7.335327509,7.869126394,7.693285502,7.458304089,0.459118699461895,0.102654232395756,32.3633311203752
"GSM672763",7.836457993,10.31281784,13.28852007,7.602832714,7.255019703,7.802626766,7.540397398,7.355683457,7.413969517,7.611296654,7.507884387,7.814337918,7.692402602,7.427298885,0.268527655390329,0.617272032356032,39.8491716183754
"GSM672764",7.788498141,10.27428959,13.21872714,7.629038662,7.177962454,7.739739777,7.58419145,7.415298885,7.329580297,7.606418959,7.452099257,7.795259851,7.694331227,7.504303346,0.273372585424606,0.602644559000866,39.6363944224953
"GSM672765",7.893216357,10.43317955,13.15227509,7.715651301,7.18144684,7.935463197,7.739739777,7.600991078,7.389022677,7.788498141,7.630925279,7.868198885,7.763843123,7.548252045,0.387946226805914,0.284675903132538,35.0110926133128
"GSM672767",7.797822305,10.19560706,13.10414349,7.642252045,7.072328996,7.955817844,7.730965428,7.711727881,7.413545725,7.564085874,7.540397398,7.855413383,7.74787026,7.462750558,0.461529365147089,0.0965815231295181,32.2749950135377
"GSM672768",7.999137918,10.39218216,12.79829665,7.748886989,7.081839777,7.769365242,7.526581784,7.475075093,7.496405204,7.489437175,7.47143829,7.906473978,7.761926022,7.576928996,0.494036421126811,0.0149490321884462,31.0875354917596
"GSM672770",8.084459108,10.37568922,13.25872286,7.683959851,7.206927881,7.742886245,7.648112639,7.494581413,7.35522119,7.658371375,7.510571747,7.865181413,7.665922677,7.504303346,0.43790412007866,0.156285176557752,33.1434687172186
"GSM672771",7.916786989,10.39021747,13.23109554,7.712718216,7.156690706,7.671643494,7.487576952,7.464571004,7.290454647,7.498145353,7.45382974,7.984951301,7.728157621,7.581318587,0.480075622227396,0.0499637889996555,31.5968744314256
"GSM672772",7.793164312,10.29234758,13.41359628,7.624310781,7.158062082,7.650009665,7.340056877,7.34665948,7.364136059,7.452099257,7.313760595,7.775827509,7.589801115,7.40222974,0.322060239343721,0.46194539575743,37.589726984401
"GSM672774",7.80720632,10.64505558,13.40928959,7.682123792,7.197662082,7.74390632,7.530228253,7.361776952,7.390745353,7.582311152,7.40222974,8.068419703,7.647143123,7.421246097,0.471924355058487,0.0704333972075908,31.8946337046435
"GSM672776",7.736879182,10.32256357,13.38472454,7.640334201,7.079829368,7.711727881,7.582311152,7.626144981,7.539566543,7.466259108,7.467951301,7.983840149,7.827565799,7.482289963,0.420714232937694,0.200066636705565,33.7803317007015
"GSM672779",8.024810037,10.21094535,12.62842751,7.839541636,7.269249814,7.772822305,7.571387732,7.59084052,7.430656506,7.583702974,7.576928996,8.073602602,7.940559851,7.746923792,0.47442959380482,0.0641394529276694,31.8030794230262
"GSM672780",8.021720446,10.2294197,13.39496283,7.745915242,7.116044981,7.674563941,7.586930855,7.490282156,7.298382528,7.556651301,7.491115242,7.907455762,7.710728625,7.542924907,0.499820992596458,0.000448705034144032,30.8766078163969
