"","lexA","rocR","pval","z","inv_cof_var"
"GSM672766",12.72872639,10.46688848,0.124058465727995,1.15493527811104,7.25152606906678
"GSM672767",12.74756208,10.04591561,0.385223033253383,0.291791471338126,5.96577783969761
"GSM672769",12.32160558,10.14274461,0.11879951678092,1.18100928809929,7.2903661927077
"GSM672771",12.92673643,10.03985799,0.47476873286562,0.0632876301454344,5.62539607838255
"GSM672774",13.09337732,10.21271413,0.449319890283288,0.127379828674849,5.72086850155114
"GSM672775",13.00986097,10.14274461,0.452196396309869,0.120114062701154,5.71004533898844
"GSM672776",12.9632026,10.20304461,0.393194905863572,0.271001586926066,5.93480900592757
"GSM672777",12.40940483,9.752057249,0.40297445640931,0.245655512561591,5.89705322296317
"GSM672784",13.11192862,10.32377435,0.390939192614437,0.276872010356321,5.94355365134108
"GSM672786",12.14450074,10.00507361,0.11480268748824,1.20137601694467,7.32070468942806
"GSM672788",12.30746208,10.13176691,0.118474003612527,1.18264969874173,7.29280976591347
"GSM672789",12.74905093,9.965484758,0.436257315552198,0.160465202082078,5.77015282699327
"GSM672790",12.63451004,10.15135502,0.260200535258595,0.642727289172235,6.48853558048406
"GSM672791",12.73028625,10.12989164,0.322791296784777,0.459907532107965,6.21620531860346
"GSM672792",12.64979145,10.03614498,0.341966065119405,0.40710328575443,6.13754754950463
"GSM672793",12.90509033,10.21896468,0.354443183968718,0.373352149630714,6.08727149681243
"GSM672794",12.58472156,10.08403457,0.277609141745623,0.589958781980606,6.40993104882235
"GSM672796",12.31592825,9.904658736,0.254209144205224,0.661302578178231,6.51620552929453
"GSM672797",12.79137658,10.10210855,0.371501795116249,0.327878420930978,6.01953334507026
"GSM672798",12.87134275,10.11830706,0.400961558313401,0.250859009814174,5.90480440802241
"GSM672799",12.87384461,10.38541896,0.234592153984453,0.723806875052007,6.60931259720467
"GSM672800",12.6836,10.22599703,0.238258725636962,0.711914938133722,6.59159824101457
"GSM672801",12.26155651,10.2305684,0.0613141241629034,1.54383525447377,7.83083562569741
"GSM672802",12.7318948,10.2696368,0.235370789759162,0.721272977286098,6.60553807604104
"GSM672803",12.87794796,10.45256691,0.196806220051915,0.853084511178616,6.80188594412848
"GSM672804",12.65290223,10.27928476,0.191330527947959,0.873003709353965,6.831557794385
"GSM672805",12.92150372,10.2305684,0.355322316177243,0.370990466655473,6.08375350863952
"GSM672807",12.87947621,10.11830706,0.404940044513044,0.240580727138272,5.88949376841891
"GSM672808",12.92314349,10.08788327,0.444535625630118,0.139479503740763,5.73889230670373
"GSM672809",13.09337732,10.2729855,0.413093238206269,0.219595140432103,5.85823341442226
"GSM672810",13.07116617,10.38173197,0.334920353982411,0.426366637277275,6.16624244358586
"GSM672811",12.87794796,10.19443086,0.356368252425691,0.368183376320809,6.07957203690891
"GSM672812",12.87794796,10.19443086,0.356368252425691,0.368183376320809,6.07957203690891
"GSM672813",12.88900186,10.45256691,0.201993558215502,0.834521607610007,6.77423444479777
"GSM672814",13.06578587,10.4978948,0.26018477235884,0.642775866765994,6.48860794218634
"GSM672815",12.75841524,10.23546394,0.269886255873587,0.613157033541825,6.44448741200917
