"","bdbA","abh","yvrHb","abrB","dnaA","rok","bdbB","sunA","sunT","yolJ","pval","z","inv_cof_var"
"GSM672693",14.88755316,12.73977435,10.38173197,13.10592714,12.93890353,12.92992751,14.13102342,15.68112788,14.94641301,14.65334089,0.410298953426764,0.22677602560057,26.5123647250993
"GSM672694",14.961471,12.82640149,10.39021747,13.13379517,12.79137658,12.7521803,14.48566134,15.79347546,15.19678141,14.96705799,0.326105156535646,0.450693714567286,31.7452903615161
"GSM672695",15.47494981,12.80614647,10.21035353,13.24606989,12.74905093,13.24788216,15.59743048,16.19371115,14.87743532,15.55620743,0.303360925938635,0.514758409284164,33.2424734778665
"GSM672696",15.82913494,12.52103866,10.75245725,13.74509665,13.28644796,13.24788216,15.53897138,16.27558253,15.75899182,15.62225242,0.0731245478101446,1.45290873407715,55.1669177148364
"GSM672697",15.74199963,12.77412974,10.78641524,14.06484089,13.2291658,13.5255539,15.51421413,16.21444944,16.03633346,15.61343941,0.0808520759330676,1.39936301488605,53.915561611759
"GSM672709",13.02854461,12.55092639,10.91926171,13.21045353,14.45026283,12.88276766,12.42890074,14.13440409,13.25572045,13.01941877,0.49842079722763,0.00395848465855215,21.3051493969162
"GSM672722",14.63629591,14.5439829,11.2654855,14.18664647,13.98436729,13.48023494,13.81090595,15.18381933,14.49293792,14.27576691,0.372306845917144,0.325749761236904,28.8253673330366
"GSM672723",15.39060186,12.83257361,11.52343123,13.38685874,12.76007472,14.3837368,14.51807323,16.22155539,15.48368625,15.03266691,0.444576009717408,0.139377287098899,24.4698682103918
"GSM672724",13.97636729,14.14266803,11.43328625,14.20445688,14.02572788,13.30210743,13.31737249,14.50400372,13.91054387,13.87933941,0.306171989791006,0.506730425148853,33.054860591255
"GSM672725",16.19371115,13.25369033,11.58120632,12.89897175,13.27297993,13.45721859,15.52257435,15.64881152,16.10096283,15.99737658,0.0777994096004743,1.42003044034156,54.3985565060165
"GSM672726",15.22980632,14.26634535,11.03188587,13.61981078,13.24083643,12.87304684,14.64447732,15.55620743,15.41281338,15.30855836,0.169398450863275,0.956545116953008,43.5669681573917
"GSM672727",16.34839145,13.51702342,11.39810297,12.91903699,13.61981078,13.29628699,15.53897138,15.98063123,16.22890372,16.13797361,0.100585214387442,1.27822407765387,51.0845612868816
"GSM672728",16.27903383,11.89799851,11.08210335,11.62612305,12.45414126,13.31923978,15.6989948,16.32106729,16.30918699,16.26861673,0.0461861030151518,1.68301490519195,60.5444673290758
"GSM672729",16.41206468,11.84372045,10.697229,11.3084513,12.988971,12.92503755,16.02135874,16.31574647,16.42565242,16.3629342,0.000480145793479755,3.30190917700479,98.3778041088103
"GSM672730",16.27558253,12.01111041,11.31089517,11.11351933,12.04601524,13.34864684,15.86955019,16.20058401,16.22155539,16.18697584,0.000350271979261472,3.38936616683552,100.421661949077
"GSM672731",16.0724342,13.23891599,11.4682684,12.60212045,13.25572045,12.90673086,15.32246357,15.76791375,15.82038253,15.82913494,0.0587405317837636,1.56543450315463,57.7966294829432
"GSM672732",15.56470372,13.25369033,11.21893048,13.78374796,12.77709554,13.97636729,14.8357223,15.83757435,15.39060186,15.39813309,0.186332598235545,0.891492158518989,42.0466894537082
"GSM672733",15.91765762,13.28644796,11.36724349,12.59205613,13.77660149,12.9331223,15.3793132,15.76791375,15.85358848,15.68112788,0.0109552044092418,2.29191742056685,74.7744354816033
"GSM672734",15.99737658,11.2363461,10.74634201,11.35999851,11.77964126,12.78051896,15.28884089,16.24241784,15.80265167,15.93357807,0.155919741849232,1.01136977100878,44.8482127925968
"GSM672735",15.97278996,11.82298996,10.63889424,11.24960967,12.48208364,13.05247546,15.46632379,16.15247212,16.04441561,15.86194312,0.0478123346636282,1.66644572802481,60.1572479344295
"GSM672736",16.24241784,12.02317361,10.91145613,11.37209145,11.65711152,12.99247212,15.30855836,16.20058401,15.97278996,15.86955019,0.181469862624888,0.90977776084589,42.4740214685897
"GSM672737",14.32986134,14.74027026,11.24703346,14.04813494,13.68176245,13.26346171,13.51256134,15.10096468,14.32280074,14.24770112,0.428457552761523,0.180302484200158,25.4262844456381
"GSM672738",15.28264684,14.56330743,11.15429703,13.78374796,13.76308848,13.22730074,14.30353717,15.58130781,15.12307993,15.08894944,0.324742263730232,0.454478410630667,31.8337381886954
"GSM672739",15.27586766,14.27893866,11.16389888,13.40092937,13.85909405,13.05860929,13.81582714,15.31526691,15.15962193,14.91633309,0.454592026657662,0.114067792612301,23.8783888004585
"GSM672740",14.22263903,14.39777584,12.13914164,15.03851413,12.08684164,13.77175465,13.41992007,14.84911041,14.10461152,13.99217212,0.392787269507633,0.272061750820659,27.5706859035711
"GSM672741",14.13102342,14.28826431,12.04601524,14.8169052,12.44648699,13.17062045,13.7086368,15.31526691,14.24448885,14.04552862,0.460663872467418,0.098761364748816,23.5206796836022
"GSM672742",14.41869665,14.12469963,12.03948625,14.34210483,12.63741822,13.26346171,13.7405171,15.39060186,14.29400892,14.42909851,0.447217970593628,0.132693300816425,24.3136643690052
"GSM672751",11.37801599,13.37430892,11.47313457,14.61673569,14.45389294,13.1468632,11.26177993,11.96150149,11.76822193,11.45388848,0.213232436049919,0.795255536634271,39.797652818208
"GSM672777",16.13048996,11.30132639,10.67507658,11.36244796,12.99076729,13.08133792,15.1410658,16.31574647,16.06489257,15.71599665,0.28856211124084,0.557590240241604,34.2434474844586
"GSM672787",13.35045167,11.29586097,10.80762305,12.23010929,13.25572045,12.96701115,13.08300781,14.40126208,13.82056989,13.15065688,0.442209331112559,0.145370110622878,24.6099196730425
"GSM672788",14.28505874,11.88511933,10.92505576,11.8697881,13.30973011,12.74293383,13.62222788,15.15316729,14.58155874,14.04280037,0.437312526222049,0.15778648018865,24.9000885244262
"GSM672796",14.97813903,11.13814721,10.87208662,11.73846877,13.16865353,12.75551227,14.09040223,15.63961115,15.24909405,15.01087881,0.413642768007941,0.218184275854768,26.311576713603
