"","hpf","phoP","phoA","phoB","phoD","pstA","pstBA","pstBB","pstC","pstS","tatAD","tatCD","tuaB","tuaC","tuaD","tuaE","tuaF","tuaG","tuaH","ydhF","yxiO","yycO","yycP","yycQ","pval","z","inv_cof_var"
"GSM672689",15.61343941,12.97208327,14.93051896,16.24241784,13.87665688,15.60525576,16.0140948,16.27558253,14.91167472,16.04441561,13.78122565,11.48984164,15.65681413,16.12363346,16.22155539,15.64881152,15.98063123,15.5469539,15.93357807,15.95731301,12.62092416,11.74947844,11.07137844,10.10077323,0.0801383120241277,1.40414181503635,7.64892215439005
"GSM672690",15.94857249,13.09676506,15.10605167,16.37624089,13.98155204,15.68112788,16.340529,16.28856134,15.39060186,16.25512491,13.61981078,11.47898253,16.13797361,16.21444944,16.20058401,16.10096283,16.26861673,15.76791375,16.09371152,16.28248513,12.7318948,11.59707881,10.92505576,10.04345948,0.129693472576375,1.12784130650522,7.27031623030123
"GSM672691",16.03633346,13.06050818,15.30855836,16.22155539,14.36693011,16.08663829,16.23596914,16.24241784,15.55620743,16.10096283,14.05645093,12.13786729,16.02135874,16.33439926,16.1452197,16.20750632,16.13048996,16.05834275,16.00569294,15.93357807,13.06224758,11.66081524,11.07735651,9.909817472,0.0812543635818321,1.39668363614399,7.63870244568748
"GSM672701",14.63204387,11.96415093,8.779644238,8.411830112,7.240568401,9.175440149,9.560557621,9.397619331,8.755684387,9.550201487,7.175556134,7.068984758,8.066166171,8.040285502,8.245420446,8.421766914,8.761433086,8.601725651,8.622026766,7.859383271,9.359849442,7.891243123,7.699220446,8.951537918,0.460704471652762,0.0986591006787891,5.86006012124024
"GSM672704",13.51480558,11.68223941,8.746243494,8.069449814,7.566876952,7.422534201,7.636548699,7.586030483,7.314648699,7.406658364,7.421697026,7.127989963,8.05945316,8.14613829,8.379198513,8.462952416,8.750019703,8.727996283,8.620113197,7.778707063,9.461452788,7.535639777,7.420795167,8.208771747,0.326816860766911,0.448719908068298,6.33973747027433
"GSM672705",13.50399368,11.61880967,8.741252416,8.008369145,7.482289963,7.387571004,7.532095911,7.512768401,7.21709368,7.407572119,7.420795167,7.077814498,8.065120818,8.111744238,8.325435688,8.49786803,8.669790335,8.637964684,8.654175465,7.795259851,9.575063197,7.40222974,7.348572862,8.251019703,0.357539219643676,0.365044164342004,6.22507922210196
"GSM672706",13.52354052,11.49708959,8.613412268,7.958960223,7.485827881,7.378700743,7.549137175,7.515012639,7.21919368,7.419553903,7.408428625,7.354395539,7.953687361,7.966381413,8.214330483,8.406797398,8.614675465,8.489474349,8.680669517,7.741947584,9.255978439,7.390745353,7.306538662,8.20664052,0.338380643947513,0.416886692180247,6.2961174125984
"GSM672707",14.01388922,11.52583048,9.698559851,8.117831227,7.620645725,7.501630112,7.762834201,7.758813755,7.143272862,7.441605204,7.486243494,7.280977695,8.175404461,8.189067286,8.479710781,8.811955762,9.084210409,8.817110037,9.177965799,7.670738662,9.03881487,7.376822677,7.205772862,7.37402119,0.491147392541624,0.022192017566496,5.75527967469667
"GSM672710",14.09176896,10.24754089,9.264464312,8.631756506,7.643193309,8.845825279,9.311478439,9.172110409,8.751308178,9.071826022,7.47143829,7.235277695,8.357856506,8.458105948,8.62690223,8.651625279,8.979176952,8.928771375,8.9676171,8.326605204,10.17371152,7.548252045,7.586930855,8.533185874,0.276250851282031,0.594015564929386,6.53883155346812
"GSM672711",14.12469963,9.913620818,9.182578067,8.502789963,7.526581784,8.351857993,8.639073606,8.458105948,7.9902,8.432450558,7.440665428,7.271315613,8.213257249,8.166616729,8.352986617,8.500448327,8.882200743,8.549405204,8.867563197,8.281063941,10.160029,7.527495539,7.692402602,8.651625279,0.331365662376256,0.436145282391433,6.32250685495708
"GSM672712",14.04813494,9.727094424,9.29452974,8.448307063,7.458304089,8.375895167,8.84517658,8.774426022,8.108623048,8.65225223,7.48316171,7.236266543,8.075726022,8.04244052,8.320828996,8.491805204,8.825094796,8.61233197,8.878179926,8.327762825,10.10642509,7.47190948,7.350514126,8.707036803,0.335764735976706,0.42404983142136,6.30593283771715
"GSM672722",12.99432751,11.59151078,9.401242751,8.704256134,7.746419517,7.450236803,7.719550558,7.712718216,7.268254275,7.630018959,7.74493197,7.297434572,7.989135316,8.38646803,8.645266171,8.680669517,9.216207063,9.086720446,9.10329684,8.063084015,9.293930112,7.503384387,7.584669703,8.430050186,0.185881499930115,0.893175866615044,6.94876153540164
"GSM672724",11.60519591,11.70866914,8.880969888,8.647807807,7.87012342,7.462750558,7.79415316,7.702029368,7.312733086,7.517730112,7.688649814,7.595456877,8.130766914,8.415459851,8.676886989,8.985678439,9.234037918,9.164875465,9.204114126,8.048987361,9.109746468,7.424902416,7.484089591,8.383890706,0.0159889285565663,2.1446872984682,8.66366841227805
"GSM672726",14.32815855,11.24703346,8.723092565,8.465450186,7.634766543,8.534192193,8.168757621,8.031022305,9.1231,10.69497435,7.712718216,7.551989219,7.940559851,7.978735688,8.373463569,8.545669888,9.106116729,8.956904089,9.054672491,7.935463197,9.785500743,7.372210409,7.430656506,8.488883457,0.432577255259893,0.169816423402097,5.9575647695978
"GSM672737",12.91816022,11.53860669,8.942527509,8.458105948,7.937469888,7.413121933,7.740278253,7.715651301,7.389852788,7.634766543,7.751708178,7.467078439,8.013526394,8.317332714,8.607624907,8.837883643,9.090420074,8.972713011,9.054672491,8.071515242,9.443779926,7.433513383,7.46099777,8.361323792,0.149657046302028,1.03790541430885,7.14707989695253
"GSM672738",12.64338773,11.545929,8.893053903,8.330175836,7.78546171,7.374932714,7.633748327,7.598236431,7.21919368,7.379622677,7.564085874,7.407572119,8.012008736,8.190704833,8.549405204,8.768963569,9.062107435,8.886296654,9.068281041,8.017719703,9.412865428,7.434428625,7.485827881,8.501655019,0.139891965610494,1.08080484861306,7.20586364676891
"GSM672739",13.54124015,11.42134944,9.035304089,8.403292565,7.790382156,7.448477695,7.687710037,7.65925316,7.260295911,7.430656506,7.619773234,7.429891078,7.94874052,8.235281784,8.441049442,8.61233197,9.120642751,8.954337175,9.167288104,7.981871747,9.415497026,7.496847212,7.586030483,8.574934572,0.302397303188002,0.517518000865129,6.43400933983174
"GSM672740",14.05925799,12.4688316,8.414241264,8.241036059,8.069449814,8.070405204,8.335963569,8.320828996,7.949688476,8.409305576,7.753662454,7.283242937,8.14140223,8.115733457,8.152455019,8.362547955,8.552971004,8.485988104,8.625594052,7.710728625,9.821001487,7.708865056,7.520542007,8.190704833,0.307845374874044,0.501966977913705,6.41270026064708
"GSM672741",12.54013457,12.29611413,8.725552788,8.489474349,7.762834201,7.760930855,8.100355762,8.064017472,7.503384387,8.055976952,7.604586617,7.534707435,8.229425651,8.117831227,8.385220818,8.505152788,8.692872119,8.540665428,8.691702974,7.994171375,9.467850558,7.759936803,7.523875465,8.17870632,0.0410014116830676,1.73918160882161,8.10801667943073
"GSM672742",12.26155651,12.28154684,8.713237546,8.343217472,7.72153197,7.288603717,7.507008178,7.642252045,7.129661338,7.380567286,7.602832714,7.294394796,8.239889591,8.177703717,8.299976952,8.464214126,8.673456134,8.565359108,8.650404461,7.900626766,9.440052788,7.617939777,7.504303346,8.188528253,0.0710540454831808,1.46798576012882,7.7364055106738
"GSM672743",11.24473197,11.75559182,9.64251487,8.873246097,7.753662454,7.492395725,7.750881041,7.682123792,7.318360967,7.550502416,7.658371375,7.325028996,8.505152788,8.522198513,8.680669517,9.161527881,9.392488104,9.367478067,9.500806691,8.471215242,8.931406691,7.623303717,7.745915242,7.8676671,0.0169572703538935,2.12108629913886,8.63132870285079
"GSM672744",11.31214572,11.40524758,9.304019331,8.720728996,7.813247212,7.519544981,7.706005204,7.652643494,7.231006691,7.466259108,7.651796654,7.418300743,8.38036803,8.360233086,8.528111524,8.874475465,9.371142751,9.225799628,9.386327138,8.415459851,8.898016357,7.200011152,7.589801115,7.801209294,0.0185767941464155,2.08407233247416,8.58060962481586
"GSM672745",11.6064513,11.71235911,8.664556134,8.263677323,8.096063197,8.325435688,8.647807807,8.49786803,8.20314052,8.796410037,7.969496654,7.497289219,8.60055539,8.363724164,8.70175539,8.746243494,9.079373606,8.831322305,9.053477323,7.832513011,9.677058364,7.21919368,7.591762082,8.139266914,0.00144965999393482,2.9782155590736,9.8058260544711
"GSM672746",11.77196952,11.2363461,9.183775093,8.983071375,7.995139033,7.318360967,7.752718959,7.823384758,7.206350372,7.565977695,7.724405948,7.475075093,8.657939777,8.844527881,8.928771375,9.026469888,9.521692565,9.437442007,9.467850558,8.604154275,8.823742007,7.762834201,7.714724907,7.815310781,0.0341033524165774,1.82363874627186,8.22374564692426
"GSM672747",11.73408234,11.19941283,8.954337175,8.782315242,7.833525279,7.533924535,7.838514126,7.745915242,7.350038662,7.499016357,7.631891822,7.489437175,8.705665428,8.671066914,8.791343494,9.220974721,9.436229368,9.271420074,9.442413011,8.539452788,8.745098513,7.551989219,7.565977695,8.018659851,0.025520121010123,1.95114127843123,8.39845836920079
"GSM672748",11.49942454,11.15801487,9.07303197,9.019542007,7.86312974,7.446739777,7.940033643,8.103662082,7.189107993,7.425346468,7.864212268,7.475075093,8.7329829,8.882200743,8.993447584,9.02775539,9.689711524,9.470373234,9.575063197,8.84304052,8.70936803,7.908,7.83154052,7.606418959,0.0195413366345366,2.06331538509648,8.55216703060939
"GSM672749",11.78586766,10.87889517,9.684353532,9.095472862,8.054964684,7.689591822,8.41797881,8.371118216,7.456380669,8.292988848,8.017177881,7.496405204,8.005370632,8.363724164,8.522198513,8.817110037,9.295815242,9.333706691,9.316182528,8.628068773,9.07303197,7.504303346,8.033560409,8.232792937,0.00698449912674789,2.45805961758288,9.09307267611025
"GSM672750",11.45513903,11.01554164,9.237713383,8.71819145,7.792295911,7.808284015,8.235281784,8.168757621,7.575073978,8.013526394,7.813247212,7.491978439,8.182026394,8.30718513,8.470127138,8.730405576,9.208952416,9.084210409,9.125550186,8.382762082,9.139572491,7.545562825,7.648112639,8.1188829,0.00179742553799446,2.9116848710522,9.71466113858833
"GSM672751",11.40904461,11.10790929,9.576361338,8.883541264,8.047924535,8.114809665,8.691702974,8.667276208,7.92980632,8.657939777,7.943737175,7.446300372,8.134901115,8.573867658,8.797762082,9.045071375,9.427001859,9.38057974,9.318468401,8.522778253,9.140726766,7.798363941,8.046743123,8.102525651,0.000314660124730114,3.41865257161252,10.4093430838885
"GSM672752",11.62494535,11.1518223,10.10964312,8.795147584,8.159125279,7.671643494,7.954822677,7.88627026,7.370159108,7.745423606,7.820356506,7.626144981,8.235281784,8.341881784,8.719429368,8.896774721,9.396359108,9.377654647,9.50463829,8.448307063,9.157205948,7.734865799,8.260122677,8.252212268,0.0126273207409632,2.23748526240382,8.79082655279754
"GSM672753",11.61378959,11.13599963,9.930198141,8.649103346,7.962027881,7.600991078,7.925744052,7.88725316,7.363712268,7.546432714,7.806252045,7.575992937,8.415459851,8.465450186,8.656604089,9.190962082,9.289737175,9.30159777,9.419314498,8.291892937,9.102701487,7.581318587,8.047924535,8.116738662,0.0165541481141349,2.13076755860833,8.64459462916872
"GSM672754",11.6064513,11.29894126,10.47675781,8.833879926,8.154679926,7.782479554,8.312686245,8.244351301,7.537504833,8.045720074,7.965228625,7.515012639,8.330175836,8.593413755,8.70936803,9.109746468,9.556072305,9.552804833,9.501473978,8.548211524,9.012932342,7.664118587,8.42776171,8.315149071,0.00909373740432065,2.36177912142759,8.96114253087674
"GSM672755",12.0172355,11.14255428,9.247679926,8.915221561,7.874073978,8.506366543,9.020110409,8.889076208,8.092406506,8.790155019,7.716571004,7.35522119,7.824440149,8.197505948,8.302290706,8.533185874,9.296919703,8.922488848,9.060899257,8.671066914,8.96094052,7.560428996,7.70978513,8.088671747,0.00670043112866846,2.47293471060089,9.11345554969933
"GSM672756",11.83474164,11.04821115,9.129148699,8.659134201,7.668269145,8.243223048,8.705665428,8.545669888,7.817295911,8.817110037,7.929290335,7.321295167,7.700610409,8.187467286,8.316217472,8.580458364,9.120642751,8.866158364,8.882200743,8.249947584,9.266752045,7.65925316,7.587933086,8.08659145,0.00480655621748431,2.58944375904296,9.27310424591282
"GSM672757",11.73350112,10.96575651,8.973374349,8.60055539,7.708865056,8.792524907,9.119518959,8.928771375,8.434796283,9.166081041,7.850156506,7.444192193,8.103662082,8.230542007,8.378162082,8.758811152,9.11824461,9.008102974,9.060899257,8.229425651,9.234037918,7.40222974,7.52255316,8.200952045,0.00251990453383513,2.8044782315768,9.56775924172675
"GSM672766",14.27576691,11.38512714,9.184346283,8.230542007,8.057889591,7.48490632,7.792730112,7.658812268,7.618860967,7.715651301,7.834514126,7.098571004,7.780598141,8.782315242,8.49786803,8.175404461,9.021356134,8.993447584,8.817110037,7.622386245,9.745832714,8.224694424,8.216581041,7.92877658,0.428465110042845,0.180283230508774,5.97190710721401
