"","acsA","ccpA","codY","hutG","hutH","hutI","hutM","hutP","hutU","tyrS","ytzK","pval","z","inv_cof_var"
"GSM672678",15.11720743,12.10981524,12.10715093,12.6458368,11.95273885,12.63150967,11.38151115,14.23481264,12.29315279,11.13479888,15.84610186,0.0267110216742963,1.9314935730696,7.84498557256723
"GSM672679",14.9261052,11.92684275,12.29611413,12.75924498,12.1703171,12.84223494,11.44888067,14.06484089,12.4661171,11.2329223,15.71599665,0.0102826471832733,2.31587134405981,8.53441449838474
"GSM672680",14.8169052,11.79491301,12.37427993,13.31923978,12.65138587,13.34507323,12.09369554,13.97082379,13.0950171,11.07978216,15.72398736,0.00180951821501106,2.90958959251236,9.59932138208513
"GSM672681",14.63204387,11.68854647,12.82326543,13.21222714,12.55718141,13.18693197,12.07040112,13.86138401,12.81874535,11.05797546,15.47494981,0.000944421885326895,3.10717526688983,9.9537156512752
"GSM672682",14.5439829,11.52813271,12.90290911,12.71352639,12.25932435,12.83902974,11.39101301,13.38884164,12.5077974,11.20118141,15.6989948,0.00491513209678684,2.58174341061739,9.01128883162068
"GSM672710",10.38305279,12.00570595,12.72426729,8.216581041,7.310779182,8.080995167,7.765909294,8.62324461,7.832513011,11.23406803,13.24969777,0.452330939708271,0.119774377721523,4.59544381183001
"GSM672711",10.08529814,11.9506539,12.79829665,8.220548327,7.272892193,8.023792937,7.749934201,8.737856134,7.734865799,11.29894126,13.4302974,0.478794696235352,0.0531788682622802,4.47599655442884
"GSM672728",14.66569628,12.9836684,14.08209294,9.800424907,9.409023792,10.00747918,8.721894796,13.00986097,9.656692193,12.92673643,15.13492268,0.433730998626022,0.166883142778965,4.67993919044276
"GSM672729",14.13993457,12.81725688,14.06484089,9.557981784,9.409023792,9.919852788,9.079373606,12.71816097,9.467850558,11.9506539,14.71898885,0.347225617370707,0.392821620650437,5.08518770858284
"GSM672730",14.4894368,12.77412974,13.95159331,9.425710781,9.389882528,9.815632714,8.761433086,13.22356468,9.64251487,12.60816022,14.95131636,0.436240942384532,0.160506775471557,4.66850238947469
"GSM672734",14.9261052,12.75841524,13.49133829,9.464062082,9.324801487,10.12320297,8.779644238,12.37289182,9.752057249,12.64979145,15.22313234,0.447957432847158,0.13082358438472,4.61526192634095
"GSM672735",14.50400372,12.88029071,13.72863755,9.418096283,9.078768959,9.789263569,8.764618587,12.25553011,9.368698513,12.31733383,14.95582342,0.442854339174373,0.143736334466513,4.63842253574692
