"","accA","accD","kinA","kinC","ktrC","racA","sirA","spo0F","spoIIE","txpA","yerB","yerC","yisK","yisL","ykqA","yneF","yodL","yppD","yppE","yusD","yusE","spo0A"
"yerB",0.431693382455318,0.445604003075471,-0.00417488384942056,-0.289528801728078,-0.138333014362376,0.629840107729487,0.45402734993733,0.420377118383318,0.683996988823954,-0.226862505307477,1,0.903292031938516,-0.0539823878365259,-0.306363775489915,-0.274446398450895,-0.0932171615282173,0.63601553642843,0.629114342767381,0.350530109840951,0.384423750748384,-0.0311332995998828,0.666562724506204
"yerC",0.292692246328477,0.275148886327268,-0.0673000710540474,-0.41488889932389,-0.194146253779953,0.711671424263639,0.425404878446275,0.348078473687529,0.730736433433623,-0.248541103198914,0.903292031938516,1,-0.174493277133379,-0.392598680886705,-0.423619903265914,-0.293943640845708,0.660097397287871,0.692515418889821,0.494760651193163,0.343625232209738,-0.0666740972633318,0.639229524978772
"yisK",0.450211100058581,0.392330683879061,0.865986902988637,0.712881899424847,0.645080645662032,-0.102747136382465,0.353948637931195,0.588237668705275,-0.19123705122841,0.663122380241496,-0.0539823878365259,-0.174493277133379,1,0.828673044068683,0.697330650001807,0.678120052415489,0.0493793710853903,-0.0818040083930752,-0.160845716557353,0.304494359133256,-0.236048915607035,0.373274949343257
"yisL",0.397371473686857,0.326949018763817,0.675478553742866,0.801515022372203,0.669916468254477,-0.364289872113491,0.0449327795911224,0.334547989800041,-0.432627847975272,0.629271576118927,-0.306363775489915,-0.392598680886705,0.828673044068683,1,0.836722715475056,0.632162791510325,-0.191042790943351,-0.366601170750475,-0.304331845463624,0.090523259673575,-0.16802081014252,0.0561756249310423
"ykqA",0.421901411109633,0.394572679146517,0.470889567960666,0.90796151423846,0.676076509654034,-0.552007351340323,-0.139031417633147,0.300762533270027,-0.553579255727928,0.694922421166106,-0.274446398450895,-0.423619903265914,0.697330650001807,0.836722715475056,1,0.659666329606381,-0.395188276579466,-0.569228130720692,-0.538193442003203,-0.0852187505250683,-0.111261920907461,-0.120617217015825
"yneF",0.501423074581402,0.512198185475168,0.594209293784141,0.681673010426669,0.528227385066936,-0.133906350054666,0.430923705766913,0.401060396854045,-0.124257512041744,0.571814434875548,-0.0932171615282173,-0.293943640845708,0.678120052415489,0.632162791510325,0.659666329606381,1,0.00280735004606048,-0.080999801439631,-0.163896297815485,0.428966718033268,0.22573112018145,0.172825336626914
"yodL",0.378955386310252,0.394443093386557,0.292183597990784,-0.297380997594364,0.00972076042409004,0.95122109553343,0.791013024207592,0.553877299469065,0.928419607348631,-0.182508430611621,0.63601553642843,0.660097397287871,0.0493793710853903,-0.191042790943351,-0.395188276579466,0.00280735004606048,1,0.880553617376088,0.772420856125033,0.781475789618514,0.206501959998294,0.783627153702852
"yppD",0.173828688479935,0.180249165919447,0.187403369545272,-0.453550866718527,-0.198293961395845,0.899354286427348,0.767142618495452,0.421852089489959,0.881637834213876,-0.228842383313888,0.629114342767381,0.692515418889821,-0.0818040083930752,-0.366601170750475,-0.569228130720692,-0.080999801439631,0.880553617376088,1,0.867614642224755,0.704359824293685,0.173980582683338,0.704940200997642
"yppE",0.0689265210342247,0.0602261746968517,0.0874788208880194,-0.41950409083592,-0.0812069091764879,0.786756254809438,0.609067118611717,0.361245794969876,0.765415794417252,-0.215827550349651,0.350530109840951,0.494760651193163,-0.160845716557353,-0.304331845463624,-0.538193442003203,-0.163896297815485,0.772420856125033,0.867614642224755,1,0.667618185175522,0.241629013114001,0.531080474989452
"yusD",0.427026265671957,0.443210245263722,0.45229506227338,0.0306998882751941,0.190522332093069,0.707103957658727,0.830303522337405,0.573662957807258,0.655370008678121,0.107372162187344,0.384423750748384,0.343625232209738,0.304494359133256,0.090523259673575,-0.0852187505250683,0.428966718033268,0.781475789618514,0.704359824293685,0.667618185175522,1,0.48409547476526,0.644782608868164
