"","gabD","gabR","gabT","pval","z","inv_cof_var"
"GSM672688",9.481560223,8.232792937,7.791298513,0.469875862876844,0.0755819141046587,7.22595528872443
"GSM672698",7.99810855,7.499842751,7.317484015,0.124337503360774,1.15357364939391,15.9115030441883
"GSM672699",8.458105948,7.508754275,7.294394796,0.356913716534653,0.366720607894051,9.57170521016759
"GSM672700",7.932447212,7.470616357,7.309210409,0.0925847511177535,1.3250049720068,17.2927519819986
"GSM672704",9.64251487,8.477389963,7.943737175,0.465225898425834,0.0872764196856193,7.32017974645899
"GSM672705",9.627257249,8.455767286,7.88725316,0.475228908225134,0.0621318712283688,7.11758619284847
"GSM672710",8.596839033,7.856371375,7.811251301,0.155825863593895,1.01176228423499,14.7689067291759
"GSM672711",8.723092565,7.862260595,7.685833086,0.285328096315439,0.567085354496091,11.1860752634375
"GSM672712",8.551803346,7.802626766,7.609332714,0.247100084265125,0.683643722443329,12.1252042362891
"GSM672766",10.23297993,9.075482156,8.338381041,0.48444325584385,0.0390048627049506,6.93124827355332
"GSM672769",9.990411896,8.543130112,8.084459108,0.495604184398234,0.0110188986520561,6.70576099075992
"GSM672778",9.702426022,8.39470223,7.961499071,0.472416927922537,0.0691956873909629,7.1745004627891
"GSM672786",9.608845725,8.316217472,7.781533457,0.49443002375479,0.0139623135819973,6.72947654450792
"GSM672796",9.487980669,8.271674721,7.859383271,0.454795611608521,0.113554165068302,7.53190364466306
"GSM672817",9.34135316,8.289634201,7.885181041,0.41411872524481,0.21696265269741,8.36508197824455
