"","guaD","pucR","pucA","pucB","pucC","pucD","pucE","pucF","pucG","pucH","pucI","pval","z","inv_cof_var"
"GSM672664",7.801209294,7.690520446,7.028367658,7.019252045,7.116789405,7.439755019,7.370159108,7.569546468,8.577357993,7.564085874,7.270249071,0.0673129919658555,1.49610619452453,16.1511375949526
"GSM672665",8.160166543,7.58419145,7.091472119,7.171866543,7.136520074,7.352536803,7.335327509,7.537504833,8.217745725,7.83154052,7.294394796,0.0193107736990913,2.06819651974165,18.0543416982916
"GSM672670",9.159348327,8.65536171,7.575992937,7.446739777,7.46099777,7.8193171,7.88012342,8.534192193,9.018973606,7.982855019,7.238387361,0.412037860885231,0.222305948442438,11.9135168062117
"GSM672671",9.02908513,8.628068773,7.70978513,7.530228253,7.575073978,7.951738662,7.950685502,8.521603717,9.017775465,8.142903532,7.319405948,0.254984596649395,0.658885662598533,13.3659103650454
"GSM672672",8.748798513,8.823094796,7.611760967,7.515874349,7.570474721,8.03609145,7.985909665,8.319688104,8.904501115,8.043572119,7.210253903,0.147512122908978,1.04716334937859,14.6576149336104
"GSM672673",8.871863197,8.599350558,7.448477695,7.470616357,7.446739777,7.96097026,7.931394796,8.397209294,8.887666543,7.983840149,7.226811896,0.253483739073757,0.663567009381311,13.3814840568444
"GSM672674",8.445764684,8.784646468,7.3937829,7.440210223,7.583214498,8.468954647,8.464832156,8.114809665,8.422989219,7.993102602,7.005772862,0.145390554431158,1.05640962862613,14.6883750353441
"GSM672675",7.842649442,8.679409665,7.32036171,7.592206877,7.6393,8.510088476,8.611122677,8.03152342,8.593964126,7.997119703,7.005772862,0.159586397486885,0.9961592096504,14.4879366787279
"GSM672676",7.898386617,8.838523792,7.310779182,7.40575539,7.35901487,8.49786803,8.721894796,8.039165056,8.680669517,7.651796654,6.956875093,0.329905359398003,0.440174511465752,12.638312043707
"GSM672677",8.15076171,8.686794052,7.304877138,7.472380669,7.55006171,8.253332714,8.530658364,7.978735688,8.678809294,7.737766543,6.939026766,0.188467985157153,0.883555943853114,14.1133332497442
"GSM672678",8.139266914,8.562611152,7.384224535,7.557595911,7.592651673,8.045720074,8.383890706,8.073602602,8.657939777,7.8193171,7.009724907,0.0745634089664241,1.44262258397505,15.9732107491866
"GSM672679",8.071515242,8.337157993,7.37402119,7.401328996,7.575533457,7.88012342,8.064017472,8.044633086,8.70936803,7.914273234,6.981048327,0.069012407026345,1.48318669923485,16.1081576049676
"GSM672680",8.160166543,8.277677695,7.280977695,7.334518587,7.401328996,7.826556877,7.915737175,7.862260595,8.635448699,7.992124907,6.956875093,0.0890288443439758,1.34675954234044,15.6542979374233
"GSM672681",8.366150929,8.262543494,7.381439405,7.375370446,7.410212639,7.685356134,7.739739777,7.977637546,8.595686989,8.196510409,7.001856877,0.102617005788813,1.26677987070456,15.3882251993757
"GSM672682",8.539452788,8.048987361,7.300564684,7.443320074,7.397816729,7.610263941,7.669763569,8.214330483,8.714569888,8.573240892,7.009724907,0.30515455213994,0.509632280466086,12.8693809940866
"GSM672683",7.821365799,8.265997026,7.224612639,7.275465799,7.256120446,7.681131227,7.61314684,8.130766914,8.522198513,8.138221933,7.47143829,0.0268206242051553,1.92972235600021,17.5936721413661
"GSM672684",7.879058736,8.183118216,7.194324907,7.322290706,7.309753903,7.638374721,7.655596654,8.098244981,8.645266171,8.29409368,7.415719331,0.0649153616076828,1.51476975151812,16.2132266684562
"GSM672685",7.678274349,8.145573978,7.190369888,7.342844981,7.206927881,7.605464312,7.704079926,7.927261338,8.586149442,8.242130112,7.325943494,0.0487525277108424,1.65707132652739,16.6866290833047
"GSM672686",7.895319331,8.209816357,7.223523048,7.270249071,7.332467658,7.695330483,7.633748327,8.080995167,8.552971004,8.216581041,7.401328996,0.034066070032572,1.82413185921669,17.2423984737408
"GSM672687",7.96097026,8.248820818,7.306538662,7.326388104,7.464571004,7.757776208,7.777772862,8.279827881,8.713237546,8.377036059,7.61314684,0.0502365546920341,1.6425643136385,16.638367811893
"GSM672688",7.865181413,8.304640149,7.183296468,7.327780297,7.263282528,7.676433829,7.665011524,8.406797398,8.714569888,8.409305576,7.451171004,0.163732196033138,0.979233960824654,14.4316305298642
"GSM672689",8.468954647,7.847252045,7.141876952,7.261334201,7.132457993,7.444192193,7.358557621,7.488408178,8.366150929,7.413121933,7.034201115,0.124933397796768,1.15067298231579,15.0019660779274
"GSM672690",8.530658364,7.981871747,7.16630632,7.341880669,7.311718959,7.509637546,7.48490632,7.578592565,8.415459851,7.512286617,7.028367658,0.109392617947991,1.22976468583583,15.2650847639885
"GSM672691",8.699295911,8.073602602,7.098571004,7.214134015,7.227946097,7.520542007,7.40575539,7.565977695,8.521008922,7.443756134,7.034201115,0.274710517190544,0.59862791843993,13.1654476393437
"GSM672694",8.99717881,8.137154275,7.194324907,7.186222677,7.206927881,7.350514126,7.488408178,7.967410409,8.676886989,7.801209294,7.156690706,0.444739666643055,0.138963068011983,11.6362554979399
"GSM672695",8.67227658,8.751308178,7.495428625,7.678274349,7.800219703,8.228271004,8.259020818,8.309239405,9.412865428,7.882130855,7.198866171,0.31826770721685,0.472548384586526,12.7460119740302
"GSM672696",8.461138848,8.689369888,7.414878439,7.539566543,7.759936803,8.075726022,7.993102602,8.267149814,8.989582156,7.925253903,7.253958364,0.106057833759411,1.24776899126864,15.3249806693501
"GSM672697",8.704256134,8.661983643,7.443320074,7.472828625,7.685833086,7.973584015,7.961499071,8.097211524,9.108434572,7.817295911,7.139883086,0.251742104350087,0.669017666261044,13.3996170545236
"GSM672699",8.782315242,7.930322305,7.233129368,7.291402602,7.333413755,7.46360223,7.457784015,8.490633829,8.740119703,8.368715242,7.183873606,0.438794405945425,0.154026536830759,11.6863679616589
"GSM672707",8.705665428,8.459275093,7.120526022,7.17327026,7.301544238,7.66315539,7.675475093,7.618860967,7.94874052,7.737766543,7.224612639,0.0689875639800875,1.48337378675991,16.1087799992464
"GSM672708",8.849630483,8.525611524,7.163301115,7.312733086,7.356645725,7.752213569,7.789472491,7.699220446,7.997119703,7.740816729,7.307094981,0.0816341811026998,1.39416308619593,15.8119978935349
"GSM672709",8.741252416,8.466633086,7.165091636,7.120526022,7.260295911,7.594366171,7.55006171,7.625234944,7.874073978,7.543907063,7.127989963,0.0937987934852691,1.31771943239029,15.5576886189603
