"","fabL","spoVT","yfhP","sspE","pval","z","inv_cof_var"
"GSM672602",13.65388439,12.82326543,10.81242528,14.70664796,0.0335731174018364,1.83069396211623,19.0488399429945
"GSM672603",13.49333755,12.82483383,11.01195019,14.58946431,0.0523517486764442,1.62246651426172,18.1160978406587
"GSM672604",13.5255539,12.90826059,11.02773922,14.69906245,0.0845872759725832,1.3748609686715,17.0069639607429
"GSM672605",13.55765056,12.93810186,11.15365539,14.48566134,0.00942713036393574,2.34840001015562,21.3678724846487
"GSM672606",12.50036468,11.79491301,10.83419703,13.81090595,0.227408364946885,0.747408974285281,14.1963311724685
"GSM672607",12.48520074,11.80505465,10.99780372,13.58615465,0.0940315406197628,1.31633066957174,16.7447810698937
"GSM672608",12.71352639,11.37447026,11.97375353,13.84343978,0.0988093532195801,1.28836566056883,16.6195135244381
"GSM672609",12.988971,11.38451078,11.79491301,14.45026283,0.293801657539894,0.542312399594661,13.2776136247585
"GSM672626",12.52614926,11.13976989,10.32377435,14.01120595,0.34494214014309,0.399012111266764,12.635708757857
"GSM672633",12.20520706,11.03072193,10.10210855,13.62914721,0.329190270902027,0.442150170036441,12.8289430506561
"GSM672634",12.30746208,11.24473197,10.29473086,13.61280632,0.2380025259099,0.712742597774674,14.041045261605
"GSM672635",12.21495725,11.24592528,10.44687732,13.50188959,0.231890161399278,0.732636238055071,14.1301576050998
"GSM672636",12.1466684,11.14807026,10.44512714,13.46152045,0.257004099967626,0.652609282218673,13.7716817566971
"GSM672637",12.24872342,11.27385204,10.36729665,13.52142082,0.219309037847059,0.774528915198989,14.3178132871643
"GSM672638",12.41861375,11.18360929,10.40210818,13.66069851,0.186036097968208,0.892598550044442,14.8466989867322
"GSM672639",12.39590892,11.18683271,10.98097379,13.59271896,0.1572029757433,1.00601999566771,15.3547634073004
"GSM672640",11.82700706,11.06212491,10.65467323,13.26739145,0.371319908074265,0.328359559552804,12.3192249787007
"GSM672641",12.21777212,10.96463569,10.40272268,13.71375353,0.37657625824475,0.314485251219502,12.257075864083
"GSM672642",12.4661171,11.48383494,9.946295911,13.97766524,0.367002779959072,0.339802108539782,12.3704811762297
"GSM672643",12.25553011,11.10905242,10.59934572,13.58615465,0.259830799102068,0.64386712996442,13.7325218209797
"GSM672644",12.45414126,11.22608885,10.3660829,13.67938253,0.172292055695824,0.945146454971928,15.0820841092048
"GSM672645",12.41632974,11.30724907,10.76070037,13.54736245,0.114702731777018,1.20189176982427,16.2321590258775
"GSM672656",12.86008625,11.31671078,10.46563457,14.49691561,0.414298200330621,0.216502084286758,11.8181662675815
