"","nrdE","resD","nrdR","perR","nrdF","nrdI","ymaB","pval","z","inv_cof_var"
"GSM672699",11.72602565,11.48022454,9.993965056,11.67314796,11.59830892,11.9083223,10.8252368,0.244473481296116,0.691984659824763,24.1506854954156
"GSM672700",11.81609387,11.50287249,10.28659294,11.44532602,11.51852045,11.99639963,10.96915539,0.176554340103553,0.928576355392032,25.7553737912862
"GSM672704",13.50188959,11.47064201,11.76959033,12.05292342,13.18693197,13.48460855,12.26440558,0.324761061465144,0.454426165935716,22.5394398690027
"GSM672705",13.44091413,11.4039948,11.68416022,12.32160558,13.25369033,13.58615465,12.26860632,0.349377094240966,0.387002727844811,22.0821389408682
"GSM672710",11.94606766,11.59151078,10.55114572,12.92992751,11.8217948,11.94402528,11.25086022,0.00938172639368578,2.35019748803418,35.3975498923677
"GSM672711",11.84897658,11.17175985,10.32988178,13.36832156,11.87367249,11.68483494,11.26048625,0.00069851962654783,3.1952620595793,41.1292186390746
"GSM672712",11.95618216,11.1695632,10.21896468,13.85341561,11.96693457,11.67967361,11.30014833,0.00403887409477774,2.64880266855108,37.4228459921015
"GSM672713",11.10549071,12.0179461,11.85151487,13.07797286,11.04224089,11.31913494,10.62021264,0.0036568151441302,2.68221562432559,37.6494700878172
"GSM672714",11.19393717,11.35399554,11.3353487,13.06929071,11.07137844,10.93322082,10.67870929,4.3592472368139e-06,4.44673582933796,49.617366568805
"GSM672715",11.16389888,11.63374164,11.73350112,12.99514572,11.04701784,11.17175985,10.33172472,0.127227732313144,1.13959405175032,27.1866058840095
"GSM672719",12.01652491,11.02948476,11.50417435,13.02196208,11.84121078,12.18289145,10.86057249,0.481689739047335,0.0459131436665265,19.7686914537876
"GSM672722",13.15065688,12.30054126,11.99907435,12.38281004,13.12800297,12.90368476,11.97097658,0.301086648758796,0.52127775143321,22.9928621945455
"GSM672724",13.40092937,12.82796729,12.01920743,12.27279517,13.27106394,13.25369033,12.26860632,0.211289498702626,0.801954985852522,24.8965616118478
"GSM672725",12.66502602,14.16357621,12.13522082,14.18664647,12.54480855,12.26440558,11.284429,0.499848713852001,0.000379218145222938,19.4598566184233
"GSM672726",12.94463234,12.2758855,11.38512714,12.65978978,13.25970781,12.03948625,12.37568327,0.299571621522626,0.525632972111136,23.022401573056
"GSM672728",10.75712379,14.73557435,11.77964126,13.76194498,10.73115465,10.5523197,9.732179926,0.374013116549431,0.321243020036507,21.6361222993845
"GSM672732",10.45367881,13.00110632,11.67439108,14.35301933,10.59934572,9.902775836,9.528605204,0.444407130467348,0.139804749070753,20.4055132995899
"GSM672733",12.2190777,14.40469851,12.00980706,13.95716766,12.16308104,11.86338253,11.03873829,0.369742662635618,0.332534987322522,21.7127103119002
"GSM672736",10.46197286,14.17513717,11.914479,13.4345881,10.20057955,10.04980929,9.310286617,0.452900360520766,0.118336899724065,20.2599071467554
"GSM672737",13.08045892,12.6866171,11.58120632,12.35779405,13.08980112,12.84992788,11.92018364,0.302393339353059,0.517529360495667,22.9674386518831
"GSM672738",13.06752156,12.69237249,11.50648104,12.38124796,12.98724424,12.6418026,11.79360967,0.37249771002203,0.325245308300758,21.6632679061605
"GSM672739",13.04989703,13.14143123,11.41517398,12.42726766,13.02507807,12.60816022,11.94006097,0.232495053747582,0.730654674172781,24.4129657046877
"GSM672744",14.6741539,11.83088699,12.19250186,13.6049855,14.81200037,14.48566134,13.34708364,0.385464185073871,0.29116076244914,21.4320887362111
"GSM672745",13.40495093,11.02599331,12.46749591,13.64514461,13.78122565,12.86961896,12.97032825,0.0370510455096958,1.78598250406351,31.5707495519682
"GSM672749",13.93337732,12.65458104,12.13850446,13.40092937,14.04813494,13.95159331,13.10414349,0.0404708338066567,1.74524823905,31.2944685178798
"GSM672750",14.10748848,12.44358959,11.92156208,13.18883978,13.79624275,14.11328476,12.68944535,0.452049827464551,0.120484124393115,20.2744707445468
"GSM672752",14.06780892,12.79503234,11.82445613,13.22730074,14.08497249,13.81090595,13.20139963,0.0198086589287449,2.05771689229342,33.4137939214359
"GSM672753",14.00590855,12.61945911,11.80381487,13.34864684,13.89516245,13.9054052,12.91733643,0.141287272815159,1.07455379990583,26.745468968172
"GSM672754",14.10748848,12.63887881,11.96415093,13.49777063,14.09313569,14.01974312,13.19629331,0.0382939181655536,1.770836848807,31.4680238173851
"GSM672755",14.05076654,12.95488401,11.71836989,11.82570149,14.05925799,13.80343717,13.00807138,0.112537313471252,1.21314437439451,27.6854625392342
"GSM672756",13.95159331,12.72266468,11.79984164,12.28154684,13.90030558,13.76423197,12.78829182,0.213834396696171,0.793187149456509,24.8370935717247
"GSM672757",13.92068736,12.69237249,11.87109368,12.23151078,13.93093309,13.78840558,12.79137658,0.214395696682056,0.791261528462175,24.8240330056533
"GSM672759",13.36020558,12.01517881,11.84436245,12.03291822,13.25369033,13.42815502,12.33317249,0.183866625763093,0.900727447124719,25.5664879682137
"GSM672760",13.17423792,11.96765929,11.73846877,11.802529,13.00110632,13.16499442,12.12371933,0.179845285267324,0.915954861078574,25.6697682329311
"GSM672761",13.23891599,12.04929591,11.73408234,12.36067658,13.18522751,13.41245242,11.97168625,0.491473514964043,0.0213743558885327,19.6022565945767
"GSM672763",13.16865353,11.75807658,11.78586766,12.09219442,13.1376223,13.23109554,11.95198364,0.413624913009879,0.218230109993259,20.9374350074505
"GSM672764",13.20139963,11.65836766,11.79868662,11.98993309,13.12422305,13.17423792,12.08748569,0.258111416749649,0.649178768208124,23.8603536090541
"GSM672765",13.15417807,11.81170372,11.6620948,12.04472491,12.98636375,13.36243383,12.12079071,0.267945080973283,0.619039766575502,23.6559351781657
"GSM672766",13.06929071,11.89681338,11.66844684,12.38852714,12.89544572,13.04265836,12.21495725,0.0330089018134786,1.83830276689594,31.9256128670257
"GSM672768",13.41992007,11.66081524,11.88260409,11.8646974,13.15417807,13.2291658,11.99392119,0.466664153988084,0.083658054335286,20.0246971273325
"GSM672770",13.21222714,12.11049405,11.83474164,12.10581004,12.98202045,13.06050818,11.86852528,0.423864567067045,0.192016687221521,20.7596419001495
"GSM672771",13.08807955,12.14741227,11.97911264,12.18422007,12.97545799,13.05163569,11.95551989,0.275911414153846,0.595030882005553,23.4930943989324
"GSM672773",12.9736632,11.53860669,11.96963309,11.7644632,12.73977435,12.71816097,11.7195487,0.32769273283736,0.446293202629436,22.4842778693516
"GSM672774",13.15322658,11.63192007,11.93752491,11.74274888,13.08300781,13.01324461,12.14299442,0.128917592922168,1.13152262580744,27.1318612628576
"GSM672775",13.19966617,11.59011673,11.88197082,11.67839033,13.11192862,13.16865353,12.39750149,0.0168482074449518,2.12368592760327,33.8612303312295
"GSM672777",12.63305613,14.05355316,11.73408234,11.580029,12.26289851,12.5327658,11.45977212,0.30145789946723,0.520212033690876,22.9856339408922
"GSM672783",12.94290967,11.47787249,11.96693457,12.14450074,12.88760223,12.73507807,11.90503086,0.163121839309226,0.981708090182571,26.1157409324627
"GSM672784",13.09337732,11.61378959,12.26726022,12.18706394,12.83902974,12.89724424,12.09219442,0.0800395660971759,1.40480546959971,28.9854080656911
"GSM672785",13.06752156,11.45741599,11.84500446,12.36528178,13.04444907,12.87794796,12.20970204,0.0343230361105351,1.82074208104988,31.8065071351991
"GSM672787",12.91651264,11.61507807,11.25578067,11.83742714,12.93810186,12.67714424,11.61378959,0.467196422460967,0.0823192527197985,20.015616676399
"GSM672790",12.93638178,12.36678959,11.68854647,12.46749591,12.77243197,13.11539071,11.78084387,0.398984023140465,0.255977713368137,21.1934589443329
"GSM672792",13.01151115,11.84306357,11.70353494,12.16961152,12.86560093,12.79503234,11.74700781,0.366384820888086,0.341443620178811,21.7731333070625
"GSM672797",13.20505651,12.96701115,11.82046914,11.86338253,13.0185829,12.98115093,12.16308104,0.111215038848792,1.22009179742239,27.7325835862878
"GSM672798",13.12800297,12.85502825,11.87491115,12.14450074,12.90673086,13.19793569,12.06224721,0.226903686716396,0.749082680191607,24.537954054358
"GSM672799",13.18693197,12.35933978,11.92156208,12.21330186,12.83418104,13.25168253,12.05132193,0.286658732140458,0.563172445070069,23.2770138608876
"GSM672800",13.51044907,12.20908513,11.77836766,12.23151078,13.33142937,13.40275985,12.18422007,0.401435556103039,0.249633082543613,21.1504263484452
"GSM672802",13.24257695,12.19392119,11.70737026,12.2758855,13.19793569,13.27297993,12.10581004,0.308248840813433,0.500820180583333,22.8541082774816
"GSM672803",13.31923978,12.10581004,11.88011524,12.38124796,13.1395539,13.31143866,12.2344052,0.202472636303356,0.832821738715784,25.1059160312092
"GSM672804",13.34708364,12.15447286,11.79619814,11.70737026,13.14508736,13.03570706,12.25859294,0.127683104774527,1.13741172137069,27.1718041809763
"GSM672807",13.23891599,13.22549963,11.94133643,12.36067658,13.10592714,13.21045353,11.90440112,0.467473955317789,0.0816212399180903,20.010882389464
"GSM672808",13.18166543,12.99944721,11.83474164,11.91377249,13.16499442,13.06405353,11.93222788,0.396848973821522,0.261511674615867,21.2309931562703
"GSM672810",13.59271896,12.70469665,11.79619814,11.94006097,13.38265911,13.37430892,12.94970781,5.05958263450247e-06,4.41461128155285,49.399481128163
"GSM672811",13.24788216,12.52257955,11.78200855,12.24317175,13.07116617,13.18357249,12.00305651,0.356983452804458,0.366533653105807,21.9433069984273
"GSM672812",13.40385539,12.25010112,11.76571784,11.84827862,13.27106394,13.2749487,12.14450074,0.348397510443673,0.389650477419875,22.1000973596678
"GSM672813",13.61981078,12.50924944,11.82298996,11.70737026,13.19254647,13.34303457,12.11117286,0.481907616113007,0.0453664377513256,19.7649834090851
"GSM672814",13.26346171,12.30054126,12.00166803,12.13850446,13.33519294,13.3702461,12.26860632,0.220442891801065,0.770698293631593,24.6845624203534
"GSM672815",13.23499331,12.07931208,11.68098401,11.60144089,13.0365961,13.02507807,11.9151855,0.390046950443089,0.279196667579042,21.3509420038091
