"","alsT","glnR","tnrA","glnA","pval","z","inv_cof_var"
"GSM672746",10.20901524,13.66069851,9.293330483,12.78510967,0.445033784548098,0.138218709345286,6.80950057136212
"GSM672747",10.3697052,13.96283048,8.998344981,12.63150967,0.449059936268714,0.128036772165919,6.78289768187811
"GSM672749",12.39912119,14.86360112,10.04591561,14.02274981,0.0412530904781669,1.73632615582691,10.9849610002941
"GSM672750",12.67413941,14.98346506,9.898328625,13.76423197,0.0175890534963344,2.10630223857181,11.9516172139008
"GSM672751",12.52980595,15.1469052,9.841120818,14.18951673,0.0587144827863128,1.5656568824519,10.5390443011505
"GSM672752",11.9151855,15.04395688,9.61009368,13.92820372,0.20564185222882,0.821636684097541,8.5951031078382
"GSM672753",11.97239591,15.10350818,9.866851301,13.64935428,0.198240011235681,0.847924494002793,8.66378666867406
"GSM672754",11.65469554,15.06617509,9.636028996,13.39496283,0.297297779264109,0.532188339017392,7.83884600274628
"GSM672755",13.08627212,15.63961115,10.17684572,14.69494015,0.0341538222382588,1.82297191621722,11.2113449925851
"GSM672756",13.25369033,15.47494981,9.83625948,14.6741539,0.00705881577340806,2.45425630976909,12.8607353452058
"GSM672757",13.5084171,15.37522491,10.0326223,14.73557435,0.000339558792368916,3.3978737262574,15.3261748194242
"GSM672758",11.41212007,14.91167472,10.63703123,15.15316729,0.476317646105808,0.0593977662283627,6.60356089585382
"GSM672761",11.07624796,14.42564907,10.39915502,14.66569628,0.465840601201245,0.0857298125194822,6.67236003545075
"GSM672762",11.55308104,15.10605167,10.47263569,14.94091933,0.429144780742906,0.178551905315073,6.91488126032329
"GSM672764",11.45451375,15.26517565,10.25613717,14.98879926,0.485536001688228,0.0362638137720302,6.54311758632613
"GSM672765",11.61025167,15.30855836,10.45007435,15.29518476,0.476552806046269,0.0588072772431929,6.60201809383715
"GSM672768",11.64169387,14.85846468,10.60271673,15.21362193,0.406533187531934,0.236472073368732,7.06621236780144
"GSM672770",11.48629777,15.16584238,10.54862454,15.31526691,0.499728384599568,0.000680838895146885,6.45014805297641
"GSM672773",11.42984089,15.45057695,10.47503271,14.58155874,0.487124810629757,0.0322789182285351,6.53270603753326
"GSM672794",11.56434796,15.31526691,10.24892193,14.8536461,0.446295940112877,0.135025288330998,6.80115695021985
"GSM672803",11.50065985,14.98346506,10.21153717,15.1410658,0.455159767702911,0.112635504784735,6.74265797043248
"GSM672805",11.46098476,15.00514164,9.906015985,15.25573643,0.484020807449766,0.0400646117115135,6.5530481335053
"GSM672811",11.66334796,15.52257435,10.65360335,15.26837881,0.483544373362766,0.0412598426350263,6.55617097698842
"GSM672812",11.66081524,15.45858439,10.29585874,15.24909405,0.47446523861673,0.0640499209184922,6.61571582815245
"GSM672813",11.50890743,15.03266691,10.08286914,15.16584238,0.46112775166866,0.0975929745942677,6.70335555074875
"GSM672814",11.752071,15.28884089,10.3697052,15.43592342,0.4482046672997,0.130198559036464,6.78854589755574
"GSM672815",11.37569814,14.75811599,10.10964312,14.9356,0.442796917052283,0.143881766475747,6.82429674229986
