"","phrK","phoP","abrB","rapK","yjdB","yurI","pval","z","inv_cof_var"
"GSM672599",8.363724164,10.96915539,14.77223197,8.745098513,8.71195948,7.88364684,0.0113383092343609,2.27883932212547,21.029769403991
"GSM672600",8.888371375,11.47126859,13.29628699,9.106116729,9.592352045,8.568189033,0.011421145332998,2.27606214006781,21.0136454150728
"GSM672601",8.529390335,11.284429,13.2291658,8.878179926,8.730405576,8.505152788,6.13861118542111e-13,7.10221590904605,49.0337205391462
"GSM672602",7.897266914,11.49827212,13.12605204,8.6819829,9.975315242,8.166616729,0.390873286357824,0.27704367189422,9.40758180129517
"GSM672603",8.768963569,11.29171004,15.24909405,8.746243494,8.593413755,8.373463569,5.05291408178023e-12,6.80498711451773,47.3080454880828
"GSM672604",8.548211524,11.29765019,15.26197249,8.674690335,8.247687361,8.393543866,3.56506222222141e-11,6.517894216633,45.6412182481332
"GSM672605",8.60996171,11.15365539,15.18381933,8.729233829,8.678208922,8.123189219,4.30557142861118e-05,3.92672195484364,30.5971800947189
"GSM672612",14.18104015,13.01324461,13.83859442,12.88597286,13.93848699,11.79491301,0.230330127271761,0.73776008186072,12.0824465147102
"GSM672613",13.93093309,12.83733197,13.88486654,12.85165985,14.25115204,12.44216766,0.0912485820569031,1.33310556282374,15.5389516117065
"GSM672614",13.82567398,12.88597286,13.79092788,12.94134015,13.85909405,11.78835316,0.165291072838001,0.972941966817342,13.4478845839785
"GSM672615",14.15506134,12.95834721,13.69645948,13.0393197,14.43607286,12.26860632,0.167137084253178,0.965540484686455,13.4049124585004
"GSM672616",11.84897658,12.233029,15.15316729,10.19937509,13.31643662,11.8064539,0.400554307848721,0.251912605838731,9.26167381896995
"GSM672617",11.79868662,12.41414164,14.63629591,10.8617461,13.24521134,11.5375197,0.244540310557393,0.691771843957347,11.8154442718146
"GSM672630",14.0958948,14.57414535,10.45730818,13.52142082,13.96823197,10.77255948,0.460942723915538,0.0980589949590936,8.36841804194358
"GSM672631",13.63154052,14.52939071,12.93148625,13.73590855,14.01974312,11.2080881,0.347079244664394,0.393217982269005,10.0820760383236
"GSM672632",13.74509665,14.66993086,12.7318948,13.48023494,13.98971487,11.28319888,0.318361224052635,0.472286299531149,10.5411372899274
"GSM672674",12.18154349,13.89249665,12.84362528,13.39298996,13.59734461,10.88007955,0.354296306371436,0.373746921374836,9.96902937319102
"GSM672675",12.9331223,14.62074498,11.51009108,14.38725613,13.31143866,10.56183123,0.490790457500193,0.0230869503812331,7.93313926264315
"GSM672676",13.17780409,14.69077807,12.08006543,14.35627175,13.98436729,10.86517584,0.461480460262311,0.0967046833068913,8.36055506947055
"GSM672680",13.03748513,14.01254758,10.71597138,13.98711561,14.05076654,10.6237948,0.481694832288904,0.0459003633434725,8.06559122659576
"GSM672681",13.08133792,13.74295651,10.00124461,13.60378104,13.85627844,10.49189926,0.468522505487665,0.078984425541741,8.25767335919662
"GSM672682",12.82249405,13.57540669,9.141365056,13.24435279,13.46987881,10.50016952,0.407491717982995,0.234001987150853,9.15768689580583
"GSM672689",13.21968216,12.97208327,14.29121375,14.03156208,12.19956989,14.11871338,0.107169106493878,1.2417245387191,15.0084042477197
"GSM672690",13.04265836,13.09676506,14.09313569,13.75962305,11.98045539,14.11600446,0.14121973420811,1.07485540934025,14.0395819173706
"GSM672691",13.08627212,13.06050818,13.9254487,13.54336506,12.26155651,14.26634535,0.0835267500360515,1.38173364395951,15.8212804706256
"GSM672722",11.32697918,11.59151078,14.18664647,10.96359368,9.139572491,8.819794796,0.489679787669425,0.0258718219606434,7.94930789601069
"GSM672724",10.23892602,11.70866914,14.20445688,10.32496394,8.555434201,8.923778439,0.319442402348417,0.46925859836394,10.5235588168369
"GSM672737",10.59704647,11.53860669,14.04813494,10.50263755,9.331000743,8.746938476,0.301358318595822,0.520497833974042,10.8210477282603
"GSM672738",11.00960112,11.545929,13.78374796,11.05060483,9.900917844,8.7329829,0.400380694884088,0.252361844197036,9.26428204347975
"GSM672739",10.98158476,11.42134944,13.40092937,10.94041004,9.299215242,8.678809294,0.448452827464607,0.129571244569488,8.55137441749205
"GSM672740",10.83819963,12.4688316,15.03851413,10.71597138,10.63316877,8.499108178,0.411581471681465,0.223478719961762,9.09659005734943
"GSM672741",10.75493755,12.29611413,14.8169052,11.18737082,10.90156766,8.406797398,0.483682100385206,0.0409143206615702,8.03664285544837
"GSM672742",10.66433346,12.28154684,14.34210483,11.1649145,10.78990446,8.359057249,0.483737050526911,0.0407764661359845,8.03584248845884
"GSM672744",9.323555762,11.40524758,12.68502305,9.824746468,9.040090706,7.619773234,0.386929135089224,0.287331807440301,9.46731349338107
"GSM672746",8.5885829,11.2363461,14.02572788,9.102701487,9.199481413,7.956737175,0.0989566435062496,1.28751947226218,15.2742841884764
"GSM672747",8.871863197,11.19941283,13.95159331,9.587273234,9.170321747,7.869126394,0.227947061555892,0.745624757464011,12.1281078864317
"GSM672748",8.777056877,11.15801487,13.78598662,9.298148699,9.331000743,7.931394796,0.162102755470205,0.985852475178914,13.522841460924
"GSM672749",8.998344981,10.87889517,14.35301933,8.434796283,8.290675465,8.424176208,0.000430521930589113,3.33238714013302,27.1465428058516
"GSM672750",8.992026022,11.01554164,14.51807323,8.976527138,8.739067286,8.257919703,0.00113277503426279,3.05301447891897,25.5245383423495
"GSM672751",9.319698513,11.10790929,14.61673569,9.02908513,8.684418216,8.267149814,0.0223480570526651,2.00750316372247,19.4544239205546
"GSM672752",9.089297398,11.1518223,13.90293309,8.604154275,9.086720446,7.726288476,0.165840073890048,0.97073522144071,13.4350724826256
"GSM672753",8.862331599,11.13599963,13.7824868,8.651625279,8.908124535,7.787331599,0.0696943774741181,1.47807107602918,16.3806041501163
"GSM672754",8.930201115,11.29894126,13.81090595,8.736597398,8.746243494,7.758813755,0.076158223662096,1.43139707118995,16.1096204259045
"GSM672755",9.378848327,11.14255428,14.29121375,9.055988104,8.664556134,8.426008736,0.0110652828936651,2.28811945127151,21.0836487307345
"GSM672756",9.183775093,11.04821115,14.25115204,8.947592565,8.898016357,8.400856506,0.000494339229625994,3.2937287827651,26.9220969780819
"GSM672757",9.226322862,10.96575651,14.54790446,9.06572974,8.740686059,8.349314126,0.00483590222530096,2.58734733202079,22.8209302387763
