"","cwlO","walR","ftsA","ftsZ","mreBH","ykpC","ykvT","ykzS","pval","z","inv_cof_var"
"GSM672722",15.55620743,12.56166506,13.31737249,14.12791078,10.46563457,10.6261316,8.94377881,11.3281881,0.145159410693787,1.05742246913966,5.14494246526447
"GSM672724",15.30189331,12.75065836,13.56426171,13.88486654,10.56290074,10.51776357,8.868964684,10.60271673,0.161188470206709,0.989585131433618,5.08588699862512
"GSM672726",14.45737881,12.21031896,13.57313309,13.93848699,9.880541264,9.909817472,7.858394796,10.44395465,0.368960120194603,0.334608754132578,4.51570047734872
"GSM672729",14.46409554,11.98584164,14.50030743,14.71080558,10.79346208,10.85440372,7.674563941,9.713857993,0.483236640044118,0.0420318849080626,4.26099909719133
"GSM672737",14.84428699,12.47327881,13.5084171,13.96681933,10.31406059,10.25371375,8.156835688,10.87436729,0.251250750690567,0.670559011660408,4.8081603511705
"GSM672738",15.29518476,12.42567472,13.55989331,13.8509658,10.04221636,10.09834833,8.439837918,10.93322082,0.293771693017582,0.542399409989236,4.69659162903402
"GSM672739",15.33721524,12.2829855,13.55989331,13.9254487,10.0087881,9.940048699,8.395967286,10.71009108,0.350361489348557,0.384344703920977,4.55899786817842
"GSM672740",12.50487918,12.61667063,13.46987881,13.52660112,9.650143866,9.739531599,8.179828996,10.19194089,0.124769134193021,1.15147160988611,5.22681649041974
"GSM672741",13.31550074,12.41698625,13.4367223,13.64514461,9.458850929,9.395199628,9.164875465,10.86867993,0.0790701216747674,1.41135405432193,5.45305589701372
"GSM672742",13.51044907,12.35195651,13.45520892,13.38058216,9.347269517,9.201721561,9.38873197,10.97314981,0.0784410631693563,1.41563592848771,5.45678346188437
"GSM672743",12.75065836,12.76007472,13.88999294,13.53887881,9.762339033,9.55144052,10.7218171,11.95744758,0.00261247988637791,2.79282718471924,6.65569065722282
"GSM672744",15.53070669,12.46749591,13.42815502,13.68668848,10.36729665,10.228229,10.19194089,12.36989182,0.0287952272496631,1.89880245350684,5.87740174621562
"GSM672745",15.34516989,12.07309777,13.17595502,13.07706859,9.658863569,9.586639777,8.615913383,11.69607844,0.264961639757709,0.628123133688491,4.7712180025963
"GSM672746",12.46005688,12.63305613,13.12244907,13.6940316,9.395199628,9.415497026,9.862908178,11.49352602,0.00941949094838337,2.34870191305111,6.26905954740037
"GSM672747",12.82026617,12.42890074,13.26165428,13.66292007,8.96094052,8.979176952,9.777935316,10.99430186,0.0720154978550639,1.46094332425553,5.49622559640439
"GSM672748",13.28644796,12.4776539,13.0917539,13.66754238,9.096666171,9.176684015,10.38600223,11.51118996,0.0289665856909306,1.89620326681626,5.87513903679798
"GSM672749",15.29518476,12.97873309,13.57750632,13.97082379,9.961820446,10.05522621,9.702426022,10.90037918,0.13259628393035,1.11420192949843,5.19437155019624
"GSM672750",15.49940186,12.86164312,13.64061375,13.87665688,9.627257249,9.447581784,9.702426022,10.97474461,0.261751825046545,0.637953960685912,4.7797761815493
"GSM672751",15.58944684,12.98028141,13.79859108,13.94912751,9.663287361,9.571112639,9.918536803,10.52265576,0.279189327302481,0.585251449924773,4.7338962653953
"GSM672752",15.43592342,13.15227509,13.84114201,13.59952639,9.397619331,9.255978439,10.74038885,12.01920743,0.161133727074711,0.989809063028059,5.08608194119292
"GSM672753",15.26197249,13.12992751,13.9254487,13.95989033,9.247679926,9.090420074,10.74750632,11.94543792,0.211047083993293,0.802793381937187,4.92327634343267
"GSM672754",15.29518476,13.25970781,13.64061375,14.01388922,9.213757621,9.13677026,11.33772937,12.44507026,0.156345456134007,1.00959177414078,5.1033036847881
"GSM672755",15.58944684,13.06050818,13.4511197,13.88999294,9.830095911,9.591734201,9.598244981,11.1649145,0.223417942675645,0.760700651913268,4.88663272064696
"GSM672756",15.64881152,12.68502305,13.36438513,14.00014721,9.603594796,9.524164684,9.721132714,10.99430186,0.26833727431936,0.617849502586907,4.76227434266947
"GSM672757",15.49940186,12.94290967,13.64514461,13.93337732,9.620627138,9.561814498,9.643798885,11.33991747,0.239271931538365,0.708646515241025,4.84131724342396
