"","citZ","ccpA","ccpC","icd","mdh","pval","z","inv_cof_var"
"GSM672658",14.7149948,12.71058885,11.11124164,15.47494981,15.04395688,0.474719465192078,0.0634113739418787,39.5625322642602
"GSM672659",14.74027026,12.6482026,10.72286952,15.44358327,14.84911041,0.473454359058973,0.066589232276612,39.6517726422244
"GSM672664",14.38725613,11.84897658,10.79461747,14.97813903,14.28826431,0.482570463385026,0.0437032773463924,39.0090909827808
"GSM672667",15.47494981,12.39750149,11.07978216,15.89411301,15.22980632,0.381651591471969,0.301145976713846,46.2385774405482
"GSM672668",15.4060026,12.3842197,11.21293494,15.74199963,14.99403494,0.453587829853058,0.116601738871699,41.0562200786308
"GSM672669",15.56470372,12.38852714,11.2080881,15.84610186,15.190129,0.368639192979811,0.335459639034167,47.2021711166194
"GSM672670",15.47494981,12.26289851,11.16042491,15.79347546,15.03266691,0.462942663060452,0.0930229533840176,40.3940824037516
"GSM672671",15.27586766,12.0407881,11.06212491,15.91765762,15.18381933,0.487380965146235,0.0316365061013053,38.6702328231994
"GSM672675",16.26861673,12.11942565,11.87367249,16.21444944,15.89411301,0.0678905903240832,1.49168714502697,79.67126469438
"GSM672676",16.28856134,12.08955204,11.64111115,16.10096283,15.63961115,0.358788293194113,0.361699519198395,47.939037451407
"GSM672677",16.32106729,12.10021896,11.73350112,16.17336691,15.76791375,0.256306271856691,0.654775132296639,56.1691647038075
"GSM672678",16.40455576,12.10981524,11.85276729,16.27558253,15.67325911,0.450276658171326,0.124962401340349,41.2910035712045
"GSM672679",16.38425465,11.92684275,11.89274275,16.10096283,15.63961115,0.43075852587798,0.174443345451182,42.6805237100382
"GSM672680",16.41206468,11.79491301,11.7975223,16.13797361,15.66552974,0.432454283788998,0.170129152181676,42.5593728601803
"GSM672689",14.28505874,11.81046245,10.35757398,15.02706357,14.47804424,0.498094101856688,0.00477739634736073,37.9159773297986
"GSM672690",14.49691561,11.61025167,10.34454164,15.19678141,14.73557435,0.44555806238509,0.136892047582389,41.6260109967974
"GSM672691",14.69077807,11.6064513,10.3660829,15.33721524,14.99943048,0.379180145471719,0.307634729081237,46.4207940949071
"GSM672692",15.53897138,12.40656468,11.47064201,15.88525911,15.47494981,0.119700142894048,1.17648709635535,70.8198407116527
"GSM672693",15.71599665,12.49265874,11.47656617,16.13797361,15.45057695,0.391903471898754,0.274361347660687,45.4864135085668
"GSM672694",15.56470372,12.42567472,11.38266952,15.98063123,15.23706097,0.442467375829403,0.144716448740642,41.8457352397171
"GSM672695",15.42399572,12.88276766,10.69258996,16.1452197,15.75899182,0.416385370845023,0.211149338193308,43.7112986284963
"GSM672696",15.56470372,12.79665613,11.23174721,16.08663829,15.75092528,0.217172487148543,0.781778132872745,59.7356533827125
"GSM672701",16.02851524,12.07309777,11.80381487,16.00569294,15.53897138,0.242442815045178,0.698466293642826,57.3960965999245
"GSM672702",16.04441561,12.12968401,11.92684275,16.13048996,15.86955019,0.00162187887800791,2.94364123973929,120.444930021903
"GSM672703",16.15247212,12.24467361,11.96296022,16.33439926,16.02135874,0.0102448793233441,2.3172565872088,102.854843474686
"GSM672708",15.13492268,12.77166283,10.69258996,15.68112788,14.99403494,0.439247373656106,0.152877667893148,42.0749179801362
"GSM672710",14.87297918,12.00570595,9.188394796,15.24369703,14.55173829,0.426305606772752,0.185787747224095,42.99909634461
"GSM672716",15.58944684,12.56473271,11.52100074,16.02135874,15.41281338,0.330879058561772,0.437487116989269,50.0672990538609
