"","pucJ","pucR","tnrA","pucK","pucL","pucM","pval","z","inv_cof_var"
"GSM672778",8.235281784,8.651625279,10.68536877,7.933356506,8.225892565,8.64275539,0.42073104842074,0.20002363466226,28.3308987594651
"GSM672779",8.378162082,8.713237546,10.83579108,8.012508922,8.279827881,8.633024164,0.289963367085914,0.553491741360728,32.4582228994815
"GSM672780",8.271674721,8.768963569,10.42730372,7.981871747,8.20664052,8.522198513,0.170981286810036,0.950294616434095,37.0915520572811
"GSM672781",8.335963569,8.815912639,10.42834387,7.856371375,8.156835688,8.525611524,0.402623787825304,0.246561535696079,28.8743056432053
"GSM672782",8.161189963,8.742515613,10.60271673,7.86312974,8.100355762,8.546246468,0.403795150637961,0.243535869815086,28.8389759950883
"GSM672786",7.985909665,8.552971004,10.55114572,7.630018959,7.993636989,8.097211524,0.136027276006918,1.09834343533456,38.8202666218177
"GSM672788",7.845779182,8.472410781,10.52022342,7.47143829,7.816307063,8.043572119,0.280323138918532,0.581881833471059,32.7897241305224
"GSM672789",7.944688476,8.602923048,10.47872528,7.751708178,7.931394796,8.327762825,0.275708837691909,0.595637116722989,32.9503397887461
"GSM672791",8.063084015,8.592207063,10.26606654,7.869126394,8.104676952,8.364927881,0.12019046296222,1.17403520202627,39.704093054661
"GSM672792",8.122149442,8.534192193,10.24950316,7.811251301,8.048987361,8.296347212,0.113136155256234,1.21001715427523,40.1242417959695
"GSM672793",8.173079926,8.539452788,10.31281784,7.779686989,8.133879926,8.381562454,0.28891743592238,0.556550075783793,32.4939340068016
"GSM672794",7.822368401,8.334871375,10.24892193,7.614147955,7.862260595,8.275239405,0.414391887373735,0.216261683134811,28.5205048036242
"GSM672795",8.154679926,8.541937546,9.789263569,7.795259851,8.099323048,8.478445725,0.396649702275225,0.262028584623444,29.0549089938414
"GSM672796",7.882130855,8.38036803,10.47734089,7.619773234,7.89425539,8.052826022,0.0633372054616038,1.527348356654,43.8296078732422
"GSM672798",8.074126022,8.795147584,10.36110929,7.772822305,8.052826022,8.393543866,0.309304276334674,0.497823355489497,31.8082025200245
"GSM672799",8.143390706,8.931406691,10.49302193,7.947247026,8.323040892,8.549405204,0.300417486566638,0.52320015565002,32.104518589039
"GSM672800",8.319688104,8.791343494,10.228229,8.01150855,8.279827881,8.524420446,0.127402450703817,1.13875608876733,39.2921511197802
"GSM672801",8.12430632,8.7329829,10.41518587,7.950685502,8.218820074,8.49786803,0.199551070494614,0.843225855021498,35.8413473705062
"GSM672802",8.187467286,8.713237546,10.43080074,7.940559851,8.248820818,8.688081413,0.480614823071544,0.0486105701756996,26.5629010693585
"GSM672804",8.311623048,8.827584758,10.17617398,7.956737175,8.248820818,8.528111524,0.218955984875114,0.775723993725785,35.0531516143909
"GSM672805",8.223567658,8.67227658,9.906015985,7.914788104,8.099323048,8.494200372,0.256114629973267,0.655370469020909,33.6478253673068
"GSM672806",8.225892565,8.416739033,9.933688848,7.999137918,8.215446097,8.430684572,0.0386508830917478,1.76656106614248,46.6228114799053
"GSM672807",8.205537918,8.896774721,10.6408119,7.956737175,8.230542007,8.539452788,0.23359078832484,0.72707244667195,34.4850644212351
"GSM672811",8.359057249,8.853779182,10.65360335,7.975106506,8.298687732,8.605266543,0.302543219607301,0.517099877385371,32.0332877615178
"GSM672812",8.38646803,8.737856134,10.29585874,8.055976952,8.262543494,8.507581413,0.0717899432559913,1.46258895790234,43.0734348983813
"GSM672813",8.374791822,8.899360595,10.08286914,8.071515242,8.318478067,8.57858513,0.116020803412614,1.19511626805108,39.9502493302983
"GSM672815",8.140407807,8.631756506,10.10964312,7.992124907,8.196510409,8.512473234,0.162725500054507,0.983317905885073,37.4771535221681
"GSM672816",8.179828996,8.521008922,10.09491599,7.97259145,8.265997026,8.507581413,0.169244722959818,0.957154168759993,37.1716486639278
"GSM672817",7.956737175,8.438575465,10.59003234,7.674563941,7.932901859,8.263677323,0.274248952481328,0.600012499930465,33.0014296166311
