"","comFA","comK","degU","scoC","comFB","comFC","csrA","flgK","flgL","flgM","fliW","yviE","yvyF","yvyG","pval","z","inv_cof_var"
"GSM672600",8.702365799,8.466633086,13.32734535,10.87208662,11.57041264,11.32697918,10.60397212,11.41517398,11.31671078,11.54940074,10.63955428,9.494378067,11.56918327,11.28319888,0.0421025038758125,1.72679210027324,11.4286662223085
"GSM672601",8.959613011,8.823742007,13.2786855,10.61090149,11.56687732,11.38151115,10.51055874,11.48984164,11.3224881,11.59762937,10.59594424,9.800424907,11.68967509,11.34829926,0.0104722955632413,2.30898180137289,12.4427070345581
"GSM672602",8.582377695,8.296347212,13.41578699,10.73348922,11.86726952,11.39101301,10.62139108,11.60389777,11.55183606,11.96150149,10.62853197,9.619292193,11.92684275,11.42471599,0.147827624130447,1.04579595689102,10.2425272695414
"GSM672603",9.000723048,8.669790335,13.55558736,10.65846506,11.8217948,11.43636822,11.00720223,11.50648104,11.51608104,11.77321896,11.00480892,9.89214461,11.83742714,11.32306431,0.00976826071587936,2.33513208938054,12.4882548332253
"GSM672604",9.092923048,8.684418216,13.65388439,10.51167881,11.75743327,11.48984164,11.05639108,11.49590892,11.48741822,11.87245242,11.00017212,9.960652788,11.94935167,11.37323197,0.00622446801629327,2.4991563878026,12.7739475077718
"GSM672605",8.873246097,8.447001487,13.49333755,10.52649517,11.93752491,11.44825929,11.19026506,11.38151115,11.63990818,11.79555558,11.2352461,9.78989461,11.81669368,11.33878662,0.0271065491687057,1.92512998658868,11.7741252899617
"GSM672606",13.17595502,13.36438513,12.92409052,11.33772937,13.87415316,13.64514461,11.8077974,14.8169052,15.17188364,14.98879926,12.31870483,11.96554164,14.9356,14.84911041,0.0979600366325732,1.2932631146306,10.6735582499338
"GSM672607",13.0393197,13.38058216,12.87794796,11.45005353,13.7109197,13.58176394,11.95349405,14.70664796,15.10605167,14.48155167,12.35640037,11.96150149,14.75366506,14.78927807,0.0400731104773994,1.7498382930812,11.4688073997118
"GSM672608",13.09337732,13.10047026,13.61981078,13.26519851,14.16357621,13.66292007,11.29765019,15.22313234,15.41281338,15.11127918,11.87618959,11.48142862,14.90230818,15.07704164,0.442739582350642,0.144026980113015,8.67185272145807
"GSM672612",10.06692714,8.779644238,14.46736729,13.64276654,12.26289851,11.96415093,9.543722677,12.37289182,12.50487918,12.38351487,9.678159108,9.575712268,12.07722007,12.1703171,0.422049834824867,0.196652262329225,8.76351388245524
"GSM672613",10.26731784,9.001363569,14.44658587,13.55558736,11.84240669,11.79686022,9.876702974,12.37705167,12.62842751,12.21777212,10.05522621,9.419314498,12.06073494,12.24164052,0.247212521437032,0.683287734867515,9.61112116391369
"GSM672615",10.47872528,9.195828996,14.61673569,13.55558736,12.37427993,11.94006097,9.782928996,12.45830409,12.90673086,12.54013457,9.913620818,9.720425279,12.34201004,12.40272138,0.352098617658218,0.379660782287631,9.08227271291323
"GSM672616",11.15065874,9.827327509,13.34303457,12.92828178,12.46166171,12.08541747,11.49827212,14.06186803,14.8169052,13.30877063,11.88637695,12.03685651,12.91816022,13.48916357,0.0524714415495091,1.62134866743731,11.24500796783
"GSM672617",11.1518223,9.630962082,13.3970368,12.95128178,12.33601004,12.22177807,11.32936877,14.27576691,14.72338401,13.5084171,11.61259814,11.95744758,12.95315316,13.67681933,0.11550865711272,1.19774240791809,10.5071831065081
