"","ydfM","mntR","yeaB","pval","z","inv_cof_var"
"GSM672706",10.16249219,13.45315651,10.1452829,9.93668025776366e-41,13.3113959241763,834.419402366398
"GSM672707",10.42133532,13.73238123,10.98734907,0.495498876124474,0.0112828837611412,26.7453324383932
"GSM672710",9.278083829,13.80827249,9.545039405,0.347570237415269,0.39188866997396,49.8583257982647
"GSM672711",9.192094796,13.94646394,9.482872862,0.374980077045871,0.318691904499396,45.4133162485894
"GSM672712",9.312601859,14.03459963,9.424471375,0.0641135777137394,1.52113024692535,118.433618174861
"GSM672722",9.198179926,13.65857993,9.446366171,0.32794262100742,0.445601340616999,53.1201274967269
"GSM672724",9.363718587,13.49133829,9.730959851,0.430031369715263,0.176294300527559,36.765957237546
"GSM672743",9.154847584,13.70143383,9.665223792,0.499905839187451,0.000236026157288425,26.0744914903722
"GSM672744",9.321043123,14.23481264,9.780388104,0.478041430524363,0.055069793323588,29.4043738576959
"GSM672745",9.329881041,14.31640743,9.765004461,0.467383603215108,0.0818484768255051,31.0305591559399
"GSM672749",9.520383643,13.73590855,9.981542379,0.474772684791415,0.06327770428135,29.9028144971639
"GSM672750",9.470373234,13.6561342,9.800424907,0.401012752566716,0.250726585094135,41.2859959791151
"GSM672751",9.211330855,13.59734461,9.682429182,0.484901076856649,0.0378564277895471,28.3590602610527
"GSM672752",9.53907026,13.55136803,9.713857993,0.196702357137639,0.853459181634164,77.8880525064907
"GSM672753",9.361120818,13.69896357,9.679448327,0.394601846016327,0.267344805397952,42.2951682761444
"GSM672754",9.389882528,13.87665688,9.719139405,0.402590885584268,0.246646555658694,41.0382286128127
"GSM672755",9.428277695,13.51480558,9.798640892,0.430402918984371,0.175348457497187,36.7085191625813
"GSM672756",9.288671004,13.57540669,9.678159108,0.445163264977959,0.137891042341304,34.4338480484334
"GSM672757",9.378848327,13.63271617,9.671051487,0.370705486427468,0.329985427885056,46.0991364344033
"GSM672763",9.522955019,13.40495093,10.02762937,0.491247182310969,0.0219418207993781,27.3926161894876
"GSM672774",9.742029368,13.09676506,10.23788662,0.484028804780268,0.040044549289442,28.4919380036663
"GSM672776",9.791836059,13.41777658,10.29234758,0.484801053332142,0.0381073304986324,28.3742967941248
"GSM672786",9.466457621,13.03222825,9.990411896,0.498699124485006,0.00326081712632313,26.25817754065
"GSM672788",9.184917472,13.21968216,9.689711524,0.49750956497505,0.0062426353958677,26.4392539939275
"GSM672792",10.00627323,13.35045167,10.54862454,0.495145911786512,0.0121676950003692,26.7990642444714
"GSM672798",10.1353223,13.28644796,10.61667584,0.470959414806196,0.0728583601642,30.4846176221425
"GSM672801",10.17617398,13.32318773,10.70047807,0.486237751114683,0.0345036870880789,28.1554588540917
"GSM672803",9.966738662,13.50399368,10.49189926,0.490235206699484,0.0244791515322802,27.5467003114473
"GSM672808",9.927572862,13.60618996,10.46318996,0.494355982768955,0.0141479251433799,26.9193173982709
"GSM672811",10.16372974,13.47410706,10.70220297,0.491195319869522,0.0220718521449242,27.4005125844849
"GSM672813",9.978907063,13.38265911,10.48577063,0.483650822206383,0.0409927892048956,28.5495216339299
"GSM672814",10.05097732,13.2005329,10.56632751,0.485362358336633,0.0366993628513646,28.2887953433822
"GSM672815",9.868152788,13.31340074,10.37684833,0.486330405930739,0.0342712985467755,28.1413466282491
