"","csgA","spoVT","gdh","gerAA","gerAB","gerAC","gerKA","gerKB","gerKC","glcU","gpr","spoIIP","tepA","ybxH","ykoS","ykoT","ylzJ","yqjB","yqjC","pval","z","inv_cof_var"
"GSM672759",7.546432714,11.32477955,7.813247212,7.344720818,7.213489591,7.608422677,7.734865799,7.938524535,8.055976952,7.286697026,8.105662082,8.15352119,8.57858513,7.226248699,7.662205576,8.024301487,8.381562454,7.92102974,7.980865428,0.376641502475903,0.314313422246926,19.9247351850274
"GSM672760",7.690520446,11.00720223,7.505216357,7.241677695,7.434428625,7.563181041,7.551989219,7.910605948,7.735995539,7.193781413,7.873057621,7.877147584,8.510088476,7.284734201,7.772373234,7.792295911,8.133879926,7.830516357,7.842127695,0.170650977269892,0.951595914039916,23.7589462225397
"GSM672761",7.542924907,11.03410706,7.548252045,7.325943494,7.381439405,7.538505576,7.665922677,8.190704833,8.08659145,7.17327026,7.932901859,7.836457993,8.546823048,7.234244238,7.769860967,7.974095167,8.287225279,7.905511896,7.925253903,0.335099519798325,0.425874853221484,20.5959446965265
"GSM672762",7.445860967,11.07796394,7.409369888,7.299471375,7.542924907,7.506061338,7.68679368,8.198600743,7.873057621,7.135171747,7.825569888,7.844722677,8.530658364,7.164477323,7.786410409,7.895319331,8.12430632,7.715651301,7.802120446,0.290803888912943,0.551037777713411,21.3489876135288
"GSM672763",7.519544981,11.21184758,7.572286989,7.277204089,7.298382528,7.459615613,7.635680297,8.104676952,7.969496654,7.151679554,7.875115242,7.867135316,8.495408178,7.279125651,7.724405948,7.991175093,8.296347212,7.929290335,7.906473978,0.324388993260145,0.455460489021569,20.7739467172902
"GSM672764",7.652643494,11.15801487,7.470616357,7.271315613,7.383236059,7.532095911,7.697311524,8.096063197,7.96097026,7.039841264,7.86469684,7.778707063,8.507581413,7.331414498,7.724405948,7.874073978,8.237660223,7.840681041,7.986987732,0.295073790102595,0.538622179672058,21.2742891498796
"GSM672765",7.746923792,11.38151115,7.586030483,7.350514126,7.287647584,7.600063197,7.678274349,8.093958364,8.017719703,7.087793309,7.908544238,7.89425539,8.461734572,7.286697026,7.74787026,7.906473978,8.247687361,8.000223048,8.00638513,0.280335869559255,0.581844036366003,21.5343335134575
"GSM672766",7.74493197,11.48741822,7.937997212,7.413121933,7.231006691,7.816307063,7.956737175,7.955817844,8.287796468,7.564976208,8.389506691,8.274050558,8.836514498,7.447595539,7.465363941,7.8041171,8.631756506,8.165575836,7.951738662,0.488092317595563,0.0298525667882022,18.2132760349864
"GSM672767",7.745915242,11.19886617,7.409369888,7.277718216,7.482289963,7.526581784,7.520542007,8.019144424,7.763843123,7.066749814,7.884095539,7.962027881,8.35060855,7.410726022,7.660233829,7.736879182,8.045720074,7.740816729,7.814337918,0.12820985182357,1.13489407287135,24.8617598613858
"GSM672768",7.626144981,11.21293494,7.366461338,7.520043494,7.627140892,7.665922677,7.533924535,8.177703717,7.662205576,6.939026766,7.88012342,7.826556877,8.406797398,7.245731599,7.701094424,7.919,7.911683643,7.70978513,7.766921933,0.187663961439328,0.886537561477504,23.367522549852
"GSM672769",7.778239963,10.35158587,7.508754275,7.467951301,7.491978439,7.606418959,7.619773234,7.991175093,7.99810855,7.005772862,7.960021933,8.000223048,8.549405204,7.194324907,7.731850929,7.855413383,8.167665428,7.927762082,7.832513011,0.27634546132575,0.593732678526903,21.6058615462866
"GSM672770",7.621493309,11.1778052,7.433513383,7.318360967,7.671643494,7.514108178,7.539566543,8.098784015,7.89222119,7.075526766,7.837495167,7.86312974,8.437373606,7.301544238,7.778707063,7.981871747,7.988043866,7.796198141,7.838514126,0.173717664337518,0.93957553814429,23.6866256135043
"GSM672771",7.529364684,11.34454126,7.54200855,7.32036171,7.617057249,7.630925279,7.652220074,8.241036059,8.053842379,7.073488104,7.8193171,7.867135316,8.618287732,7.292366914,7.796198141,8.027893309,8.360233086,7.846815613,7.983840149,0.370090535982299,0.331613569407971,20.0288215455499
"GSM672772",7.340946468,11.01917918,7.531243866,7.366966729,7.677404833,7.671643494,7.596951673,8.238844238,7.903645725,7.042702602,7.766921933,7.730020074,8.577357993,7.270782342,7.716571004,8.014537175,8.329036803,7.738784015,7.970501487,0.366321137805677,0.341612836557742,20.0889821508802
"GSM672773",7.401328996,11.10790929,7.437034201,7.361776952,7.446739777,7.630925279,7.740278253,8.270647955,8.143954647,7.047502974,7.793164312,7.710728625,8.622026766,7.042702602,7.901559108,8.028971747,8.242130112,7.87012342,7.823384758,0.477054953904421,0.0575464472758368,18.3798963071651
"GSM672774",7.268254275,11.41400037,7.479533457,7.291402602,7.437914498,7.630925279,7.719550558,8.196510409,7.967410409,7.044994424,7.774867658,7.897266914,8.607624907,7.177962454,7.74493197,8.022753532,8.295108922,7.905511896,8.054964684,0.461123468433123,0.0976037623303879,18.6209012013732
"GSM672775",7.657518959,11.26294796,7.783582528,7.499842751,7.265292565,7.715651301,7.411239405,8.039165056,8.050930112,7.367472119,7.933356506,7.762834201,8.57858513,7.251828625,7.608877695,7.869624907,8.438575465,8.163278439,8.383890706,0.39612137329207,0.263399408341101,19.6184109464114
"GSM672776",7.478656877,11.28217807,7.430656506,7.393342379,7.417417844,7.617057249,7.76787026,8.209816357,8.103662082,7.071169888,7.808284015,7.884095539,8.586149442,7.262255019,7.774867658,7.917928996,8.383890706,7.88627026,7.928262825,0.3935913786803,0.269970748827374,19.6579474259918
"GSM672777",8.010395911,10.81730223,7.850618216,7.689591822,7.266283271,7.809278067,7.370159108,7.852455762,8.021720446,7.096736803,8.222346097,7.925744052,8.093958364,7.543907063,7.354395539,7.787331599,8.089684015,8.104676952,7.755745725,0.160750714078417,0.991377202010444,23.9982903993958
"GSM672778",7.61607658,11.00960112,7.502536431,7.384224535,7.378700743,7.632760595,7.605464312,8.104676952,7.897266914,7.079829368,7.871095539,7.903645725,8.341881784,7.244748699,7.786410409,7.881148327,8.078779554,7.940559851,7.913758364,0.173240222759397,0.941438004425902,23.6978311445928
"GSM672779",7.617057249,11.04578699,7.467951301,7.349563197,7.468778439,7.59643829,7.611296654,8.072568773,7.885181041,7.073488104,7.911683643,7.896279926,8.397209294,7.267130483,7.780598141,7.938524535,8.107589591,7.782479554,7.836457993,0.177283546758567,0.925766974551095,23.6035463705892
"GSM672780",7.685356134,10.93087398,7.504303346,7.315667658,7.573260223,7.611296654,7.607456506,8.035083271,7.875115242,7.05993829,7.927261338,7.945713755,8.330175836,7.152958364,7.775827509,7.924209665,8.159125279,7.757776208,7.733788104,0.184111632091538,0.899806444517259,23.4473548039335
"GSM672781",7.438816357,11.08095762,7.488408178,7.261334201,7.400432342,7.691536431,7.628094052,8.174248327,7.897266914,7.122816543,7.965228625,7.953687361,8.553554833,7.124948327,7.893735874,7.926234201,8.208771747,7.765909294,7.745915242,0.366769234482217,0.340422377714246,20.0818197535192
"GSM672782",7.488408178,10.81124015,7.522989591,7.307651301,7.403995539,7.564085874,7.648112639,8.150184387,8.031022305,7.055417844,7.874073978,7.979769517,8.450677695,7.388077695,7.690520446,7.934310781,8.333586989,7.810275465,7.697311524,0.301654767851539,0.519647140124061,21.1601257968782
"GSM672783",7.497289219,11.2284513,7.413121933,7.262255019,7.35901487,7.626144981,7.705535502,8.147725651,8.001172491,7.019252045,7.923060595,7.981871747,8.60055539,7.328675093,7.711727881,7.950685502,8.334871375,7.766921933,7.702029368,0.411040062648496,0.224870363576106,19.3866008926202
"GSM672784",7.61314684,11.284429,7.478656877,7.380567286,7.356145725,7.680215613,7.730965428,8.045720074,8.132369517,7.202971933,7.981871747,8.170942379,8.747633457,7.382328253,7.769860967,7.904584015,8.425394052,8.093958364,7.86469684,0.411642344585958,0.223322278704991,19.3772868377446
"GSM672785",7.635680297,11.48324349,7.722937546,7.360777323,7.290454647,7.706968401,7.569546468,7.995636803,8.043572119,7.147453903,8.000223048,8.096063197,8.479710781,7.234244238,7.604586617,7.964062082,8.325435688,8.037214126,7.691969517,0.323421431820738,0.458152526980161,20.7901433675782
"GSM672786",7.415719331,10.43697138,7.333966171,7.522989591,7.522116729,7.693285502,7.71755316,8.109748699,7.967410409,7.100415613,7.977637546,8.040285502,8.523357993,7.218219331,7.791298513,7.733788104,8.107589591,7.923060595,7.853407063,0.273480290255434,0.602320856243194,21.6575323299908
"GSM672787",7.541188476,11.39465613,7.444626022,7.300564684,7.564976208,7.640334201,7.74493197,8.071515242,8.057889591,7.103652416,7.969496654,8.128590706,8.675730855,7.352536803,7.68679368,7.971537918,8.364927881,7.872061338,7.835530855,0.381553732180721,0.301402662390119,19.8470575795963
"GSM672788",7.607456506,10.65846506,7.345215799,7.583214498,7.657518959,7.710728625,7.450236803,7.859383271,7.928262825,7.013033457,8.125321561,8.007326394,8.481003346,7.096736803,7.679235688,7.564085874,8.083214498,7.789472491,7.884095539,0.289394520671067,0.555154421512807,21.3737554069272
"GSM672789",7.636548699,11.3224881,7.505216357,7.27630855,7.343281784,7.465363941,7.523875465,7.876136059,7.866197398,7.233129368,7.730020074,7.649154647,8.368715242,7.35901487,7.598236431,7.843720446,8.105662082,7.780142565,7.74493197,0.0877955590416557,1.35445544748677,26.1827511906679
"GSM672790",7.626144981,11.06731171,7.447595539,7.20119777,7.387064312,7.46360223,7.525672491,7.826063383,7.756682156,7.05796171,7.751708178,7.731408178,8.392362082,7.273359108,7.478656877,7.671643494,8.093958364,7.853407063,7.581318587,0.16259572072443,0.983845586184251,23.952976421838
"GSM672791",7.724405948,11.18683271,7.457263941,7.293344238,7.469724535,7.47190948,7.677404833,7.996134572,7.86312974,7.136520074,7.786410409,7.750881041,8.432450558,7.412204089,7.640334201,7.813247212,8.010395911,7.746923792,7.76787026,0.0981253253224437,1.2923075723041,25.8088384093628
"GSM672792",7.582311152,11.01789926,7.391549442,7.280977695,7.489859665,7.530228253,7.638374721,8.009399628,7.793164312,6.965320818,7.683959851,7.805177323,8.456971375,7.288603717,7.679235688,7.773863569,8.063084015,7.718559851,7.777772862,0.202030812262276,0.834389336050564,23.0537726758266
"GSM672793",7.641281413,11.2284513,7.435760037,7.243707063,7.372210409,7.527495539,7.682123792,8.053842379,7.941649071,7.071169888,7.760930855,7.806252045,8.464214126,7.390745353,7.679235688,7.775347584,8.106679554,7.856371375,7.775347584,0.201534347681491,0.836153248814027,23.06438525953
"GSM672794",7.728626022,11.29894126,7.48316171,7.264314126,7.407572119,7.543415985,7.607456506,7.898386617,7.935463197,7.009724907,7.630925279,7.836457993,8.38036803,7.401328996,7.520542007,7.718559851,8.195326022,7.834019703,7.714724907,0.174277013523889,0.937397693304016,23.6735226068595
"GSM672795",7.616566914,11.34454126,7.440665428,7.358100372,7.307651301,7.654683271,7.593509294,7.873057621,7.612225279,6.956875093,7.790382156,7.916262082,8.176603717,7.495428625,7.461993309,7.732870632,8.035083271,7.722443123,7.465811524,0.0759328646039644,1.43297238522156,26.6551484605935
"GSM672796",7.449311524,10.29722862,7.396921933,7.492813011,7.509637546,7.66687881,7.550943123,7.919985874,7.88012342,7.050248699,8.013017658,8.007326394,8.462952416,7.053049071,7.591762082,7.766921933,8.010395911,7.997119703,7.8573171,0.281045297956195,0.579739063956356,21.5216689438975
"GSM672797",7.636548699,11.4682684,7.47143829,7.398698141,7.438816357,7.595456877,7.603724535,7.950685502,7.873057621,7.088698699,7.799313755,7.852455762,8.414241264,7.322290706,7.604586617,7.891243123,8.171969145,7.981368587,7.78546171,0.155556007229925,1.01289144641734,24.127730882119
"GSM672798",7.445059851,11.38636171,7.46360223,7.274337546,7.690520446,7.546432714,7.579540892,8.001172491,7.748886989,7.039841264,7.622386245,7.620645725,8.320828996,7.349563197,7.567879926,7.8573171,8.059950186,7.609332714,7.661118587,0.1007419797872,1.27733512028272,25.718756630029
"GSM672799",7.653642379,11.21065762,7.420795167,7.22019777,7.577777323,7.570474721,7.595456877,8.072568773,7.838514126,7.019252045,7.72343197,7.773863569,8.414241264,7.417417844,7.580478067,7.755745725,8.23403829,7.68679368,7.92102974,0.210033153304334,0.806306217111001,22.8848105499365
"GSM672800",7.715651301,11.22259814,7.501630112,7.269249814,7.43247658,7.55573197,7.695330483,8.052826022,7.950685502,7.050248699,7.730965428,7.773863569,8.548211524,7.329580297,7.669763569,7.795259851,8.246547955,7.72343197,7.871095539,0.263641479593771,0.632159040054968,21.8370538062337
"GSM672801",7.766921933,10.57802751,7.449311524,7.358100372,7.380567286,7.585147955,7.702029368,8.052826022,8.01150855,7.163301115,7.844722677,7.936460595,8.635448699,7.340056877,7.735995539,7.859383271,8.100355762,7.883198141,7.848711896,0.242940707967006,0.696874374504795,22.2264137099488
"GSM672802",7.617939777,11.28217807,7.550943123,7.299471375,7.29790855,7.672643866,7.669763569,8.109748699,7.999137918,7.101133271,7.820356506,7.78546171,8.608751673,7.350514126,7.678274349,7.871095539,8.204286617,8.041408922,8.046743123,0.328380149796943,0.444390473788654,20.7073439545624
"GSM672803",7.508319331,11.4285632,7.692844052,7.164477323,7.237405204,7.718559851,7.701094424,8.212000372,8.164482156,7.278232342,7.995139033,7.94874052,8.592207063,7.531243866,7.588915242,7.938524535,8.344507435,8.004321933,8.082105948,0.383373034198357,0.296633845346706,19.818365984928
"GSM672804",7.460531413,11.42303234,7.575073978,7.361776952,7.438816357,7.578592565,7.750881041,8.135997026,7.928262825,6.988712639,7.728626022,7.791298513,8.468954647,7.338213011,7.640334201,7.799313755,8.241036059,7.868198885,7.954822677,0.267281488758406,0.621055696882889,21.7702505259115
"GSM672805",7.542924907,11.35503383,7.498145353,7.323299257,7.416600743,7.558060223,7.664118587,8.111744238,7.980317472,7.05796171,7.722937546,7.777772862,8.383890706,7.279125651,7.684879182,7.930322305,8.188528253,7.749934201,7.947747212,0.22233483574467,0.764331578505059,22.6322700757966
"GSM672806",7.784542379,11.16042491,7.459166171,7.37402119,7.429891078,7.569130855,7.608422677,8.007326394,7.867135316,7.039841264,7.889139777,7.861327881,8.232792937,7.340946468,7.66687881,7.726765799,8.037214126,7.750881041,7.821365799,0.0801412549584767,1.40412204556427,26.4815703501409
"GSM672807",7.619773234,11.23174721,7.48490632,7.309753903,7.531243866,7.583214498,7.625234944,8.044633086,7.943737175,7.061997398,7.786410409,7.792295911,8.43369145,7.306538662,7.637442007,7.925253903,8.299976952,7.812289591,7.860385502,0.224448908316987,0.757253812009702,22.589686683397
"GSM672808",7.614147955,11.33162788,7.456822305,7.240568401,7.388077695,7.665011524,7.567879926,7.967410409,7.844221561,6.956875093,7.655139963,7.774867658,8.571306691,7.438816357,7.511424907,7.854380669,8.228271004,7.74787026,7.914788104,0.305252348938445,0.509353166049091,21.0981920869043
"GSM672809",7.625234944,11.09734126,7.388077695,7.267130483,7.449311524,7.619773234,7.60192119,8.107589591,7.827565799,7.028367658,7.688649814,7.858394796,8.419263569,7.309753903,7.575073978,7.859383271,8.237660223,7.707991078,7.811770446,0.24397164315053,0.693583751773479,22.2066156735063
"GSM672811",7.647143123,11.03410706,7.442474721,7.351365799,7.430656506,7.661118587,7.655596654,8.184210409,8.018659851,6.972086245,7.806252045,7.788498141,8.568848327,7.340501673,7.705535502,7.773863569,8.265997026,7.962027881,7.904584015,0.340995536559889,0.409747648234244,20.4989153442963
"GSM672812",7.700126394,11.21184758,7.55573197,7.302495911,7.528486617,7.622386245,7.710728625,8.173079926,8.007326394,7.061997398,7.808284015,7.827565799,8.640388476,7.277204089,7.730020074,7.839027881,8.357856506,7.977637546,8.000223048,0.358867948013536,0.361486365007492,20.2085512636641
"GSM672813",7.575073978,11.42471599,7.444192193,7.351365799,7.513250186,7.630472119,7.821365799,8.213257249,8.062080297,7.088698699,7.804647212,7.811251301,8.657939777,7.318360967,7.728157621,7.867135316,8.249947584,7.954822677,8.073602602,0.355684885648765,0.370017070458897,20.2598762654031
"GSM672814",7.485827881,11.51608104,7.604586617,7.344720818,7.420380112,7.715651301,7.849694796,8.243787175,8.062080297,7.108245353,7.986987732,7.858394796,8.560181041,7.281887361,7.740816729,7.874073978,8.297544238,7.966381413,7.867135316,0.330169638471012,0.43944479178934,20.6775882516301
"GSM672815",7.566876952,11.33044126,7.485827881,7.280100743,7.574069517,7.611296654,7.798363941,8.207724907,7.994171375,6.997829368,7.737322862,7.803133086,8.516163569,7.34665948,7.691536431,7.762834201,8.168757621,7.928262825,7.967410409,0.286372488802369,0.564013451529454,21.4270557738899
"GSM672816",7.700126394,11.05398736,7.490282156,7.310779182,7.554816729,7.626144981,7.573260223,8.088671747,7.779197026,6.972086245,7.728157621,7.854380669,8.292988848,7.329580297,7.678274349,7.774867658,7.955817844,7.76787026,7.8193171,0.102447887112435,1.26772611831762,25.6609440557491
"GSM672817",7.702549442,11.06334126,7.433513383,7.250825651,7.582311152,7.563181041,7.589801115,8.091864684,7.853407063,7.005772862,7.814337918,7.815310781,8.385220818,7.290454647,7.646154275,7.867135316,8.191898141,7.821365799,7.871095539,0.217352600986469,0.781165432090397,22.7335509803436
