"","csgA","spoVT","gdh","gerAA","gerAB","gerAC","gerKA","gerKB","gerKC","glcU","gpr","spoIIP","tepA","ybxH","ykoS","ykoT","ylzJ","yqjB","yqjC","pval","z","inv_cof_var"
"GSM672666",8.689369888,10.92375167,8.690523792,7.732870632,7.877147584,7.755745725,7.88012342,8.070405204,8.038151301,9.010486245,8.470127138,8.552971004,8.94377881,7.88816171,8.180901859,7.962027881,8.504569703,7.763843123,7.902549071,0.41487679650767,0.215017604673157,19.3273217543697
"GSM672667",8.216581041,10.94725613,8.344507435,7.46099777,7.618860967,7.672643866,7.783582528,8.137154275,8.010395911,8.337157993,8.35060855,8.431318959,8.856034201,7.670251115,7.930322305,7.935463197,8.398508922,7.738784015,8.025824907,0.242346815968036,0.698773436192609,22.2378394173519
"GSM672668",7.822368401,10.86981041,7.969496654,7.48490632,7.569546468,7.55290223,7.664118587,8.073602602,7.973584015,7.939507435,8.146702602,8.208771747,8.53545948,7.395965799,7.862260595,7.889139777,8.143390706,7.769860967,7.841605948,0.0573978157234499,1.57699953771578,27.5216880327714
"GSM672669",7.55006171,11.00246134,7.822368401,7.493678439,7.505216357,7.683043494,7.734865799,8.171969145,8.000223048,7.623303717,8.106679554,8.231637918,8.403292565,7.164477323,7.749934201,7.889139777,8.198600743,7.834514126,7.860385502,0.124097319549732,1.15474555358269,24.9811963239194
"GSM672670",7.487576952,10.76552491,7.401779368,7.419142751,7.385176952,7.533066543,7.59643829,8.163278439,7.99810855,7.251828625,8.078779554,8.168757621,8.433071004,7.21919368,7.674563941,7.934310781,8.109748699,7.778707063,7.862260595,0.279359231374953,0.584746083218465,21.5517936825605
"GSM672671",7.48490632,10.76186208,7.410212639,7.408428625,7.435354647,7.574069517,7.599091078,8.200952045,7.932447212,7.224612639,8.107589591,8.180901859,8.42662342,7.237405204,7.757776208,7.985909665,7.988043866,7.662205576,7.8041171,0.25969807192289,0.644276511892429,21.9099585931442
"GSM672672",7.523875465,10.495429,7.401328996,7.334518587,7.420380112,7.609332714,7.47696803,8.166616729,7.832513011,7.098571004,8.238844238,8.274050558,8.479710781,7.225685502,7.649154647,7.966381413,8.168757621,7.71755316,7.755745725,0.410004567602426,0.227533227102351,19.4026220148936
"GSM672673",7.435354647,10.62500372,7.341413569,7.396921933,7.565977695,7.623303717,7.47696803,8.148954275,7.803133086,7.105244981,8.159125279,8.202600743,8.357856506,7.169377323,7.708865056,7.904584015,8.083214498,7.685833086,7.765909294,0.310521840949276,0.494371720816012,21.0080561998993
"GSM672674",7.939507435,9.928841264,7.375370446,7.706968401,7.837495167,7.976651301,7.249794424,8.167665428,7.74493197,7.165705948,7.966381413,8.142416357,7.895319331,7.632760595,7.459166171,7.951738662,7.811251301,7.625689963,7.280100743,0.114575793066504,1.20254721112639,25.268795065962
"GSM672675",7.942710037,9.720425279,7.440665428,7.687710037,7.649154647,7.768369888,7.444192193,8.341881784,7.853407063,7.209704089,7.710256877,8.064017472,7.908544238,7.145996283,7.535639777,7.8041171,7.768369888,7.615569331,7.395085502,0.0953721848230655,1.30838024524709,25.9055396694696
"GSM672676",7.97259145,9.722469888,7.392457621,7.474165056,7.745915242,7.772373234,7.340946468,8.29409368,7.861327881,7.360777323,7.498145353,8.032571004,7.897266914,7.578184944,7.381003346,7.708865056,7.636548699,7.511424907,7.261334201,0.0640262001467001,1.52182713567879,27.1897431957791
"GSM672677",7.846815613,9.977751673,7.299471375,7.586480669,7.379622677,7.481363197,7.291402602,8.029918216,7.781533457,7.22019777,7.855892379,8.375895167,7.908544238,7.391147398,7.434428625,7.530736059,7.826063383,7.505216357,7.416160037,0.128078433304459,1.13552152911493,24.8655349527866
"GSM672689",8.38036803,11.24473197,7.510571747,7.200011152,7.403137175,7.541188476,7.364559851,7.8041171,7.533924535,7.303552045,8.176603717,8.019628996,8.147725651,7.78546171,7.578592565,7.694331227,7.976651301,7.777772862,7.760930855,0.172433040632221,0.944594215620235,23.7168204938278
"GSM672690",8.309239405,11.68608067,7.487576952,7.14125855,7.422534201,7.538505576,7.317484015,7.964062082,7.644156134,7.221266543,7.984951301,7.944688476,8.014031784,7.658371375,7.668779182,7.757229182,7.924209665,7.852019888,7.763843123,0.120837836327186,1.17080871829169,25.0778403777226
"GSM672691",8.080995167,11.63497546,7.394654461,7.200011152,7.450236803,7.59084052,7.282736059,7.94674684,7.544768401,7.151679554,8.044633086,8.010395911,7.971537918,7.622386245,7.620645725,7.739739777,7.8193171,7.86312974,7.752718959,0.0865564010756399,1.36226964973401,26.2297653498383
"GSM672694",8.506366543,11.04821115,8.456971375,7.457263941,7.615062082,7.595456877,7.497289219,7.849694796,7.739739777,8.594514498,8.033117472,8.08659145,8.65536171,7.955817844,7.746923792,7.853407063,8.334229182,7.602832714,7.480006877,0.394868747479915,0.266651505887793,19.6379771960247
"GSM672697",7.876136059,11.28091301,7.74493197,7.358100372,7.739739777,7.759936803,7.461993309,8.245420446,7.917928996,7.417417844,8.252212268,8.275239405,8.814584758,7.610263941,7.493245725,7.784542379,8.544313755,7.735995539,7.664118587,0.400342473868472,0.252460751173482,19.5525984996743
"GSM672701",8.032024535,11.15065874,7.865181413,7.322290706,7.475075093,7.459166171,7.570474721,8.079886245,7.844722677,7.8193171,8.087730855,8.778329368,8.190704833,7.568715242,7.760930855,7.908544238,7.964062082,7.719550558,7.787331599,0.181937103902202,0.908007597185267,23.4966970508725
"GSM672702",8.088671747,11.02599331,7.943737175,7.335327509,7.832513011,7.507884387,7.496405204,8.016636059,7.676433829,7.915737175,8.004321933,8.778329368,8.167665428,7.669763569,7.699220446,7.846815613,7.933356506,7.736437361,7.59643829,0.145712913127161,1.05499890344973,24.3810704585145
"GSM672703",7.882130855,11.02712677,7.80720632,7.310779182,7.600063197,7.445860967,7.507884387,8.022753532,7.691536431,7.701094424,7.963007807,8.489474349,8.235281784,7.563633457,7.862695167,7.879591078,7.942710037,7.645181784,7.742886245,0.059170141313615,1.56177805774661,27.430107976428
"GSM672704",7.583214498,11.69607844,7.445860967,7.398698141,7.501630112,7.593509294,7.799313755,8.159125279,8.05945316,7.307651301,7.718559851,7.763843123,8.573867658,7.325943494,7.589801115,7.759936803,8.267149814,8.176603717,8.177703717,0.295851043852986,0.53637111880298,21.2607456388911
"GSM672705",7.560428996,11.76177175,7.368476952,7.340056877,7.48316171,7.595456877,7.835530855,8.17870632,8.109748699,7.20119777,7.755745725,7.75129461,8.518662454,7.281887361,7.614147955,7.761926022,8.279827881,8.112798513,8.090775465,0.334632197549171,0.427157801099482,20.6036635542979
"GSM672706",7.630925279,11.81170372,7.393342379,7.302495911,7.508319331,7.585147955,7.646154275,8.180901859,7.985430483,7.241677695,7.652643494,7.783582528,8.546823048,7.280977695,7.681131227,7.706005204,8.312686245,7.87012342,7.991175093,0.280650219224336,0.580910999777667,21.5287198974686
"GSM672708",7.706968401,12.35933978,7.608422677,7.311718959,7.445860967,7.621493309,7.541188476,8.083214498,7.841605948,7.299471375,7.911683643,8.045720074,8.761433086,7.289504089,7.525672491,7.700126394,8.317332714,7.630018959,7.810275465,0.341508349721296,0.408350049780495,20.4905066911694
