"","cgeA","gerE","gerR","cgeB","cotG","cotY","cotZ","spoIIID","pval","z","inv_cof_var"
"GSM672610",7.444626022,9.481560223,8.596839033,7.526581784,7.475075093,7.195415613,7.132457993,7.264803346,0.358205708436304,0.363259001067771,41.2953121533135
"GSM672611",7.400432342,9.423149442,8.678208922,7.464571004,7.319405948,7.140640149,7.050248699,7.222985502,0.354139138223582,0.374169416172402,41.6214005159542
"GSM672617",7.545562825,8.483455019,8.260122677,7.803133086,7.839541636,7.504303346,7.379622677,7.568715242,0.396551649080033,0.262282960117821,38.2773598991111
"GSM672618",16.19371115,15.66117193,13.29824572,15.95731301,15.88525911,16.40455576,16.30243048,14.24448885,0.0784885526207371,1.41531177107202,72.7388605327548
"GSM672619",16.30918699,15.13492268,13.1395539,15.98922119,16.02135874,16.43796617,16.20058401,14.50030743,0.0335146780026369,1.83147714476075,85.1771302037493
"GSM672620",16.16017398,14.6242052,12.85840781,15.27586766,15.64881152,15.53070669,14.8030119,15.15962193,0.491612645905709,0.0210255279551329,31.0667047338986
"GSM672621",16.24241784,15.0717881,13.10414349,15.15962193,16.20750632,15.70693346,15.53070669,15.57326431,0.449375797729262,0.12723854921384,34.2411788360497
"GSM672626",7.349563197,10.02264535,8.596839033,7.618860967,7.40575539,7.145996283,7.077814498,7.095104089,0.453890230232738,0.115838596948563,33.9004592820533
"GSM672627",7.269249814,10.42009851,8.395967286,7.442474721,7.48316171,7.203504833,7.179726766,7.233686803,0.229113526273047,0.741769418026362,52.6081578081107
"GSM672628",7.341880669,10.08906357,8.368715242,7.48316171,7.60192119,7.139883086,7.150183271,7.164477323,0.424310675177136,0.190877778377452,36.1432157281994
"GSM672636",7.308666914,10.2952948,8.62690223,7.386197398,7.227946097,7.257305576,7.383236059,7.456380669,0.00848752451818044,2.3872477160952,101.787892844062
"GSM672637",7.429003346,10.63703123,8.679409665,7.496405204,7.34665948,7.206927881,7.131196654,7.194324907,0.275626106005523,0.595884764321329,48.2479856785571
"GSM672639",7.238387361,10.96685353,8.415459851,7.360777323,7.162046097,7.232099628,7.068984758,6.978382528,0.10983119721313,1.22742633207626,67.1233771090174
"GSM672645",7.325028996,10.86401599,8.548211524,7.497289219,7.279125651,7.135171747,7.073488104,7.001856877,0.330499888833499,0.438533242852584,43.5450940376167
"GSM672646",14.97813903,13.73114758,13.35817584,14.05076654,15.30855836,15.09480297,14.75366506,13.91831896,0.496409771161125,0.00899949059781536,30.7072728705557
"GSM672649",15.94142974,14.57775836,13.18883978,15.04970037,15.3676855,15.82038253,15.27586766,14.36693011,0.360362720812649,0.357489424850704,41.1228721825414
"GSM672650",15.66552974,14.42564907,13.2692461,14.69494015,15.65681413,15.53070669,15.28884089,14.25402268,0.401447335466966,0.24960262169369,37.8983724128606
"GSM672667",7.303552045,9.843672491,9.545039405,7.352536803,7.494581413,7.706968401,7.517730112,10.90736766,0.287689833088241,0.560146278904126,47.1798407838678
"GSM672668",7.280100743,9.799172862,8.919800372,7.379622677,7.387064312,7.35901487,7.371171004,9.740756506,1.60401658621356e-06,4.6570302538087,169.626711456856
"GSM672669",7.337226766,9.869347584,8.665937918,7.467951301,7.517730112,7.244748699,7.174947026,8.93649368,0.248549737998153,0.679060583585964,50.733928372322
"GSM672670",7.317484015,9.733342007,8.458105948,7.513250186,7.413969517,7.215920818,7.183873606,8.004321933,0.220474448932274,0.770591842604899,53.4695968228517
"GSM672671",7.306538662,9.847455762,8.406797398,7.395085502,7.223523048,7.16059777,7.098571004,7.832513011,0.147697847168772,1.04635817757269,61.7116473570145
"GSM672672",7.393342379,9.691046468,8.30718513,7.568715242,7.318360967,7.123569888,7.05796171,7.688649814,0.435352590759526,0.1627628221034,35.302921388415
"GSM672673",7.245731599,9.750860223,8.227065428,7.464571004,7.401328996,7.221266543,7.085886989,7.552445725,0.275207817634235,0.597137421598237,48.2854248553858
"GSM672675",7.540792937,10.59812825,8.470127138,7.457263941,7.769860967,7.493245725,7.395965799,8.028432528,0.229977982305987,0.738919361692296,52.5229758792385
"GSM672684",7.391549442,10.16996877,9.383142193,7.582311152,7.254489033,7.122816543,7.03734461,7.260295911,0.458337445748331,0.10462309074082,33.565252415917
"GSM672685",7.281432528,9.765004461,9.200495539,7.553907435,7.524751673,7.265292565,7.111310409,7.211249442,0.385427707588688,0.29125615828643,39.1433052055601
"GSM672686",7.429003346,10.11216691,9.115095539,7.6393,7.384224535,7.124948327,7.135171747,7.226811896,0.453867874939387,0.115895010771919,33.9021453674233
"GSM672687",7.317922491,10.29977138,9.453789963,7.556651301,7.291402602,7.073488104,7.101850929,7.256120446,0.409078143245391,0.229916973729474,37.3100115988484
"GSM672688",7.308666914,10.45131152,9.559210037,7.548252045,7.468778439,7.356145725,7.19709461,7.304376952,0.217322800146037,0.781266786606732,53.7886474710127
"GSM672690",7.500260409,9.758434201,9.651572119,7.553907435,7.764849442,7.271315613,7.233129368,7.291402602,0.449653145901124,0.12653772120358,34.2202326249141
"GSM672696",7.301544238,10.87328067,8.257919703,7.446739777,7.296479182,7.171866543,7.212406691,6.993476952,0.0986351453591574,1.28936768367474,68.9746681670383
"GSM672704",7.424458364,10.04221636,8.690523792,7.600991078,7.139126022,7.212406691,7.13317119,7.661118587,0.430275761855777,0.175672140297441,35.6887525774516
"GSM672705",7.345710781,10.2401855,8.67227658,7.653642379,7.180258364,7.222447955,7.147453903,7.531243866,0.433698023772269,0.166966958096972,35.4285737865425
"GSM672706",7.427298885,9.83625948,8.84164461,7.651307435,7.188427509,7.152958364,7.101850929,7.439755019,0.48364326244024,0.0410117546639966,31.6640491869151
"GSM672707",7.391549442,10.66789145,8.727996283,7.464571004,7.151679554,7.40222974,7.249312454,7.314204647,0.184062061008511,0.89999272543136,57.3371052173972
"GSM672708",7.285741264,10.69497435,8.619519331,7.515874349,7.116044981,7.232099628,7.133884387,7.37402119,0.311684487207384,0.491081261264649,45.1156389820275
"GSM672709",7.258240892,10.46258141,8.456971375,7.462750558,7.198866171,7.177962454,7.263282528,7.312733086,0.127190709808341,1.13977171733351,64.503573047921
"GSM672712",7.66315539,9.634723792,11.10075985,7.789472491,7.384224535,7.284734201,7.241677695,7.470616357,0.493143579428397,0.0171873438339908,30.951989834092
"GSM672714",7.316124721,10.21896468,9.52794684,7.519084944,7.581318587,7.605941636,7.876136059,7.72343197,0.404048542175386,0.242881645899685,37.6974971967485
"GSM672716",7.690520446,10.21271413,8.921110409,7.688649814,8.057889591,7.986987732,7.731850929,8.827584758,0.322754928624975,0.460008865193458,44.1869532573316
"GSM672718",7.490698699,9.921168401,9.423149442,7.517730112,7.730965428,8.022753532,7.87012342,9.533196654,0.453693505451789,0.116335046723121,33.9152970762679
"GSM672719",7.257305576,9.116951673,8.942527509,7.486659108,7.249794424,7.701094424,7.46099777,9.055988104,0.37797132459437,0.31081318031243,39.7278216725714
"GSM672720",7.440665428,8.91650632,9.184917472,7.675954461,7.690520446,7.936460595,7.713698885,9.479197398,0.328082967146232,0.445212859691037,43.7447331253168
"GSM672722",7.433513383,11.24473197,8.979176952,7.448477695,7.274337546,7.174337918,7.203504833,7.189788476,0.18578166202122,0.893548850287818,57.1445119315811
"GSM672723",7.280539219,11.51739071,8.139266914,7.408428625,7.477835316,7.405287361,7.345710781,7.353031784,0.0104199739936583,2.31087160325716,99.5051784522294
"GSM672725",7.447595539,9.844852788,8.601725651,7.518624907,7.278232342,7.338213011,7.257305576,7.403995539,0.118670555348845,1.18165880377691,65.7554861330902
"GSM672726",7.17327026,10.69138996,8.9676171,7.280539219,7.154222305,7.166906691,7.155304089,7.255019703,0.000248743131190724,3.48210624696048,134.510811470822
"GSM672729",7.264314126,10.78417695,8.691702974,7.48490632,7.733788104,7.389022677,7.349563197,7.292366914,0.35798378130126,0.363853295093588,41.3130742974618
"GSM672731",7.392457621,9.916043494,8.316217472,7.37402119,7.164477323,7.265292565,7.309753903,7.280100743,0.0501349247825085,1.6435468055663,79.5603048116147
"GSM672732",7.231006691,11.15801487,7.969496654,7.37402119,7.363215799,7.398698141,7.358100372,7.16059777,0.00319852862903092,2.72670308875961,111.933468938113
"GSM672734",7.344720818,11.17905353,8.756268401,7.229985874,7.730020074,7.500678067,7.377762825,7.148817472,0.386150255759676,0.289367044366448,39.0868437364866
"GSM672735",7.362719331,10.87084572,8.562611152,7.34665948,7.849694796,7.544768401,7.40575539,7.077814498,0.428636450462599,0.179846724310425,35.8135217317363
"GSM672737",7.286697026,10.65467323,8.930201115,7.434428625,7.170605948,7.323299257,7.05993829,7.169377323,0.252592813051016,0.666352797075282,50.3541205230041
"GSM672738",7.358557621,10.9612197,8.903206691,7.383236059,7.233129368,7.093293309,7.158062082,7.169377323,0.179433777047199,0.917525085190638,57.8611089727358
"GSM672739",7.344720818,10.74269703,8.874475465,7.388077695,7.20119777,7.324637175,7.519544981,7.183873606,0.130789209683644,1.12266824497382,63.9923877956866
"GSM672740",7.45382974,10.84505911,8.406797398,7.597465056,7.368476952,7.21919368,7.221266543,7.294394796,0.303578188225016,0.514136762524428,45.8047173153046
"GSM672741",7.556651301,10.92615725,8.269560223,7.561339777,7.314648699,7.127989963,7.097653903,7.152958364,0.468561082304147,0.0788874260769816,32.7960698805854
"GSM672742",7.449311524,10.71840037,8.545669888,7.47696803,7.255019703,7.252905576,7.151679554,7.175556134,0.232521258307652,0.730568895640596,52.2733987755287
"GSM672745",7.389022677,10.11590446,9.782928996,7.79415316,7.423486245,7.268254275,7.337226766,7.165705948,0.422515667729079,0.195461933615509,36.280226067525
"GSM672750",7.456380669,9.84866803,10.00507361,7.430656506,7.233129368,7.03734461,7.170605948,7.348572862,0.362322846273056,0.352256787248006,40.966480128546
"GSM672751",7.329580297,9.494378067,10.01761338,7.434891636,7.428592007,7.209154275,7.324637175,7.45163513,0.0504523411042163,1.64048347213698,79.4687484984398
"GSM672755",7.359462268,10.22354126,10.3433171,7.490282156,7.410212639,7.287647584,7.370159108,7.593509294,0.0104938114828511,2.30820705505035,99.4255409541504
"GSM672756",7.275465799,10.28045836,9.919852788,7.296479182,7.258772305,7.308666914,7.32036171,7.438365428,8.13187571275823e-19,8.78057742283569,292.870486485065
"GSM672757",7.328675093,10.02391561,9.832570632,7.298382528,7.206927881,7.194324907,7.288603717,7.285741264,0.00104314694786241,3.07766487815098,122.422946575264
"GSM672768",7.253958364,9.862908178,8.419263569,7.456380669,7.209154275,7.281887361,7.150183271,7.162046097,0.137642516592655,1.09097238677184,63.0450681561996
"GSM672769",7.423972305,10.08164275,8.448307063,7.74493197,7.511424907,7.305377323,7.187255019,7.127989963,0.438981251040984,0.153552614207316,35.0276484878323
"GSM672770",7.185085502,9.858397584,8.346910409,7.472380669,7.282736059,7.159424535,7.180258364,6.988712639,0.198027668204837,0.848687261305562,55.8036974935976
"GSM672771",7.252905576,9.773924535,8.468365985,7.632760595,7.182719331,7.148135688,7.066749814,7.111310409,0.467377436833239,0.0818639855232822,32.8850327098489
"GSM672775",7.313760595,9.534535316,8.836514498,7.372210409,7.533924535,7.190951301,7.742886245,7.364559851,0.442382910012374,0.144930405164592,34.7699495825089
"GSM672777",7.396921933,9.632133457,8.739067286,7.206350372,7.603724535,7.177962454,7.575533457,7.536569888,0.411833063641575,0.222832172702548,37.0982624450032
"GSM672779",7.395085502,9.670372119,8.356741636,7.675475093,7.526581784,7.304376952,7.180258364,7.177962454,0.393009179429081,0.271484578764543,38.5523760858811
"GSM672780",7.211249442,9.790525651,8.320828996,7.538505576,7.48490632,7.159424535,7.047502974,7.122063197,0.450076153578957,0.125468947359818,34.1882893203374
"GSM672781",7.291402602,9.646335316,8.359057249,7.569546468,7.544768401,7.331414498,7.168089591,7.218219331,0.337867515820802,0.418290093674517,42.9400707358575
"GSM672782",7.229985874,9.458850929,8.464214126,7.683959851,7.466259108,7.188427509,7.171866543,7.235277695,0.464671666416117,0.0886710598192397,33.0884812212259
"GSM672785",7.211249442,9.531951673,8.702976208,7.504303346,7.367472119,7.155304089,7.435354647,7.632326208,0.260482381164877,0.641858961391443,49.6220535304712
"GSM672786",7.406206877,9.485410037,8.402105204,7.764849442,7.539566543,7.244748699,7.350514126,7.527495539,0.409844297818583,0.227945518219623,37.2510891203669
"GSM672787",7.309753903,9.943906691,8.50338829,7.650009665,7.325028996,7.064322677,7.272425279,7.436165428,0.441192892202651,0.147945493756757,34.8600639633832
"GSM672788",7.404819331,10.09255093,8.404481041,7.55949145,7.46360223,7.328675093,7.390299071,7.312733086,0.0333088728296105,1.83424424970866,85.2598328977409
"GSM672807",7.223523048,10.82642677,8.505152788,7.361776952,7.233129368,7.211249442,7.139126022,6.978382528,0.023508187780566,1.98615265973378,89.8000418835025
"GSM672808",7.286219145,10.57562602,8.528111524,7.514108178,7.232099628,7.071169888,7.202439033,7.147453903,0.315223883951229,0.481096707680421,44.8172225882647
"GSM672809",7.302495911,9.849930112,8.691702974,7.485827881,7.399576208,7.272892193,7.189107993,7.246704089,0.132994561860151,1.11234667268146,63.683898652385
"GSM672810",7.321295167,9.737092193,9.337545725,7.397816729,7.61314684,7.240568401,7.588915242,7.324245353,0.309086458528224,0.498441464885105,45.3356193149735
"GSM672811",7.28231171,9.730959851,8.7329829,7.414878439,7.148817472,7.158062082,7.122063197,7.073488104,0.170590547417929,0.951834159743655,58.8865319137897
"GSM672812",7.315667658,9.689711524,8.594514498,7.433513383,7.091472119,7.180258364,7.185085502,7.112858736,0.21482233081446,0.789799858649502,54.0436822670344
"GSM672813",7.260295911,9.82355539,8.583566914,7.475075093,7.198866171,7.291402602,7.055417844,7.098571004,0.282361844424724,0.575839474922741,47.6488759713683
"GSM672814",7.270249071,9.826689777,8.703616171,7.507446283,7.358100372,7.282736059,7.210253903,7.116044981,0.130392644835769,1.12453698461035,64.0482403221426
"GSM672815",7.295504833,9.971773978,8.38036803,7.482289963,7.234244238,7.159424535,7.168089591,7.015959108,0.204615880596288,0.825246319458409,55.1030991870814
"GSM672816",7.225685502,10.45007435,8.205537918,7.449311524,7.391549442,7.227946097,7.152958364,7.205772862,0.175309601078085,0.933388914033257,58.3352440008618
"GSM672817",7.212406691,10.45367881,8.407467658,7.574069517,7.242649442,7.225149071,7.213489591,7.187255019,0.29698219678197,0.5330999501699,46.3714853759566
